sys_updated_by,number,closed_by,state,caller_id,category,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority
system,INC0000000013,Howard Johnson,Resolved,ITIL User,Software,Luke Wilson,2023-01-14 05:30:00,2023-01-20 04:49:34.592097296,2023-01-20 04:49:34.592097296,Error installing new software,Software,3 - Moderate
system,INC0000000014,Fred Luddy,Resolved,ITIL User,Software,Beth Anglin,2023-01-14 09:29:00,2023-01-19 22:00:55.082169468,2023-01-19 22:00:55.082169468,Bug identified in accounting software,Software,2 - High
employee,INC0000000015,Beth Anglin,Resolved,ITIL User,Hardware,Luke Wilson,2023-01-14 17:39:00,2023-01-17 00:50:59.999999999,2023-01-17 00:50:59.999999999,The office printer is malfunctioning,Hardware,2 - High
employee,INC0000000016,Fred Luddy,Resolved,Bud Richman,Inquiry / Help,Luke Wilson,2023-01-15 01:45:00,2023-01-15 20:22:49.924112691,2023-01-15 20:22:49.924112691,Require assistance with Office 365 installation on new device,Service Desk,3 - Moderate
system,INC0000000017,Beth Anglin,Closed,ITIL User,Database,Luke Wilson,2023-01-16 20:48:00,2023-01-17 14:11:35.825821566,2023-01-17 14:11:35.825821566,Unable to establish connection with remote database,Database,2 - High
admin,INC0000000018,Fred Luddy,Resolved,David Loo,Inquiry / Help,Fred Luddy,2023-01-17 02:32:00,2023-01-16 03:32:59.814017257,2023-01-16 03:32:59.814017257,Need assistance with account setup,Service Desk,3 - Moderate
system,INC0000000019,Fred Luddy,Closed,Don Goodliffe,Inquiry / Help,Fred Luddy,2023-01-18 23:11:00,2023-01-27 16:52:08.135927933,2023-01-27 16:52:08.135927933,Need assistance with software installation,Service Desk,3 - Moderate
system,INC0000000020,Charlie Whitherspoon,Closed,ITIL User,Software,Howard Johnson,2023-01-20 08:50:00,2023-01-18 19:34:31.669295857,2023-01-18 19:34:31.669295857,Issue with software update on user device,Software,2 - High
system,INC0000000021,Charlie Whitherspoon,Closed,ITIL User,Network,Luke Wilson,2023-01-21 08:55:00,2023-01-30 05:00:35.640346360,2023-01-30 05:00:35.640346360,Unstable network connection in office,Network,2 - High
employee,INC0000000022,Fred Luddy,Resolved,Bud Richman,Software,Charlie Whitherspoon,2023-01-22 07:22:00,2023-01-28 07:39:46.310078194,2023-01-28 07:39:46.310078194,Error installing software update,Software,2 - High
employee,INC0000000023,Luke Wilson,Resolved,Don Goodliffe,Database,Charlie Whitherspoon,2023-01-22 19:04:00,2023-02-01 05:55:59.813093381,2023-02-01 05:55:59.813093381,Cannot access company database,Database,2 - High
system,INC0000000024,Fred Luddy,Resolved,Bud Richman,Inquiry / Help,Beth Anglin,2023-01-22 20:45:00,2023-01-25 22:06:07.232942038,2023-01-25 22:06:07.232942038,Need help with software installation,Service Desk,3 - Moderate
employee,INC0000000025,Luke Wilson,Resolved,ITIL User,Hardware,Luke Wilson,2023-01-23 04:59:00,2023-01-26 09:47:00.000000000,2023-01-26 09:47:00.000000000,Printer malfunctioning in IT department,Hardware,2 - High
admin,INC0000000026,Luke Wilson,Resolved,David Loo,Database,Howard Johnson,2023-01-24 22:35:00,2023-01-31 04:44:49.578847749,2023-01-31 04:44:49.578847749,SQL server outage,Database,1 - Critical
admin,INC0000000027,Charlie Whitherspoon,Closed,Bud Richman,Network,Fred Luddy,2023-01-25 02:53:00,2023-02-05 01:58:34.567962245,2023-02-05 01:58:34.567962245,Network outage in Building 5,Network,1 - Critical
employee,INC0000000028,Fred Luddy,Resolved,Bud Richman,Database,Fred Luddy,2023-01-25 19:42:00,2023-01-28 09:52:02.212863329,2023-01-28 09:52:02.212863329,Error while connecting to Oracle DB,Database,2 - High
employee,INC0000000029,Fred Luddy,Resolved,Don Goodliffe,Network,Charlie Whitherspoon,2023-01-26 18:26:00,2023-01-29 15:23:03.577420247,2023-01-29 15:23:03.577420247,VPN connectivity issue,Network,2 - High
employee,INC0000000030,Charlie Whitherspoon,Closed,Bud Richman,Software,Howard Johnson,2023-01-27 02:48:00,2023-01-30 23:01:21.815902919,2023-01-30 23:01:21.815902919,Unable to install software update,Software,1 - Critical
employee,INC0000000031,Fred Luddy,Closed,ITIL User,Software,Luke Wilson,2023-01-28 13:11:00,2023-02-04 16:25:41.858164703,2023-02-04 16:25:41.858164703,Unable to update the antivirus software,Software,2 - High
system,INC0000000032,Howard Johnson,Resolved,Bud Richman,Inquiry / Help,Howard Johnson,2023-01-28 22:30:00,2023-02-01 19:54:25.516116104,2023-02-01 19:54:25.516116104,Need help with software installation,Service Desk,3 - Moderate
system,INC0000000033,Beth Anglin,Closed,Don Goodliffe,Inquiry / Help,Howard Johnson,2023-01-29 07:45:00,2023-01-29 01:45:10.332078381,2023-01-29 01:45:10.332078381,Need help with software installation,Service Desk,3 - Moderate
employee,INC0000000034,Fred Luddy,Resolved,David Loo,Software,Howard Johnson,2023-01-29 10:51:00,2023-01-26 10:40:18.734737921,2023-01-26 10:40:18.734737921,Frequent crashes experienced in ABC application,Software,1 - Critical
system,INC0000000035,Beth Anglin,Resolved,Bud Richman,Database,Luke Wilson,2023-01-31 03:10:00,2023-02-14 19:42:01.987813360,2023-02-14 19:42:01.987813360,SQL Server connection issue,Database,1 - Critical
employee,INC0000000036,Fred Luddy,Closed,David Loo,Inquiry / Help,Charlie Whitherspoon,2023-01-31 15:23:00,2023-02-11 10:44:45.343698716,2023-02-11 10:44:45.343698716,Need help with onboarding process,Service Desk,3 - Moderate
admin,INC0000000037,Luke Wilson,Closed,Don Goodliffe,Software,Fred Luddy,2023-01-31 18:06:00,2023-02-10 03:26:47.442155572,2023-02-10 03:26:47.442155572,Failed software update on workstation,Software,2 - High
system,INC0000000038,Beth Anglin,Resolved,Bud Richman,Network,Beth Anglin,2023-02-01 00:26:00,2023-02-17 00:42:27.680657632,2023-02-17 00:42:27.680657632,Network outage in building A,Network,1 - Critical
employee,INC0000000039,Charlie Whitherspoon,Closed,ITIL User,Database,Charlie Whitherspoon,2023-02-01 04:07:00,2023-02-07 23:33:52.837380143,2023-02-07 23:33:52.837380143,Cannot connect to the MySQL database,Database,2 - High
system,INC0000000040,Charlie Whitherspoon,Resolved,Bud Richman,Hardware,Fred Luddy,2023-02-01 18:09:00,2023-02-05 20:32:59.999999999,2023-02-05 20:32:59.999999999,Printer is not working in office,Hardware,2 - High
system,INC0000000041,Fred Luddy,Closed,Bud Richman,Inquiry / Help,Charlie Whitherspoon,2023-02-02 17:12:00,2023-02-08 17:52:00.095141013,2023-02-08 17:52:00.095141013,Need help with software installation,Service Desk,3 - Moderate
admin,INC0000000042,Fred Luddy,Closed,Don Goodliffe,Software,Beth Anglin,2023-02-03 03:11:00,2023-02-09 15:22:11.046050827,2023-02-09 15:22:11.046050827,Unable to install new software update,Software,2 - High
system,INC0000000043,Luke Wilson,Closed,ITIL User,Software,Beth Anglin,2023-02-03 23:12:00,2023-02-16 19:56:30.328647841,2023-02-16 19:56:30.328647841,Issue with Software update,Software,2 - High
employee,INC0000000044,Beth Anglin,Resolved,Bud Richman,Software,Charlie Whitherspoon,2023-02-04 09:19:00,2023-02-06 09:57:35.902844011,2023-02-06 09:57:35.902844011,Software update required for project application,Software,2 - High
employee,INC0000000045,Fred Luddy,Resolved,Don Goodliffe,Hardware,Luke Wilson,2023-02-04 19:09:00,2023-02-09 04:45:00.000000000,2023-02-09 04:45:00.000000000,Printer not working properly,Hardware,2 - High
employee,INC0000000046,Howard Johnson,Resolved,Bud Richman,Inquiry / Help,Beth Anglin,2023-02-05 00:38:00,2023-02-17 02:57:53.660032357,2023-02-17 02:57:53.660032357,Need assistance with software installation,Service Desk,3 - Moderate
admin,INC0000000047,Luke Wilson,Resolved,Don Goodliffe,Hardware,Fred Luddy,2023-02-06 12:34:00,2023-02-11 02:57:59.999999999,2023-02-11 02:57:59.999999999,Unable to boot up workstation,Hardware,2 - High
system,INC0000000048,Howard Johnson,Resolved,David Loo,Inquiry / Help,Howard Johnson,2023-02-06 15:11:00,2023-02-10 19:26:29.111708355,2023-02-10 19:26:29.111708355,Need assistance with software installation,Service Desk,3 - Moderate
employee,INC0000000049,Howard Johnson,Resolved,Bud Richman,Inquiry / Help,Fred Luddy,2023-02-07 12:25:00,2023-02-16 02:25:54.222724382,2023-02-16 02:25:54.222724382,Need help with software installation,Service Desk,3 - Moderate
system,INC0000000050,Luke Wilson,Resolved,Don Goodliffe,Database,Luke Wilson,2023-02-07 13:01:00,2023-02-11 21:52:25.163085510,2023-02-11 21:52:25.163085510,Unable to connect to SQL Database,Database,2 - High
employee,INC0000000051,Beth Anglin,Resolved,ITIL User,Software,Fred Luddy,2023-02-08 05:58:00,2023-02-19 20:26:14.198421182,2023-02-19 20:26:14.198421182,Software update causing system crash,Software,2 - High
admin,INC0000000052,Fred Luddy,Closed,David Loo,Hardware,Howard Johnson,2023-02-08 15:06:00,2023-02-13 10:18:00.000000000,2023-02-13 10:18:00.000000000,System unit overheating causing shutdowns,Hardware,1 - Critical
system,INC0000000053,Luke Wilson,Closed,Bud Richman,Software,Luke Wilson,2023-02-09 14:59:00,2023-02-04 22:19:25.852540592,2023-02-04 22:19:25.852540592,Software update failure on workstation,Software,2 - High
system,INC0000000054,Beth Anglin,Resolved,ITIL User,Software,Luke Wilson,2023-02-11 03:09:00,2023-02-11 21:38:01.270198448,2023-02-11 21:38:01.270198448,Unable to install latest update for Adobe Reader,Software,2 - High
admin,INC0000000055,Fred Luddy,Resolved,Don Goodliffe,Hardware,Luke Wilson,2023-02-12 14:25:00,2023-02-17 19:13:00.000000000,2023-02-17 19:13:00.000000000,Printer not operating correctly,Hardware,2 - High
admin,INC0000000056,Howard Johnson,Resolved,Bud Richman,Database,Fred Luddy,2023-02-13 16:30:00,2023-02-17 13:56:34.715903870,2023-02-17 13:56:34.715903870,Unable to access database server,Database,2 - High
admin,INC0000000057,Luke Wilson,Resolved,Don Goodliffe,Software,Charlie Whitherspoon,2023-02-14 02:24:00,2023-02-13 07:41:55.931640511,2023-02-13 07:41:55.931640511,Cannot install new software update,Software,2 - High
employee,INC0000000058,Luke Wilson,Resolved,Bud Richman,Hardware,Charlie Whitherspoon,2023-02-14 23:30:00,2023-02-20 09:06:00.000000000,2023-02-20 09:06:00.000000000,Desktop monitor not turning on,Hardware,2 - High
employee,INC0000000059,Howard Johnson,Resolved,Don Goodliffe,Network,Beth Anglin,2023-02-17 05:25:00,2023-02-27 15:04:29.591553685,2023-02-27 15:04:29.591553685,Unable to establish VPN connection,Network,2 - High
system,INC0000000060,Fred Luddy,Closed,David Loo,Inquiry / Help,Beth Anglin,2023-02-18 04:34:00,2023-02-20 00:23:51.682793882,2023-02-20 00:23:51.682793882,Need assistance with system update,Service Desk,3 - Moderate
system,INC0000000061,Howard Johnson,Closed,Bud Richman,Database,Howard Johnson,2023-02-18 05:53:00,2023-02-19 22:14:14.345105657,2023-02-19 22:14:14.345105657,SQL Server outage on production environment,Database,1 - Critical
admin,INC0000000062,Charlie Whitherspoon,Closed,David Loo,Inquiry / Help,Charlie Whitherspoon,2023-02-18 12:38:00,2023-03-03 07:28:54.571480185,2023-03-03 07:28:54.571480185,"Unable to access email account, requires assistance",Service Desk,2 - High
system,INC0000000063,Charlie Whitherspoon,Resolved,Don Goodliffe,Inquiry / Help,Luke Wilson,2023-02-19 06:53:00,2023-02-25 22:27:38.835770521,2023-02-25 22:27:38.835770521,Need assistance with software installation,Service Desk,3 - Moderate
system,INC0000000064,Fred Luddy,Closed,David Loo,Hardware,Howard Johnson,2023-02-20 19:11:00,2023-02-26 19:11:00.000000000,2023-02-26 19:11:00.000000000,Issue with printer connectivity,Hardware,2 - High
system,INC0000000065,Fred Luddy,Resolved,ITIL User,Hardware,Beth Anglin,2023-02-21 01:46:00,2023-02-27 04:10:00.000000000,2023-02-27 04:10:00.000000000,Router malfunctioning and causing downtime,Network,1 - Critical
admin,INC0000000066,Fred Luddy,Resolved,David Loo,Software,Charlie Whitherspoon,2023-02-22 22:36:00,2023-02-20 09:52:09.250164113,2023-02-20 09:52:09.250164113,Unable to install updates for office suite,Software,2 - High
admin,INC0000000067,Fred Luddy,Closed,David Loo,Hardware,Fred Luddy,2023-02-23 03:09:00,2023-03-01 10:21:00.000000000,2023-03-01 10:21:00.000000000,Keyboard not functioning properly,Hardware,2 - High
employee,INC0000000068,Charlie Whitherspoon,Resolved,ITIL User,Hardware,Fred Luddy,2023-02-23 05:38:00,2023-03-01 12:50:00.000000000,2023-03-01 12:50:00.000000000,"Printer issue, paper is always jammed",Hardware,3 - Moderate
admin,INC0000000069,Beth Anglin,Closed,Don Goodliffe,Inquiry / Help,Howard Johnson,2023-02-25 00:46:00,2023-02-28 08:05:39.695491170,2023-02-28 08:05:39.695491170,Need assistance with software installation,Service Desk,3 - Moderate
system,INC0000000070,Charlie Whitherspoon,Closed,David Loo,Software,Charlie Whitherspoon,2023-02-25 09:13:00,2023-02-25 17:03:02.018992784,2023-02-25 17:03:02.018992784,Unable to install new software update.,Software,2 - High
employee,INC0000000071,Luke Wilson,Closed,Don Goodliffe,Software,Beth Anglin,2023-02-25 14:35:00,2023-02-26 02:27:08.612886899,2023-02-26 02:27:08.612886899,Adobe software patch update issue,Software,2 - High
admin,INC0000000072,Beth Anglin,Closed,Bud Richman,Network,Charlie Whitherspoon,2023-02-28 13:57:00,2023-03-10 14:18:26.182421285,2023-03-10 14:18:26.182421285,Unable to connect to the VPN,Network,2 - High
admin,INC0000000073,Charlie Whitherspoon,Resolved,ITIL User,Database,Howard Johnson,2023-02-28 15:12:00,2023-03-05 07:18:06.603018821,2023-03-05 07:18:06.603018821,Unable to access the SQL database,Database,2 - High
system,INC0000000074,Howard Johnson,Closed,ITIL User,Network,Luke Wilson,2023-03-01 03:12:00,2023-03-10 19:26:29.300174202,2023-03-10 19:26:29.300174202,Cannot connect to office VPN,Network,1 - Critical
system,INC0000000075,Charlie Whitherspoon,Closed,David Loo,Network,Charlie Whitherspoon,2023-03-01 10:45:00,2023-03-06 15:31:33.870585495,2023-03-06 15:31:33.870585495,Network connection intermittent issue,Network,2 - High
system,INC0000000076,Beth Anglin,Closed,Don Goodliffe,Inquiry / Help,Charlie Whitherspoon,2023-03-01 23:01:00,2023-03-05 18:27:03.255027436,2023-03-05 18:27:03.255027436,Inquiry about proper software installation help,Software,3 - Moderate
admin,INC0000000077,Luke Wilson,Resolved,ITIL User,Inquiry / Help,Howard Johnson,2023-03-02 22:12:00,2023-03-11 17:30:33.455622216,2023-03-11 17:30:33.455622216,Need assistance with configuration settings,Service Desk,3 - Moderate
system,INC0000000078,Howard Johnson,Resolved,ITIL User,Network,Fred Luddy,2023-03-08 11:59:00,2023-03-11 08:55:03.205147972,2023-03-11 08:55:03.205147972,Internet connection is slow,Network,2 - High
employee,INC0000000079,Fred Luddy,Resolved,Don Goodliffe,Software,Luke Wilson,2023-03-08 12:02:00,2023-03-15 14:37:25.553371417,2023-03-15 14:37:25.553371417,Unable to update antivirus software,Software,2 - High
system,INC0000000080,Luke Wilson,Resolved,Bud Richman,Inquiry / Help,Luke Wilson,2023-03-09 14:25:00,2023-03-21 12:45:25.500246926,2023-03-21 12:45:25.500246926,Inquiry about Software Installation,Service Desk,3 - Moderate
admin,INC0000000081,Luke Wilson,Closed,ITIL User,Network,Howard Johnson,2023-03-09 20:35:00,2023-03-16 04:59:01.807487880,2023-03-16 04:59:01.807487880,Unable to connect to office VPN,Network,2 - High
employee,INC0000000082,Howard Johnson,Resolved,ITIL User,Inquiry / Help,Luke Wilson,2023-03-10 07:30:00,2023-03-07 09:18:35.966664642,2023-03-07 09:18:35.966664642,I need help with software installation,Service Desk,3 - Moderate
admin,INC0000000083,Luke Wilson,Resolved,Don Goodliffe,Database,Fred Luddy,2023-03-11 15:22:00,2023-03-17 21:40:05.481173335,2023-03-17 21:40:05.481173335,Facing issue with Oracle Database Connection,Database,1 - Critical
admin,INC0000000084,Howard Johnson,Resolved,David Loo,Hardware,Howard Johnson,2023-03-14 03:59:00,2023-03-22 08:46:59.999999999,2023-03-22 08:46:59.999999999,Desktop PC not powering on,Hardware,2 - High
employee,INC0000000085,Beth Anglin,Resolved,ITIL User,Network,Howard Johnson,2023-03-14 22:44:00,2023-03-16 02:08:01.675293504,2023-03-16 02:08:01.675293504,Network outage in third floor,Network,1 - Critical
system,INC0000000086,Howard Johnson,Closed,Don Goodliffe,Network,Charlie Whitherspoon,2023-03-16 05:41:00,2023-03-19 19:05:51.593539549,2023-03-19 19:05:51.593539549,Internet connection is dropping frequently,Network,2 - High
employee,INC0000000087,Luke Wilson,Resolved,Bud Richman,Software,Fred Luddy,2023-03-17 00:16:00,2023-03-25 18:45:20.986223344,2023-03-25 18:45:20.986223344,Error message appearing in accounting software,Software,2 - High
admin,INC0000000088,Charlie Whitherspoon,Resolved,Bud Richman,Software,Howard Johnson,2023-03-17 10:07:00,2023-03-21 06:27:55.241454041,2023-03-21 06:27:55.241454041,Trouble installing latest version of antivirus software,Software,2 - High
employee,INC0000000089,Luke Wilson,Closed,David Loo,Inquiry / Help,Beth Anglin,2023-03-20 00:03:00,2023-03-23 17:13:41.655997493,2023-03-23 17:13:41.655997493,Need assistance with software installation,Service Desk,3 - Moderate
admin,INC0000000090,Beth Anglin,Resolved,David Loo,Inquiry / Help,Howard Johnson,2023-03-20 20:15:00,2023-03-24 03:01:38.764149278,2023-03-24 03:01:38.764149278,Need help with software installation,Service Desk,3 - Moderate
system,INC0000000091,Charlie Whitherspoon,Resolved,ITIL User,Network,Luke Wilson,2023-03-21 05:14:00,2023-03-28 11:03:48.155206180,2023-03-28 11:03:48.155206180,Network connectivity issue on floor 5,Network,2 - High
employee,INC0000000092,Charlie Whitherspoon,Closed,Don Goodliffe,Database,Howard Johnson,2023-03-21 21:23:00,2023-04-01 18:03:47.296847504,2023-04-01 18:03:47.296847504,Cannot access database from employee workstation,Database,2 - High
system,INC0000000093,Charlie Whitherspoon,Closed,David Loo,Inquiry / Help,Luke Wilson,2023-03-22 22:56:00,2023-03-27 12:02:49.739950941,2023-03-27 12:02:49.739950941,Need help with software installation,Service Desk,3 - Moderate
employee,INC0000000094,Howard Johnson,Closed,ITIL User,Software,Charlie Whitherspoon,2023-03-23 07:51:00,2023-03-31 13:53:56.905057704,2023-03-31 13:53:56.905057704,Cannot install updates on department software,Software,2 - High
system,INC0000000095,Fred Luddy,Resolved,ITIL User,Hardware,Beth Anglin,2023-03-23 15:33:00,2023-04-01 17:56:59.999999999,2023-04-01 17:56:59.999999999,Printer not functioning correctly,Hardware,2 - High
employee,INC0000000096,Howard Johnson,Closed,Don Goodliffe,Software,Fred Luddy,2023-03-25 14:18:00,2023-04-08 17:41:55.684292047,2023-04-08 17:41:55.684292047,Unable to install Office Suite,Software,2 - High
employee,INC0000000097,Howard Johnson,Resolved,David Loo,Inquiry / Help,Charlie Whitherspoon,2023-03-25 15:52:00,2023-03-19 09:19:22.176879990,2023-03-19 09:19:22.176879990,Inquiry about software installation process,Service Desk,3 - Moderate
admin,INC0000000098,Charlie Whitherspoon,Closed,Don Goodliffe,Hardware,Beth Anglin,2023-03-26 08:09:00,2023-04-04 17:45:00.000000000,2023-04-04 17:45:00.000000000,Printer malfunctioning,Hardware,2 - High
admin,INC0000000099,Beth Anglin,Closed,Don Goodliffe,Database,Fred Luddy,2023-03-27 09:53:00,2023-03-30 13:20:33.026860083,2023-03-30 13:20:33.026860083,SQL server not responding,Database,1 - Critical
system,INC0000000100,Fred Luddy,Closed,Bud Richman,Database,Luke Wilson,2023-03-28 13:10:00,2023-04-03 14:24:11.518868103,2023-04-03 14:24:11.518868103,Unable to access customer database,Database,2 - High
employee,INC0000000101,Beth Anglin,Closed,ITIL User,Software,Luke Wilson,2023-03-29 07:07:00,2023-04-06 02:09:56.674026332,2023-04-06 02:09:56.674026332,Error message when launching software application,Software,2 - High
admin,INC0000000102,Charlie Whitherspoon,Closed,Bud Richman,Software,Charlie Whitherspoon,2023-03-29 15:16:00,2023-04-05 03:05:27.785925132,2023-04-05 03:05:27.785925132,Problem with software installation,Software,2 - High
system,INC0000000103,Howard Johnson,Resolved,David Loo,Database,Luke Wilson,2023-03-31 03:32:00,2023-04-06 08:48:32.048183383,2023-04-06 08:48:32.048183383,Database connection error occurred,Database,2 - High
system,INC0000000104,Beth Anglin,Closed,Bud Richman,Network,Fred Luddy,2023-04-02 11:20:00,2023-04-04 22:31:25.418159768,2023-04-04 22:31:25.418159768,Cannot connect to office Wi-Fi,Network,2 - High
admin,INC0000000105,Charlie Whitherspoon,Closed,Bud Richman,Hardware,Howard Johnson,2023-04-02 18:54:00,2023-04-12 21:17:59.999999999,2023-04-12 21:17:59.999999999,Printer not functioning properly,Hardware,3 - Moderate
admin,INC0000000106,Fred Luddy,Closed,Bud Richman,Software,Charlie Whitherspoon,2023-04-03 14:41:00,2023-04-16 23:33:22.598241492,2023-04-16 23:33:22.598241492,Issue with software update,Software,3 - Moderate
system,INC0000000107,Howard Johnson,Closed,Don Goodliffe,Software,Luke Wilson,2023-04-04 17:21:00,2023-04-17 11:23:18.087765768,2023-04-17 11:23:18.087765768,Software update failed on workstation,Software,2 - High
employee,INC0000000108,Howard Johnson,Closed,Bud Richman,Database,Howard Johnson,2023-04-05 12:00:00,2023-04-17 00:33:03.764548040,2023-04-17 00:33:03.764548040,Issue with database connection,Database,2 - High
employee,INC0000000109,Luke Wilson,Resolved,Don Goodliffe,Software,Luke Wilson,2023-04-06 01:09:00,2023-04-21 06:42:25.837535305,2023-04-21 06:42:25.837535305,Issue with software installation,Software,3 - Moderate
employee,INC0000000110,Howard Johnson,Closed,Bud Richman,Network,Luke Wilson,2023-04-07 06:23:00,2023-04-16 17:41:27.929823493,2023-04-16 17:41:27.929823493,Network connectivity issues detected,Network,2 - High
admin,INC0000000111,Luke Wilson,Closed,David Loo,Software,Howard Johnson,2023-04-07 07:47:00,2023-04-22 11:18:00.908999526,2023-04-22 11:18:00.908999526,Unable to launch software application,Software,2 - High
system,INC0000000112,Fred Luddy,Resolved,David Loo,Software,Howard Johnson,2023-04-08 00:57:00,2023-04-02 11:55:30.578252885,2023-04-02 11:55:30.578252885,Unable to install new software update,Software,2 - High
system,INC0000000113,Beth Anglin,Resolved,Don Goodliffe,Network,Charlie Whitherspoon,2023-04-09 01:20:00,2023-04-16 08:22:32.616332099,2023-04-16 08:22:32.616332099,Network connection lost,Network,1 - Critical
system,INC0000000114,Luke Wilson,Resolved,Don Goodliffe,Database,Luke Wilson,2023-04-09 04:19:00,2023-04-08 03:26:48.620382447,2023-04-08 03:26:48.620382447,Unable to access the production database,Database,2 - High
system,INC0000000115,Howard Johnson,Closed,ITIL User,Software,Luke Wilson,2023-04-09 16:21:00,2023-04-17 19:08:32.212325812,2023-04-17 19:08:32.212325812,Unable to install new software update,Software,3 - Moderate
system,INC0000000116,Luke Wilson,Closed,David Loo,Inquiry / Help,Howard Johnson,2023-04-09 18:34:00,2023-04-20 18:31:06.784096969,2023-04-20 18:31:06.784096969,Need assistance with software installation,Service Desk,3 - Moderate
system,INC0000000117,Fred Luddy,Resolved,Don Goodliffe,Inquiry / Help,Charlie Whitherspoon,2023-04-10 08:56:00,2023-04-15 07:42:33.856429472,2023-04-15 07:42:33.856429472,Need assistance with software installation,Service Desk,3 - Moderate
employee,INC0000000118,Beth Anglin,Resolved,David Loo,Inquiry / Help,Luke Wilson,2023-04-10 10:21:00,2023-04-18 06:12:59.428886619,2023-04-18 06:12:59.428886619,Inquiry on how to install a new software,Service Desk,3 - Moderate
admin,INC0000000119,Howard Johnson,Closed,ITIL User,Database,Luke Wilson,2023-04-10 21:18:00,2023-04-17 01:20:40.662351815,2023-04-17 01:20:40.662351815,Unable to connect to the production database,Database,2 - High
employee,INC0000000120,Beth Anglin,Resolved,David Loo,Software,Howard Johnson,2023-04-11 22:26:00,2023-04-12 22:26:18.652985283,2023-04-12 22:26:18.652985283,Error while updating Anti-virus Software,Software,2 - High
system,INC0000000121,Fred Luddy,Closed,Don Goodliffe,Database,Howard Johnson,2023-04-12 22:42:00,2023-04-18 08:23:44.970381556,2023-04-18 08:23:44.970381556,Unable to establish database connection,Database,2 - High
admin,INC0000000122,Luke Wilson,Closed,ITIL User,Network,Charlie Whitherspoon,2023-04-13 04:48:00,2023-04-07 02:40:51.311076323,2023-04-07 02:40:51.311076323,Network outage in the east wing,Network,1 - Critical
system,INC0000000123,Luke Wilson,Resolved,David Loo,Software,Fred Luddy,2023-04-14 06:58:00,2023-04-27 19:30:06.193382637,2023-04-27 19:30:06.193382637,Unable to Update Antivirus Software,Software,2 - High
employee,INC0000000124,Luke Wilson,Resolved,ITIL User,Network,Beth Anglin,2023-04-15 13:22:00,2023-04-26 07:08:55.134173021,2023-04-26 07:08:55.134173021,Network connectivity issues in building 3,Network,2 - High
