sys_updated_on,assigned_to,caller_id,opened_at,closed_by,number,state,sys_updated_by,closed_at,short_description,assignment_group,priority,category
2023-01-08 23:39:00.000000000,Fred Luddy,David Loo,2023-01-07 23:39:00,Charlie Whitherspoon,INC0000000010,Closed,employee,2023-01-08 23:39:00.000000000,Database connection failure,Database,2 - High,Database
2023-01-12 10:25:43.815749498,Charlie Whitherspoon,Don Goodliffe,2023-01-09 14:12:00,Luke Wilson,INC0000000011,Resolved,system,2023-01-12 10:25:43.815749498,Internet connection issues in office,Network,2 - High,Network
2023-01-21 03:03:52.305885585,Beth Anglin,David Loo,2023-01-10 18:04:00,Beth Anglin,INC0000000012,Closed,system,2023-01-21 03:03:52.305885585,Cannot connect to VPN,Network,2 - High,Network
2023-01-11 21:27:00.000000000,Luke Wilson,Don Goodliffe,2023-01-10 21:27:00,Beth Anglin,INC0000000013,Closed,system,2023-01-11 21:27:00.000000000,Network connection issue in conference room,Network,2 - High,Network
2023-01-15 20:29:17.459478173,Fred Luddy,Don Goodliffe,2023-01-11 09:31:00,Beth Anglin,INC0000000014,Resolved,admin,2023-01-15 20:29:17.459478173,Cannot connect to the database server,Database,2 - High,Database
2023-01-16 17:54:06.598832992,Howard Johnson,Bud Richman,2023-01-13 00:55:00,Luke Wilson,INC0000000015,Resolved,admin,2023-01-16 17:54:06.598832992,Cannot connect to the VPN,Network,2 - High,Network
2023-01-26 05:49:58.899456828,Charlie Whitherspoon,David Loo,2023-01-14 07:58:00,Charlie Whitherspoon,INC0000000016,Resolved,system,2023-01-26 05:49:58.899456828,Email server is not responding,Network,2 - High,Network
2023-01-21 18:01:31.322078992,Luke Wilson,Don Goodliffe,2023-01-15 14:06:00,Fred Luddy,INC0000000017,Closed,system,2023-01-21 18:01:31.322078992,Cannot connect to WiFi,Network,2 - High,Network
2023-01-25 04:16:08.829330180,Beth Anglin,Bud Richman,2023-01-16 18:07:00,Fred Luddy,INC0000000018,Resolved,system,2023-01-25 04:16:08.829330180,The database is not updating,Database,2 - High,Database
2023-01-23 23:01:17.242485289,Howard Johnson,ITIL User,2023-01-17 03:17:00,Charlie Whitherspoon,INC0000000019,Resolved,employee,2023-01-23 23:01:17.242485289,Cannot access email,Service Desk,2 - High,Inquiry / Help
2023-01-28 18:09:11.857739711,Fred Luddy,ITIL User,2023-01-17 20:22:00,Luke Wilson,INC0000000020,Resolved,admin,2023-01-28 18:09:11.857739711,Email server not responding,Network,2 - High,Database
2023-01-28 14:07:07.342819187,Luke Wilson,ITIL User,2023-01-18 12:58:00,Beth Anglin,INC0000000021,Closed,admin,2023-01-28 14:07:07.342819187,Unable to access email account,Network,2 - High,Inquiry / Help
2023-02-01 01:05:50.847471560,Luke Wilson,David Loo,2023-01-20 09:29:00,Howard Johnson,INC0000000022,Closed,admin,2023-02-01 01:05:50.847471560,Login issue on company portal,Service Desk,2 - High,Software
2023-01-24 19:59:51.297838392,Luke Wilson,ITIL User,2023-01-21 01:42:00,Luke Wilson,INC0000000023,Resolved,employee,2023-01-24 19:59:51.297838392,Email client server access issue,Network,3 - Moderate,Software
2023-01-31 15:21:15.459655413,Fred Luddy,ITIL User,2023-01-21 10:16:00,Luke Wilson,INC0000000024,Resolved,employee,2023-01-31 15:21:15.459655413,Problem connecting to the office Wi-Fi,Network,2 - High,Network
2023-01-27 20:35:03.949854316,Beth Anglin,Bud Richman,2023-01-23 03:27:00,Charlie Whitherspoon,INC0000000025,Resolved,admin,2023-01-27 20:35:03.949854316,Email system running slow,Service Desk,3 - Moderate,Software
2023-02-04 11:06:27.539530170,Howard Johnson,David Loo,2023-01-26 22:14:00,Luke Wilson,INC0000000026,Resolved,admin,2023-02-04 11:06:27.539530170,Unable to connect to VPN,Network,2 - High,Network
2023-02-01 00:50:19.663526707,Luke Wilson,David Loo,2023-01-27 13:51:00,Charlie Whitherspoon,INC0000000027,Closed,admin,2023-02-01 00:50:19.663526707,Cannot connect to the Internet,Network,2 - High,Network
2023-01-29 16:11:00.000000000,Howard Johnson,David Loo,2023-01-28 16:11:00,Howard Johnson,INC0000000028,Resolved,system,2023-01-29 16:11:00.000000000,Internet connection lost in office 403,Network,1 - Critical,Network
2023-02-03 19:43:58.874315099,Fred Luddy,David Loo,2023-01-29 00:37:00,Charlie Whitherspoon,INC0000000029,Closed,admin,2023-02-03 19:43:58.874315099,Unable to access the database,Database,2 - High,Database
2023-02-07 00:13:37.607833009,Fred Luddy,David Loo,2023-01-29 11:31:00,Luke Wilson,INC0000000030,Resolved,employee,2023-02-07 00:13:37.607833009,Email service outage,Network,1 - Critical,Network
2023-02-04 23:36:13.083524748,Beth Anglin,David Loo,2023-01-30 06:48:00,Howard Johnson,INC0000000031,Resolved,system,2023-02-04 23:36:13.083524748,Unable to connect to VPN,Network,2 - High,Network
2023-02-15 05:51:59.564770791,Fred Luddy,David Loo,2023-01-30 15:41:00,Beth Anglin,INC0000000032,Resolved,admin,2023-02-15 05:51:59.564770791,Email client not syncing,Network,3 - Moderate,Software
2023-02-09 11:02:33.971926716,Charlie Whitherspoon,Don Goodliffe,2023-01-31 02:06:00,Charlie Whitherspoon,INC0000000033,Resolved,employee,2023-02-09 11:02:33.971926716,Email service not working properly,Service Desk,2 - High,Software
2023-02-11 06:04:21.558073944,Charlie Whitherspoon,David Loo,2023-01-31 05:04:00,Fred Luddy,INC0000000034,Resolved,employee,2023-02-11 06:04:21.558073944,Unable to connect to VPN,Network,1 - Critical,Network
2023-02-10 13:45:47.072996830,Charlie Whitherspoon,ITIL User,2023-02-02 03:17:00,Beth Anglin,INC0000000035,Closed,system,2023-02-10 13:45:47.072996830,Email Server Down,Network,2 - High,Network
2023-02-09 09:43:58.239024637,Charlie Whitherspoon,David Loo,2023-02-03 17:02:00,Charlie Whitherspoon,INC0000000036,Resolved,admin,2023-02-09 09:43:58.239024637,Software update failed,Software,2 - High,Software
2023-02-18 04:47:14.037463026,Luke Wilson,Bud Richman,2023-02-04 21:52:00,Luke Wilson,INC0000000037,Closed,employee,2023-02-18 04:47:14.037463026,Cannot connect to VPN,Network,2 - High,Network
2023-02-14 17:53:59.785366408,Howard Johnson,ITIL User,2023-02-05 07:15:00,Howard Johnson,INC0000000038,Closed,admin,2023-02-14 17:53:59.785366408,Unable to access the Database,Database,2 - High,Database
2023-02-08 18:21:18.923234548,Howard Johnson,ITIL User,2023-02-05 20:40:00,Fred Luddy,INC0000000039,Closed,admin,2023-02-08 18:21:18.923234548,Printing issues in the sales department,Hardware,2 - High,Hardware
2023-02-21 12:49:58.449465429,Howard Johnson,Bud Richman,2023-02-06 04:13:00,Beth Anglin,INC0000000040,Closed,employee,2023-02-21 12:49:58.449465429,Cannot access the database server,Database,2 - High,Database
2023-02-17 05:03:53.615579517,Howard Johnson,Bud Richman,2023-02-07 13:46:00,Charlie Whitherspoon,INC0000000041,Resolved,employee,2023-02-17 05:03:53.615579517,Unable to connect to the VPN,Network,2 - High,Network
2023-02-27 03:50:53.022966784,Beth Anglin,Don Goodliffe,2023-02-11 06:49:00,Beth Anglin,INC0000000042,Resolved,admin,2023-02-27 03:50:53.022966784,Network connectivity issue,Network,1 - Critical,Network
2023-02-18 06:07:08.000901566,Luke Wilson,David Loo,2023-02-12 05:02:00,Beth Anglin,INC0000000043,Resolved,employee,2023-02-18 06:07:08.000901566,Email client crashing repeatedly,Software,2 - High,Software
2023-02-14 11:01:13.398065690,Fred Luddy,Bud Richman,2023-02-12 09:52:00,Fred Luddy,INC0000000044,Resolved,admin,2023-02-14 11:01:13.398065690,Cannot access the network from my workstation,Network,2 - High,Network
2023-02-18 06:25:13.628877147,Fred Luddy,David Loo,2023-02-13 10:54:00,Beth Anglin,INC0000000045,Closed,system,2023-02-18 06:25:13.628877147,Internet connection very slow,Network,2 - High,Network
2023-02-20 03:58:04.877525108,Howard Johnson,David Loo,2023-02-13 22:13:00,Fred Luddy,INC0000000046,Resolved,system,2023-02-20 03:58:04.877525108,Unable to connect to VPN,Network,2 - High,Network
2023-02-15 06:31:00.000000000,Fred Luddy,David Loo,2023-02-14 06:31:00,Beth Anglin,INC0000000047,Resolved,system,2023-02-15 06:31:00.000000000,Email service is not working properly,Network,2 - High,Inquiry / Help
2023-02-22 09:55:37.101559569,Charlie Whitherspoon,David Loo,2023-02-14 15:41:00,Fred Luddy,INC0000000048,Resolved,admin,2023-02-22 09:55:37.101559569,Internet connection is not stable,Network,2 - High,Network
2023-02-27 07:18:04.507330043,Fred Luddy,David Loo,2023-02-15 03:37:00,Fred Luddy,INC0000000049,Resolved,system,2023-02-27 07:18:04.507330043,Internet connection issue in floor 7,Network,2 - High,Network
2023-02-25 02:31:45.050947673,Beth Anglin,ITIL User,2023-02-15 06:41:00,Luke Wilson,INC0000000050,Resolved,admin,2023-02-25 02:31:45.050947673,Email server not responding,Network,2 - High,Network
2023-02-24 05:48:34.646617197,Beth Anglin,David Loo,2023-02-15 21:54:00,Beth Anglin,INC0000000051,Resolved,employee,2023-02-24 05:48:34.646617197,Cannot connect to the server,Network,2 - High,Network
2023-02-28 21:29:38.032318608,Howard Johnson,Don Goodliffe,2023-02-18 20:12:00,Luke Wilson,INC0000000052,Closed,system,2023-02-28 21:29:38.032318608,Email server not responding,Network,2 - High,Hardware
2023-02-19 20:14:00.000000000,Luke Wilson,ITIL User,2023-02-18 20:14:00,Howard Johnson,INC0000000053,Closed,system,2023-02-19 20:14:00.000000000,Software update causing system crash,Software,2 - High,Software
2023-03-01 01:44:53.692239653,Fred Luddy,Bud Richman,2023-02-19 09:36:00,Howard Johnson,INC0000000054,Resolved,admin,2023-03-01 01:44:53.692239653,Can't connect to VPN,Network,2 - High,Network
2023-03-02 02:47:42.179354290,Beth Anglin,Bud Richman,2023-02-19 12:18:00,Howard Johnson,INC0000000055,Closed,system,2023-03-02 02:47:42.179354290,Email server down,Network,1 - Critical,Network
2023-02-25 07:56:04.907333804,Charlie Whitherspoon,ITIL User,2023-02-19 15:42:00,Charlie Whitherspoon,INC0000000056,Resolved,admin,2023-02-25 07:56:04.907333804,Email application not responding,Software,3 - Moderate,Software
2023-02-22 16:14:39.366509044,Charlie Whitherspoon,Bud Richman,2023-02-19 17:20:00,Beth Anglin,INC0000000057,Resolved,system,2023-02-22 16:14:39.366509044,Cannot connect to VPN,Network,2 - High,Network
2023-02-22 17:58:00.000000000,Beth Anglin,Bud Richman,2023-02-21 17:58:00,Luke Wilson,INC0000000058,Closed,employee,2023-02-22 17:58:00.000000000,Cannot connect to the Database,Database,2 - High,Database
2023-02-28 09:59:23.702070374,Charlie Whitherspoon,Bud Richman,2023-02-23 16:54:00,Charlie Whitherspoon,INC0000000059,Resolved,employee,2023-02-28 09:59:23.702070374,Can't login to email,Service Desk,2 - High,Software
2023-03-03 19:52:11.577495852,Beth Anglin,David Loo,2023-02-23 20:20:00,Beth Anglin,INC0000000060,Resolved,employee,2023-03-03 19:52:11.577495852,Cannot connect to company's VPN,Network,2 - High,Network
2023-02-26 21:43:51.872175166,Howard Johnson,David Loo,2023-02-24 09:04:00,Howard Johnson,INC0000000061,Resolved,employee,2023-02-26 21:43:51.872175166,Unable to connect to the VPN,Network,2 - High,Network
2023-03-06 07:04:53.764308890,Fred Luddy,David Loo,2023-02-25 11:50:00,Charlie Whitherspoon,INC0000000062,Resolved,employee,2023-03-06 07:04:53.764308890,The network is currently unstable,Network,1 - Critical,Network
2023-03-11 20:28:25.226740970,Fred Luddy,ITIL User,2023-02-26 01:42:00,Beth Anglin,INC0000000063,Closed,admin,2023-03-11 20:28:25.226740970,Unable to connect to VPN,Network,2 - High,Inquiry / Help
2023-03-05 05:13:16.950353889,Howard Johnson,David Loo,2023-02-27 09:24:00,Howard Johnson,INC0000000064,Closed,admin,2023-03-05 05:13:16.950353889,Cannot connect to office Wi-Fi,Network,2 - High,Network
2023-03-02 15:48:54.142649757,Howard Johnson,ITIL User,2023-02-28 07:00:00,Charlie Whitherspoon,INC0000000065,Closed,admin,2023-03-02 15:48:54.142649757,Email server not responding,Network,2 - High,Hardware
2023-03-02 03:34:37.877923342,Charlie Whitherspoon,Bud Richman,2023-02-28 07:18:00,Beth Anglin,INC0000000066,Closed,system,2023-03-02 03:34:37.877923342,Unable to access the database server,Database,2 - High,Database
2023-03-03 01:54:59.886647850,Charlie Whitherspoon,David Loo,2023-02-28 11:14:00,Charlie Whitherspoon,INC0000000067,Closed,admin,2023-03-03 01:54:59.886647850,WiFi connectivity issue on floor 5,Network,3 - Moderate,Network
2023-03-07 01:03:04.691545658,Charlie Whitherspoon,ITIL User,2023-02-28 13:56:00,Charlie Whitherspoon,INC0000000068,Resolved,employee,2023-03-07 01:03:04.691545658,Unable to connect to VPN,Network,2 - High,Network
2023-03-07 02:14:12.765735426,Beth Anglin,Bud Richman,2023-03-01 00:49:00,Beth Anglin,INC0000000069,Resolved,admin,2023-03-07 02:14:12.765735426,Cannot connect to network,Network,2 - High,Network
2023-03-05 13:45:00.586948222,Charlie Whitherspoon,Bud Richman,2023-03-01 03:54:00,Fred Luddy,INC0000000070,Resolved,admin,2023-03-05 13:45:00.586948222,Routine server maintenance required,Network,3 - Moderate,Hardware
2023-03-04 04:55:00.000000000,Fred Luddy,Don Goodliffe,2023-03-03 04:55:00,Charlie Whitherspoon,INC0000000071,Closed,employee,2023-03-04 04:55:00.000000000,Database server connection issue,Database,2 - High,Database
2023-03-09 20:49:22.794966538,Howard Johnson,Bud Richman,2023-03-03 05:28:00,Beth Anglin,INC0000000072,Closed,system,2023-03-09 20:49:22.794966538,Can't connect to secure network,Network,2 - High,Network
2023-03-09 18:24:18.929418317,Charlie Whitherspoon,Bud Richman,2023-03-03 15:00:00,Fred Luddy,INC0000000073,Resolved,employee,2023-03-09 18:24:18.929418317,Email client not working properly,Software,2 - High,Software
2023-03-10 09:23:09.000911609,Fred Luddy,Don Goodliffe,2023-03-04 03:59:00,Beth Anglin,INC0000000074,Resolved,admin,2023-03-10 09:23:09.000911609,Email server is down,Network,1 - Critical,Network
2023-03-06 06:03:27.142237043,Luke Wilson,Don Goodliffe,2023-03-04 06:55:00,Fred Luddy,INC0000000075,Closed,system,2023-03-06 06:03:27.142237043,Software installation issue on workstation,Software,3 - Moderate,Software
2023-03-17 04:33:01.494455471,Charlie Whitherspoon,ITIL User,2023-03-04 07:08:00,Fred Luddy,INC0000000076,Resolved,employee,2023-03-17 04:33:01.494455471,Cannot connect to the office Wi-Fi network,Network,2 - High,Network
2023-03-11 07:47:15.220217590,Charlie Whitherspoon,Don Goodliffe,2023-03-05 09:12:00,Howard Johnson,INC0000000077,Closed,admin,2023-03-11 07:47:15.220217590,Connection issue with the server,Network,2 - High,Network
2023-03-08 05:27:40.903099758,Howard Johnson,ITIL User,2023-03-06 21:13:00,Beth Anglin,INC0000000078,Resolved,system,2023-03-08 05:27:40.903099758,Cannot connect to company VPN,Network,2 - High,Network
2023-03-28 18:47:00.487021551,Charlie Whitherspoon,David Loo,2023-03-07 19:08:00,Luke Wilson,INC0000000079,Closed,admin,2023-03-28 18:47:00.487021551,Cannot connect to corporate VPN,Network,1 - Critical,Network
2023-03-21 20:25:59.305750763,Howard Johnson,ITIL User,2023-03-09 02:03:00,Fred Luddy,INC0000000080,Resolved,system,2023-03-21 20:25:59.305750763,Email system malfunction,Network,2 - High,Software
2023-03-13 22:05:49.136492103,Howard Johnson,ITIL User,2023-03-09 02:07:00,Fred Luddy,INC0000000081,Closed,system,2023-03-13 22:05:49.136492103,Database server connectivity issue,Database,2 - High,Database
2023-03-25 09:26:29.716698834,Howard Johnson,Bud Richman,2023-03-09 10:28:00,Howard Johnson,INC0000000082,Resolved,admin,2023-03-25 09:26:29.716698834,Cannot connect to the company VPN,Network,2 - High,Network
2023-03-14 16:34:37.740873697,Beth Anglin,David Loo,2023-03-09 17:34:00,Charlie Whitherspoon,INC0000000083,Resolved,system,2023-03-14 16:34:37.740873697,Software update issue in System X,Software,2 - High,Software
2023-03-19 11:01:43.786259396,Luke Wilson,ITIL User,2023-03-09 19:36:00,Howard Johnson,INC0000000084,Closed,employee,2023-03-19 11:01:43.786259396,Email service not working properly,Network,2 - High,Software
2023-03-16 17:50:30.111240216,Howard Johnson,Bud Richman,2023-03-10 19:42:00,Fred Luddy,INC0000000085,Closed,employee,2023-03-16 17:50:30.111240216,Email server outage,Network,1 - Critical,Network
2023-03-18 10:22:34.977433121,Howard Johnson,Bud Richman,2023-03-12 18:37:00,Charlie Whitherspoon,INC0000000086,Closed,employee,2023-03-18 10:22:34.977433121,Email system not responding,Network,1 - Critical,Software
2023-03-19 15:08:43.621383456,Fred Luddy,David Loo,2023-03-13 09:00:00,Luke Wilson,INC0000000087,Resolved,admin,2023-03-19 15:08:43.621383456,Unable to connect to VPN,Network,2 - High,Network
2023-03-24 21:05:16.960849389,Fred Luddy,ITIL User,2023-03-13 12:14:00,Howard Johnson,INC0000000088,Resolved,system,2023-03-24 21:05:16.960849389,Unable to access company database,Database,2 - High,Database
2023-03-22 16:46:18.761000822,Beth Anglin,ITIL User,2023-03-14 14:53:00,Howard Johnson,INC0000000089,Resolved,system,2023-03-22 16:46:18.761000822,SQL server is not responding,Database,2 - High,Database
2023-03-23 20:52:25.488355732,Howard Johnson,David Loo,2023-03-14 17:21:00,Luke Wilson,INC0000000090,Closed,employee,2023-03-23 20:52:25.488355732,Cannot access the database,Database,2 - High,Database
2023-03-18 00:37:46.574667849,Luke Wilson,ITIL User,2023-03-14 19:34:00,Charlie Whitherspoon,INC0000000091,Resolved,admin,2023-03-18 00:37:46.574667849,Unable to connect to the VPN,Network,2 - High,Network
2023-03-26 14:37:25.494361864,Fred Luddy,David Loo,2023-03-15 11:01:00,Luke Wilson,INC0000000092,Resolved,admin,2023-03-26 14:37:25.494361864,Unable to connect to VPN,Network,2 - High,Network
2023-03-17 05:24:00.000000000,Charlie Whitherspoon,Bud Richman,2023-03-16 05:24:00,Fred Luddy,INC0000000093,Closed,system,2023-03-17 05:24:00.000000000,Error encountered in database connectivity,Database,2 - High,Database
2023-03-17 10:56:00.000000000,Charlie Whitherspoon,David Loo,2023-03-16 10:56:00,Beth Anglin,INC0000000094,Closed,admin,2023-03-17 10:56:00.000000000,Cannot connect to the database,Database,2 - High,Database
2023-04-05 05:20:50.272363996,Fred Luddy,David Loo,2023-03-17 14:16:00,Beth Anglin,INC0000000095,Closed,system,2023-04-05 05:20:50.272363996,Cannot access the company database,Database,2 - High,Database
2023-04-01 18:42:43.508172423,Luke Wilson,Don Goodliffe,2023-03-19 22:27:00,Luke Wilson,INC0000000096,Resolved,system,2023-04-01 18:42:43.508172423,Can't connect to office printer,Hardware,2 - High,Hardware
2023-03-30 18:14:33.830597374,Beth Anglin,Bud Richman,2023-03-20 12:15:00,Howard Johnson,INC0000000097,Resolved,admin,2023-03-30 18:14:33.830597374,Unable to access email account,Service Desk,2 - High,Software
2023-03-27 03:42:34.502196199,Howard Johnson,ITIL User,2023-03-22 16:59:00,Luke Wilson,INC0000000098,Resolved,employee,2023-03-27 03:42:34.502196199,Email server does not respond,Network,2 - High,Hardware
2023-03-29 02:03:22.720374886,Luke Wilson,Bud Richman,2023-03-23 10:21:00,Beth Anglin,INC0000000099,Resolved,admin,2023-03-29 02:03:22.720374886,Server downtime issue,Network,1 - Critical,Hardware
2023-03-29 18:23:34.293474398,Fred Luddy,Bud Richman,2023-03-25 06:53:00,Fred Luddy,INC0000000100,Closed,system,2023-03-29 18:23:34.293474398,Internet connectivity issue on third floor,Network,2 - High,Network
2023-04-06 05:43:17.543581030,Charlie Whitherspoon,ITIL User,2023-03-25 17:04:00,Fred Luddy,INC0000000101,Closed,employee,2023-04-06 05:43:17.543581030,Email service interruption,Network,1 - Critical,Network
2023-04-08 04:29:10.278326786,Fred Luddy,ITIL User,2023-03-27 14:25:00,Fred Luddy,INC0000000102,Resolved,system,2023-04-08 04:29:10.278326786,Cannot connect to the VPN,Network,2 - High,Network
2023-03-31 08:07:00.000000000,Fred Luddy,ITIL User,2023-03-30 08:07:00,Charlie Whitherspoon,INC0000000103,Resolved,system,2023-03-31 08:07:00.000000000,Email server not responding,Network,2 - High,Network
2023-04-10 08:04:22.656730371,Beth Anglin,David Loo,2023-03-30 13:45:00,Beth Anglin,INC0000000104,Closed,employee,2023-04-10 08:04:22.656730371,VPN access not working,Network,3 - Moderate,Network
2023-04-06 04:13:17.012708870,Howard Johnson,Bud Richman,2023-03-30 17:46:00,Luke Wilson,INC0000000105,Resolved,admin,2023-04-06 04:13:17.012708870,Email server is down,Network,1 - Critical,Network
2023-04-02 09:25:00.000000000,Fred Luddy,Bud Richman,2023-04-01 09:25:00,Charlie Whitherspoon,INC0000000106,Resolved,system,2023-04-02 09:25:00.000000000,Unable to access the internal database,Database,2 - High,Database
2023-04-14 20:40:16.907127838,Charlie Whitherspoon,David Loo,2023-04-02 18:36:00,Beth Anglin,INC0000000107,Resolved,system,2023-04-14 20:40:16.907127838,Unable to connect to VPN,Network,2 - High,Network
2023-04-03 22:33:00.000000000,Fred Luddy,David Loo,2023-04-02 22:33:00,Luke Wilson,INC0000000108,Resolved,employee,2023-04-03 22:33:00.000000000,Cannot connect to corporate WiFi,Network,2 - High,Network
2023-04-06 06:12:18.707914331,Charlie Whitherspoon,David Loo,2023-04-03 20:20:00,Howard Johnson,INC0000000109,Resolved,employee,2023-04-06 06:12:18.707914331,Email system failure,Network,1 - Critical,Software
2023-04-09 21:58:32.197832114,Beth Anglin,ITIL User,2023-04-04 04:01:00,Fred Luddy,INC0000000110,Resolved,system,2023-04-09 21:58:32.197832114,Issue with CRM software,Software,2 - High,Software
2023-04-11 04:57:20.588093784,Howard Johnson,Don Goodliffe,2023-04-04 04:10:00,Charlie Whitherspoon,INC0000000111,Resolved,admin,2023-04-11 04:57:20.588093784,Email synchronization issue,Service Desk,3 - Moderate,Software
2023-04-11 13:56:13.350724720,Beth Anglin,David Loo,2023-04-05 03:55:00,Charlie Whitherspoon,INC0000000112,Closed,employee,2023-04-11 13:56:13.350724720,Database connection issue,Database,2 - High,Database
2023-04-15 12:56:27.355918108,Charlie Whitherspoon,Bud Richman,2023-04-05 17:27:00,Fred Luddy,INC0000000113,Closed,employee,2023-04-15 12:56:27.355918108,Unable to connect to VPN,Network,2 - High,Network
2023-04-25 15:00:08.310726620,Fred Luddy,David Loo,2023-04-06 12:55:00,Beth Anglin,INC0000000114,Resolved,system,2023-04-25 15:00:08.310726620,Server outage in Department B,Network,1 - Critical,Network
2023-04-12 21:38:17.372303768,Luke Wilson,David Loo,2023-04-07 22:22:00,Luke Wilson,INC0000000115,Closed,employee,2023-04-12 21:38:17.372303768,Unable to access company database,Database,2 - High,Database
2023-04-18 00:59:28.598689679,Howard Johnson,Bud Richman,2023-04-08 13:50:00,Fred Luddy,INC0000000116,Resolved,employee,2023-04-18 00:59:28.598689679,Unable to connect to the VPN,Network,1 - Critical,Network
2023-04-17 12:56:28.389122838,Fred Luddy,Don Goodliffe,2023-04-10 04:33:00,Fred Luddy,INC0000000117,Closed,system,2023-04-17 12:56:28.389122838,Email client not synchronizing,Service Desk,2 - High,Software
2023-04-22 01:04:38.658421678,Fred Luddy,Bud Richman,2023-04-10 08:22:00,Charlie Whitherspoon,INC0000000118,Resolved,admin,2023-04-22 01:04:38.658421678,Email server is not responding,Network,2 - High,Network
2023-04-19 14:51:01.962762123,Beth Anglin,David Loo,2023-04-11 22:04:00,Fred Luddy,INC0000000119,Closed,employee,2023-04-19 14:51:01.962762123,Email server is down,Network,1 - Critical,Network
2023-04-13 03:16:00.000000000,Luke Wilson,ITIL User,2023-04-12 03:16:00,Fred Luddy,INC0000000120,Closed,admin,2023-04-13 03:16:00.000000000,Email connectivity issue,Service Desk,2 - High,Network
2023-04-13 05:15:00.000000000,Fred Luddy,David Loo,2023-04-12 05:15:00,Beth Anglin,INC0000000121,Resolved,employee,2023-04-13 05:15:00.000000000,Emails not syncing properly,Service Desk,2 - High,Software
2023-04-20 18:21:21.474066126,Beth Anglin,Don Goodliffe,2023-04-12 06:53:00,Luke Wilson,INC0000000122,Resolved,employee,2023-04-20 18:21:21.474066126,Email server not responding,Network,2 - High,Hardware
2023-04-20 14:41:18.918976128,Beth Anglin,David Loo,2023-04-13 13:37:00,Howard Johnson,INC0000000123,Resolved,employee,2023-04-20 14:41:18.918976128,Web application not functioning properly,Software,2 - High,Software
2023-04-14 20:49:00.000000000,Luke Wilson,David Loo,2023-04-13 20:49:00,Howard Johnson,INC0000000124,Closed,admin,2023-04-14 20:49:00.000000000,Unable to connect to VPN,Network,2 - High,Network
2023-04-17 02:24:12.941553834,Howard Johnson,Bud Richman,2023-04-14 22:29:00,Howard Johnson,INC0000000125,Closed,employee,2023-04-17 02:24:12.941553834,Email server not responding,Network,1 - Critical,Network
2023-04-18 14:33:00.000000000,Fred Luddy,Don Goodliffe,2023-04-17 14:33:00,Howard Johnson,INC0000000126,Resolved,system,2023-04-18 14:33:00.000000000,Unable to connect to VPN,Network,3 - Moderate,Network
2023-04-21 23:42:38.878519204,Fred Luddy,ITIL User,2023-04-18 00:55:00,Beth Anglin,INC0000000127,Resolved,system,2023-04-21 23:42:38.878519204,Unable to access email server,Network,3 - Moderate,Network
2023-05-04 15:45:04.341588304,Charlie Whitherspoon,David Loo,2023-04-21 01:00:00,Fred Luddy,INC0000000128,Closed,employee,2023-05-04 15:45:04.341588304,Unable to access the corporate VPN,Network,2 - High,Network
