sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
admin,INC0000000029,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-01-27 00:31:00,2023-02-01 16:33:48.525531027,2023-02-01 16:33:48.525531027,Cannot connect to database,Database,2 - High,Database
system,INC0000000030,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-01-30 01:06:00,2023-02-08 18:15:11.813729175,2023-02-08 18:15:11.813729175,Server connectivity issue,Network,2 - High,Network
system,INC0000000031,Charlie Whitherspoon,Closed,ITIL User,Luke Wilson,2023-01-30 04:22:00,2023-02-02 10:41:29.536202184,2023-02-02 10:41:29.536202184,VPN connection issue,Network,2 - High,Network
admin,INC0000000032,Luke Wilson,Closed,Bud Richman,Fred Luddy,2023-01-30 10:09:00,2023-02-06 07:36:14.332634825,2023-02-06 07:36:14.332634825,Cannot access email server,Network,2 - High,Network
employee,INC0000000033,Beth Anglin,Closed,Don Goodliffe,Fred Luddy,2023-01-30 10:28:00,2023-02-12 02:11:46.260807336,2023-02-12 02:11:46.260807336,Failed database server update,Database,1 - Critical,Database
employee,INC0000000034,Beth Anglin,Closed,David Loo,Howard Johnson,2023-01-31 09:17:00,2023-02-01 09:17:00.000000000,2023-02-01 09:17:00.000000000,Database server is not responding,Database,1 - Critical,Database
employee,INC0000000035,Charlie Whitherspoon,Resolved,Don Goodliffe,Luke Wilson,2023-02-01 07:17:00,2023-02-14 22:33:40.858341040,2023-02-14 22:33:40.858341040,VPN connection issue,Network,2 - High,Network
employee,INC0000000036,Luke Wilson,Closed,Bud Richman,Charlie Whitherspoon,2023-02-02 10:40:00,2023-02-04 04:19:00.445236291,2023-02-04 04:19:00.445236291,Software installation needed,Service Desk,3 - Moderate,Software
system,INC0000000037,Luke Wilson,Closed,David Loo,Fred Luddy,2023-02-03 00:16:00,2023-02-04 12:56:27.986563585,2023-02-04 12:56:27.986563585,Cannot connect to VPN,Network,2 - High,Network
system,INC0000000038,Fred Luddy,Closed,ITIL User,Beth Anglin,2023-02-03 23:22:00,2023-02-11 14:44:07.632192934,2023-02-11 14:44:07.632192934,Database server connectivity issue,Database,2 - High,Database
system,INC0000000039,Luke Wilson,Resolved,David Loo,Fred Luddy,2023-02-05 13:56:00,2023-02-11 08:45:24.113265978,2023-02-11 08:45:24.113265978,Unable to connect to the Database,Database,2 - High,Database
employee,INC0000000040,Luke Wilson,Closed,ITIL User,Fred Luddy,2023-02-05 23:45:00,2023-02-17 13:10:51.184489768,2023-02-17 13:10:51.184489768,Database server connection issue,Database,2 - High,Database
system,INC0000000041,Charlie Whitherspoon,Closed,ITIL User,Fred Luddy,2023-02-06 00:02:00,2023-02-09 08:59:54.398116148,2023-02-09 08:59:54.398116148,Unable to connect to Enterprise VPN,Network,2 - High,Network
employee,INC0000000042,Fred Luddy,Closed,ITIL User,Beth Anglin,2023-02-06 11:52:00,2023-02-18 10:45:38.926060352,2023-02-18 10:45:38.926060352,Unable to access the database,Database,2 - High,Database
employee,INC0000000043,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-02-07 18:43:00,2023-02-23 23:27:01.591338968,2023-02-23 23:27:01.591338968,Email Server Connection Failure,Network,1 - Critical,Network
employee,INC0000000044,Charlie Whitherspoon,Closed,ITIL User,Fred Luddy,2023-02-07 23:25:00,2023-02-13 20:05:03.250235674,2023-02-13 20:05:03.250235674,Email Server not responding,Network,1 - Critical,Network
system,INC0000000045,Howard Johnson,Resolved,Bud Richman,Fred Luddy,2023-02-08 08:37:00,2023-03-01 12:00:36.302161404,2023-03-01 12:00:36.302161404,Failed database update,Database,2 - High,Database
employee,INC0000000046,Charlie Whitherspoon,Closed,Bud Richman,Fred Luddy,2023-02-08 19:17:00,2023-02-16 10:02:07.273532580,2023-02-16 10:02:07.273532580,Database connection issue,Database,2 - High,Database
system,INC0000000047,Howard Johnson,Closed,Don Goodliffe,Howard Johnson,2023-02-09 04:42:00,2023-02-17 11:05:20.845834284,2023-02-17 11:05:20.845834284,Network connectivity issue,Network,1 - Critical,Network
employee,INC0000000048,Fred Luddy,Closed,ITIL User,Fred Luddy,2023-02-09 04:52:00,2023-02-17 12:12:05.832596301,2023-02-17 12:12:05.832596301,Email service interruption reported,Service Desk,2 - High,Software
system,INC0000000049,Beth Anglin,Resolved,Don Goodliffe,Beth Anglin,2023-02-10 11:23:00,2023-02-16 21:33:03.495937472,2023-02-16 21:33:03.495937472,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000050,Charlie Whitherspoon,Closed,Bud Richman,Fred Luddy,2023-02-10 13:46:00,2023-02-24 20:44:54.007751276,2023-02-24 20:44:54.007751276,Email server down,Network,1 - Critical,Network
admin,INC0000000051,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-02-12 08:52:00,2023-02-13 08:52:00.000000000,2023-02-13 08:52:00.000000000,Unable to connect to the VPN,Network,2 - High,Network
employee,INC0000000052,Beth Anglin,Closed,Don Goodliffe,Fred Luddy,2023-02-12 11:57:00,2023-02-18 20:25:45.040647825,2023-02-18 20:25:45.040647825,Unable to connect to database,Database,1 - Critical,Database
system,INC0000000053,Howard Johnson,Resolved,David Loo,Fred Luddy,2023-02-12 17:19:00,2023-02-25 18:35:17.544241934,2023-02-25 18:35:17.544241934,Unable to access the internal portal,Network,2 - High,Software
admin,INC0000000054,Howard Johnson,Resolved,Don Goodliffe,Howard Johnson,2023-02-13 09:07:00,2023-02-18 04:33:44.532169149,2023-02-18 04:33:44.532169149,Email server outage,Network,1 - Critical,Network
system,INC0000000055,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-02-14 20:46:00,2023-02-17 06:22:18.520037065,2023-02-17 06:22:18.520037065,Error loading database records,Database,2 - High,Database
system,INC0000000056,Luke Wilson,Resolved,Bud Richman,Fred Luddy,2023-02-15 10:10:00,2023-02-16 23:58:59.420905547,2023-02-16 23:58:59.420905547,Issues with database connection,Database,2 - High,Database
admin,INC0000000057,Luke Wilson,Closed,ITIL User,Fred Luddy,2023-02-16 07:37:00,2023-03-01 08:43:47.333520947,2023-03-01 08:43:47.333520947,Email server not responding,Network,2 - High,Hardware
employee,INC0000000058,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-02-16 22:21:00,2023-02-28 08:38:06.803459208,2023-02-28 08:38:06.803459208,Cannot connect to VPN,Network,2 - High,Network
employee,INC0000000059,Beth Anglin,Resolved,Don Goodliffe,Fred Luddy,2023-02-17 04:26:00,2023-02-18 04:26:00.000000000,2023-02-18 04:26:00.000000000,Cannot connect to the VPN,Network,2 - High,Network
system,INC0000000060,Charlie Whitherspoon,Resolved,Don Goodliffe,Beth Anglin,2023-02-17 04:49:00,2023-02-21 21:22:01.956225575,2023-02-21 21:22:01.956225575,Unable to access office network,Network,2 - High,Network
admin,INC0000000061,Howard Johnson,Resolved,ITIL User,Fred Luddy,2023-02-17 07:04:00,2023-02-27 01:44:30.937087951,2023-02-27 01:44:30.937087951,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000062,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-02-17 22:48:00,2023-02-25 09:22:34.812432566,2023-02-25 09:22:34.812432566,User unable to login to email,Network,2 - High,Software
system,INC0000000063,Howard Johnson,Closed,Bud Richman,Fred Luddy,2023-02-18 08:06:00,2023-02-19 08:06:00.000000000,2023-02-19 08:06:00.000000000,Unable to access VPN,Network,2 - High,Network
system,INC0000000064,Luke Wilson,Resolved,David Loo,Charlie Whitherspoon,2023-02-20 03:37:00,2023-02-28 23:47:36.281378756,2023-02-28 23:47:36.281378756,Database connection issue,Database,2 - High,Database
admin,INC0000000065,Charlie Whitherspoon,Resolved,Don Goodliffe,Fred Luddy,2023-02-20 04:43:00,2023-02-21 04:43:00.000000000,2023-02-21 04:43:00.000000000,Outlook keeps crashing,Software,2 - High,Software
system,INC0000000066,Howard Johnson,Resolved,David Loo,Luke Wilson,2023-02-20 22:38:00,2023-03-07 06:56:11.657302920,2023-03-07 06:56:11.657302920,Unable to access VPN,Network,2 - High,Network
admin,INC0000000067,Luke Wilson,Resolved,Don Goodliffe,Fred Luddy,2023-02-23 18:41:00,2023-02-24 18:41:00.000000000,2023-02-24 18:41:00.000000000,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000068,Luke Wilson,Closed,David Loo,Beth Anglin,2023-02-27 21:33:00,2023-03-12 03:39:17.254523543,2023-03-12 03:39:17.254523543,Unable to connect to server,Network,2 - High,Network
admin,INC0000000069,Beth Anglin,Closed,David Loo,Fred Luddy,2023-02-28 21:48:00,2023-03-11 18:36:36.151520694,2023-03-11 18:36:36.151520694,Email server down,Network,1 - Critical,Network
system,INC0000000070,Luke Wilson,Closed,Bud Richman,Fred Luddy,2023-03-02 05:29:00,2023-03-03 07:28:28.418061208,2023-03-03 07:28:28.418061208,Unable to access email,Service Desk,2 - High,Inquiry / Help
system,INC0000000071,Howard Johnson,Closed,David Loo,Howard Johnson,2023-03-02 11:23:00,2023-03-17 20:57:00.637846198,2023-03-17 20:57:00.637846198,Email server down,Network,1 - Critical,Network
admin,INC0000000072,Luke Wilson,Closed,David Loo,Beth Anglin,2023-03-03 06:19:00,2023-03-15 02:01:18.527857326,2023-03-15 02:01:18.527857326,Critical server issue,Network,1 - Critical,Network
employee,INC0000000073,Luke Wilson,Closed,Don Goodliffe,Fred Luddy,2023-03-03 19:47:00,2023-03-04 19:47:00.000000000,2023-03-04 19:47:00.000000000,Unable to access company intranet,Network,2 - High,Network
employee,INC0000000074,Howard Johnson,Closed,ITIL User,Howard Johnson,2023-03-05 11:57:00,2023-03-22 02:03:02.720865831,2023-03-22 02:03:02.720865831,Email client crashes frequently,Software,2 - High,Software
admin,INC0000000075,Luke Wilson,Resolved,David Loo,Fred Luddy,2023-03-06 21:48:00,2023-03-15 20:07:25.379240906,2023-03-15 20:07:25.379240906,Database connectivity issue,Database,2 - High,Network
admin,INC0000000076,Howard Johnson,Closed,Bud Richman,Beth Anglin,2023-03-08 10:58:00,2023-03-11 08:21:48.728899107,2023-03-11 08:21:48.728899107,Database connection issue on server,Database,2 - High,Database
employee,INC0000000077,Charlie Whitherspoon,Closed,ITIL User,Howard Johnson,2023-03-09 01:12:00,2023-03-14 06:17:24.006099330,2023-03-14 06:17:24.006099330,Cannot connect to Office VPN,Network,1 - Critical,Network
admin,INC0000000078,Luke Wilson,Resolved,Bud Richman,Howard Johnson,2023-03-11 18:10:00,2023-03-18 03:51:06.209504900,2023-03-18 03:51:06.209504900,Unable to connect to office network,Network,2 - High,Network
employee,INC0000000079,Luke Wilson,Resolved,Don Goodliffe,Howard Johnson,2023-03-12 10:04:00,2023-03-17 21:45:23.765497154,2023-03-17 21:45:23.765497154,Unable to access database,Database,2 - High,Database
system,INC0000000080,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-03-12 15:46:00,2023-03-17 12:09:10.208350362,2023-03-17 12:09:10.208350362,Can't connect to the VPN,Network,2 - High,Network
admin,INC0000000081,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-03-12 18:48:00,2023-03-17 02:26:47.284219438,2023-03-17 02:26:47.284219438,Cannot access email server,Network,2 - High,Network
system,INC0000000082,Charlie Whitherspoon,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-03-12 23:17:00,2023-03-18 07:00:58.128312407,2023-03-18 07:00:58.128312407,Can't access email client,Service Desk,2 - High,Software
system,INC0000000083,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-03-14 18:22:00,2023-03-21 16:45:21.024564619,2023-03-21 16:45:21.024564619,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000084,Fred Luddy,Closed,David Loo,Fred Luddy,2023-03-15 08:44:00,2023-03-16 08:44:00.000000000,2023-03-16 08:44:00.000000000,Email server is not responding,Network,1 - Critical,Network
employee,INC0000000085,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-03-16 15:15:00,2023-03-18 19:51:56.372409341,2023-03-18 19:51:56.372409341,Internet connection issue in Design Department,Network,2 - High,Network
admin,INC0000000086,Howard Johnson,Closed,David Loo,Fred Luddy,2023-03-17 00:14:00,2023-03-27 17:55:18.144823676,2023-03-27 17:55:18.144823676,Email client not syncing,Service Desk,2 - High,Software
system,INC0000000087,Howard Johnson,Resolved,Bud Richman,Fred Luddy,2023-03-20 01:49:00,2023-03-23 19:36:52.832165353,2023-03-23 19:36:52.832165353,Server downtime issue,Network,1 - Critical,Network
admin,INC0000000088,Fred Luddy,Resolved,ITIL User,Beth Anglin,2023-03-21 11:14:00,2023-04-06 09:07:59.485918945,2023-04-06 09:07:59.485918945,Can't connect to the company VPN,Network,3 - Moderate,Network
system,INC0000000089,Fred Luddy,Resolved,Bud Richman,Fred Luddy,2023-03-22 08:55:00,2023-04-01 07:21:49.220418561,2023-04-01 07:21:49.220418561,Internet connection issues,Network,2 - High,Network
employee,INC0000000090,Luke Wilson,Resolved,Bud Richman,Fred Luddy,2023-03-23 14:01:00,2023-04-07 16:55:23.390235175,2023-04-07 16:55:23.390235175,Cannot login to email,Service Desk,2 - High,Software
system,INC0000000091,Charlie Whitherspoon,Resolved,David Loo,Luke Wilson,2023-03-24 13:31:00,2023-03-25 17:11:53.508761850,2023-03-25 17:11:53.508761850,Internet connection issues in the finance department,Network,2 - High,Network
admin,INC0000000092,Fred Luddy,Resolved,Don Goodliffe,Fred Luddy,2023-03-24 17:53:00,2023-03-28 23:10:49.586239869,2023-03-28 23:10:49.586239869,Email system outage,Network,1 - Critical,Network
employee,INC0000000093,Fred Luddy,Closed,Don Goodliffe,Fred Luddy,2023-03-25 05:32:00,2023-04-07 22:58:57.135829829,2023-04-07 22:58:57.135829829,Email client not syncing,Network,3 - Moderate,Software
system,INC0000000094,Fred Luddy,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-03-25 06:18:00,2023-03-29 02:15:08.085249475,2023-03-29 02:15:08.085249475,Cannot connect to VPN,Network,2 - High,Network
system,INC0000000095,Charlie Whitherspoon,Resolved,Don Goodliffe,Fred Luddy,2023-03-25 08:51:00,2023-03-31 13:56:36.150395566,2023-03-31 13:56:36.150395566,Internet connectivity issue in the office,Network,2 - High,Network
admin,INC0000000096,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-03-25 14:54:00,2023-04-02 16:54:43.442296184,2023-04-02 16:54:43.442296184,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000097,Fred Luddy,Closed,David Loo,Fred Luddy,2023-03-26 04:11:00,2023-03-27 12:58:55.847845653,2023-03-27 12:58:55.847845653,Email server not responding,Network,2 - High,Network
admin,INC0000000098,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-03-26 11:19:00,2023-04-05 03:52:40.422393974,2023-04-05 03:52:40.422393974,Email system is down in department X,Network,2 - High,Network
admin,INC0000000099,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-03-27 08:31:00,2023-04-01 00:47:11.216976097,2023-04-01 00:47:11.216976097,Unable to access VPN from home,Network,2 - High,Network
admin,INC0000000100,Fred Luddy,Closed,ITIL User,Fred Luddy,2023-03-27 08:48:00,2023-04-07 19:11:55.442020372,2023-04-07 19:11:55.442020372,Email service is not working,Service Desk,2 - High,Software
system,INC0000000101,Luke Wilson,Resolved,ITIL User,Fred Luddy,2023-03-27 13:12:00,2023-04-04 09:25:05.685820185,2023-04-04 09:25:05.685820185,Email server connectivity issue,Network,2 - High,Network
admin,INC0000000102,Charlie Whitherspoon,Closed,ITIL User,Fred Luddy,2023-03-28 01:31:00,2023-04-01 21:53:22.909147415,2023-04-01 21:53:22.909147415,Losing connection with the server intermittently,Network,2 - High,Network
system,INC0000000103,Beth Anglin,Closed,ITIL User,Fred Luddy,2023-03-28 12:29:00,2023-04-03 08:12:03.319389528,2023-04-03 08:12:03.319389528,Issue with email server connectivity,Network,2 - High,Network
system,INC0000000104,Luke Wilson,Closed,ITIL User,Fred Luddy,2023-03-28 17:39:00,2023-04-06 00:38:34.856906825,2023-04-06 00:38:34.856906825,Printer malfunction in main office,Hardware,2 - High,Hardware
employee,INC0000000105,Howard Johnson,Closed,Bud Richman,Fred Luddy,2023-03-29 10:25:00,2023-03-30 10:25:00.000000000,2023-03-30 10:25:00.000000000,VPN connectivity issues,Network,2 - High,Network
employee,INC0000000106,Charlie Whitherspoon,Resolved,David Loo,Fred Luddy,2023-03-29 12:57:00,2023-04-08 21:38:16.299077126,2023-04-08 21:38:16.299077126,Cannot access company database,Database,1 - Critical,Database
admin,INC0000000107,Charlie Whitherspoon,Resolved,David Loo,Fred Luddy,2023-03-29 23:30:00,2023-04-09 13:50:22.660925919,2023-04-09 13:50:22.660925919,Unable to access email server,Network,2 - High,Network
admin,INC0000000108,Charlie Whitherspoon,Closed,ITIL User,Charlie Whitherspoon,2023-03-30 04:45:00,2023-04-13 00:20:09.168600578,2023-04-13 00:20:09.168600578,Email server not responding,Network,2 - High,Inquiry / Help
employee,INC0000000109,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-03-30 09:24:00,2023-04-06 19:52:28.084481061,2023-04-06 19:52:28.084481061,Failed network connection,Network,2 - High,Network
system,INC0000000110,Beth Anglin,Resolved,ITIL User,Fred Luddy,2023-03-30 19:08:00,2023-04-09 09:08:02.294474349,2023-04-09 09:08:02.294474349,VPN Connection Failure,Network,2 - High,Network
admin,INC0000000111,Howard Johnson,Closed,ITIL User,Fred Luddy,2023-04-01 08:17:00,2023-04-10 04:50:37.670262605,2023-04-10 04:50:37.670262605,Email server is down,Network,1 - Critical,Network
employee,INC0000000112,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-04-02 12:48:00,2023-04-06 04:39:50.646633277,2023-04-06 04:39:50.646633277,Software update needed urgently,Software,2 - High,Software
employee,INC0000000113,Fred Luddy,Closed,Bud Richman,Luke Wilson,2023-04-02 17:12:00,2023-04-03 17:12:00.000000000,2023-04-03 17:12:00.000000000,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000114,Howard Johnson,Resolved,Don Goodliffe,Fred Luddy,2023-04-03 19:05:00,2023-04-08 22:22:29.314179465,2023-04-08 22:22:29.314179465,Email server downtime issue,Network,2 - High,Network
admin,INC0000000115,Fred Luddy,Closed,Don Goodliffe,Luke Wilson,2023-04-04 06:53:00,2023-04-05 06:53:00.000000000,2023-04-05 06:53:00.000000000,Email client is crashing,Service Desk,2 - High,Software
employee,INC0000000116,Charlie Whitherspoon,Resolved,David Loo,Fred Luddy,2023-04-06 06:44:00,2023-04-13 00:09:35.449204300,2023-04-13 00:09:35.449204300,Email server down,Network,1 - Critical,Network
system,INC0000000117,Luke Wilson,Closed,ITIL User,Fred Luddy,2023-04-06 13:15:00,2023-04-07 13:15:00.000000000,2023-04-07 13:15:00.000000000,Email client is not responding,Service Desk,2 - High,Software
employee,INC0000000118,Beth Anglin,Resolved,Don Goodliffe,Howard Johnson,2023-04-11 14:09:00,2023-04-22 06:29:45.751070846,2023-04-22 06:29:45.751070846,Unable to connect to VPN,Network,2 - High,Network
system,INC0000000119,Howard Johnson,Resolved,David Loo,Beth Anglin,2023-04-12 15:09:00,2023-04-14 23:36:15.179198128,2023-04-14 23:36:15.179198128,Trouble connecting to the VPN,Network,2 - High,Network
system,INC0000000120,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-04-12 15:28:00,2023-04-15 19:35:44.190617750,2023-04-15 19:35:44.190617750,Email service interruption,Network,2 - High,Network
employee,INC0000000121,Luke Wilson,Resolved,David Loo,Fred Luddy,2023-04-13 13:03:00,2023-04-24 07:35:32.259771425,2023-04-24 07:35:32.259771425,Email server not responding,Network,2 - High,Network
system,INC0000000122,Beth Anglin,Closed,Don Goodliffe,Fred Luddy,2023-04-14 11:56:00,2023-04-15 11:56:00.000000000,2023-04-15 11:56:00.000000000,Email server is not responding,Network,2 - High,Network
admin,INC0000000123,Luke Wilson,Closed,David Loo,Fred Luddy,2023-04-18 12:04:00,2023-04-28 03:45:03.557987253,2023-04-28 03:45:03.557987253,Internet connection issue,Network,2 - High,Network
admin,INC0000000124,Fred Luddy,Resolved,David Loo,Beth Anglin,2023-04-20 15:45:00,2023-05-03 11:36:57.051265895,2023-05-03 11:36:57.051265895,Email server outage,Network,2 - High,Network
system,INC0000000125,Luke Wilson,Closed,Don Goodliffe,Fred Luddy,2023-04-20 17:54:00,2023-04-23 03:23:05.492672020,2023-04-23 03:23:05.492672020,Unable to connect to the server,Network,2 - High,Network
admin,INC0000000126,Howard Johnson,Closed,Don Goodliffe,Fred Luddy,2023-04-21 18:39:00,2023-05-03 23:59:28.324107758,2023-05-03 23:59:28.324107758,Internet connection unstable,Network,2 - High,Network
employee,INC0000000127,Charlie Whitherspoon,Resolved,Don Goodliffe,Fred Luddy,2023-04-22 01:35:00,2023-04-28 13:44:24.160477206,2023-04-28 13:44:24.160477206,Issues with database connectivity,Database,2 - High,Database
admin,INC0000000128,Howard Johnson,Resolved,Bud Richman,Fred Luddy,2023-04-22 16:42:00,2023-05-01 08:23:29.686682397,2023-05-01 08:23:29.686682397,Email client is not responding,Software,2 - High,Software
admin,INC0000000129,Fred Luddy,Closed,ITIL User,Howard Johnson,2023-04-23 03:13:00,2023-04-25 01:18:56.333129353,2023-04-25 01:18:56.333129353,Email client application not syncing,Software,2 - High,Software
