goal_id,status,owner,department,start_date,end_date,description,priority,percent_complete,target_percentage,goal_met
adb13f9e-906a-4e45-81c2-b6ca77691874,Active,Donald Nielsen,IT,2023-10-31,2024-05-03,Enter door forward worry career.,Critical,90,87,True
500868ab-a38d-4823-8713-e418b2233f37,Active,Lindsey Lopez,IT,2024-07-10,2025-03-17,Behind side business south return.,Critical,97,74,True
81d6e557-452e-4bdd-a134-591f99398c93,Active,Nancy Lloyd,IT,2024-05-09,2024-08-20,Manager now director picture central wonder high.,Critical,97,76,True
b7d2774f-3653-4c42-a6ea-d1ca6ba52b75,Active,Matthew Dorsey,IT,2024-04-13,2024-09-29,Girl reflect voice development form national lose.,Critical,92,82,True
3c036dd3-e5bd-4b2c-8aa8-abd856c55098,Active,Marco Jimenez,IT,2024-04-20,2025-01-27,Drive keep system mention hope vote science.,Critical,74,63,True
929d3413-052b-4bfa-8d71-9fc942807176,Active,Crystal Torres,IT,2024-07-03,2024-07-03,Reflect wear not character another environment participant.,Critical,95,73,True
bb0d684f-7671-4924-8a89-8ec71d84190c,Active,Rebecca Torres,IT,2024-01-29,2024-09-12,Number just seem technology.,Critical,80,63,True
2a08bacc-2e36-4991-a2df-d09580f86082,Active,Lauren Horn,IT,2024-03-03,2024-12-18,Huge air report Mrs word employee watch.,Critical,90,66,True
1a4279cd-c60f-4de3-93eb-0692bb749c48,Active,Michael Rhodes,IT,2023-11-10,2024-10-31,Himself speak discuss wish result.,Critical,92,65,True
5d95d6b4-0260-490f-b0bc-f080aa6263c4,Active,Kelly Choi,IT,2024-10-29,2024-12-15,Current statement dark.,Critical,70,60,True
e2f54d71-3c8c-4f42-8a60-3ce8deedc14d,Active,Shawn White,IT,2024-01-22,2025-03-14,Beat force without clear.,Critical,97,62,True
f113e988-61ef-4777-aeb7-0a6969968bea,Active,Dr. Jacob Miller DDS,IT,2023-12-03,2024-09-20,Clearly might eye time.,Critical,72,62,True
f08e01ad-0532-41ad-b9a2-b4769fde4333,Active,Jeffery Hicks,IT,2024-06-25,2024-06-28,Five record feel civil.,Critical,88,71,True
f09398b4-980d-49a4-a910-4508e991a65a,Active,Mary Walsh,IT,2024-03-01,2025-01-13,Floor wide nor start citizen society.,Critical,84,66,True
92d2b779-b8ef-47cd-abc5-b893d23eb41a,Active,Kevin Mccullough,IT,2024-10-03,2025-01-18,Least international allow end.,Critical,97,89,True
c3988d4c-524e-463e-9f30-89cdc5631c54,Active,Alan Pruitt,IT,2024-02-13,2024-02-29,Foreign again avoid him role page light level.,Critical,100,80,True
9877ef0c-467c-4883-9d7f-c26162c225e4,Active,Adrian Johnson,IT,2024-05-12,2024-09-16,This eight education six.,Critical,92,88,True
e9b0d797-34bc-4940-9410-e54cc0c86fed,Active,Victoria Bryan,IT,2024-06-07,2025-04-03,South lose dream case.,Critical,77,85,False
d47dfd7f-2c2c-4949-ab43-91aa9cfc0981,Active,Jessica Wilson,IT,2023-11-13,2024-04-10,Low TV focus write finally firm street.,Critical,69,78,False
9346ece3-98cd-4fc7-8f13-052f5f3425d9,Active,Jeremiah Adkins,IT,2024-04-20,2025-01-06,Year police state concern about house stock cost.,Critical,50,71,False
b9885e94-d932-49d3-a7ac-385b622d8c6c,Active,Michael Clark,IT,2023-12-29,2024-05-17,Summer far accept newspaper bring hit fall.,Critical,21,79,False
15e2a0cd-89a0-4f50-9ee6-847b94f8d628,Active,Michelle Cook,IT,2024-07-02,2025-03-01,Early worker explain.,Critical,28,69,False
a7c51558-d341-4f80-81cb-61e449a0da4a,Active,Timothy Holmes,IT,2024-07-17,2025-03-30,Reason enter again social either detail.,Critical,5,60,False
f1381c84-6203-495b-b954-b0656981263a,Active,Christopher Wolf,IT,2024-03-20,2024-03-30,A source eye capital big performance act.,Critical,27,81,False
b50df5c2-6996-4ba9-bd86-123587a8ee0f,Active,Karen Gonzalez,IT,2024-09-27,2024-10-22,Thought structure Republican.,Critical,71,84,False
7ab4f64d-c8a2-477b-860b-c64b3ec73540,Active,Paul Collins,IT,2024-04-11,2024-11-27,Growth who fill rich certain positive tax.,Critical,11,65,False
617c0472-6a66-4b06-b0bb-f5af40f548bf,Active,Maria Martinez,IT,2024-10-04,2024-11-15,Travel arrive me until peace.,Critical,69,74,False
80c841cc-50f8-488e-9459-2e8f4b9730a4,Active,Anthony Keller,IT,2024-10-15,2024-11-21,Its image picture Mr phone article head third.,Critical,61,64,False
639e1f9a-4a7c-4c74-b528-c4733478207c,Active,Michael Lester,IT,2024-06-23,2024-09-23,Prevent statement also friend.,Critical,10,65,False
e380f26c-a05d-49db-a54e-3d21f36eed2b,Active,Bryan Snyder,IT,2024-09-21,2025-04-24,Thank until morning old same.,Critical,57,60,False
2b197431-05b6-4d89-9384-75dc3b7298e1,Active,Mrs. Susan Phelps,IT,2024-06-24,2025-02-03,Ever recently painting trip such everybody community.,Critical,19,66,False
936339e0-9057-4adf-a906-b51d7acf64e8,Active,Matthew Hernandez,IT,2024-08-19,2025-03-13,Heavy issue her let sound product alone.,Critical,74,84,False
aaafbc46-dbcf-4274-80e8-f283dcc60b49,Active,Jacqueline Pacheco DDS,IT,2024-01-17,2024-02-01,Stop guess star standard parent create party.,Critical,46,81,False
717c4bc5-5419-4cac-8fb6-2778f2525219,Active,Stacie Mcfarland,IT,2024-03-04,2025-01-21,Candidate either special main.,Critical,25,65,False
f9340791-9b6d-4b77-9c20-122ea3dd0934,Active,Christopher Harrell,IT,2024-09-06,2024-09-29,Avoid course little seat education.,Critical,67,90,False
c1df72f9-b741-47a7-858e-5b7dee2b787d,Active,Jonathan Hernandez,IT,2024-09-13,2025-03-16,Whose produce get anything long radio.,Critical,52,74,False
ae863028-6ab4-4fb8-aec4-5c1bd2e44cd1,Active,Nicholas Green,IT,2023-11-24,2023-12-13,Across world television everything growth.,Critical,41,79,False
de3a8638-bd41-4fdd-9c94-c1f259d5407e,Active,Lisa Hernandez,IT,2024-07-29,2025-01-23,Add weight civil.,Critical,35,70,False
17c517e2-9e1d-4df8-a8bb-e438437231f2,Active,Christina Allen,IT,2024-05-15,2024-07-30,Nice say pattern sister.,Critical,45,65,False
45149a01-2069-47ed-b684-c4617313f277,Active,Terri Clark,IT,2024-02-21,2025-03-19,College technology civil off push yard morning.,Critical,45,68,False
2a8482e9-508a-4a49-baf2-c64b50d285f9,Active,Stacy Choi,IT,2024-09-22,2024-12-30,Option yourself policy yeah.,Critical,42,82,False
12a33917-44fb-49a7-89d4-8d57393e9f62,Active,Teresa Stewart,IT,2024-01-07,2024-12-23,Tv hold throughout concern.,High,81,77,True
2ef0dbd0-49e4-42f9-8156-54f421e08773,Active,Victor Jones,IT,2024-08-14,2025-02-13,Field strong despite.,High,94,77,True
6bfc47e7-1c1a-4ae9-81d9-3bc231617587,Active,Jerry Braun,IT,2024-06-26,2024-08-29,Goal agreement hope theory finally kitchen if.,High,100,85,True
2225c56c-a112-43e7-aece-97a445634b90,Active,Michael Hall,IT,2024-05-08,2025-02-22,Though six within know environmental unit.,High,92,63,True
4551081a-5dbd-42ba-ad3f-a203819e06d0,Active,Luke Collins,IT,2024-05-16,2024-06-22,Yeah popular other new nor onto.,High,94,63,True
bb883c65-7765-46e8-88d4-3cc72a386311,Active,Randall Robinson,IT,2024-07-04,2024-08-07,Than thing not note trade road class.,High,94,69,True
37990df1-bded-4786-a0e7-31de0703e2c4,Active,Tiffany Williams,IT,2024-07-09,2024-07-09,Service candidate safe look sound whether chance.,High,89,88,True
dcc4bb20-8662-4346-846d-748d01ee5704,Active,Raymond Alvarez,IT,2024-04-02,2024-11-25,Rest chair shoulder firm structure.,High,98,85,True
200c0969-89fb-4165-b765-bb555b75b086,Active,Terri Salazar,IT,2023-12-05,2024-02-25,Prove happen study book.,High,98,73,True
4641f05d-fa47-4166-a428-ea368dd088d0,Active,Angela Hendricks,IT,2024-09-25,2024-10-07,Car church dream social hard.,High,93,87,True
7aba2e4b-c4a4-4967-8ca1-0b8bd9a7e10c,Active,Jill Dalton,IT,2023-12-27,2025-03-25,Next girl deal center force.,High,80,76,True
40c588c4-3066-462b-ae65-dc18cf3cfbb0,Active,Ryan Jordan,IT,2023-12-27,2024-04-16,Century bank friend service church rest television detail.,High,97,65,True
32823d9d-b14e-408e-b89c-9f8b387912f7,Active,Brett Hanson,IT,2024-04-01,2024-05-21,Decide wife along.,High,77,74,True
809a649c-48dd-497b-8f14-8427dfaeb32a,Active,Brent Hurst,IT,2024-08-09,2025-02-27,Indicate technology wide eight determine.,High,97,64,True
f4709d65-756e-4b45-96d8-a0e161d71baa,Active,Joel Lewis,IT,2024-04-08,2025-02-09,Stop system bank his while.,High,92,89,True
255a1fc4-e8f1-4695-86ef-5ff05ce4640b,Active,Luke Wright,IT,2024-06-04,2024-09-21,Tree image well himself.,High,91,88,True
4839bae3-f8ad-4190-a431-438d910f9ce8,Active,Nicole Martinez,IT,2024-01-07,2024-05-03,Form early themselves prepare.,High,96,86,True
281a0526-d8ca-4c45-82ec-41ffde881829,Active,Matthew Boone,IT,2024-02-26,2024-09-28,Box culture decision change.,High,98,86,True
642286d8-f470-4c8f-ae06-32a6f2a38b07,Active,Kristen Gross,IT,2024-04-29,2025-02-28,Laugh sound model heavy.,High,88,87,True
95932066-1b8e-4c95-afc5-e33ae7046b9e,Active,Amy Dixon,IT,2024-07-31,2024-12-08,Experience feel policy worker account.,High,77,71,True
2db0b137-eccc-4c70-b6ea-0d51e24e65f5,Active,Madison Jackson,IT,2024-04-25,2024-07-25,Worry front imagine purpose statement.,High,10,89,False
e9bd9b91-fa41-4d24-8f33-ba0fba63b8a9,Active,Stephanie Wolf,IT,2023-12-23,2024-06-21,Tell present here past deal.,High,46,64,False
ac5a6333-f136-428d-8fbd-3ca95138eef2,Active,Marcus Richardson,IT,2024-05-08,2024-05-17,Bill me including against side doctor.,High,0,90,False
a6b5300b-963a-41f1-b28b-4bdcb31e415b,Active,Howard Sullivan,IT,2023-12-22,2024-11-12,Kind performance next boy understand majority.,High,58,77,False
1a720c8a-9e98-4704-b6ff-175fdcb3d78d,Active,Mark Wilcox,IT,2023-11-09,2023-11-16,Oil those his town result expect.,High,39,90,False
7ff91c79-1600-4284-b9c4-1bac2804de72,Active,Dr. John Kane,IT,2024-10-27,2025-01-17,Oil prove field land activity.,High,38,77,False
79c861ca-ee39-4d35-a21d-a5e9f4e4b58b,Active,Karen Jackson,IT,2024-04-05,2025-03-30,Whether certainly provide whom professor.,High,4,83,False
011172ed-df44-46c4-acc5-f5a4cf0219ee,Active,Julie Giles,IT,2024-05-01,2024-12-31,Relationship southern boy defense.,High,26,72,False
21ac9f4b-2d15-45ae-9615-67a36e61122f,Active,Bradley Morales,IT,2024-10-22,2025-02-10,Treatment decade almost.,High,45,62,False
237ecb78-75e7-4907-b153-2b90d1b7fa0c,Active,Gina Parrish,IT,2024-05-13,2024-10-11,Ten although approach since.,High,23,83,False
c31e976f-0e88-450d-bbf0-cf5eedbdbd35,Active,Thomas Thompson,IT,2023-11-03,2024-12-15,Court nothing lead type forget suffer clear.,High,63,88,False
e06ff88c-fea9-4689-aacd-c689448f3792,Active,Kevin Logan,IT,2024-09-16,2025-03-18,Nature coach church nothing these within.,High,15,67,False
bed90854-6e2e-46c4-ae33-9c100f063f28,Active,Tanya Lewis,IT,2023-12-22,2024-06-14,Ok grow Congress month something discuss.,High,29,88,False
7482231a-0b4b-44aa-83db-dc269202b877,Active,Jeremy Baird,IT,2024-09-01,2025-02-13,Soldier whole tend.,High,27,89,False
efe708d3-9fc8-4bc4-a476-021ed254a797,Active,Rebecca Griffith,IT,2024-08-08,2024-08-15,Represent attorney like anything task its.,High,0,90,False
75a63d17-c371-489b-a7dd-38ba7f8963e0,Active,Travis Bruce,IT,2024-10-09,2024-11-16,Yourself everybody five order leg.,High,36,76,False
0a0154fb-8484-458c-adb9-7deb2c6809ae,Active,Kenneth Payne,IT,2024-07-02,2024-07-21,Series word out agent lay street.,High,33,63,False
e56cca37-35fa-4a40-aae5-e60cd5a05108,Active,Daniel Green,IT,2024-07-31,2024-09-08,Property well fund learn.,High,25,86,False
8bd636a0-f456-459c-832f-182a27458821,Active,Erica Williams,IT,2024-07-16,2025-02-04,Official also case sit ago reach bag answer.,Medium,45,63,False
d82e145b-44e3-41b9-9620-954f13547df4,Active,Wendy Jones,IT,2024-01-18,2024-06-10,Range weight everybody success offer anything.,Medium,47,62,False
77b3b2a7-ab46-4527-8c3a-9148389af45b,Active,Joshua Gibson,IT,2024-06-27,2024-10-26,Minute low level could.,Medium,62,65,False
d65e3698-1fc1-49ca-a8a0-c5d31cf9dc09,Active,Whitney Beck,IT,2024-09-24,2025-04-17,Board matter common themselves woman.,Medium,10,81,False
edbe04be-f967-4a78-ae4b-635ce2ca4252,Active,Meredith Martinez,IT,2023-11-07,2023-11-19,Against himself easy father staff surface.,Medium,53,81,False
818e3164-e77b-4103-b88e-31f39de0ea4f,Active,April Jenkins,IT,2024-08-24,2024-12-26,Country occur off usually chance.,Medium,26,65,False
927623c4-e696-4d05-a11f-5729609a3ae0,Active,Corey Ford,IT,2024-04-27,2024-11-07,People everyone fine.,Medium,76,80,False
03bf029d-d0dd-41d3-abe9-dd4e47fb59ae,Active,Michael Brooks,IT,2023-11-13,2023-11-18,Store start often fund.,Medium,6,63,False
1abd7987-489c-4133-856c-3db36b2cd6ba,Active,James Rosales,IT,2024-10-11,2025-04-06,Tree several product because owner.,Medium,61,65,False
843fe43b-a269-4eba-b203-80104ed476f6,Active,Chad Henderson,IT,2024-02-23,2025-02-28,Boy language quality evening traditional measure.,Medium,79,88,False
d33af17e-ff26-4aab-8264-499705f8e7b9,Active,Melissa Miller,IT,2024-09-27,2024-12-24,Attack us herself wife society.,Medium,8,73,False
4d7430ac-60a9-41ad-b1dd-7df19ae5ec74,Active,Maria Nolan,IT,2024-10-08,2025-03-23,Care leave report several person.,Medium,16,87,False
3e36217e-cfbb-4f16-ba59-e40d8639ae0b,Active,Edward Carter,IT,2024-08-28,2025-04-03,Scene put democratic be kind.,Low,88,84,True
f6dd307f-25b0-488b-b47e-f9adac52644e,Active,Emily Torres,IT,2024-07-21,2025-01-10,Once picture until simple cold generation.,Low,29,77,False
69781fdc-eeb7-4c77-84e7-48ed3cb8bcbc,Active,Joseph Collins,IT,2024-01-07,2024-08-15,Ready process suddenly long.,Low,65,68,False
ce19cb61-c9d2-478e-817a-bf00a03e4618,Active,James Jones,IT,2024-09-04,2024-12-28,Rich team everybody recent natural similar.,Low,26,69,False
38f02aea-209d-4c37-9730-e0d6443d83b1,Active,Ashley Ford,IT,2024-06-24,2024-11-10,Forget them senior outside.,Low,33,73,False
ab07f6a6-0964-4bda-a147-c02c4743b8cb,Active,Valerie Johnson,IT,2024-04-26,2024-10-07,Parent support teacher few check people plant.,Low,60,72,False
5e3e0756-97ab-4daa-8c6f-b32b16604f25,Active,Brittany Burton,IT,2024-05-17,2024-11-02,Dog serious compare reality our simply director.,Low,2,79,False
0bbf304c-0e95-4d6d-b8e1-46c8ecf2b1d2,Active,Sarah Nguyen,IT,2024-04-01,2024-08-08,The life mean hope follow.,Low,66,80,False
6a1570b2-4867-4fc5-afc9-e80ddba5e66b,Active,Debbie Rivera,IT,2024-02-23,2025-04-22,Message else student stay fall risk family.,Low,30,83,False
5816a96f-c097-4c7f-9bc6-d8a134e060d8,Active,Lisa Jones,IT,2023-12-26,2024-07-15,Whole coach current fish task foot point.,Low,40,61,False
254095a0-df5b-4600-87c3-38f4e296c5d8,Active,Jessica Tyler,IT,2024-10-02,2025-01-20,Common fill activity.,Low,20,64,False
7714d4c6-15c7-4a55-b755-59825c836ed9,Active,Michael Aguirre,IT,2024-06-29,2024-09-28,Full show business health six.,Low,71,88,False
c36b1e3b-d723-4f20-ab79-85298f3bf6e6,Active,Barry Webb,Finance,2024-03-20,2025-02-18,Military care financial player thus scientist.,Critical,93,84,True
a554ffd0-85e3-4092-97f2-bfca73b21766,Active,Daniel May,Finance,2024-09-02,2025-03-30,Someone when around truth draw always.,Critical,83,78,True
9592015b-1045-4447-a5c7-7c44bc48b3c8,Active,Howard Guerrero,Finance,2024-03-24,2024-04-23,Operation rich mind.,Critical,89,73,True
d9b64df8-b964-45e3-9b1e-44ee5c2f2d77,Active,Erica Garcia,Finance,2024-02-16,2024-09-28,Them main another various several tonight next.,Critical,85,75,True
0e173cfb-4422-44e3-b5af-880671d93218,Active,John Byrd,Finance,2024-05-27,2025-03-01,Crime no water stuff bed movement.,Critical,83,77,True
5b702b2c-6e60-4be7-9707-ea1bfa60b1be,Active,Tina Nash,Finance,2024-04-14,2024-12-20,Campaign together little religious magazine thus there.,Critical,86,86,True
9a94696f-335d-4cf4-9a32-a6d879356ba2,Active,Eduardo Weber,Finance,2023-11-05,2024-08-28,Money throw land traditional available hope.,Critical,0,65,False
ef4f9296-ec41-4913-bcc3-5838cbfbc11e,Active,Stephanie Pennington,Finance,2023-12-26,2024-08-02,Whether something election artist Mr mouth.,Critical,54,60,False
f1023e39-be17-44de-a5bf-4930d778fefd,Active,Shannon Jones,Finance,2024-06-02,2024-06-30,That my community source entire.,Critical,77,90,False
68bedc44-cf1d-48e4-bc1b-9a3d8d720442,Active,Timothy Thomas,Finance,2024-01-18,2025-02-10,Before stage world training.,Critical,18,73,False
128be440-53c1-455b-bb3a-75b59b31b2c6,Active,Kimberly Rios,Finance,2024-09-02,2024-09-13,Huge four fall claim majority whatever.,Critical,66,70,False
b6ef243e-c051-4334-9bcd-f9c6350f6e66,Active,Sara Bullock,Finance,2024-06-18,2024-12-02,Pass himself have four might interest.,Critical,16,63,False
cc1b74e9-1b60-4629-ab7e-742237989d1a,Active,Thomas Reeves,Finance,2024-07-15,2024-07-18,Great authority last effect decade item.,Critical,10,63,False
14176077-faa3-4cb7-b3b2-647749b810da,Active,Tina Dean,Finance,2024-08-20,2025-02-22,Choose move book sort.,Critical,7,81,False
e9e1b002-6cdf-4276-b2ff-281ebedebdf3,Active,Kenneth Sanchez,Finance,2024-03-31,2024-07-27,Continue plan enter sense professional stock.,Critical,41,60,False
6636940a-d1ae-4bfd-8ef4-70476e629a48,Active,Robert Walker,Finance,2024-05-13,2024-06-16,Step about education shake suddenly more choose.,Critical,80,85,False
da062884-804e-4f84-b3ac-bc6f51582db6,Active,Ryan Scott,Finance,2024-07-27,2024-10-08,Management later score study.,Critical,11,88,False
93d38795-8f99-48e2-9844-708794d06fe8,Active,Tiffany Jackson,Finance,2024-07-29,2025-03-17,Product miss four major attention window.,Critical,37,89,False
a4ab997b-dde1-4100-b68b-d87f5e0d2491,Active,Jennifer Monroe,Finance,2024-05-01,2024-09-13,Assume expect realize.,Critical,44,61,False
928ef55d-f316-4d4c-8e24-04ad87adf58d,Active,Jessica Adams,Finance,2024-03-23,2024-11-29,Guy upon explain candidate.,Critical,75,77,False
e674382d-c256-4013-aadc-02f5db8d6061,Active,Sarah Miller,Finance,2024-07-05,2024-09-12,However these there full apply receive.,Critical,72,81,False
849be502-2c03-4662-b6fe-cdc14906f9d1,Active,Stephen Ross,Finance,2024-04-03,2024-04-11,Letter thousand indicate current structure.,Critical,32,60,False
6930893f-a1db-42a1-a8bf-7b37f5b3e7a6,Active,Jamie Berry,Finance,2024-07-16,2025-04-14,Past scientist word certain member police.,Critical,35,78,False
9dff120a-3dc9-4f20-9fe9-1deb67dc7e8d,Active,Christopher Jones,Finance,2024-09-18,2024-11-14,Talk while involve daughter.,Critical,22,79,False
b870e634-3987-4eba-adfd-d2044ca34a55,Active,Gregory Wilcox,Finance,2024-04-18,2024-12-15,Very tonight kitchen return enough small car.,Critical,4,68,False
2101aaa4-9c2a-4248-a640-b452b40e8b00,Active,Natalie Caldwell MD,Finance,2024-07-27,2025-02-24,Full the store record.,Critical,59,80,False
c928956e-379d-4a72-b607-34cf657e79c0,Active,Kayla Robles,Finance,2024-06-29,2024-10-05,Future list able executive court model card.,Critical,16,67,False
0363a5e7-c56b-4d92-9bd8-5b373a773641,Active,Yesenia Rhodes,Finance,2024-09-16,2025-03-12,Conference room audience.,Critical,44,85,False
5f23659b-94a3-4475-9fa1-efd4342b6194,Active,Anthony White,Finance,2023-10-31,2025-03-16,Picture call through step short.,Critical,58,62,False
525b96de-21f0-40e2-af3e-500b08eb5a5a,Active,James Pearson,Finance,2023-10-31,2024-06-08,Bed garden people card middle history century.,Critical,77,87,False
c0d9690a-1bbc-4d98-97ba-398d1ffbd120,Active,Michael Huff,Finance,2024-10-02,2025-01-12,Important service off ahead oil check question personal.,Critical,64,79,False
e9047fe8-bef7-41db-8b2c-d7668dd59300,Active,Allen Wheeler,Finance,2024-08-06,2024-09-10,Window old would.,High,90,60,True
8fecc1b3-dab0-48e5-bfc2-8db0085e2c20,Active,Travis Perry,Finance,2024-05-07,2024-11-20,And health remember big.,High,94,90,True
4aeea642-241b-4a40-a0a7-8132f5f86716,Active,Tara Ramirez,Finance,2024-08-21,2025-03-15,System artist popular morning.,High,98,61,True
40e1f8c0-d242-4b3a-a61e-89994e1227ec,Active,Terry Ross,Finance,2024-09-04,2024-12-01,Any personal tonight check political take.,High,90,90,True
6eecf941-8f04-47a5-89a2-d0879597e5c5,Active,David Tate,Finance,2024-06-25,2025-04-08,Realize local weight my.,High,86,62,True
e9678335-ddf6-4697-aa64-ae127c3065b5,Active,Steve Huffman,Finance,2024-02-05,2024-06-04,Probably brother capital possible civil.,High,60,84,False
f0156946-5dce-49a7-bc96-421cd7128dec,Active,Steven Patton,Finance,2024-02-01,2024-09-14,Maybe him night including language.,High,77,78,False
b1cc4ca1-0b8a-46c8-af18-bd81a9107354,Active,James Stewart,Finance,2024-07-13,2024-10-23,Treat year nearly common project three.,High,66,86,False
39155a65-8967-41a6-92e9-7ff3cddc425e,Active,Justin Le,Finance,2024-09-07,2025-02-23,Yeah benefit stock choice herself.,High,12,70,False
12a83577-74df-495a-a9ad-5399ddfb6cc1,Active,Matthew Edwards,Finance,2024-03-20,2024-09-02,I drop air carry.,High,44,63,False
77417415-e30c-4f9d-8498-95900388079d,Active,Angel Green,Finance,2024-09-27,2024-12-16,At drug institution behavior mind.,High,44,61,False
eb93ee10-bf82-4bfe-a77f-7ca51c17ee72,Active,Shelby Smith,Finance,2024-08-25,2025-04-18,Never special hot writer staff.,High,40,87,False
e3d8c59e-36cd-423b-bdaf-a46f8684d174,Active,Kelly Figueroa,Finance,2023-11-10,2024-03-18,Mean spend so.,High,19,75,False
7b9e4b33-a260-45fd-b63d-f1d94965d346,Active,Monica Fisher,Finance,2024-06-29,2025-01-22,Or beyond hot worker force.,High,44,88,False
1fe1071b-91f5-40eb-9ad1-b08353998e03,Active,Teresa Jenkins,Finance,2024-02-11,2024-02-25,Sound candidate laugh us animal.,High,15,62,False
e4a582a3-0ad6-4a41-84e4-2ddd42e0e81d,Active,Dominique Bowers,Finance,2024-06-26,2025-04-09,Happen among stop employee own activity.,High,36,70,False
9c6eb80c-a89f-4e2f-9093-e4ca065df44c,Active,Stephen Stanley,Finance,2023-11-20,2024-05-27,Just road television race become treat drug.,High,29,72,False
3e279b84-ed35-443a-b56d-fc9175f1eff2,Active,Lauren May,Finance,2024-07-31,2024-08-05,Debate election account use.,High,52,69,False
7478a09d-4dd9-439c-9343-150f82b10513,Active,John Harrison,Finance,2024-10-08,2025-04-15,Pattern lot life window kind scientist small.,High,41,65,False
bd22972c-7afe-4864-9163-d0baa0e11e77,Active,Amanda Moore,Finance,2024-10-22,2024-11-01,Mother future still assume.,High,14,78,False
8b7a2bad-040d-4736-be93-78aa00d0fec5,Active,Jesse Peterson,Finance,2023-11-07,2025-02-25,Argue significant take author.,High,49,88,False
0b482eac-204b-4a15-af46-7c340f290161,Active,Alexandra Clark,Finance,2024-02-02,2024-11-02,Want part establish history customer compare sound.,High,6,70,False
b5445528-d1a6-451a-ab12-1445d7a4268c,Active,Sara Green,Finance,2023-11-10,2024-11-24,Think tonight cold bring west onto computer of.,High,58,76,False
72209f29-fd2e-477d-9157-501793c86494,Active,Paul Davis,Finance,2024-08-24,2024-10-27,Guy security onto eight season more.,High,59,86,False
9cc219de-0e5b-42f8-b790-0b6914acb47a,Active,Dakota Cordova,Finance,2024-09-10,2024-09-13,Huge strategy such success born record.,High,65,70,False
b925b3fb-a818-4991-8907-54fac746e2eb,Active,Sarah Rosales,Finance,2024-09-19,2024-11-06,Happen thousand public form.,High,0,66,False
