category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,user_satisfaction_score,rca_category,users_affected,estimated_cost,resolution_method
Inquiry / Help,Resolved,2023-12-07 16:11:16.045197690,2023-01-17 17:47:00,Beth Anglin,INC0000000091,system,Australia,Luke Wilson,David Loo,2023-09-18 08:09:07.717459166,There was an issue,3 - Moderate,Inquiry / Help,2,Hardware Failure,854,53364.56335472787,Restart Service
Hardware,Closed,2023-03-14 06:30:47.245274154,2023-01-18 23:27:00,Charlie Whitherspoon,INC0000000495,admin,Canada,Luke Wilson,ITIL User,2023-08-23 19:40:27.266944172,There was an issue,3 - Moderate,Hardware,5,Third-party Service Issue,125,2131.9470973799243,Apply Patch
Database,Closed,2024-01-21 13:40:00.000000000,2023-01-19 05:28:00,Charlie Whitherspoon,INC0000000167,admin,United States,Charlie Whitherspoon,Don Goodliffe,2023-10-02 20:53:30.682718416,There was an issue,3 - Moderate,Database,2,Configuration Error,902,48789.281278672635,Hardware Replacement
Inquiry / Help,Closed,2023-05-05 00:21:12.204265630,2023-01-19 17:29:00,Fred Luddy,INC0000000373,system,Canada,Fred Luddy,Don Goodliffe,2023-01-05 17:54:36.886511927,There was an issue,4 - Low,Inquiry / Help,4,Hardware Failure,666,33763.347307509925,Software Update
Network,Closed,2023-08-09 03:19:49.048508681,2023-01-20 05:48:00,Charlie Whitherspoon,INC0000000084,admin,Canada,Fred Luddy,Bud Richman,2023-09-18 19:43:08.637023310,There was an issue,1 - Critical,Network,1,User Error,607,30666.043622218975,Restart Service
Database,Resolved,2023-01-18 08:42:15.759148193,2023-01-21 12:13:00,Beth Anglin,INC0000000341,employee,United States,Howard Johnson,Don Goodliffe,2023-10-09 10:00:05.170032833,There was an issue,4 - Low,Database,3,User Error,243,14364.96893642409,Restart Service
Network,Closed,2023-01-09 08:53:00.000000000,2023-01-22 03:34:00,Luke Wilson,INC0000000366,employee,Canada,Luke Wilson,Don Goodliffe,2023-08-09 03:19:49.048508681,There was an issue,2 - High,Network,5,Network Problem,353,11577.754196409565,Hardware Replacement
Database,Resolved,2023-11-06 00:05:08.518186417,2023-01-23 23:18:00,Howard Johnson,INC0000000492,admin,Canada,Howard Johnson,ITIL User,2023-10-24 10:20:11.744461099,There was an issue,2 - High,Database,5,User Error,259,5166.147253474715,Configuration Change
Hardware,Resolved,2023-10-30 18:57:00.000000000,2023-01-24 15:02:00,Luke Wilson,INC0000000187,admin,Australia,Luke Wilson,Don Goodliffe,2024-02-07 23:14:21.894263712,There was an issue,1 - Critical,Hardware,3,Third-party Service Issue,217,5273.626587383478,Apply Patch
Hardware,Closed,2023-01-28 01:28:09.743197803,2023-01-25 02:38:00,Howard Johnson,INC0000000343,admin,UK,Luke Wilson,David Loo,2023-01-08 15:20:00.000000000,There was an issue,3 - Moderate,Hardware,4,Software Bug,29,1356.9027809776985,Restart Service
Inquiry / Help,Resolved,2023-10-29 06:16:49.729720000,2023-01-25 20:52:00,Fred Luddy,INC0000000474,admin,UK,Charlie Whitherspoon,Bud Richman,2023-08-02 12:16:09.558065832,There was an issue,2 - High,Inquiry / Help,1,Software Bug,570,14003.275088513183,Restart Service
Database,Closed,2023-07-06 12:23:47.840976362,2023-01-27 02:22:00,Charlie Whitherspoon,INC0000000107,system,India,Beth Anglin,ITIL User,2023-03-18 09:32:55.751173465,There was an issue,3 - Moderate,Database,4,Network Problem,706,66728.51798231612,Apply Patch
Database,Resolved,2023-08-14 09:36:00.295254938,2023-01-27 03:28:00,Fred Luddy,INC0000000483,employee,India,Charlie Whitherspoon,ITIL User,2023-01-21 03:18:58.590910419,There was an issue,4 - Low,Database,3,Configuration Error,588,28007.921798799714,Apply Patch
Database,Closed,2023-09-22 07:03:43.180128742,2023-01-27 07:48:00,Fred Luddy,INC0000000119,employee,UK,Charlie Whitherspoon,ITIL User,2023-12-09 22:53:40.047263709,There was an issue,4 - Low,Database,1,Hardware Failure,648,41768.84521707846,Configuration Change
Inquiry / Help,Closed,2023-11-14 14:50:37.041296707,2023-01-27 16:44:00,Luke Wilson,INC0000000325,system,Canada,Luke Wilson,ITIL User,2024-01-04 00:08:18.653166818,There was an issue,3 - Moderate,Inquiry / Help,3,Network Problem,846,13412.533262259623,Hardware Replacement
Software,Resolved,2023-01-18 10:47:18.859313409,2023-01-30 17:07:00,Charlie Whitherspoon,INC0000000371,employee,India,Howard Johnson,David Loo,2023-01-25 07:44:05.814552632,There was an issue,1 - Critical,Software,2,Hardware Failure,177,11966.941802906387,Hardware Replacement
Inquiry / Help,Resolved,2023-08-10 06:30:11.927271898,2023-01-31 00:30:00,Luke Wilson,INC0000000033,admin,United States,Luke Wilson,David Loo,2023-11-08 06:15:25.825398065,There was an issue,1 - Critical,Inquiry / Help,1,Network Problem,689,26376.512935208608,Configuration Change
Software,Closed,2023-04-17 20:17:35.569877984,2023-02-01 19:46:00,Luke Wilson,INC0000000196,admin,Canada,Howard Johnson,Bud Richman,2023-08-07 09:44:00.000000000,There was an issue,2 - High,Software,3,User Error,297,21648.357243161678,Restart Service
Database,Resolved,2023-01-25 07:44:05.814552632,2023-02-02 08:10:00,Luke Wilson,INC0000000014,admin,India,Luke Wilson,David Loo,2023-07-06 12:23:47.840976362,There was an issue,4 - Low,Database,5,Third-party Service Issue,79,941.5974378894623,Restart Service
Hardware,Resolved,2023-11-27 12:48:59.344411018,2023-02-03 02:01:00,Charlie Whitherspoon,INC0000000066,system,UK,Charlie Whitherspoon,Don Goodliffe,2023-04-05 05:58:43.770711476,There was an issue,1 - Critical,Hardware,1,Network Problem,115,6486.489384655156,Hardware Replacement
Database,Resolved,2023-08-12 18:27:47.789421821,2023-02-05 10:25:00,Fred Luddy,INC0000000473,admin,India,Luke Wilson,Don Goodliffe,2023-10-21 17:05:49.162145411,There was an issue,3 - Moderate,Database,5,Third-party Service Issue,875,65543.82210198937,Apply Patch
Software,Resolved,2024-01-25 11:01:00.578026325,2023-02-05 15:05:00,Howard Johnson,INC0000000161,admin,Australia,Luke Wilson,Don Goodliffe,2023-04-19 16:48:00.000000000,There was an issue,3 - Moderate,Software,3,Network Problem,729,15278.568668966349,Software Update
Hardware,Resolved,2023-12-06 06:18:20.231641812,2023-02-07 15:38:00,Fred Luddy,INC0000000086,admin,United States,Howard Johnson,David Loo,2023-03-17 12:55:54.993590364,There was an issue,4 - Low,Hardware,5,Network Problem,479,45207.811516526264,Software Update
Network,Resolved,2023-11-09 09:27:41.299495824,2023-02-08 05:33:00,Howard Johnson,INC0000000299,employee,United States,Howard Johnson,Bud Richman,2023-09-16 03:46:06.609216047,There was an issue,2 - High,Network,5,User Error,373,24388.843627734816,User Training
Database,Closed,2024-01-21 14:31:46.018925216,2023-02-08 14:07:00,Luke Wilson,INC0000000212,admin,United States,Fred Luddy,ITIL User,2023-02-25 14:32:02.076278529,There was an issue,3 - Moderate,Database,3,Hardware Failure,201,2501.3363985201513,Restart Service
Software,Resolved,2023-03-26 23:30:22.193990107,2023-02-11 04:10:00,Luke Wilson,INC0000000003,system,Australia,Howard Johnson,David Loo,2023-01-30 01:44:17.443653956,There was an issue,2 - High,Software,2,Configuration Error,723,7405.996144285603,Restart Service
Software,Closed,2023-09-26 20:40:00.000000000,2023-02-12 00:56:00,Luke Wilson,INC0000000195,employee,United States,Charlie Whitherspoon,David Loo,2024-02-03 17:41:53.299049427,There was an issue,4 - Low,Software,4,Hardware Failure,666,65223.32143161274,Configuration Change
Software,Resolved,2023-10-05 14:59:20.783399866,2023-02-12 09:00:00,Luke Wilson,INC0000000069,employee,UK,Charlie Whitherspoon,Bud Richman,2023-05-10 22:35:58.881919516,There was an issue,3 - Moderate,Software,5,Hardware Failure,192,2913.7458980011324,User Training
Hardware,Closed,2023-09-16 03:46:06.609216047,2023-02-12 10:41:00,Charlie Whitherspoon,INC0000000400,admin,Canada,Luke Wilson,David Loo,2024-01-22 06:01:00.000000000,There was an issue,3 - Moderate,Hardware,1,Third-party Service Issue,37,1330.7982485570558,User Training
Hardware,Resolved,2023-07-22 05:03:13.822074451,2023-02-14 16:34:00,Luke Wilson,INC0000000001,admin,Canada,Beth Anglin,ITIL User,2023-06-07 15:04:30.359478777,There was an issue,2 - High,Hardware,5,Configuration Error,932,10905.283377949323,Apply Patch
Network,Closed,2024-01-24 20:11:01.690566157,2023-02-15 01:47:00,Charlie Whitherspoon,INC0000000035,employee,Canada,Luke Wilson,David Loo,2023-12-07 16:11:16.045197690,There was an issue,2 - High,Network,4,User Error,608,17024.98286694035,User Training
Hardware,Resolved,2023-03-22 15:24:16.646216503,2023-02-16 10:34:00,Howard Johnson,INC0000000217,system,UK,Beth Anglin,Don Goodliffe,2023-07-27 12:30:15.368139102,There was an issue,4 - Low,Hardware,5,User Error,627,22821.037503611362,Apply Patch
Software,Closed,2023-11-29 21:52:24.416389196,2023-02-16 17:07:00,Fred Luddy,INC0000000242,system,Australia,Howard Johnson,David Loo,2023-10-11 12:19:52.993926660,There was an issue,4 - Low,Software,2,Network Problem,206,16760.435058694722,Software Update
Software,Resolved,2023-06-03 13:13:53.896117331,2023-02-16 18:29:00,Beth Anglin,INC0000000381,admin,United States,Charlie Whitherspoon,Bud Richman,2023-08-17 17:26:24.730681330,There was an issue,1 - Critical,Software,2,Configuration Error,811,56135.13292620126,User Training
Hardware,Resolved,2024-01-23 07:05:32.181816124,2023-02-16 19:04:00,Beth Anglin,INC0000000192,admin,United States,Charlie Whitherspoon,Bud Richman,2023-08-08 02:22:19.738512734,There was an issue,1 - Critical,Hardware,3,Configuration Error,389,25148.844469874646,Apply Patch
Inquiry / Help,Resolved,2023-04-16 00:36:30.146701781,2023-02-18 01:46:00,Charlie Whitherspoon,INC0000000063,admin,Australia,Fred Luddy,Bud Richman,2023-07-11 23:34:29.390060680,There was an issue,3 - Moderate,Inquiry / Help,5,Third-party Service Issue,954,83185.94192270191,Software Update
Database,Resolved,2023-09-13 00:09:56.020598186,2023-02-18 16:04:00,Howard Johnson,INC0000000311,employee,Australia,Luke Wilson,David Loo,2023-11-07 04:08:46.640926620,There was an issue,4 - Low,Database,2,Software Bug,882,11782.930774293422,Software Update
Database,Closed,2023-01-08 15:20:00.000000000,2023-02-22 12:21:00,Howard Johnson,INC0000000129,admin,India,Charlie Whitherspoon,ITIL User,2023-04-13 12:13:00.000000000,There was an issue,4 - Low,Database,4,User Error,651,49441.02258892794,Configuration Change
Software,Closed,2024-02-12 22:31:48.126196708,2023-02-22 13:49:00,Charlie Whitherspoon,INC0000000039,system,UK,Howard Johnson,Don Goodliffe,2023-11-20 14:15:29.239228781,There was an issue,1 - Critical,Software,5,Third-party Service Issue,758,29174.00889970467,User Training
Software,Resolved,2023-11-04 10:27:01.152081419,2023-02-22 19:23:00,Beth Anglin,INC0000000470,system,UK,Luke Wilson,Bud Richman,2023-10-25 19:50:20.337280678,There was an issue,4 - Low,Software,5,Hardware Failure,48,3856.7652672026807,Software Update
Hardware,Resolved,2023-02-18 11:04:04.387140839,2023-02-23 02:37:00,Beth Anglin,INC0000000377,system,UK,Beth Anglin,David Loo,2023-12-19 02:53:45.256687900,There was an issue,1 - Critical,Hardware,1,Configuration Error,811,17667.126717663134,Restart Service
Software,Closed,2024-01-14 19:07:03.245823840,2023-02-23 05:40:00,Luke Wilson,INC0000000041,system,United States,Luke Wilson,Don Goodliffe,2023-06-06 08:20:00.000000000,There was an issue,4 - Low,Software,3,User Error,701,39426.10423242687,Restart Service
Database,Resolved,2023-11-19 13:31:44.558204717,2023-02-25 17:52:00,Fred Luddy,INC0000000022,admin,India,Luke Wilson,Don Goodliffe,2023-01-26 02:18:22.920898595,There was an issue,1 - Critical,Database,4,Network Problem,527,47189.39988080691,User Training
Software,Resolved,2023-02-18 18:49:23.647006730,2023-02-25 19:47:00,Fred Luddy,INC0000000162,system,UK,Beth Anglin,Bud Richman,2023-10-12 20:28:38.706928972,There was an issue,4 - Low,Software,3,Software Bug,270,10885.70136326161,User Training
Database,Closed,2023-10-03 08:14:22.675801438,2023-02-25 21:22:00,Beth Anglin,INC0000000423,system,India,Howard Johnson,Bud Richman,2023-07-06 13:13:24.843387226,There was an issue,3 - Moderate,Database,3,Third-party Service Issue,463,34606.58679905609,Hardware Replacement
Network,Resolved,2023-03-02 18:17:24.556975522,2023-02-27 16:37:00,Charlie Whitherspoon,INC0000000043,system,India,Howard Johnson,David Loo,2023-02-13 09:00:00.000000000,There was an issue,2 - High,Network,1,Configuration Error,127,11341.001228409625,Hardware Replacement
Network,Resolved,2023-11-06 18:24:09.637921817,2023-02-27 21:40:00,Beth Anglin,INC0000000048,system,Australia,Beth Anglin,ITIL User,2023-09-26 20:40:00.000000000,There was an issue,1 - Critical,Network,1,Network Problem,927,41323.70180928371,User Training
Software,Resolved,2023-05-24 17:45:04.375124775,2023-02-28 17:42:00,Fred Luddy,INC0000000194,system,Canada,Beth Anglin,David Loo,2023-03-31 22:32:42.024027147,There was an issue,4 - Low,Software,3,Third-party Service Issue,10,230.1195461543193,Restart Service
Database,Resolved,2023-02-19 11:12:41.587556967,2023-03-02 01:29:00,Beth Anglin,INC0000000323,admin,India,Charlie Whitherspoon,ITIL User,2024-02-07 21:56:58.515415708,There was an issue,2 - High,Database,3,Configuration Error,204,10705.723521795144,Apply Patch
Network,Resolved,2023-06-25 09:59:55.161658018,2023-03-02 10:56:00,Charlie Whitherspoon,INC0000000433,system,Australia,Charlie Whitherspoon,ITIL User,2023-08-25 09:49:36.214757254,There was an issue,4 - Low,Network,3,Software Bug,590,6345.622576476663,Configuration Change
Inquiry / Help,Resolved,2023-11-25 13:45:38.979607981,2023-03-04 03:00:00,Fred Luddy,INC0000000427,system,Australia,Howard Johnson,ITIL User,2023-05-10 03:20:31.007719853,There was an issue,2 - High,Inquiry / Help,1,Configuration Error,518,28419.3610819435,User Training
Network,Resolved,2023-11-01 13:29:20.811811166,2023-03-07 06:18:00,Luke Wilson,INC0000000482,admin,India,Charlie Whitherspoon,David Loo,2023-06-09 23:10:07.618999909,There was an issue,4 - Low,Network,2,Network Problem,671,11514.114827207928,Configuration Change
Inquiry / Help,Closed,2023-07-06 13:08:33.074641515,2023-03-08 16:23:00,Luke Wilson,INC0000000476,system,United States,Howard Johnson,Don Goodliffe,2023-02-03 08:09:45.834493992,There was an issue,3 - Moderate,Inquiry / Help,4,Hardware Failure,122,9421.463629396261,Software Update
Software,Closed,2023-02-04 02:43:53.446979933,2023-03-09 02:01:00,Howard Johnson,INC0000000240,employee,United States,Beth Anglin,Don Goodliffe,2023-02-13 00:56:00.000000000,There was an issue,4 - Low,Software,5,Third-party Service Issue,404,10985.016055151973,Hardware Replacement
Database,Resolved,2024-01-31 02:23:56.445975993,2023-03-09 09:09:00,Howard Johnson,INC0000000449,system,United States,Luke Wilson,Don Goodliffe,2023-04-13 09:52:00.000000000,There was an issue,3 - Moderate,Database,5,Hardware Failure,91,1361.8747537380866,Restart Service
Database,Closed,2023-09-21 01:28:06.686513687,2023-03-10 09:09:00,Luke Wilson,INC0000000029,employee,India,Beth Anglin,David Loo,2023-05-06 00:19:06.845921162,There was an issue,1 - Critical,Database,1,Hardware Failure,541,38683.96527456272,Apply Patch
Database,Resolved,2024-01-13 07:11:07.585466982,2023-03-10 14:49:00,Beth Anglin,INC0000000327,system,United States,Charlie Whitherspoon,Don Goodliffe,2023-04-17 11:40:20.915287122,There was an issue,2 - High,Database,2,Configuration Error,320,26291.80451083929,User Training
Network,Closed,2023-01-14 09:42:31.239968317,2023-03-11 06:39:00,Howard Johnson,INC0000000464,system,UK,Fred Luddy,David Loo,2023-10-18 00:52:00.000000000,There was an issue,1 - Critical,Network,1,Network Problem,140,12763.470562243334,Software Update
Inquiry / Help,Closed,2023-05-05 19:25:33.306689559,2023-03-13 02:53:00,Charlie Whitherspoon,INC0000000231,system,Australia,Beth Anglin,ITIL User,2023-12-22 14:45:04.366600219,There was an issue,2 - High,Inquiry / Help,3,Software Bug,714,56107.085369989996,Hardware Replacement
Software,Resolved,2023-12-26 08:26:25.509637696,2023-03-13 07:44:00,Fred Luddy,INC0000000050,system,Canada,Fred Luddy,Don Goodliffe,2023-03-11 09:09:00.000000000,There was an issue,3 - Moderate,Software,2,Configuration Error,512,44411.41874089535,Configuration Change
Database,Closed,2023-01-23 16:07:55.271807823,2023-03-13 10:05:00,Beth Anglin,INC0000000414,system,Canada,Beth Anglin,ITIL User,2023-07-25 03:53:49.978687958,There was an issue,2 - High,Database,5,Configuration Error,599,48492.75083556612,Apply Patch
Database,Closed,2024-01-10 15:38:48.582320090,2023-03-13 11:36:00,Luke Wilson,INC0000000339,system,Canada,Beth Anglin,David Loo,2023-10-05 14:06:46.265722782,There was an issue,4 - Low,Database,4,Third-party Service Issue,906,22497.999998044,Software Update
Database,Resolved,2023-05-29 13:25:00.000000000,2023-03-14 00:04:00,Fred Luddy,INC0000000367,employee,United States,Luke Wilson,Don Goodliffe,2023-11-02 19:10:09.135343415,There was an issue,4 - Low,Database,4,User Error,573,47893.17351279951,Hardware Replacement
Database,Closed,2023-07-15 22:29:05.785588895,2023-03-17 00:19:00,Beth Anglin,INC0000000497,system,UK,Howard Johnson,Bud Richman,2023-07-26 01:50:52.068385147,There was an issue,3 - Moderate,Database,1,Network Problem,322,12608.132363391715,Hardware Replacement
Inquiry / Help,Closed,2023-04-08 23:37:33.628402771,2023-03-17 07:40:00,Beth Anglin,INC0000000417,admin,Canada,Fred Luddy,Bud Richman,2023-02-09 20:37:54.209291607,There was an issue,4 - Low,Inquiry / Help,2,Hardware Failure,679,8910.730878737453,Apply Patch
Software,Closed,2023-10-08 21:29:55.684306333,2023-03-18 01:04:00,Luke Wilson,INC0000000307,admin,India,Beth Anglin,Don Goodliffe,2023-02-04 20:06:34.055632819,There was an issue,1 - Critical,Software,2,Hardware Failure,353,7982.538570959352,Restart Service
Network,Closed,2023-01-18 12:15:00.000000000,2023-03-19 09:40:00,Charlie Whitherspoon,INC0000000318,admin,India,Luke Wilson,Bud Richman,2023-06-05 23:47:52.328722644,There was an issue,2 - High,Network,1,Hardware Failure,506,12528.221905769573,Hardware Replacement
Network,Resolved,2023-01-23 02:21:48.999352525,2023-03-19 12:57:00,Charlie Whitherspoon,INC0000000202,employee,India,Fred Luddy,Bud Richman,2023-09-22 15:44:42.056556368,There was an issue,2 - High,Network,4,Network Problem,697,30449.07119599846,Software Update
Network,Closed,2023-09-14 16:03:56.241021820,2023-03-19 14:53:00,Beth Anglin,INC0000000303,admin,Australia,Fred Luddy,Bud Richman,2023-06-13 20:13:50.263024628,There was an issue,4 - Low,Network,4,Hardware Failure,660,49646.179431082666,Hardware Replacement
Database,Closed,2023-09-03 18:58:33.803118210,2023-03-22 13:51:00,Fred Luddy,INC0000000399,admin,Canada,Howard Johnson,Bud Richman,2023-02-24 12:26:03.066179768,There was an issue,4 - Low,Database,3,Configuration Error,311,30241.05417318608,Apply Patch
Hardware,Closed,2023-10-16 08:15:55.096916626,2023-03-22 14:07:00,Beth Anglin,INC0000000273,admin,Australia,Beth Anglin,Bud Richman,2023-11-25 18:11:25.410173561,There was an issue,2 - High,Hardware,5,Network Problem,499,20507.723244875408,Software Update
Software,Resolved,2023-02-19 06:21:12.452625610,2023-03-22 20:33:00,Charlie Whitherspoon,INC0000000391,employee,United States,Charlie Whitherspoon,David Loo,2023-09-13 05:14:51.293532720,There was an issue,3 - Moderate,Software,2,Network Problem,526,45667.364503805846,Restart Service
Software,Closed,2023-07-30 12:07:08.997531852,2023-03-23 07:51:00,Beth Anglin,INC0000000278,system,India,Fred Luddy,ITIL User,2023-08-11 14:17:08.329647264,There was an issue,2 - High,Software,5,Third-party Service Issue,752,39306.933409905425,Configuration Change
Hardware,Closed,2023-06-30 13:34:11.629362629,2023-03-23 16:57:00,Fred Luddy,INC0000000395,system,UK,Howard Johnson,Bud Richman,2024-01-08 09:17:43.178873486,There was an issue,4 - Low,Hardware,2,Third-party Service Issue,140,9139.308063711058,Hardware Replacement
Network,Resolved,2023-04-22 08:16:59.883429480,2023-03-23 22:07:00,Howard Johnson,INC0000000331,system,United States,Charlie Whitherspoon,ITIL User,2023-10-10 20:23:44.798714886,There was an issue,2 - High,Network,2,Network Problem,650,10627.793543699412,Apply Patch
Database,Closed,2023-07-28 21:34:00.908307924,2023-03-26 03:15:00,Luke Wilson,INC0000000405,admin,Australia,Howard Johnson,Don Goodliffe,2023-05-04 21:57:00.000000000,There was an issue,4 - Low,Database,5,Third-party Service Issue,293,4818.7172360019085,Hardware Replacement
Inquiry / Help,Closed,2023-12-10 05:44:39.457781801,2023-03-26 20:37:00,Luke Wilson,INC0000000203,system,UK,Luke Wilson,Don Goodliffe,2023-08-07 18:21:44.544015394,There was an issue,1 - Critical,Inquiry / Help,5,Configuration Error,209,8074.981552453807,Software Update
Inquiry / Help,Resolved,2023-07-06 00:00:59.012006127,2023-03-27 23:22:00,Charlie Whitherspoon,INC0000000026,system,UK,Beth Anglin,Bud Richman,2023-06-07 06:19:03.182476115,There was an issue,2 - High,Inquiry / Help,5,Network Problem,585,51705.90264957655,Apply Patch
