department,state,percent_complete,priority,target_percentage,category,sys_id,sys_updated_by,metric,end_date,start_date,owner,description
IT,In Progress,30,Critical,92,Customer Satisfaction,G000014,admin,Employee Turnover Rate,2022-09-07,2022-04-28,Ross Spurger,Enhance the customer support portal to improve response times and achieve a customer satisfaction rating of 90% or higher.
Marketing,In Progress,4,High,82,Revenue Growth,G000015,admin,Expense Ratio,2022-06-25,2022-09-26,Password Admin,Develop and execute a new upselling strategy targeting existing customers to increase revenue by 20% within the next fiscal year.
Finance,In Progress,73,High,92,Customer Satisfaction,G000016,admin,Survey Score,2023-04-14,2022-12-31,Mildred Gallegas,Improve response times on customer service inquiries by 30% to enhance overall customer satisfaction ratings.
HR,In Progress,20,High,92,Customer Satisfaction,G000017,admin,Expense Ratio,2022-08-25,2022-12-10,Maurine Monroy,Develop a new feedback system to enhance customer interaction and increase satisfaction ratings by 20% over the next fiscal year.
Finance,Completed,64,Low,62,Cost Reduction,G000018,admin,Expense Ratio,2022-11-27,2022-02-02,Stephen Seiters,Reduce IT overhead costs by consolidating vendor contracts and achieving a 20% cost savings in the next fiscal year.
HR,In Progress,32,Critical,84,Efficiency,G000019,admin,Sales Increase,2022-11-27,2022-07-24,Alfonso Griglen,Enhance the efficiency of the IT help desk by reducing the average ticket resolution time from 24 hours to 12 hours over the next quarter.
Marketing,In Progress,31,Critical,68,Revenue Growth,G000020,admin,Survey Score,2022-07-31,2022-04-22,Stephen Seiters,"Develop new regional distribution channels to increase total annual revenue by 20%, targeting specifically underserved markets in Asia and Latin America."
IT,Planned,12,High,84,Customer Satisfaction,G000021,admin,Sales Increase,2022-12-28,2022-03-04,Mabel Weeden,Develop a new customer feedback system to increase satisfaction ratings by 20% over the next fiscal year.
Finance,In Progress,2,High,86,Revenue Growth,G000022,admin,Survey Score,2022-07-07,2022-11-11,Janet Schaffter,Expand into Latin American markets to increase overall revenues by 30% within the next two fiscal years.
Marketing,In Progress,70,Critical,87,Efficiency,G000023,admin,Sales Increase,2023-07-06,2022-10-05,Karen Flierl,"Enhance the documentation system to reduce processing times by 20%, aiming for rapid access and updating of files."
Finance,In Progress,66,Critical,71,Employee Satisfaction,G000024,admin,Expense Ratio,2022-08-09,2022-10-15,Manifah Masood,Launch an employee satisfaction survey by Q2 to identify areas for improvement in workplace conditions and increase overall employee satisfaction scores by 20%.
HR,Completed,67,Low,65,Cost Reduction,G000025,admin,Employee Turnover Rate,2022-10-12,2022-11-14,Allyson Gillispie,"Reduce operational expenditures by optimizing the IT infrastructure, aiming for a 20% reduction in IT costs by the end of the fiscal year."
Finance,In Progress,33,High,74,Customer Satisfaction,G000026,admin,Sales Increase,2023-08-12,2022-01-04,Dollie Pillitteri,Enhance our support tools and training programs to improve customer satisfaction scores by at least 20% over the next fiscal year.
Marketing,In Progress,35,Critical,96,Customer Satisfaction,G000027,admin,Expense Ratio,2023-04-27,2022-07-16,Adela Cervantsz,Enhance the customer support portal to improve user satisfaction ratings by over 20% in the upcoming fiscal quarter.
IT,In Progress,62,Critical,84,Employee Satisfaction,G000028,admin,Sales Increase,2023-01-13,2022-11-15,Pierre Salera,Develop a comprehensive employee engagement program to increase overall job satisfaction ratings by 20% in the upcoming employee survey.
Finance,Completed,56,Medium,54,Revenue Growth,G000029,admin,Survey Score,2023-08-24,2022-07-31,Mildred Gallegas,Expand into three new international markets to increase global revenue by 20% over the next fiscal year.
Finance,Completed,83,Low,81,Customer Satisfaction,G000030,admin,Expense Ratio,2022-10-28,2022-05-28,Naomi Greenly,Increase overall customer satisfaction ratings by 20% through enhanced support services and faster response times by the end of Q2.
Finance,In Progress,10,High,56,Employee Satisfaction,G000031,admin,Employee Turnover Rate,2023-09-06,2022-08-26,Jewel Agresta,Increase employee satisfaction scores by 20% by introducing flexible work schedules and enhancing the workplace environment.
Finance,In Progress,3,Critical,88,Revenue Growth,G000032,admin,Sales Increase,2022-06-22,2022-04-02,Rosalia Kennemur,Expand into new market territories to achieve a 20% increase in sales revenue by the end of the fiscal year.
Marketing,In Progress,56,High,86,Revenue Growth,G000033,admin,Employee Turnover Rate,2023-02-10,2022-07-11,Darren Merlin,Develop a new online marketing strategy aimed at increasing annual subscription revenue by 20% over the next fiscal year.
IT,In Progress,11,High,55,Employee Satisfaction,G000034,admin,Sales Increase,2023-03-23,2022-01-24,Jimmie Barninger,Launch a quarterly feedback survey to enhance employee satisfaction rates by at least 20% by the end of the fiscal year.
Marketing,In Progress,37,Critical,53,Efficiency,G000035,admin,Employee Turnover Rate,2022-10-06,2022-06-10,Antony Thierauf,"Enhance software deployment automation to reduce manual setup times by 30%, thereby improving overall productivity across IT teams."
Finance,In Progress,41,High,61,Employee Satisfaction,G000036,admin,Expense Ratio,2022-07-20,2022-04-14,Suresh Yekollu,"Develop and implement a comprehensive employee wellness program aimed at reducing stress and enhancing job satisfaction, with a target to improve overall employee satisfaction scores by 20% in the next annual survey."
Finance,Completed,62,Low,60,Cost Reduction,G000037,admin,Survey Score,2023-05-05,2022-03-24,Mara Vanderzwaag,Develop and enforce tighter budget controls across all departments to achieve a 20% reduction in operational expenses within the next fiscal year.
Marketing,In Progress,49,High,81,Efficiency,G000038,admin,Sales Increase,2023-01-22,2022-09-03,Kennith Peto,"Optimize the internal software deployment process to reduce downtime by 30%, thereby increasing overall team productivity."
HR,Completed,81,Medium,79,Employee Satisfaction,G000039,admin,Survey Score,2022-06-11,2022-10-03,Alfonso Griglen,Enhance the employee break areas with better facilities and amenities to increase overall workplace satisfaction by at least 20% as measured by the next quarterly internal survey.
HR,Completed,56,Low,54,Cost Reduction,G000040,admin,Survey Score,2023-02-26,2022-06-25,Dwayne Maddalena,Achieve a 20% reduction in IT operational expenses by optimizing software licensing agreements and reducing overhead costs through better vendor management.
HR,Planned,62,High,67,Employee Satisfaction,G000041,admin,Sales Increase,2022-09-08,2022-08-05,Darren Merlin,Develop and execute a quarterly employee engagement survey to identify improvement areas and boost overall satisfaction scores by 20%.
HR,In Progress,34,Critical,84,Efficiency,G000042,admin,Sales Increase,2023-08-23,2022-07-05,Peggy Hohlstein,"Enhance IT support workflows to reduce the average resolution time by 20%, aiming to increase overall user satisfaction and productivity."
HR,Completed,62,High,60,Employee Satisfaction,G000043,admin,Expense Ratio,2023-04-25,2022-06-30,Nirali Patel,Develop and roll out a comprehensive employee wellness program aimed at boosting overall job satisfaction and reducing annual turnover by 20%.
IT,Completed,80,Low,78,Efficiency,G000044,admin,Survey Score,2023-03-24,2022-01-03,Elaine Renzi,"Optimize internal workflow to shorten project delivery times by 20%, aiming to enhance overall operational efficiency."
Finance,Cancelled,71,Critical,75,Efficiency,G000045,admin,Expense Ratio,2023-08-21,2022-04-25,Miquel Demicco,"Enhance software deployment processes to reduce system downtime by 30%, ensuring higher productivity and operational continuity."
Marketing,In Progress,37,Critical,92,Customer Satisfaction,G000046,admin,Sales Increase,2022-05-13,2022-07-01,Dwain Cuttitta,Enhance the online customer support portal to improve response time and satisfaction ratings by 20% over the next quarter.
HR,In Progress,19,High,59,Efficiency,G000047,admin,Survey Score,2022-09-23,2022-10-28,Karyn Jinks,Increase the resolution efficiency of customer support tickets by 20% by automating routine inquiries with improved AI chatbot services.
Finance,In Progress,46,Critical,66,Employee Satisfaction,G000048,admin,Employee Turnover Rate,2022-10-26,2022-08-17,Derek Kreutzbender,Develop a comprehensive employee engagement program aimed to enhance satisfaction rates by 30% through improved communication and reward mechanisms.
Finance,Planned,62,Critical,83,Cost Reduction,G000049,admin,Expense Ratio,2023-04-08,2022-03-21,Suresh Yekollu,Achieve a 20% decrease in office operational expenses by the end of Q4 through smarter energy usage and vendor contract renegotiations.
Finance,Completed,63,Critical,61,Revenue Growth,G000050,admin,Expense Ratio,2022-07-15,2022-08-26,Cristopher Wiget,Expand into three new regional markets by Q4 to increase overall company revenue by 20%.
Marketing,Completed,79,Low,77,Efficiency,G000051,admin,Employee Turnover Rate,2022-10-18,2022-11-19,Veronica Radman,Increase the speed of response for IT support tickets by 30% by utilizing automated response systems and improving workflow efficiency.
Finance,Completed,61,Medium,59,Cost Reduction,G000052,admin,Expense Ratio,2023-05-26,2022-01-08,Tammie Schwartzwalde,"Reduce overhead expenses by optimizing energy usage across all corporate facilities, aiming for a 20% cost saving within the next fiscal year."
Marketing,In Progress,2,Critical,53,Efficiency,G000053,admin,Sales Increase,2022-05-01,2022-12-28,Devon Teston,"Increase the efficiency of the IT helpdesk by automating ticket routing, aiming to reduce response time by 30% within the next quarter."
HR,Completed,85,Medium,84,Cost Reduction,G000054,admin,Sales Increase,2022-09-22,2022-08-11,Travis Brockert,"Reduce overhead costs by optimizing energy usage within office facilities, aiming for a 20% reduction in utility bills over the next fiscal year."
IT,In Progress,38,Critical,66,Employee Satisfaction,G000055,admin,Expense Ratio,2023-03-27,2022-06-27,Kyle Lindauer,"Develop and execute an annual employee satisfaction survey, aiming to improve overall satisfaction scores by at least 10% by end of the fiscal year."
HR,Completed,73,Medium,71,Cost Reduction,G000056,admin,Survey Score,2022-08-15,2022-03-31,Eva Seahorn,Reduce overall software licensing expenses by 20% through optimizing current subscriptions and eliminating redundant tools.
IT,In Progress,8,High,64,Customer Satisfaction,G000057,admin,Survey Score,2023-04-07,2022-04-06,Jess Assad,"Enhance the customer support interface to reduce average response time by 30%, aiming to increase overall customer satisfaction ratings."
HR,In Progress,55,High,74,Efficiency,G000058,admin,Employee Turnover Rate,2022-11-06,2022-02-04,Billie Cowley,"Optimize database query processing to reduce average report generation time by 30%, enhancing overall team productivity."
Finance,Cancelled,23,High,96,Customer Satisfaction,G000059,admin,Survey Score,2022-07-17,2022-08-07,Rich Gleave,"Enhance customer support efficiency by improving response times and quality, aiming to increase customer satisfaction ratings by 20% over the next quarter."
Finance,Completed,60,Critical,60,Employee Satisfaction,G000060,admin,Sales Increase,2022-08-17,2022-08-17,Bryant Bouliouris,Develop and launch an employee wellness program aimed at improving overall job satisfaction and reducing stress levels by the end of Q4.
IT,In Progress,18,High,70,Customer Satisfaction,G000061,admin,Sales Increase,2023-07-11,2022-08-27,Corinne Cowan,Develop a new customer feedback system to increase the satisfaction rating by 20% over the next quarter through enhanced response mechanisms and user engagement.
IT,In Progress,21,High,64,Revenue Growth,G000062,admin,Sales Increase,2022-07-25,2022-07-04,Terrell Rodda,Develop and launch a new software product line aimed at increasing annual revenue by 20% within the next fiscal year.
Marketing,In Progress,18,Critical,85,Revenue Growth,G000063,admin,Survey Score,2022-09-11,2022-01-02,Vernon Engelman,Increase annual subscription sales by 20% through enhanced marketing strategies and customer engagement initiatives.
IT,In Progress,69,Critical,70,Efficiency,G000064,admin,Employee Turnover Rate,2022-06-19,2022-10-28,Denice Nordlinger,Enhance the company's project management system to improve operational efficiency by reducing project completion times by an average of 20%.
Finance,Planned,86,Low,95,Cost Reduction,G000065,admin,Expense Ratio,2023-04-24,2022-08-19,Rich Gleave,"Reduce operational expenses by optimizing energy usage and renegotiating vendor contracts, targeting a 20% cost reduction over the next fiscal year."
HR,Completed,62,Low,60,Cost Reduction,G000066,admin,Sales Increase,2023-06-16,2022-09-10,Naomi Greenly,"Develop and apply automated auditing tools to minimize overhead expenses by 20%, thereby improving financial efficiency within the quarter."
HR,Completed,72,Low,70,Cost Reduction,G000067,admin,Employee Turnover Rate,2023-02-04,2022-01-31,Allyson Gillispie,Reduce office supply expenses by 20% through negotiating bulk purchase agreements and switching to more cost-effective suppliers.
Marketing,Cancelled,9,High,87,Employee Satisfaction,G000068,admin,Expense Ratio,2022-07-09,2022-10-25,Logan Muhl,Increase annual employee satisfaction scores by 20% through improved work-life balance initiatives and enhanced employee engagement programs.
IT,In Progress,46,High,55,Employee Satisfaction,G000069,admin,Sales Increase,2022-10-04,2022-10-24,Geri Forness,Conduct quarterly employee satisfaction surveys to identify improvement areas and increase overall satisfaction scores by 20%.
Marketing,Cancelled,82,Low,86,Customer Satisfaction,G000070,admin,Employee Turnover Rate,2023-01-19,2022-07-17,Jimmie Barninger,Develop a comprehensive customer feedback system and increase overall satisfaction scores by 20% over the next fiscal year.
Marketing,In Progress,34,Critical,56,Revenue Growth,G000071,admin,Survey Score,2023-02-14,2022-03-02,Peggy Hohlstein,"Expand service offerings to increase annual revenue by 20%, targeting new markets in the Asia-Pacific region."
HR,In Progress,33,High,90,Efficiency,G000072,admin,Sales Increase,2022-04-29,2022-12-03,Jess Assad,"Enhance automated testing tools to reduce software release cycle time by 20%, thus improving overall team efficiency and product time-to-market."
Finance,In Progress,68,High,74,Customer Satisfaction,G000073,admin,Survey Score,2022-11-20,2022-10-06,Concetta Sarchett,Enhance customer service training to improve satisfaction scores by 20% in the upcoming fiscal year.
Marketing,Completed,68,Low,66,Cost Reduction,G000074,admin,Sales Increase,2023-01-13,2022-11-17,Elaine Renzi,"Reduce overall IT spending by optimizing software licensing structures, projected to cut expenses by 20% annually."
Marketing,In Progress,53,Critical,89,Customer Satisfaction,G000075,admin,Expense Ratio,2022-08-25,2022-02-22,Thomas Jefferson,Enhance the client interface portal to increase customer satisfaction scores by 20% over the next fiscal year.
HR,Planned,18,High,87,Efficiency,G000076,admin,Survey Score,2022-01-07,2022-05-23,Renae Eldrige,"Increase response time in customer support to achieve a 20% increase in efficiency, aiming for first response under 3 hours."
HR,Completed,54,Critical,52,Revenue Growth,G000077,admin,Survey Score,2022-06-01,2022-02-08,Derek Kreutzbender,Expand market presence in the Asia-Pacific region to achieve a 20% increase in revenue over the next fiscal year.
IT,In Progress,19,Critical,79,Revenue Growth,G000078,admin,Expense Ratio,2023-07-18,2022-01-27,Logan Muhl,"Develop and launch a new software product line aimed at increasing our customer base by 25%, which is projected to boost annual revenue by 30%."
Finance,Completed,72,Low,70,Efficiency,G000079,admin,Survey Score,2023-02-02,2022-03-06,Beverley Bunche,Increase the automated resolution of IT tickets to improve overall response time by 20% over the next 12 months.
IT,Completed,83,Low,81,Revenue Growth,G000080,admin,Sales Increase,2022-02-24,2022-10-18,Travis Brockert,Develop new regional markets to increase overall company revenue by 20% within the next fiscal year.
Marketing,In Progress,3,High,84,Revenue Growth,G000081,admin,Sales Increase,2023-04-09,2022-11-22,Maurine Monroy,Increase annual revenue by 20% through strategic partnerships and expanding into new market segments.
Finance,In Progress,37,Critical,93,Revenue Growth,G000082,admin,Expense Ratio,2023-02-28,2022-04-07,Doug Matrisciano,Increase annual revenue by 20% through expanding into new market territories and enhancing online sales platforms.
HR,Completed,65,Critical,63,Efficiency,G000083,admin,Sales Increase,2022-08-12,2022-04-10,Karen Flierl,"Optimize IT support workflows to reduce ticket resolution time by 30%, aiming to improve overall system uptime and user satisfaction."
IT,In Progress,63,High,66,Customer Satisfaction,G000084,admin,Expense Ratio,2022-12-02,2022-01-27,Nirali Patel,Develop a new client onboarding system with enhanced support features to increase overall customer satisfaction ratings by 20% by the end of the fiscal year.
Marketing,Completed,86,Medium,84,Efficiency,G000085,admin,Expense Ratio,2023-01-09,2022-03-07,Melinda Carleton,"Optimize IT support workflows to achieve a 20% improvement in response times, enhancing operational efficiency."
Marketing,In Progress,24,Critical,81,Employee Satisfaction,G000086,admin,Employee Turnover Rate,2022-11-22,2022-03-31,Certification User,Develop a comprehensive training program aimed at improving employee job satisfaction scores by 20% over the next fiscal year.
HR,Planned,2,Critical,98,Cost Reduction,G000087,admin,Employee Turnover Rate,2022-11-09,2022-10-23,SLA Admin,Reduce overall IT infrastructure expenses by 20% by adopting more cost-effective cloud storage solutions.
IT,In Progress,6,Critical,88,Revenue Growth,G000088,admin,Sales Increase,2022-12-26,2022-03-05,Thomas Jefferson,Increase annual subscription revenue by 20% through expanded marketing initiatives and new customer loyalty programs.
IT,Completed,67,Low,65,Efficiency,G000089,admin,Expense Ratio,2022-11-16,2022-07-23,Savannah Kesich,"Enhance the IT helpdesk response time by automating ticket assignments, aiming to reduce average resolution time by 30% within the next quarter."
HR,Completed,74,Low,72,Employee Satisfaction,G000090,admin,Survey Score,2022-09-20,2022-07-12,Nelly Jakuboski,Enhance workplace environment and facilities to boost employee satisfaction scores by 20% in the upcoming employee survey.
Marketing,Planned,73,High,77,Customer Satisfaction,G000091,admin,Employee Turnover Rate,2023-06-27,2022-11-15,Adela Cervantsz,Enhance the online support portal to improve user experience and increase customer satisfaction ratings by at least 20% over the next quarter.
Marketing,In Progress,30,High,93,Customer Satisfaction,G000092,admin,Sales Increase,2022-10-08,2022-12-06,Rachel Larrison,Develop a customer feedback system to improve overall satisfaction ratings by 20% within the next fiscal year.
Marketing,In Progress,40,Critical,69,Employee Satisfaction,G000093,admin,Employee Turnover Rate,2023-03-26,2022-09-11,Certification User,Develop and implement a quarterly team-building program aimed at improving employee satisfaction scores by 20% over the next fiscal year.
HR,In Progress,15,High,64,Customer Satisfaction,G000094,admin,Employee Turnover Rate,2022-09-12,2022-10-02,Dollie Pillitteri,"Develop a comprehensive training program for customer service representatives to enhance interaction quality, aiming to improve customer satisfaction ratings by 20% over the next 12 months."
Finance,Completed,65,High,63,Revenue Growth,G000095,admin,Expense Ratio,2023-01-13,2022-02-19,Lora Lendor,Expand enterprise market presence to increase revenue streams by 20% through strategic partnerships and enhanced sales channels.
Finance,In Progress,62,High,70,Employee Satisfaction,G000096,admin,Employee Turnover Rate,2022-11-20,2022-07-13,Ross Spurger,Implement a new feedback system and monthly team-building activities to increase employee satisfaction scores by 20% over the next fiscal year.
Marketing,Completed,66,Medium,64,Customer Satisfaction,G000097,admin,Expense Ratio,2022-11-13,2022-04-29,Dollie Pillitteri,Increase customer satisfaction scores by 20% through enhanced support services and quicker resolution times.
Marketing,Cancelled,27,Critical,55,Efficiency,G000098,admin,Survey Score,2022-05-05,2022-04-16,Jess Assad,Optimize the workflow to improve the processing speed of incoming tickets aiming to cut down the average resolution time by 30% within the next quarter.
Finance,In Progress,24,High,84,Revenue Growth,G000099,admin,Expense Ratio,2023-02-03,2022-05-08,Vanessa Lewallen,Develop new digital marketing strategies aimed at increasing company-wide revenue by 20% over the next fiscal year.
Marketing,Cancelled,81,Medium,91,Employee Satisfaction,G000100,admin,Employee Turnover Rate,2022-11-23,2022-09-20,Sean Bonnet,"Develop a comprehensive employee wellness program aimed at improving overall job satisfaction scores by 20% through enhanced health benefits, flexible working hours, and regular team-building activities."
IT,In Progress,20,Critical,88,Revenue Growth,G000101,admin,Survey Score,2022-10-09,2022-11-23,Melinda Carleton,Develop new sales strategies targeting emerging markets to increase overall revenue by 20% within the next fiscal year.
HR,Completed,65,Low,63,Customer Satisfaction,G000102,admin,Expense Ratio,2023-04-23,2022-03-09,Lucas Santellana,Enhance the customer support portal to reduce average resolution time by 30% and increase customer satisfaction ratings from 80% to 95%.
IT,In Progress,53,High,62,Employee Satisfaction,G000103,admin,Survey Score,2023-06-04,2022-04-24,Alyssa Biasotti,Develop a new employee engagement program aimed at improving satisfaction scores by 20% through quarterly team-building events and enhanced communication channels.
HR,Completed,68,Critical,66,Customer Satisfaction,G000104,admin,Employee Turnover Rate,2022-12-07,2022-02-22,Bryant Bouliouris,Enhance the customer support portal to improve satisfaction ratings by 20% within the next fiscal quarter.
HR,In Progress,63,Critical,92,Employee Satisfaction,G000105,admin,Employee Turnover Rate,2023-03-24,2022-10-26,Ramon Amaral,Develop a series of team-building activities and enhanced workspace environments to improve overall employee satisfaction ratings by 20% over the next fiscal year.
Finance,In Progress,4,Critical,54,Customer Satisfaction,G000106,admin,Expense Ratio,2023-04-25,2022-05-04,Karyn Jinks,Enhance the customer support portal to improve user satisfaction ratings by 20% over the next quarter.
IT,Completed,93,Medium,92,Employee Satisfaction,G000107,admin,Employee Turnover Rate,2023-07-31,2022-11-20,Naomi Greenly,"Increase employee satisfaction scores by implementing a flexible work schedule program, aiming for a 20% improvement in survey results within the next fiscal year."
HR,Completed,61,Critical,59,Revenue Growth,G000108,admin,Expense Ratio,2022-10-31,2022-01-28,SLA Admin,Increase annual software subscription sales by 20% through enhanced marketing campaigns and expanding into new regional markets.
IT,In Progress,89,Low,97,Cost Reduction,G000109,admin,Sales Increase,2022-09-20,2022-03-26,Lucas Santellana,Reduce overall IT infrastructure costs by 20% by optimizing server usage and improving cloud storage efficiency.
Finance,Completed,65,Medium,63,Efficiency,G000110,admin,Survey Score,2022-09-03,2022-12-17,Cristopher Wiget,"Enhance the automated ticketing system to reduce average resolution time by 30%, ensuring quicker responses and increased user satisfaction."
IT,Cancelled,1,Critical,52,Revenue Growth,G000111,admin,Survey Score,2023-02-26,2022-02-06,Jimmie Barninger,Develop new regional markets for our main product line aiming to increase annual revenue by 20% over the next financial year.
IT,In Progress,40,Critical,56,Revenue Growth,G000112,admin,Sales Increase,2022-12-17,2022-10-09,Elisa Gracely,Develop and launch a new software product line aimed at small businesses to increase annual revenue by 20%.
HR,In Progress,22,Critical,86,Revenue Growth,G000113,admin,Sales Increase,2023-02-28,2022-04-16,Denice Nordlinger,Develop new business partnerships to increase software sales by 20% in the next fiscal year.
Marketing,Completed,72,Critical,70,Efficiency,G000114,admin,Survey Score,2022-11-09,2022-08-22,Pierre Salera,"Enhance the response time of IT support by automating ticket assignments, aiming to reduce the average resolution time by 20% over the next quarter."
IT,In Progress,21,Critical,62,Customer Satisfaction,G000115,admin,Sales Increase,2023-06-05,2022-11-03,Hilario Cassa,"Develop a new customer feedback system to increase satisfaction scores by 20% by the end of Q4, leveraging more targeted and actionable survey questions."
Marketing,Completed,66,Critical,66,Revenue Growth,G000116,admin,Expense Ratio,2022-08-17,2022-08-19,Geri Forness,Develop new strategic partnerships to enhance product distribution and achieve a 20% increase in revenue within the next fiscal year.
HR,Cancelled,42,Critical,56,Employee Satisfaction,G000117,admin,Sales Increase,2023-03-27,2022-11-27,Darren Merlin,Launch a quarterly survey to evaluate employee job satisfaction and implement actions to improve the Work-Life Balance score by at least 10% by the end of the year.
HR,In Progress,11,High,68,Efficiency,G000118,admin,Survey Score,2023-05-07,2022-05-31,Henrietta Cintora,Optimize team workflows to enhance productivity and reduce the average project completion time from 3 months to 2 months.
IT,Cancelled,14,High,81,Customer Satisfaction,G000119,admin,Sales Increase,2023-01-27,2022-09-17,Maurine Monroy,Enhance the client onboarding process to improve customer satisfaction ratings by 20% within the next fiscal quarter.
Finance,Cancelled,60,Critical,96,Employee Satisfaction,G000120,admin,Sales Increase,2022-08-31,2022-05-15,Kennith Peto,"Launch a quarterly employee feedback survey to enhance engagement and satisfaction, aiming to improve survey scores by at least 20% over the next year."
IT,In Progress,55,High,89,Customer Satisfaction,G000121,admin,Survey Score,2022-11-29,2022-01-13,Peggy Hohlstein,Develop and implement a new customer feedback system to increase satisfaction scores by 20% over the next fiscal year.
Marketing,Planned,85,Medium,91,Customer Satisfaction,G000122,admin,Employee Turnover Rate,2023-05-30,2022-02-01,Doug Matrisciano,"Enhance the customer support portal to improve resolution time by 20%, aiming to achieve a customer satisfaction score of at least 90%."
Finance,In Progress,43,High,96,Employee Satisfaction,G000123,admin,Sales Increase,2022-08-29,2022-06-29,Dwayne Maddalena,Launch a quarterly feedback survey to measure employee satisfaction and implement at least two major improvements based on the feedback by the end of the year.
HR,Completed,57,High,55,Efficiency,G000124,admin,Expense Ratio,2023-07-28,2022-05-30,Logan Muhl,"Optimize digital infrastructure to improve system response times by 30%, thereby enhancing overall user productivity."
IT,Completed,65,Medium,63,Cost Reduction,G000125,admin,Sales Increase,2022-09-27,2022-02-04,Logan Muhl,"Reduce overall software licensing expenses by negotiating longer-term contracts, aiming for a 20% reduction in the upcoming fiscal year."
Finance,In Progress,78,High,84,Customer Satisfaction,G000126,admin,Survey Score,2023-03-29,2022-05-22,Valerie Pou,"Improve customer service response times by 20% through the introduction of chatbot support, aiming for higher satisfaction ratings in our quarterly surveys."
Marketing,Completed,63,High,61,Customer Satisfaction,G000127,admin,Survey Score,2023-05-20,2022-08-18,Jimmie Barninger,Enhance the customer support portal to improve average customer satisfaction rating from 3.5 to 4.5 stars within the next fiscal year.
Finance,Completed,56,Critical,54,Efficiency,G000128,admin,Expense Ratio,2022-06-08,2022-03-08,Logan Muhl,Increase the speed of IT issue resolution by 30% by optimizing internal communication and IT support processes.
Finance,Completed,52,Critical,50,Employee Satisfaction,G000129,admin,Expense Ratio,2023-01-16,2022-07-30,Devon Teston,"Develop a quarterly team-building program aimed to enhance communication and job satisfaction among all departments, aiming for at least a 20% improvement in employee satisfaction survey results."
IT,Planned,56,Critical,64,Efficiency,G000130,admin,Expense Ratio,2022-12-14,2022-10-12,Kennith Peto,"Optimize workflow automation to increase operational efficiency by 30%, reducing the average process time from 10 days to 7 days."
Marketing,Completed,56,Critical,54,Employee Satisfaction,G000131,admin,Employee Turnover Rate,2022-10-11,2022-10-07,Security Center Data Collection User,Develop a comprehensive annual employee wellness program to improve overall job satisfaction scores by 20%.
