category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority
Hardware,Closed,2023-01-18 10:47:18.859313409,2023-01-09 09:58:00,Charlie Whitherspoon,INC0000000010,system,Australia,Fred Luddy,Bud Richman,2023-01-18 10:47:18.859313409,Printer546 not working properly,Hardware,1 - Critical
Hardware,Resolved,2023-01-19 02:40:53.945578841,2023-01-09 16:07:00,Fred Luddy,INC0000000011,system,Australia,Fred Luddy,Bud Richman,2023-01-19 02:40:53.945578841,Printer354 is not working,Hardware,1 - Critical
Hardware,Closed,2023-01-13 22:01:58.804819178,2023-01-10 10:06:00,Luke Wilson,INC0000000012,admin,Australia,Luke Wilson,ITIL User,2023-01-13 22:01:58.804819178,Printer876 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-01-12 00:34:00.000000000,2023-01-11 00:34:00,Luke Wilson,INC0000000013,employee,UK,Charlie Whitherspoon,Don Goodliffe,2023-01-12 00:34:00.000000000,The monitor is not working properly,Hardware,2 - High
Inquiry / Help,Resolved,2023-01-23 16:07:55.271807823,2023-01-11 09:26:00,Luke Wilson,INC0000000014,system,India,Howard Johnson,ITIL User,2023-01-23 16:07:55.271807823,Need help with Database query optimization,Database,3 - Moderate
Hardware,Resolved,2023-01-20 14:37:18.361510788,2023-01-11 16:40:00,Howard Johnson,INC0000000015,system,Australia,Luke Wilson,Bud Richman,2023-01-20 14:37:18.361510788,Printer487 is malfunctioning in Australia,Hardware,2 - High
Hardware,Closed,2023-01-23 02:21:48.999352525,2023-01-11 18:29:00,Beth Anglin,INC0000000016,admin,United States,Fred Luddy,Don Goodliffe,2023-01-23 02:21:48.999352525,The system monitor of station 334 is not working,Hardware,3 - Moderate
Hardware,Closed,2023-01-18 08:42:15.759148193,2023-01-13 00:44:00,Fred Luddy,INC0000000017,admin,Australia,Luke Wilson,David Loo,2023-01-18 08:42:15.759148193,Issue with Printer429 in Australia,Hardware,2 - High
Hardware,Resolved,2023-01-22 04:15:55.294347270,2023-01-15 14:01:00,Luke Wilson,INC0000000018,system,India,Luke Wilson,Don Goodliffe,2023-01-22 04:15:55.294347270,Device malfunction in CPU,Hardware,2 - High
Inquiry / Help,Closed,2023-01-17 04:28:00.000000000,2023-01-16 04:28:00,Luke Wilson,INC0000000019,employee,United States,Fred Luddy,David Loo,2023-01-17 04:28:00.000000000,Need help with a software inquiry,Service Desk,3 - Moderate
Hardware,Closed,2023-01-26 02:18:22.920898595,2023-01-16 06:28:00,Beth Anglin,INC0000000020,employee,Australia,Howard Johnson,ITIL User,2023-01-26 02:18:22.920898595,Printer546 is not responding,Hardware,2 - High
Hardware,Closed,2023-01-25 07:44:05.814552632,2023-01-17 06:29:00,Fred Luddy,INC0000000021,admin,United States,Charlie Whitherspoon,ITIL User,2023-01-25 07:44:05.814552632,CPU fan failure on desktop unit,Hardware,2 - High
Software,Resolved,2023-01-18 12:15:00.000000000,2023-01-17 12:15:00,Beth Anglin,INC0000000022,employee,Australia,Fred Luddy,Don Goodliffe,2023-01-18 12:15:00.000000000,Microsoft Office Application crash,Software,2 - High
Hardware,Closed,2023-02-05 14:01:58.932181130,2023-01-17 13:34:00,Luke Wilson,INC0000000023,system,Australia,Fred Luddy,Bud Richman,2023-02-05 14:01:58.932181130,Printer546 has a paper jam,Hardware,2 - High
Hardware,Resolved,2023-01-24 18:39:21.848415555,2023-01-17 17:47:00,Luke Wilson,INC0000000024,employee,Australia,Fred Luddy,David Loo,2023-01-24 18:39:21.848415555,Printer546 is malfunctioning in Australia,Hardware,2 - High
Hardware,Resolved,2023-01-23 14:49:23.734002375,2023-01-18 23:27:00,Fred Luddy,INC0000000025,admin,Australia,Fred Luddy,Bud Richman,2023-01-23 14:49:23.734002375,Printer546 has a paper jam,Hardware,2 - High
Hardware,Closed,2023-01-24 10:21:12.713928509,2023-01-19 05:28:00,Howard Johnson,INC0000000026,admin,Australia,Beth Anglin,David Loo,2023-01-24 10:21:12.713928509,Printer546 is not functioning properly,Hardware,1 - Critical
Software,Closed,2023-01-25 20:46:13.679914432,2023-01-19 17:29:00,Fred Luddy,INC0000000027,employee,Canada,Luke Wilson,Bud Richman,2023-01-25 20:46:13.679914432,Software update error on desktop,Software,2 - High
Hardware,Closed,2023-02-04 02:43:53.446979933,2023-01-20 05:48:00,Fred Luddy,INC0000000028,system,Australia,Beth Anglin,ITIL User,2023-02-04 02:43:53.446979933,Printer546 is not responding,Hardware,2 - High
Network,Resolved,2023-01-26 12:30:48.397896971,2023-01-21 12:13:00,Luke Wilson,INC0000000029,system,UK,Luke Wilson,David Loo,2023-01-26 12:30:48.397896971,Unable to connect to WiFi in UK office,Network,2 - High
Hardware,Closed,2023-01-29 22:45:30.072558587,2023-01-22 03:34:00,Charlie Whitherspoon,INC0000000030,employee,Canada,Fred Luddy,Bud Richman,2023-01-29 22:45:30.072558587,PC overheating issue reported,Hardware,2 - High
Hardware,Resolved,2023-02-05 00:09:42.176650334,2023-01-23 23:18:00,Howard Johnson,INC0000000031,admin,Australia,Howard Johnson,Bud Richman,2023-02-05 00:09:42.176650334,Printer546 is not printing documents in Australia,Hardware,2 - High
Software,Closed,2023-01-28 01:28:09.743197803,2023-01-24 15:02:00,Luke Wilson,INC0000000032,system,Canada,Howard Johnson,ITIL User,2023-01-28 01:28:09.743197803,Software update failed on workstation,Software,2 - High
Hardware,Resolved,2023-01-28 04:52:51.519667192,2023-01-25 02:38:00,Fred Luddy,INC0000000033,admin,Australia,Fred Luddy,Bud Richman,2023-01-28 04:52:51.519667192,Printer546 in Australia is offline,Hardware,1 - Critical
Network,Resolved,2023-02-03 19:14:44.970166482,2023-01-25 20:52:00,Luke Wilson,INC0000000034,employee,United States,Beth Anglin,David Loo,2023-02-03 19:14:44.970166482,Can't connect to VPN,Network,2 - High
Network,Resolved,2023-02-03 08:09:45.834493992,2023-01-27 02:22:00,Beth Anglin,INC0000000035,admin,UK,Charlie Whitherspoon,Don Goodliffe,2023-02-03 08:09:45.834493992,Network outage in the UK,Network,1 - Critical
Hardware,Resolved,2023-02-11 09:07:59.479099672,2023-01-27 03:28:00,Howard Johnson,INC0000000036,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-02-11 09:07:59.479099672,Printer874 is not working,Hardware,3 - Moderate
Hardware,Closed,2023-01-30 01:44:17.443653956,2023-01-27 07:48:00,Luke Wilson,INC0000000037,system,Australia,Beth Anglin,ITIL User,2023-01-30 01:44:17.443653956,Issue with Printer546 in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-02-03 19:29:33.426983106,2023-01-27 16:44:00,Howard Johnson,INC0000000038,system,Australia,Beth Anglin,Bud Richman,2023-02-03 19:29:33.426983106,Printer547 is not working properly,Hardware,1 - Critical
Hardware,Closed,2023-02-04 20:06:34.055632819,2023-01-30 17:07:00,Beth Anglin,INC0000000039,admin,India,Charlie Whitherspoon,ITIL User,2023-02-04 20:06:34.055632819,RAM issue in desktop PC,Hardware,2 - High
Software,Closed,2023-02-07 09:37:36.868992308,2023-01-31 00:30:00,Luke Wilson,INC0000000040,employee,India,Howard Johnson,ITIL User,2023-02-07 09:37:36.868992308,Application crash on startup,Software,2 - High
Hardware,Closed,2023-02-09 20:37:54.209291607,2023-02-01 19:46:00,Howard Johnson,INC0000000041,system,Australia,Luke Wilson,Bud Richman,2023-02-09 20:37:54.209291607,Printer789 is not printing in Australia location,Hardware,2 - High
Network,Closed,2023-02-16 16:49:49.770102240,2023-02-02 08:10:00,Beth Anglin,INC0000000042,system,UK,Beth Anglin,ITIL User,2023-02-16 16:49:49.770102240,Unable to connect to WiFi,Network,2 - High
Network,Closed,2023-02-13 00:16:27.398179564,2023-02-03 02:01:00,Charlie Whitherspoon,INC0000000043,system,United States,Charlie Whitherspoon,ITIL User,2023-02-13 00:16:27.398179564,Slow network connectivity issue across multiple devices,Network,2 - High
Hardware,Closed,2023-02-14 04:41:35.236486606,2023-02-05 10:25:00,Luke Wilson,INC0000000044,employee,UK,Beth Anglin,Don Goodliffe,2023-02-14 04:41:35.236486606,Issue with Laptop Lp123,Hardware,2 - High
Software,Closed,2023-02-18 11:04:04.387140839,2023-02-05 15:05:00,Luke Wilson,INC0000000045,admin,United States,Fred Luddy,Bud Richman,2023-02-18 11:04:04.387140839,Unable to update antivirus software,Software,2 - High
Hardware,Resolved,2023-02-08 15:38:00.000000000,2023-02-07 15:38:00,Fred Luddy,INC0000000046,admin,Australia,Charlie Whitherspoon,David Loo,2023-02-08 15:38:00.000000000,Issue with Printer546 in Australia,Hardware,1 - Critical
Database,Resolved,2023-02-13 08:10:20.378839709,2023-02-08 05:33:00,Howard Johnson,INC0000000047,system,India,Luke Wilson,Bud Richman,2023-02-13 08:10:20.378839709,Database server disruption detected,Database,1 - Critical
Inquiry / Help,Closed,2023-02-17 00:34:25.927389861,2023-02-08 14:07:00,Beth Anglin,INC0000000048,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-02-17 00:34:25.927389861,Printer787 is causing problems,Hardware,1 - Critical
Hardware,Closed,2023-02-16 22:50:20.255626998,2023-02-11 04:10:00,Fred Luddy,INC0000000049,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-02-16 22:50:20.255626998,Printer546 is not responding,Hardware,1 - Critical
Hardware,Resolved,2023-02-13 00:56:00.000000000,2023-02-12 00:56:00,Howard Johnson,INC0000000050,system,UK,Fred Luddy,Bud Richman,2023-02-13 00:56:00.000000000,UK Server67 has stopped responding,Hardware,1 - Critical
Hardware,Resolved,2023-02-13 09:00:00.000000000,2023-02-12 09:00:00,Howard Johnson,INC0000000051,admin,Australia,Fred Luddy,Bud Richman,2023-02-13 09:00:00.000000000,Printer546 is not responding,Hardware,1 - Critical
Database,Resolved,2023-02-18 18:49:23.647006730,2023-02-12 10:41:00,Charlie Whitherspoon,INC0000000052,system,United States,Beth Anglin,David Loo,2023-02-18 18:49:23.647006730,SQL database connection issue,Database,3 - Moderate
Inquiry / Help,Closed,2023-02-19 05:46:55.363664679,2023-02-14 16:34:00,Fred Luddy,INC0000000053,employee,Canada,Fred Luddy,ITIL User,2023-02-19 05:46:55.363664679,Need assistance with software installation,Service Desk,3 - Moderate
Hardware,Resolved,2023-02-19 06:21:12.452625610,2023-02-15 01:47:00,Fred Luddy,INC0000000054,employee,United States,Fred Luddy,David Loo,2023-02-19 06:21:12.452625610,Laptop issue reported,Hardware,2 - High
Hardware,Resolved,2023-02-19 11:12:41.587556967,2023-02-16 10:34:00,Luke Wilson,INC0000000055,employee,Australia,Howard Johnson,David Loo,2023-02-19 11:12:41.587556967,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-02-18 06:02:38.010888088,2023-02-16 17:07:00,Luke Wilson,INC0000000056,system,Australia,Beth Anglin,Don Goodliffe,2023-02-18 06:02:38.010888088,Printer546 is not working,Hardware,2 - High
Network,Closed,2023-02-25 02:41:07.264125204,2023-02-16 18:29:00,Howard Johnson,INC0000000057,employee,India,Charlie Whitherspoon,Don Goodliffe,2023-02-25 02:41:07.264125204,Unable to connect to the VPN,Network,2 - High
Hardware,Resolved,2023-02-26 07:36:08.762766728,2023-02-16 19:04:00,Fred Luddy,INC0000000058,system,Australia,Charlie Whitherspoon,David Loo,2023-02-26 07:36:08.762766728,Printer546 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-02-19 01:46:00.000000000,2023-02-18 01:46:00,Luke Wilson,INC0000000059,employee,Australia,Fred Luddy,ITIL User,2023-02-19 01:46:00.000000000,Printer543 is not printing in Australia,Hardware,1 - Critical
Database,Closed,2023-02-24 12:26:03.066179768,2023-02-18 16:04:00,Beth Anglin,INC0000000060,admin,Australia,Howard Johnson,David Loo,2023-02-24 12:26:03.066179768,Issue with database response time,Database,2 - High
Inquiry / Help,Resolved,2023-03-05 11:31:06.569025031,2023-02-22 12:21:00,Beth Anglin,INC0000000061,admin,United States,Luke Wilson,ITIL User,2023-03-05 11:31:06.569025031,Request assistance for application updating issues,Software,3 - Moderate
Hardware,Closed,2023-02-23 22:00:23.401697490,2023-02-22 13:49:00,Charlie Whitherspoon,INC0000000062,employee,Australia,Howard Johnson,ITIL User,2023-02-23 22:00:23.401697490,Printer546 is malfunctioning in Australia,Hardware,2 - High
Network,Resolved,2023-02-26 16:29:16.807931635,2023-02-22 19:23:00,Luke Wilson,INC0000000063,employee,India,Beth Anglin,Bud Richman,2023-02-26 16:29:16.807931635,Network connectivity issue in India,Network,2 - High
Hardware,Resolved,2023-02-25 14:32:02.076278529,2023-02-23 02:37:00,Beth Anglin,INC0000000064,system,Australia,Charlie Whitherspoon,David Loo,2023-02-25 14:32:02.076278529,Printer error in Printer368,Hardware,2 - High
Hardware,Closed,2023-03-01 04:41:50.658060449,2023-02-23 05:40:00,Beth Anglin,INC0000000065,system,Canada,Beth Anglin,David Loo,2023-03-01 04:41:50.658060449,"Issue with desktop PC, unexpected shutdown",Hardware,2 - High
Database,Closed,2023-03-02 18:17:24.556975522,2023-02-25 17:52:00,Fred Luddy,INC0000000066,system,India,Luke Wilson,David Loo,2023-03-02 18:17:24.556975522,Unable to connect to server database,Database,2 - High
Hardware,Resolved,2023-03-03 22:24:21.666904166,2023-02-25 19:47:00,Charlie Whitherspoon,INC0000000067,employee,Australia,Howard Johnson,Don Goodliffe,2023-03-03 22:24:21.666904166,Printer546 is not working properly,Hardware,2 - High
Hardware,Closed,2023-03-11 20:13:52.693225203,2023-02-25 21:22:00,Fred Luddy,INC0000000068,employee,Australia,Luke Wilson,Don Goodliffe,2023-03-11 20:13:52.693225203,Printer problem with Printer546 in Australia,Hardware,2 - High
Hardware,Resolved,2023-02-28 16:37:00.000000000,2023-02-27 16:37:00,Charlie Whitherspoon,INC0000000069,employee,Australia,Beth Anglin,Don Goodliffe,2023-02-28 16:37:00.000000000,Printer546 is not functioning,Hardware,2 - High
Hardware,Resolved,2023-03-05 04:00:53.829740603,2023-02-27 21:40:00,Fred Luddy,INC0000000070,admin,Australia,Luke Wilson,Bud Richman,2023-03-05 04:00:53.829740603,Printer453 is not responding,Hardware,2 - High
Hardware,Closed,2023-03-17 12:55:54.993590364,2023-02-28 17:42:00,Charlie Whitherspoon,INC0000000071,admin,Australia,Fred Luddy,ITIL User,2023-03-17 12:55:54.993590364,Printer567 is not functioning properly,Hardware,2 - High
Hardware,Closed,2023-03-13 16:49:10.116400647,2023-03-02 01:29:00,Beth Anglin,INC0000000072,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-03-13 16:49:10.116400647,Issue with Printer546 in Australia,Hardware,1 - Critical
Inquiry / Help,Resolved,2023-03-08 05:56:31.551604697,2023-03-02 10:56:00,Beth Anglin,INC0000000073,admin,Canada,Fred Luddy,Don Goodliffe,2023-03-08 05:56:31.551604697,Inquiry about the service in Canada,Service Desk,3 - Moderate
Hardware,Closed,2023-03-11 13:42:59.511508874,2023-03-04 03:00:00,Fred Luddy,INC0000000074,system,Australia,Charlie Whitherspoon,Bud Richman,2023-03-11 13:42:59.511508874,Printer546 is not working properly,Hardware,1 - Critical
Hardware,Resolved,2023-03-19 18:35:49.186969810,2023-03-07 06:18:00,Howard Johnson,INC0000000075,admin,Australia,Charlie Whitherspoon,Bud Richman,2023-03-19 18:35:49.186969810,Printer546 is not printing in Australia location. Please assist.,Hardware,2 - High
Hardware,Resolved,2023-03-17 15:33:56.380678280,2023-03-08 16:23:00,Howard Johnson,INC0000000076,system,India,Beth Anglin,David Loo,2023-03-17 15:33:56.380678280,Server rack 34B malfunctioning in Chennai data center,Hardware,2 - High
Hardware,Resolved,2023-03-14 06:30:47.245274154,2023-03-09 02:01:00,Luke Wilson,INC0000000077,employee,Australia,Fred Luddy,ITIL User,2023-03-14 06:30:47.245274154,Printer546 is not working properly,Hardware,1 - Critical
Hardware,Closed,2023-03-10 09:09:00.000000000,2023-03-09 09:09:00,Luke Wilson,INC0000000078,employee,Australia,Fred Luddy,ITIL User,2023-03-10 09:09:00.000000000,Printer546 in Australia is causing an issue,Hardware,1 - Critical
Network,Resolved,2023-03-11 09:09:00.000000000,2023-03-10 09:09:00,Charlie Whitherspoon,INC0000000079,employee,UK,Charlie Whitherspoon,Bud Richman,2023-03-11 09:09:00.000000000,Network connection lost in UK,Network,1 - Critical
Network,Closed,2023-03-13 09:38:15.903837660,2023-03-10 14:49:00,Fred Luddy,INC0000000080,employee,India,Fred Luddy,ITIL User,2023-03-13 09:38:15.903837660,Unable to establish a connection to the local server,Network,2 - High
Database,Closed,2023-03-17 12:37:48.453885624,2023-03-11 06:39:00,Luke Wilson,INC0000000081,system,United States,Beth Anglin,Bud Richman,2023-03-17 12:37:48.453885624,Unable to connect to Database567,Database,2 - High
Hardware,Closed,2023-03-16 11:23:45.848878332,2023-03-13 02:53:00,Beth Anglin,INC0000000082,admin,United States,Howard Johnson,David Loo,2023-03-16 11:23:45.848878332,Hard drive failure in laptop HL349,Hardware,2 - High
Database,Closed,2023-03-26 23:30:22.193990107,2023-03-13 07:44:00,Fred Luddy,INC0000000083,system,Canada,Charlie Whitherspoon,Bud Richman,2023-03-26 23:30:22.193990107,Unable to connect to SQL Database 219,Database,2 - High
Hardware,Closed,2023-03-14 22:49:22.720352152,2023-03-13 10:05:00,Fred Luddy,INC0000000084,system,Australia,Luke Wilson,David Loo,2023-03-14 22:49:22.720352152,Issue with Printer210,Hardware,2 - High
Hardware,Closed,2023-03-18 09:32:55.751173465,2023-03-13 11:36:00,Charlie Whitherspoon,INC0000000085,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-03-18 09:32:55.751173465,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Resolved,2023-03-23 14:56:55.026865443,2023-03-14 00:04:00,Charlie Whitherspoon,INC0000000086,admin,Australia,Luke Wilson,David Loo,2023-03-23 14:56:55.026865443,Issue with Printer546 in Australia office,Hardware,2 - High
Hardware,Resolved,2023-03-26 11:10:50.949076210,2023-03-17 00:19:00,Charlie Whitherspoon,INC0000000087,admin,Australia,Howard Johnson,David Loo,2023-03-26 11:10:50.949076210,Printer546 is malfunctioning,Hardware,1 - Critical
Hardware,Resolved,2023-03-18 07:40:00.000000000,2023-03-17 07:40:00,Charlie Whitherspoon,INC0000000088,employee,Australia,Fred Luddy,David Loo,2023-03-18 07:40:00.000000000,Printer546 has a paper jam,Hardware,2 - High
Hardware,Resolved,2023-03-22 15:24:16.646216503,2023-03-18 01:04:00,Charlie Whitherspoon,INC0000000089,employee,Australia,Fred Luddy,David Loo,2023-03-22 15:24:16.646216503,Printer546 is malfunctioning in Australia,Hardware,1 - Critical
Software,Resolved,2023-03-26 17:14:15.209900642,2023-03-19 09:40:00,Charlie Whitherspoon,INC0000000090,system,United States,Fred Luddy,Don Goodliffe,2023-03-26 17:14:15.209900642,Software update failure on work PC,Software,3 - Moderate
Hardware,Resolved,2023-03-21 01:02:44.587646914,2023-03-19 12:57:00,Fred Luddy,INC0000000091,admin,Australia,Beth Anglin,David Loo,2023-03-21 01:02:44.587646914,Printer546 is not working,Hardware,1 - Critical
Network,Resolved,2023-03-31 07:59:26.909209525,2023-03-19 14:53:00,Howard Johnson,INC0000000092,employee,Australia,Fred Luddy,Bud Richman,2023-03-31 07:59:26.909209525,Network downtime issue in Australia,Network,1 - Critical
Inquiry / Help,Closed,2023-04-04 19:04:22.181856865,2023-03-22 13:51:00,Fred Luddy,INC0000000093,admin,United States,Charlie Whitherspoon,ITIL User,2023-04-04 19:04:22.181856865,Need help with software installation,Service Desk,2 - High
Hardware,Resolved,2023-03-29 18:40:47.611595618,2023-03-22 14:07:00,Howard Johnson,INC0000000094,system,Australia,Howard Johnson,David Loo,2023-03-29 18:40:47.611595618,Printer546 is having a paper jam issue,Hardware,1 - Critical
Hardware,Resolved,2023-04-13 00:44:40.599581505,2023-03-22 20:33:00,Luke Wilson,INC0000000095,admin,India,Beth Anglin,ITIL User,2023-04-13 00:44:40.599581505,Server error on HDD2385,Hardware,2 - High
Hardware,Resolved,2023-03-31 08:03:25.091057805,2023-03-23 07:51:00,Charlie Whitherspoon,INC0000000096,admin,Australia,Luke Wilson,David Loo,2023-03-31 08:03:25.091057805,Printer546 is not working,Hardware,2 - High
Hardware,Resolved,2023-03-30 05:18:20.748165094,2023-03-23 16:57:00,Luke Wilson,INC0000000097,employee,UK,Charlie Whitherspoon,David Loo,2023-03-30 05:18:20.748165094,Issue with workstation PC238,Hardware,3 - Moderate
Software,Closed,2023-04-08 08:46:45.358954276,2023-03-23 22:07:00,Beth Anglin,INC0000000098,system,India,Howard Johnson,Bud Richman,2023-04-08 08:46:45.358954276,Bug detected in accounting software,Software,2 - High
Hardware,Closed,2023-03-29 09:27:22.091188363,2023-03-26 03:15:00,Luke Wilson,INC0000000099,employee,Australia,Charlie Whitherspoon,David Loo,2023-03-29 09:27:22.091188363,Printer546 is not working properly,Hardware,2 - High
Hardware,Resolved,2023-04-08 15:04:33.153395278,2023-03-26 20:37:00,Fred Luddy,INC0000000100,system,Australia,Beth Anglin,ITIL User,2023-04-08 15:04:33.153395278,Printer546 in Australia is not working,Hardware,1 - Critical
Hardware,Closed,2023-04-08 07:50:02.291054808,2023-03-27 23:22:00,Fred Luddy,INC0000000101,system,Canada,Charlie Whitherspoon,Bud Richman,2023-04-08 07:50:02.291054808,Laptop973 malfunction in Canada location,Hardware,1 - Critical
Hardware,Resolved,2023-04-04 09:15:27.409492338,2023-03-29 01:49:00,Fred Luddy,INC0000000102,employee,Australia,Fred Luddy,Don Goodliffe,2023-04-04 09:15:27.409492338,Printer546 is down,Hardware,1 - Critical
Hardware,Closed,2023-04-05 05:58:43.770711476,2023-03-29 05:22:00,Luke Wilson,INC0000000103,admin,India,Fred Luddy,Don Goodliffe,2023-04-05 05:58:43.770711476,Server076 overheating issue,Hardware,2 - High
Hardware,Resolved,2023-03-31 22:32:42.024027147,2023-03-30 00:58:00,Charlie Whitherspoon,INC0000000104,system,Australia,Charlie Whitherspoon,David Loo,2023-03-31 22:32:42.024027147,Printer546 is not working properly,Hardware,1 - Critical
Hardware,Resolved,2023-04-16 00:36:30.146701781,2023-04-01 09:01:00,Luke Wilson,INC0000000105,employee,Australia,Beth Anglin,David Loo,2023-04-16 00:36:30.146701781,Printer issue with Printer546 in Australia,Hardware,3 - Moderate
Network,Resolved,2023-04-08 23:37:33.628402771,2023-04-02 15:37:00,Howard Johnson,INC0000000106,system,Australia,Fred Luddy,Bud Richman,2023-04-08 23:37:33.628402771,Internet connectivity issue with Australian network,Network,2 - High
Hardware,Closed,2023-04-13 19:24:58.346273013,2023-04-03 23:10:00,Howard Johnson,INC0000000107,employee,United States,Fred Luddy,ITIL User,2023-04-13 19:24:58.346273013,US Server Unresponsive,Hardware,2 - High
Hardware,Resolved,2023-04-09 09:12:14.485573467,2023-04-04 04:43:00,Charlie Whitherspoon,INC0000000108,admin,Australia,Luke Wilson,Don Goodliffe,2023-04-09 09:12:14.485573467,Issue with Printer276 in Australia,Hardware,2 - High
Hardware,Resolved,2023-04-17 20:17:35.569877984,2023-04-05 00:45:00,Fred Luddy,INC0000000109,admin,Australia,Fred Luddy,Bud Richman,2023-04-17 20:17:35.569877984,Printer546 is not working in Australia location,Hardware,2 - High
Network,Resolved,2023-04-13 15:50:15.123078287,2023-04-08 12:59:00,Charlie Whitherspoon,INC0000000110,employee,Australia,Howard Johnson,Don Goodliffe,2023-04-13 15:50:15.123078287,Network outage reported,Network,1 - Critical
Hardware,Resolved,2023-04-13 02:17:59.600859991,2023-04-08 22:13:00,Charlie Whitherspoon,INC0000000111,employee,Australia,Luke Wilson,Bud Richman,2023-04-13 02:17:59.600859991,Printer546 is malfunctioning in Australia,Hardware,2 - High
Database,Closed,2023-04-15 04:23:54.073331834,2023-04-09 10:28:00,Beth Anglin,INC0000000112,employee,India,Fred Luddy,David Loo,2023-04-15 04:23:54.073331834,Unable to connect to SQL Database,Database,3 - Moderate
Hardware,Resolved,2023-04-17 11:40:20.915287122,2023-04-09 15:33:00,Beth Anglin,INC0000000113,admin,Australia,Fred Luddy,Don Goodliffe,2023-04-17 11:40:20.915287122,Printer error on Printer546,Hardware,1 - Critical
Hardware,Closed,2023-04-24 09:36:05.775625483,2023-04-10 12:12:00,Beth Anglin,INC0000000114,employee,Australia,Fred Luddy,Bud Richman,2023-04-24 09:36:05.775625483,Printer546 is not working,Hardware,2 - High
Hardware,Resolved,2023-04-13 12:12:50.918205479,2023-04-11 08:43:00,Charlie Whitherspoon,INC0000000115,employee,Australia,Beth Anglin,Don Goodliffe,2023-04-13 12:12:50.918205479,Printer546 is not responding,Hardware,2 - High
Hardware,Resolved,2023-04-22 08:16:59.883429480,2023-04-11 11:50:00,Beth Anglin,INC0000000116,admin,UK,Luke Wilson,ITIL User,2023-04-22 08:16:59.883429480,UK Printer546 malfunctioning,Hardware,2 - High
Network,Resolved,2023-04-13 09:52:00.000000000,2023-04-12 09:52:00,Charlie Whitherspoon,INC0000000117,employee,Canada,Beth Anglin,Bud Richman,2023-04-13 09:52:00.000000000,Network outage at Canada site,Network,1 - Critical
Network,Resolved,2023-04-13 12:13:00.000000000,2023-04-12 12:13:00,Charlie Whitherspoon,INC0000000118,employee,UK,Fred Luddy,ITIL User,2023-04-13 12:13:00.000000000,Network failure in region UK,Network,1 - Critical
