department,type,state,processed_date,user,amount,category,source_id,opened_at,number,short_description,ci
Customer Support,,Processed,2023-06-15 11:41:00,Janice Twiet,1497,Services,VLM-47835397,2023-06-08 11:41:00,EXP00000035,Automatic service configuration entry for asset,Cloud Computing Service
Sales,,Processed,2023-08-08 07:03:00,Cristina Sharper,964,Services,ENX-82776262,2023-08-05 07:03:00,EXP00000036,Deployment of new asset within Services,Microsoft Azure SQL Database
IT,,Pending,,Helene Iberg,4135,Miscellaneous,,2023-03-26 19:35:00,EXP00000037,New miscellaneous hardware asset added,HP Elitebook 840 G7
Customer Support,,Processed,2023-04-03 08:24:00,Owen Sparacino,270,Miscellaneous,,2023-04-01 08:24:00,EXP00000038,Acquisition of Miscellaneous Hardware Asset,DJI Drone Phantom 4
Customer Support,,Processed,2023-05-18 21:08:00,Geri Forness,5591,Assets,UXJ-76163464,2023-04-27 21:08:00,EXP00000039,Dell Latitude 5500 laptop asset,Dell Latitude 5500
Customer Support,,Pending,,Sal Pindell,1749,Services,PLK-73146731,2024-01-23 19:55:00,EXP00000040,Provisioning of new Cloud Service,AWS EC2 Instance
Customer Support,,Processed,2023-06-23 06:09:00,Lynda Caraway,5189,Travel,,2023-06-03 06:09:00,EXP00000041,Travel related asset,Business Trip Laptop
Sales,,Pending,,Carolina Kinlaw,6310,Assets,TZY-74638805,2023-07-06 22:21:00,EXP00000042,Automatically generated asset entry for IT department,Dell Latitude 7490
Customer Support,,Processed,2024-01-05 12:07:00,Misty Ericksen,2220,Miscellaneous,,2023-12-26 12:07:00,EXP00000043,Randomly generated ancillary hardware,Logitech Wireless Mouse
Customer Support,,Processed,2023-10-15 09:03:00,Georgette Bandyk,1299,Services,TKS-55613616,2023-10-11 09:03:00,EXP00000044,Automated service asset creation,Database Service Host Server
Customer Support,,Processed,2024-02-20 04:36:00,Valerie Pou,878,Miscellaneous,,2024-02-15 04:36:00,EXP00000045,Auto-generated miscellaneous hardware asset,Wireless Mouse MX Master
Sales,,Processed,2023-03-31 05:15:00,Carolina Kinlaw,4181,Assets,UZS-43862783,2023-03-15 05:15:00,EXP00000046,Generated configuration for Dell Latitude 5400,Dell Latitude 5400
Customer Support,,Declined,,Helena Suermann,1246,Services,RVF-00511301,2024-01-30 07:11:00,EXP00000047,Automatically generated expense line for creation of service asset,Cloud-based Data Analysis Service
Customer Support,,Submitted,,Shelley Groden,4743,Miscellaneous,,2024-02-14 22:45:00,EXP00000048,ServiceNow Hardware Asset - Miscellaneous category,Dell Latitude 7490
Customer Support,,Processed,2023-12-30 04:54:00,Sean Bonnet,2233,Assets,LYU-01471984,2023-12-21 04:54:00,EXP00000049,Purchase of new hardware asset for IT department,Dell Optiplex 9020 Desktop PC
Customer Support,,Pending,,Mabel Weeden,962,Services,AQN-78229534,2023-02-11 00:04:00,EXP00000050,Provision of IT services upgrade,ServiceNow ITSM
Customer Support,,Pending,,Geri Forness,2365,Assets,LRO-68699498,2023-12-17 20:45:00,EXP00000051,New asset added to the pool,Dell Precision 5530
Customer Support,,Submitted,,Danny Dales,1417,Services,ZLL-73089399,2024-03-07 23:06:00,EXP00000052,Automatically generated billing line for creation of service,Cloud Data Service
Sales,,Processed,2023-10-14 21:56:00,Howard Johnson,7526,Assets,XVA-20145785,2023-09-14 21:56:00,EXP00000053,Automatically generated asset line for creation of asset,Dell Latitude 5490
Customer Support,,Processed,2023-09-29 07:24:00,Ofelia Sheffler,1918,Services,QIV-96283167,2023-09-20 07:24:00,EXP00000054,Automatically generated service line for asset creation,Web Hosting Service
Customer Support,,Processed,2024-01-22 09:56:00,Wilfredo Gidley,4093,Assets,GWS-05412323,2024-01-05 09:56:00,EXP00000055,Auto-generated record for HP EliteBook asset,HP EliteBook 840 G5
Sales,,Processed,2023-12-07 19:41:00,Carolina Kinlaw,3887,Assets,IAU-51569946,2023-11-21 19:41:00,EXP00000056,Automatically generated asset record for computer equipment,Dell Latitude E7470 - Serial No. ALM192837DN
Sales,,Processed,2024-01-10 12:32:00,Karen Zombo,4160,Miscellaneous,,2023-12-27 12:32:00,EXP00000057,Automatically generated expense line for creation of asset in Miscellaneous category,Apple Watch Series 6
Customer Support,,Processed,2024-03-28 23:12:00,Rachel Larrison,2692,Miscellaneous,,2024-03-18 23:12:00,EXP00000058,Addition of new Miscellaneous asset,Miscellaneous Item 123
Customer Support,,Processed,2024-03-05 02:46:00,Jimmie Kertzman,3453,Miscellaneous,,2024-02-20 02:46:00,EXP00000059,Miscellaneous hardware asset registration,Dell Monitor 27 Inch
Customer Support,,Declined,,Rachel Larrison,3755,Miscellaneous,,2023-05-15 02:10:00,EXP00000060,Acquisition of new miscellaneous asset,Office Chair Model X
Customer Support,,Processed,2024-02-11 17:56:00,Ofelia Sheffler,4145,Assets,ONI-11710063,2024-01-27 17:56:00,EXP00000061,Asset registration for new server,Dell PowerEdge R740
Customer Support,,Submitted,,Lynda Caraway,2625,Travel,,2024-03-19 06:20:00,EXP00000062,Travel expense generated for asset registration,Travel Laptop Dell XPS 13
Customer Support,,Processed,2024-02-04 00:41:00,Helena Suermann,6214,Travel,,2024-01-12 00:41:00,EXP00000063,Automatically generated expense line for travel equipment,Travel Suitcase Model 2020
Customer Support,,Processed,2023-09-23 20:31:00,Rachel Larrison,768,Services,SHY-95051158,2023-09-20 20:31:00,EXP00000064,Service-related hardware asset creation,Cisco WebEx Services Server
IT,,Processed,2023-05-25 11:21:00,Helene Iberg,2310,Assets,VIP-62906408,2023-05-14 11:21:00,EXP00000065,Automatically generated asset record for new hardware,Dell Latitude 7490
Customer Support,,Processed,2023-06-27 12:57:00,Misty Ericksen,1719,Assets,HCT-97044677,2023-06-22 12:57:00,EXP00000066,Automated asset creation for Dell computer,Dell Inspiron 3583
Sales,,Processed,2023-02-17 03:30:00,Leif Bachta,1400,Services,DBL-73319779,2023-02-11 03:30:00,EXP00000067,Provision of outsourced IT services,Outsourced IT Service Provider
Customer Support,,Submitted,,Sean Bonnet,309,Miscellaneous,,2023-07-29 13:52:00,EXP00000068,Miscellaneous hardware asset acquisition,Config_item_Misc_Hardware_67854
Customer Support,,Submitted,,Zackary Mockus,3747,Assets,JVJ-33411305,2023-05-20 11:42:00,EXP00000069,Automatically generated asset line for hardware addition,HP Spectre x360
Development,,Submitted,,Ramon Amaral,3982,Miscellaneous,,2024-02-21 12:48:00,EXP00000070,Miscellaneous Hardware Asset Creation,Logitech G502 Mouse
Sales,,Processed,2024-02-09 05:36:00,Lacy Hyten,1267,Services,SRV-19135146,2024-02-05 05:36:00,EXP00000071,Registration of new service asset,Cloud Hosting Service
Customer Support,,Processed,2023-02-23 13:45:00,Helga Windle,3980,Miscellaneous,,2023-02-06 13:45:00,EXP00000072,Acquisition of miscellaneous hardware asset,Logitech HD Webcam
Customer Support,,Processed,2023-10-18 05:52:00,Georgette Bandyk,4277,Assets,VYX-71186327,2023-09-30 05:52:00,EXP00000073,Automated asset entry for new server,Dell PowerEdge R740
Customer Support,,Processed,2024-05-03 11:43:00,Darrel Tork,6062,Assets,RJX-73348134,2024-04-10 11:43:00,EXP00000074,Automatically generated hardware line for creation of asset,Dell Latitude 5411
Customer Support,,Processed,2023-04-01 19:35:00,Rachel Larrison,7382,Assets,BJW-12661267,2023-03-03 19:35:00,EXP00000075,Newly registered asset for the company,Dell Latitude 13
Customer Support,,Processed,2023-10-30 08:45:00,Petra Mcnichol,4946,Travel,,2023-10-11 08:45:00,EXP00000076,Creation of new travel related asset,Travel Booking System 900
Customer Support,,Pending,,Carmel Overfelt,958,Services,HNC-20165943,2023-07-07 11:03:00,EXP00000077,Service-linked hardware asset,Cloud Database Service
IT,,Pending,,Forest Orea,8076,Assets,QPF-20074122,2024-03-25 05:29:00,EXP00000078,Inhouse purchase of office laptop,Dell Latitude 7410
IT,,Processed,2023-10-23 06:24:00,Helene Iberg,5097,Assets,UGM-35035888,2023-10-03 06:24:00,EXP00000079,Infrastructure asset procured for network maintenance,Cisco Router 2900 Series
Customer Support,,Processed,2023-06-29 01:00:00,Valerie Pou,152,Miscellaneous,,2023-06-26 01:00:00,EXP00000080,Purchase of assorted hardware equipment,Miscellaneous Asset 102
Sales,,Processed,2023-03-17 08:12:00,Savannah Loffier,2444,Assets,YLN-60292771,2023-03-08 08:12:00,EXP00000081,Newly acquired high-performance server for data operations,Data Server HP ProLiant DL385 Gen10
IT,,Processed,2023-11-18 03:01:00,Helene Iberg,1988,Assets,PDA-03002581,2023-11-10 03:01:00,EXP00000082,Addition of new hardware asset,Dell Latitude 7400
Customer Support,,Pending,,Zackary Mockus,434,Services,POI-84981034,2024-01-24 08:43:00,EXP00000083,Automatically generated service asset,Cloud Application Service
Sales,,Pending,,Leif Bachta,3378,Miscellaneous,,2024-02-23 12:39:00,EXP00000084,Newly purchased asset for various office utility,Office Chair Premium Model
Customer Support,,Pending,,Helena Suermann,1955,Miscellaneous,,2023-04-13 16:23:00,EXP00000085,Automatically generated asset entry for miscellaneous item,Logitech Wireless Mouse M185
Customer Support,,Processed,2023-02-19 08:30:00,Felipe Mahone,2638,Assets,YJO-32103941,2023-02-08 08:30:00,EXP00000086,New hardware asset added to the company,Dell Latitude 7400
Customer Support,,Processed,2024-02-14 13:20:00,Petra Mcnichol,8156,Assets,IGX-28169448,2024-01-16 13:20:00,EXP00000087,Generated asset record for IT department,HP EliteBook 850 G5
Sales,,Processed,2023-05-04 11:03:00,Leif Bachta,1477,Services,DLV-94078096,2023-04-27 11:03:00,EXP00000088,Service implementation for new CRM system,Salesforce Cloud Services
Finance,,Submitted,,Fausto Marks,4736,Travel,,2023-12-06 14:23:00,EXP00000089,Travel related hardware asset,Portable Projector
Customer Support,,Processed,2023-03-14 10:35:00,Viola Mcsorley,2300,Miscellaneous,,2023-03-04 10:35:00,EXP00000090,Installation of new miscellaneous hardware asset,Workstation Series 7
Customer Support,,Processed,2023-12-24 18:07:00,Geri Forness,1570,Services,DSB-17467850,2023-12-16 18:07:00,EXP00000091,Service deployment on main server,Database Server 1
Customer Support,,Processed,2023-12-20 00:00:00,Georgette Bandyk,2720,Assets,YLD-39039555,2023-12-09 00:00:00,EXP00000092,Infrastructure asset added to the system,Cisco 2960 Series Switch
Customer Support,,Processed,2023-04-08 10:18:00,Georgette Bandyk,5552,Assets,IKW-65975135,2023-03-19 10:18:00,EXP00000093,Inventory update for new hardware acquisition,Dell Latitude 7420
Customer Support,,Processed,2023-07-02 02:31:00,Sal Pindell,3751,Assets,OSW-71435497,2023-06-18 02:31:00,EXP00000094,Automatically registered asset upon procurement,Dell Latitude 5410
Finance,,Processed,2023-07-07 23:48:00,Germaine Bruski,1554,Services,ZZZ-47198963,2023-07-01 23:48:00,EXP00000095,Auto-created service configuration asset,Managed Cloud Service
Customer Support,,Processed,2024-01-26 03:30:00,Mabel Weeden,1478,Travel,,2024-01-18 03:30:00,EXP00000096,Registered travel equipment purchase,Portable travel router
Customer Support,,Processed,2023-04-22 22:07:00,Nelly Jakuboski,1541,Services,FLX-04523398,2023-04-15 22:07:00,EXP00000097,Automatically generated service asset,Office 365 Subscription Service
Development,,Processed,2023-06-21 11:43:00,Cyril Behen,5320,Travel,,2023-05-30 11:43:00,EXP00000098,Automatically generated asset for travel equipment,"Portable Battery Pack 20,000mAh"
Customer Support,,Submitted,,Misty Ericksen,7158,Assets,EJM-68863050,2024-03-30 03:35:00,EXP00000099,Automatically generated asset line for creation of Lenovo Thinkpad,Lenovo Thinkpad T480
Sales,,Processed,2024-03-01 12:40:00,Howard Johnson,1712,Travel,,2024-02-23 12:40:00,EXP00000100,Automatically generated expense line for creation of travel asset,High-End Travel Pack
Sales,,Submitted,,Essie Vaill,3517,Travel,,2023-10-14 13:50:00,EXP00000101,Travel expense incurred for asset acquisition,Travel Laptop Dell XPS 13
Sales,,Processed,2023-08-25 03:49:00,Nadia Wilshire,1682,Services,ENO-88226916,2023-08-17 03:49:00,EXP00000102,Automatically generated asset line for creation of service,Cloud Server Service
Customer Support,,Processed,2024-04-08 14:56:00,Felipe Mahone,4812,Assets,ZGR-85862289,2024-03-19 14:56:00,EXP00000103,Generated asset entry for hardware management,Dell Latitude E7240
Customer Support,,Processed,2024-02-03 18:45:00,Petra Mcnichol,3992,Miscellaneous,,2024-01-20 18:45:00,EXP00000104,Added miscellaneous hardware item,Wireless Mouse Model 100
Customer Support,,Declined,,Sal Pindell,1673,Services,WTV-43638345,2023-10-15 08:00:00,EXP00000105,Provisioning of Managed IT Services,Cisco Managed Network Services
IT,,Processed,2023-06-06 09:48:00,Sadie Rowlett,4949,Assets,LQG-43987991,2023-05-17 09:48:00,EXP00000106,Generated data for asset purchase,Dell Latitude 7410
Customer Support,,Processed,2023-04-28 07:01:00,Helga Windle,7542,Assets,SEW-73495566,2023-03-29 07:01:00,EXP00000107,Automated created asset description for new hardware equipment,Projector Model S441
Sales,,Pending,,Cristina Sharper,6239,Assets,BKC-39096601,2023-02-22 16:15:00,EXP00000108,Automatically generated line for asset creation,IBM Laptop Thinkpad
Customer Support,,Processed,2023-08-30 22:33:00,Janice Twiet,8116,Assets,NMS-35159042,2023-07-29 22:33:00,EXP00000109,Manually entered inventory registration of new hardware,Dell Optiplex 9010 Desktop
Customer Support,,Processed,2023-04-18 05:15:00,Viola Mcsorley,3716,Assets,JCF-90739920,2023-04-03 05:15:00,EXP00000110,Asset registration for new hardware,Dell Latitude E5470
Customer Support,,Processed,2023-09-17 12:45:00,Marcie Shulz,8223,Assets,HPA-25075756,2023-08-18 12:45:00,EXP00000111,Provision of new hardware asset,HP EliteBook 840 G6
Customer Support,,Declined,,Valerie Pou,2496,Miscellaneous,,2023-03-23 15:06:00,EXP00000112,Miscellaneous item added to asset list,21002032
Sales,,Processed,2024-01-05 21:57:00,Carolina Kinlaw,234,Services,WAE-82547862,2024-01-03 21:57:00,EXP00000113,Provision of cloud services for asset management,Amazon Web Services
Sales,,Processed,2023-07-12 19:35:00,Essie Vaill,2678,Assets,CGB-13103348,2023-07-01 19:35:00,EXP00000114,ServiceNow hardware asset,Lenovo ThinkPad T490
Sales,,Processed,2023-06-04 14:51:00,Raphael Bickel,196,Services,EJU-17014298,2023-06-03 14:51:00,EXP00000115,ServiceNow infrastructure server,Cloud Service Provider
Customer Support,,Processed,2023-04-24 05:34:00,Sal Pindell,1867,Miscellaneous,,2023-04-16 05:34:00,EXP00000116,Addition for Computer Accessories,Dell Alienware Wired Mouse
Customer Support,,Processed,2024-03-20 12:12:00,Darrel Tork,107,Miscellaneous,,2024-03-19 12:12:00,EXP00000117,Automatically created record for Miscellaneous asset,Wireless Mouse Model X
Product Management,,Processed,2023-09-19 17:34:00,Mamie Mcintee,7904,Assets,ZLV-38474422,2023-08-17 17:34:00,EXP00000118,Asset registration for new server,Dell PowerEdge R640
Sales,,Processed,2023-09-12 18:51:00,Bertie Luby,729,Services,OQW-37163028,2023-09-08 18:51:00,EXP00000119,Automatically generated line for asset creation of Services,Cloud Data Services
Sales,,Pending,,Savannah Loffier,4697,Miscellaneous,,2023-08-07 04:50:00,EXP00000120,Miscellaneous hardware asset,Dell Ultrasharp Monitor
IT,,Processed,2023-06-22 19:10:00,Vernon Engelman,1134,Services,FKI-85586918,2023-06-17 19:10:00,EXP00000121,Software services subscription for asset,Microsoft 365 Services
Sales,,Pending,,Savannah Loffier,7605,Assets,WDX-13596482,2023-04-27 06:31:00,EXP00000122,Dell Latitude 14 inch Laptop Asset,Dell Latitude 7410
Customer Support,,Processed,2023-12-08 22:24:00,Sean Bonnet,3340,Travel,,2023-11-25 22:24:00,EXP00000123,Automatically generated expense line for procurement of travel assets,Corporate Travel Management System
Customer Support,,Processed,2023-08-05 02:58:00,Sean Bonnet,6746,Assets,YLA-83587370,2023-07-10 02:58:00,EXP00000124,Automatically generated asset for Dell Latitude laptop,Dell Latitude E7390
Sales,,Pending,,Bertie Luby,1898,Assets,IJI-41690147,2023-10-29 00:44:00,EXP00000125,Asset record for Dell Latitude 7490,Dell Latitude 7490
Customer Support,,Processed,2023-04-30 01:05:00,Janice Twiet,566,Services,GDH-18635867,2023-04-28 01:05:00,EXP00000126,Automatically created service record for asset management,Cloud Database Service
Customer Support,,Declined,,Janice Twiet,4088,Assets,ZGO-91430501,2023-02-14 04:13:00,EXP00000127,Allocation of new hardware asset,Dell Latitude 7410
Product Management,,Processed,2024-03-04 11:30:00,Mamie Mcintee,1769,Services,UBT-31386952,2024-02-26 11:30:00,EXP00000128,Newly deployed Oracle enterprise service,Oracle Database Server 12c
Finance,,Processed,2024-03-19 07:59:00,Germaine Bruski,7262,Travel,,2024-02-21 07:59:00,EXP00000129,Travel Equipment - New Luggage,Samsonite Ultimaker Spinner 22.5
Customer Support,,Processed,2023-03-02 01:00:00,Shelley Groden,1668,Assets,UPE-80215934,2023-02-24 01:00:00,EXP00000130,HP Printer added as new asset,HP LaserJet Pro
Customer Support,,Submitted,,Sue Haakinson,3737,Assets,QAI-05954891,2023-10-24 14:38:00,EXP00000131,Automatically generated asset for new corporate asset,Dell Latitude 7420
Customer Support,,Processed,2024-03-05 01:08:00,Carmel Overfelt,2032,Assets,TVH-55614728,2024-02-27 01:08:00,EXP00000132,Registration of new Dell Latitude 7400 under assets,Dell Latitude 7400
Customer Support,,Pending,,Mabel Weeden,6026,Assets,XPS-04613505,2023-07-26 06:22:00,EXP00000133,Company new hardware asset acquisition,Dell Latitude 5420
Sales,,Processed,2023-11-24 04:41:00,Carolina Kinlaw,734,Travel,,2023-11-21 04:41:00,EXP00000134,Travel expense generated for new asset,Travel Briefcase
Customer Support,,Processed,2023-06-16 13:33:00,Geri Forness,2640,Miscellaneous,,2023-06-07 13:33:00,EXP00000135,Equipment purchase for various office utilities,Miscellaneous Hardware Asset 001
Sales,,Processed,2023-09-16 03:34:00,Bertie Luby,3996,Assets,HLN-42417656,2023-08-30 03:34:00,EXP00000136,IT Dell Laptop assigned to John Doe,ITT_Dell_Laptop_001
Customer Support,,Submitted,,Valerie Pou,521,Services,UVU-39548100,2024-01-13 19:33:00,EXP00000137,Automatically generated asset for IT service,Cloud Based Server-1
Customer Support,,Processed,2023-12-08 06:05:00,Geri Forness,1746,Travel,,2023-12-03 06:05:00,EXP00000138,Reservation of business travelling assets,Business Class Flight Tickets
Customer Support,,Processed,2023-05-12 13:29:00,Marcie Shulz,1688,Services,XGL-15423288,2023-05-05 13:29:00,EXP00000139,Creation of service asset,ServiceNow Enterprise
Customer Support,,Processed,2023-06-01 20:15:00,Ofelia Sheffler,220,Miscellaneous,,2023-05-31 20:15:00,EXP00000140,Added miscellaneous hardware asset,NVIDIA GeForce RTX 3060
Sales,,Processed,2023-11-21 04:03:00,Essie Vaill,6913,Assets,TDO-69641452,2023-10-26 04:03:00,EXP00000141,Internally purchased hardware asset,Dell OptiPlex 3080 Desktop Computer
Development,,Processed,2023-08-31 13:30:00,Cyril Behen,7637,Travel,,2023-08-03 13:30:00,EXP00000142,Travel related hardware asset,Portable Mobile Charger
Finance,,Processed,2023-10-30 02:32:00,Fausto Marks,2863,Assets,JOC-71085922,2023-10-17 02:32:00,EXP00000143,Dell Latitude Laptop Asset Creation,Dell Latitude 5490
Customer Support,,Processed,2023-12-14 14:24:00,Lynda Caraway,5688,Travel,,2023-11-20 14:24:00,EXP00000144,Travel department's necessary asset,Travel guide application license
Development,,Processed,2023-09-19 14:58:00,Ramon Amaral,5138,Assets,FCM-11880530,2023-08-30 14:58:00,EXP00000145,Asset Maintenance for Lenovo Thinkpad,Lenovo Thinkpad X1 Carbon
Customer Support,,Submitted,,Owen Sparacino,8347,Assets,MSD-86312495,2023-02-20 03:49:00,EXP00000146,Automatically generated hardware asset,100-001-HP Elitebook 850
IT,,Declined,,Vernon Engelman,230,Miscellaneous,,2023-05-20 14:06:00,EXP00000147,Miscellaneous hardware assets,Randomized Computer Gear
Sales,,Submitted,,Carolina Kinlaw,6541,Assets,TUG-93297190,2024-02-14 09:27:00,EXP00000148,Automated setup script for new asset registration,Cisco Catalyst 9200 Series Switches
Customer Support,,Processed,2023-07-16 11:53:00,Danny Dales,3335,Travel,,2023-07-04 11:53:00,EXP00000149,Travel related expense recorded for new asset generation,Business Travel Essentials Kit
Customer Support,,Pending,,Mitzi Ihenyen,2063,Assets,TBH-69165234,2023-08-05 01:06:00,EXP00000150,Generated asset - Dell Inspiron 15 3000,Dell Inspiron 15 3000
IT,,Processed,2024-03-05 18:51:00,Virgil Chinni,1990,Services,PST-68079026,2024-02-25 18:51:00,EXP00000151,Automatically generated service line for creation of asset,Cloud Server Service
Customer Support,,Processed,2024-01-15 03:54:00,Owen Sparacino,842,Services,XXZ-72499389,2024-01-12 03:54:00,EXP00000152,Provision of cloud storage service,AWS S3 Service Instance
IT,,Processed,2024-01-06 09:56:00,Forest Orea,2781,Assets,OUG-44773390,2023-12-27 09:56:00,EXP00000153,Lenovo ThinkPad T490 asset registration,Lenovo ThinkPad T490
HR,,Declined,,Rosalie Krigger,484,Services,VYK-85688810,2023-10-02 15:37:00,EXP00000154,Installation of new server rack,Panasonic Server FZ-T1
IT,,Submitted,,Virgil Chinni,817,Services,CXK-96657711,2023-09-09 05:19:00,EXP00000155,Automatically generated asset for provision of Services,Cloud Service Platform
Finance,,Declined,,Germaine Bruski,6049,Travel,,2024-04-02 21:22:00,EXP00000156,Travel expense for new hardware asset,Samsonite Mobile Solutions Luggage
Customer Support,,Pending,,Sean Bonnet,4997,Assets,EJL-65028996,2023-05-19 14:10:00,EXP00000157,Newly procured hardware asset,Dell Latitude 3410
Sales,,Pending,,Essie Vaill,1997,Services,RIE-92940693,2024-02-13 06:40:00,EXP00000158,Subscription for professional service,Microsoft Office 365 Suite
