sys_updated_by,assigned_to,sys_updated_on,caller_id,opened_at,category,number,state,closed_at,closed_by,short_description,assignment_group,priority
employee,Luke Wilson,2023-01-29 19:08:00.000000000,Bud Richman,2023-01-28 19:08:00,Hardware,INC0000000025,Resolved,2023-01-29 19:08:00.000000000,Luke Wilson,Email system delay causing workflow disruption,Service Desk,2 - High
system,Fred Luddy,2023-02-05 05:47:35.912719983,Bud Richman,2023-01-29 03:18:00,Hardware,INC0000000026,Resolved,2023-02-05 05:47:35.912719983,Fred Luddy,Email system downtime impacting multiple users,Service Desk,1 - Critical
employee,Fred Luddy,2023-02-01 12:08:12.298243126,ITIL User,2023-01-29 16:11:00,Hardware,INC0000000027,Closed,2023-02-01 12:08:12.298243126,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-02-09 18:41:37.416041897,ITIL User,2023-01-30 09:15:00,Software,INC0000000028,Closed,2023-02-09 18:41:37.416041897,Howard Johnson,Email server downtime impacting department operations,Network,1 - Critical
admin,Beth Anglin,2023-02-11 14:19:20.851731421,Bud Richman,2023-01-30 09:22:00,Software,INC0000000029,Closed,2023-02-11 14:19:20.851731421,Beth Anglin,Email system delay causing backlog,Service Desk,2 - High
employee,Beth Anglin,2023-02-10 15:58:31.855726200,ITIL User,2023-02-01 07:21:00,Inquiry / Help,INC0000000030,Closed,2023-02-10 15:58:31.855726200,Fred Luddy,Unable to connect to corporate VPN,Network,2 - High
admin,Luke Wilson,2023-02-03 02:21:07.969252382,ITIL User,2023-02-01 07:35:00,Software,INC0000000031,Resolved,2023-02-03 02:21:07.969252382,Luke Wilson,Email server is not responding,Service Desk,1 - Critical
admin,Fred Luddy,2023-02-11 11:42:11.701428387,David Loo,2023-02-02 14:21:00,Inquiry / Help,INC0000000032,Closed,2023-02-11 11:42:11.701428387,Charlie Whitherspoon,Email server outage affecting all users,Network,1 - Critical
admin,Howard Johnson,2023-02-17 15:05:36.363460937,David Loo,2023-02-04 15:53:00,Hardware,INC0000000033,Closed,2023-02-17 15:05:36.363460937,Fred Luddy,Email service disruption,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-02-17 19:56:49.147733796,David Loo,2023-02-05 06:50:00,Hardware,INC0000000034,Closed,2023-02-17 19:56:49.147733796,Fred Luddy,Error 404 observed on internal site,Service Desk,2 - High
employee,Luke Wilson,2023-02-20 15:35:38.010907987,David Loo,2023-02-05 11:03:00,Network,INC0000000035,Resolved,2023-02-20 15:35:38.010907987,Luke Wilson,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-02-12 12:53:49.012787677,ITIL User,2023-02-05 21:09:00,Database,INC0000000036,Closed,2023-02-12 12:53:49.012787677,Charlie Whitherspoon,Email system outage reported by several departments,Service Desk,1 - Critical
system,Luke Wilson,2023-02-10 08:05:58.821150886,David Loo,2023-02-06 05:58:00,Inquiry / Help,INC0000000037,Resolved,2023-02-10 08:05:58.821150886,Howard Johnson,Email service disruption reported,Service Desk,2 - High
employee,Howard Johnson,2023-02-10 00:27:38.163563628,Don Goodliffe,2023-02-07 08:48:00,Hardware,INC0000000038,Resolved,2023-02-10 00:27:38.163563628,Beth Anglin,Email service disruption,Service Desk,2 - High
admin,Beth Anglin,2023-02-17 05:27:37.564875749,ITIL User,2023-02-07 18:46:00,Database,INC0000000039,Closed,2023-02-17 05:27:37.564875749,Fred Luddy,Email server downtime reported,Network,1 - Critical
system,Beth Anglin,2023-02-19 23:25:55.346011233,Bud Richman,2023-02-10 22:13:00,Network,INC0000000040,Closed,2023-02-19 23:25:55.346011233,Howard Johnson,Email system downtime affecting all departments,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-02-20 12:53:55.668952352,ITIL User,2023-02-11 07:16:00,Inquiry / Help,INC0000000041,Closed,2023-02-20 12:53:55.668952352,Howard Johnson,Email system outage impacting multiple departments,Service Desk,1 - Critical
admin,Luke Wilson,2023-02-20 11:11:33.860987423,ITIL User,2023-02-11 13:20:00,Inquiry / Help,INC0000000042,Closed,2023-02-20 11:11:33.860987423,Beth Anglin,Email server downtime issue,Network,1 - Critical
admin,Fred Luddy,2023-02-19 17:36:25.038361852,Don Goodliffe,2023-02-11 13:56:00,Hardware,INC0000000043,Resolved,2023-02-19 17:36:25.038361852,Howard Johnson,Email system performance degradation,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-02-23 09:09:53.399635382,David Loo,2023-02-11 16:47:00,Network,INC0000000044,Resolved,2023-02-23 09:09:53.399635382,Howard Johnson,Email service interruption,Service Desk,2 - High
system,Charlie Whitherspoon,2023-03-01 16:51:53.579266375,Bud Richman,2023-02-12 03:51:00,Database,INC0000000045,Closed,2023-03-01 16:51:53.579266375,Luke Wilson,Email system responding slowly,Service Desk,3 - Moderate
admin,Charlie Whitherspoon,2023-02-19 19:55:58.463658846,ITIL User,2023-02-12 07:12:00,Network,INC0000000046,Closed,2023-02-19 19:55:58.463658846,Howard Johnson,Email service disruption reported,Service Desk,2 - High
system,Charlie Whitherspoon,2023-02-26 02:34:19.227920699,ITIL User,2023-02-12 16:31:00,Inquiry / Help,INC0000000047,Resolved,2023-02-26 02:34:19.227920699,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
admin,Howard Johnson,2023-02-13 17:45:00.000000000,ITIL User,2023-02-12 17:45:00,Hardware,INC0000000048,Closed,2023-02-13 17:45:00.000000000,Howard Johnson,Email server is down intermittently,Network,1 - Critical
employee,Charlie Whitherspoon,2023-02-19 13:30:18.233280813,Bud Richman,2023-02-12 19:51:00,Network,INC0000000049,Closed,2023-02-19 13:30:18.233280813,Luke Wilson,Email system outage impacting entire office,Service Desk,1 - Critical
employee,Beth Anglin,2023-02-15 12:11:00.000000000,David Loo,2023-02-14 12:11:00,Software,INC0000000050,Resolved,2023-02-15 12:11:00.000000000,Howard Johnson,Email system outage reported,Service Desk,1 - Critical
admin,Luke Wilson,2023-02-20 21:22:17.546037970,Don Goodliffe,2023-02-15 04:11:00,Software,INC0000000051,Closed,2023-02-20 21:22:17.546037970,Charlie Whitherspoon,Email system not responding intermittently,Service Desk,2 - High
admin,Howard Johnson,2023-02-28 00:26:29.001684216,ITIL User,2023-02-18 00:57:00,Inquiry / Help,INC0000000052,Closed,2023-02-28 00:26:29.001684216,Beth Anglin,Email system down for several users,Service Desk,1 - Critical
employee,Howard Johnson,2023-02-21 20:23:27.014341270,Don Goodliffe,2023-02-18 05:51:00,Inquiry / Help,INC0000000053,Closed,2023-02-21 20:23:27.014341270,Howard Johnson,Email system lagging considerably,Service Desk,2 - High
employee,Beth Anglin,2023-02-24 20:59:17.803445250,David Loo,2023-02-18 15:19:00,Network,INC0000000054,Resolved,2023-02-24 20:59:17.803445250,Charlie Whitherspoon,Email server downtime reported by multiple users,Network,1 - Critical
admin,Luke Wilson,2023-02-23 16:09:37.329348036,Don Goodliffe,2023-02-18 21:15:00,Software,INC0000000055,Closed,2023-02-23 16:09:37.329348036,Beth Anglin,Email system outage affecting entire floor,Service Desk,1 - Critical
system,Howard Johnson,2023-02-26 17:56:07.886438024,ITIL User,2023-02-19 09:56:00,Network,INC0000000056,Resolved,2023-02-26 17:56:07.886438024,Luke Wilson,Email system downtime affecting entire region,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-02-26 11:05:24.096639969,Don Goodliffe,2023-02-20 10:07:00,Software,INC0000000057,Closed,2023-02-26 11:05:24.096639969,Charlie Whitherspoon,Email server downtime impacting workflow,Network,1 - Critical
system,Charlie Whitherspoon,2023-02-21 10:40:00.000000000,ITIL User,2023-02-20 10:40:00,Software,INC0000000058,Closed,2023-02-21 10:40:00.000000000,Luke Wilson,Email system downtime reported,Service Desk,2 - High
admin,Fred Luddy,2023-03-01 02:49:20.060819744,Bud Richman,2023-02-21 03:20:00,Database,INC0000000059,Closed,2023-03-01 02:49:20.060819744,Howard Johnson,Email system response delay impacting workflow,Service Desk,2 - High
admin,Charlie Whitherspoon,2023-02-24 22:32:43.763428865,Don Goodliffe,2023-02-21 15:28:00,Network,INC0000000060,Closed,2023-02-24 22:32:43.763428865,Fred Luddy,Email system downtime reported,Service Desk,2 - High
system,Fred Luddy,2023-02-27 09:38:23.500506581,David Loo,2023-02-22 14:05:00,Network,INC0000000061,Closed,2023-02-27 09:38:23.500506581,Beth Anglin,Email system downtime,Service Desk,2 - High
employee,Howard Johnson,2023-02-28 13:33:25.416145093,David Loo,2023-02-22 18:07:00,Database,INC0000000062,Resolved,2023-02-28 13:33:25.416145093,Luke Wilson,Email service disruption impacting multiple users,Service Desk,1 - Critical
admin,Fred Luddy,2023-03-01 07:25:07.218387038,ITIL User,2023-02-24 07:31:00,Network,INC0000000063,Resolved,2023-03-01 07:25:07.218387038,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Howard Johnson,2023-02-28 20:54:59.966016856,Don Goodliffe,2023-02-24 12:35:00,Inquiry / Help,INC0000000064,Resolved,2023-02-28 20:54:59.966016856,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-03-10 23:39:23.608270171,Don Goodliffe,2023-02-25 08:54:00,Inquiry / Help,INC0000000065,Closed,2023-03-10 23:39:23.608270171,Luke Wilson,Unable to connect to VPN,Network,2 - High
system,Charlie Whitherspoon,2023-03-08 18:49:34.619790933,David Loo,2023-02-26 22:46:00,Software,INC0000000066,Closed,2023-03-08 18:49:34.619790933,Luke Wilson,Unexpected server downtime,Network,1 - Critical
admin,Luke Wilson,2023-03-07 21:44:07.281930794,Don Goodliffe,2023-02-27 06:43:00,Software,INC0000000067,Closed,2023-03-07 21:44:07.281930794,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-03-03 14:19:36.693721401,Bud Richman,2023-02-28 06:28:00,Hardware,INC0000000068,Resolved,2023-03-03 14:19:36.693721401,Howard Johnson,Email system down for several users,Service Desk,1 - Critical
system,Howard Johnson,2023-03-06 01:33:19.999266010,ITIL User,2023-02-28 19:10:00,Inquiry / Help,INC0000000069,Closed,2023-03-06 01:33:19.999266010,Luke Wilson,Email server downtime reported,Service Desk,2 - High
employee,Beth Anglin,2023-03-13 11:45:07.298144746,ITIL User,2023-03-02 22:13:00,Hardware,INC0000000070,Closed,2023-03-13 11:45:07.298144746,Charlie Whitherspoon,Email system outage affecting entire department,Service Desk,1 - Critical
system,Luke Wilson,2023-03-05 13:22:30.994718852,Bud Richman,2023-03-03 04:12:00,Software,INC0000000071,Resolved,2023-03-05 13:22:30.994718852,Luke Wilson,Email system delay issue reported,Service Desk,2 - High
admin,Fred Luddy,2023-03-15 17:30:18.619363128,David Loo,2023-03-03 05:12:00,Network,INC0000000072,Closed,2023-03-15 17:30:18.619363128,Howard Johnson,Email system not responding,Service Desk,2 - High
system,Luke Wilson,2023-03-09 11:41:44.607709069,ITIL User,2023-03-04 07:07:00,Software,INC0000000073,Closed,2023-03-09 11:41:44.607709069,Charlie Whitherspoon,Email server outage impacting regional offices,Network,1 - Critical
system,Charlie Whitherspoon,2023-03-12 06:32:14.121017955,Don Goodliffe,2023-03-04 10:47:00,Software,INC0000000074,Closed,2023-03-12 06:32:14.121017955,Fred Luddy,Email system outage reported by multiple users,Service Desk,2 - High
employee,Fred Luddy,2023-03-19 09:14:41.439246509,Don Goodliffe,2023-03-05 22:10:00,Database,INC0000000075,Closed,2023-03-19 09:14:41.439246509,Beth Anglin,Email system outage for multiple users,Service Desk,2 - High
admin,Charlie Whitherspoon,2023-03-20 05:51:25.916683076,David Loo,2023-03-06 05:23:00,Inquiry / Help,INC0000000076,Closed,2023-03-20 05:51:25.916683076,Charlie Whitherspoon,Email server downtime impacting operations,Network,1 - Critical
system,Luke Wilson,2023-03-16 19:32:48.419800765,Bud Richman,2023-03-06 13:40:00,Inquiry / Help,INC0000000077,Resolved,2023-03-16 19:32:48.419800765,Fred Luddy,Email system outage reported by several users,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-03-13 08:32:26.092643452,David Loo,2023-03-06 23:40:00,Hardware,INC0000000078,Closed,2023-03-13 08:32:26.092643452,Fred Luddy,Email system outage impacting entire department,Service Desk,1 - Critical
admin,Luke Wilson,2023-03-17 17:06:38.524512081,Don Goodliffe,2023-03-07 15:01:00,Database,INC0000000079,Resolved,2023-03-17 17:06:38.524512081,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-03-19 07:26:57.041799792,Bud Richman,2023-03-08 13:40:00,Network,INC0000000080,Closed,2023-03-19 07:26:57.041799792,Beth Anglin,Email system not responding,Service Desk,2 - High
system,Luke Wilson,2023-03-16 06:26:20.370131846,Bud Richman,2023-03-10 07:00:00,Hardware,INC0000000081,Closed,2023-03-16 06:26:20.370131846,Fred Luddy,Email system latency impacting work,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-03-15 15:03:36.512095436,Bud Richman,2023-03-11 09:18:00,Inquiry / Help,INC0000000082,Resolved,2023-03-15 15:03:36.512095436,Fred Luddy,Email system outage affecting multiple departments,Service Desk,1 - Critical
employee,Howard Johnson,2023-03-21 22:55:52.896717916,David Loo,2023-03-11 10:36:00,Hardware,INC0000000083,Resolved,2023-03-21 22:55:52.896717916,Charlie Whitherspoon,Email system down for multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-03-21 04:03:33.489152863,ITIL User,2023-03-12 06:24:00,Network,INC0000000084,Closed,2023-03-21 04:03:33.489152863,Beth Anglin,Email service disruption,Service Desk,2 - High
admin,Howard Johnson,2023-03-18 05:30:23.622019805,David Loo,2023-03-12 09:08:00,Network,INC0000000085,Resolved,2023-03-18 05:30:23.622019805,Beth Anglin,Email system outage affecting all users,Service Desk,1 - Critical
admin,Fred Luddy,2023-03-14 20:38:00.000000000,David Loo,2023-03-13 20:38:00,Network,INC0000000086,Resolved,2023-03-14 20:38:00.000000000,Luke Wilson,Email system outage impacting multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-03-28 05:52:32.498544055,Don Goodliffe,2023-03-13 23:01:00,Software,INC0000000087,Closed,2023-03-28 05:52:32.498544055,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Howard Johnson,2023-03-23 05:49:58.653839503,Don Goodliffe,2023-03-14 07:01:00,Software,INC0000000088,Resolved,2023-03-23 05:49:58.653839503,Charlie Whitherspoon,Email system outage affecting entire department,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-03-15 20:18:00.000000000,David Loo,2023-03-14 20:18:00,Database,INC0000000089,Closed,2023-03-15 20:18:00.000000000,Fred Luddy,Email service disruption reported,Service Desk,2 - High
system,Howard Johnson,2023-03-24 16:58:42.693178294,Don Goodliffe,2023-03-14 20:53:00,Database,INC0000000090,Closed,2023-03-24 16:58:42.693178294,Howard Johnson,Email system sporadically down,Service Desk,1 - Critical
system,Beth Anglin,2023-03-29 09:57:37.114447914,David Loo,2023-03-16 01:38:00,Hardware,INC0000000091,Closed,2023-03-29 09:57:37.114447914,Fred Luddy,Email service interruption,Service Desk,2 - High
admin,Luke Wilson,2023-04-03 15:51:01.780580578,Don Goodliffe,2023-03-19 00:31:00,Software,INC0000000092,Closed,2023-04-03 15:51:01.780580578,Luke Wilson,Email system downtime impacting team communication,Service Desk,2 - High
employee,Howard Johnson,2023-03-21 23:07:08.552267581,Bud Richman,2023-03-19 00:54:00,Software,INC0000000093,Resolved,2023-03-21 23:07:08.552267581,Charlie Whitherspoon,Email system outage affecting entire department,Service Desk,1 - Critical
employee,Howard Johnson,2023-03-20 03:14:00.000000000,David Loo,2023-03-19 03:14:00,Hardware,INC0000000094,Closed,2023-03-20 03:14:00.000000000,Luke Wilson,Email server downtime impacting workflow,Network,1 - Critical
admin,Charlie Whitherspoon,2023-03-31 04:29:00.550104093,David Loo,2023-03-23 11:39:00,Network,INC0000000095,Closed,2023-03-31 04:29:00.550104093,Fred Luddy,Email server outage impacting client communications,Network,1 - Critical
admin,Beth Anglin,2023-03-30 22:07:10.709280561,David Loo,2023-03-23 19:40:00,Software,INC0000000096,Closed,2023-03-30 22:07:10.709280561,Charlie Whitherspoon,Email system lagging intermittently,Service Desk,2 - High
system,Fred Luddy,2023-03-28 08:43:55.360049637,ITIL User,2023-03-24 13:00:00,Database,INC0000000097,Resolved,2023-03-28 08:43:55.360049637,Charlie Whitherspoon,Email system downtime reported,Service Desk,2 - High
system,Beth Anglin,2023-04-06 00:50:28.263953231,Don Goodliffe,2023-03-24 13:53:00,Software,INC0000000098,Resolved,2023-04-06 00:50:28.263953231,Charlie Whitherspoon,Email service disruption affecting department,Service Desk,2 - High
admin,Charlie Whitherspoon,2023-04-10 16:17:24.579377598,Bud Richman,2023-03-24 19:27:00,Software,INC0000000099,Resolved,2023-04-10 16:17:24.579377598,Luke Wilson,Email system down for multiple users,Service Desk,1 - Critical
employee,Fred Luddy,2023-04-04 18:31:40.507245457,David Loo,2023-03-25 02:14:00,Network,INC0000000100,Closed,2023-04-04 18:31:40.507245457,Fred Luddy,Email system is down,Network,1 - Critical
employee,Howard Johnson,2023-03-28 13:01:00.000000000,David Loo,2023-03-27 13:01:00,Inquiry / Help,INC0000000101,Closed,2023-03-28 13:01:00.000000000,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-04-02 23:01:13.232134735,David Loo,2023-03-28 12:50:00,Hardware,INC0000000102,Closed,2023-04-02 23:01:13.232134735,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-04-07 05:01:17.917171347,ITIL User,2023-03-30 17:09:00,Hardware,INC0000000103,Closed,2023-04-07 05:01:17.917171347,Luke Wilson,Email system latency impacting workflow,Service Desk,2 - High
employee,Fred Luddy,2023-04-16 20:22:29.486383570,Don Goodliffe,2023-03-30 18:08:00,Database,INC0000000104,Resolved,2023-04-16 20:22:29.486383570,Howard Johnson,Email system outage reported by user,Service Desk,1 - Critical
admin,Beth Anglin,2023-04-04 20:07:40.776796996,Don Goodliffe,2023-03-31 01:50:00,Database,INC0000000105,Resolved,2023-04-04 20:07:40.776796996,Fred Luddy,Email system connectivity issue,Service Desk,2 - High
system,Charlie Whitherspoon,2023-04-06 13:47:58.299527522,ITIL User,2023-04-01 00:43:00,Inquiry / Help,INC0000000106,Resolved,2023-04-06 13:47:58.299527522,Howard Johnson,Email service downtime impacting operations,Service Desk,2 - High
employee,Fred Luddy,2023-04-03 21:27:00.000000000,Bud Richman,2023-04-02 21:27:00,Network,INC0000000107,Closed,2023-04-03 21:27:00.000000000,Charlie Whitherspoon,Email system downtime impacting operations,Service Desk,1 - Critical
employee,Luke Wilson,2023-04-05 18:43:39.518208135,ITIL User,2023-04-04 18:27:00,Network,INC0000000108,Closed,2023-04-05 18:43:39.518208135,Beth Anglin,Unable to access the employee portal,Service Desk,2 - High
employee,Fred Luddy,2023-04-14 18:43:19.649713526,Don Goodliffe,2023-04-04 22:49:00,Inquiry / Help,INC0000000109,Resolved,2023-04-14 18:43:19.649713526,Beth Anglin,Email system downtime for entire department,Service Desk,1 - Critical
employee,Fred Luddy,2023-04-16 10:55:19.403129406,David Loo,2023-04-06 17:50:00,Software,INC0000000110,Closed,2023-04-16 10:55:19.403129406,Fred Luddy,Email system outage reported by several departments,Service Desk,1 - Critical
employee,Fred Luddy,2023-04-15 20:49:27.237097692,Don Goodliffe,2023-04-06 19:36:00,Hardware,INC0000000111,Resolved,2023-04-15 20:49:27.237097692,Beth Anglin,Email system downtime reported by several users,Service Desk,2 - High
system,Luke Wilson,2023-04-12 06:20:10.872241511,David Loo,2023-04-07 00:40:00,Hardware,INC0000000112,Closed,2023-04-12 06:20:10.872241511,Beth Anglin,Email system downtime affecting multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-04-23 01:06:47.282542951,David Loo,2023-04-07 17:46:00,Software,INC0000000113,Closed,2023-04-23 01:06:47.282542951,Howard Johnson,Email service disruption reported by multiple users,Service Desk,2 - High
system,Charlie Whitherspoon,2023-04-10 00:59:53.048027748,ITIL User,2023-04-07 21:12:00,Hardware,INC0000000114,Resolved,2023-04-10 00:59:53.048027748,Fred Luddy,Email system downtime reported by multiple users,Service Desk,2 - High
system,Charlie Whitherspoon,2023-04-10 16:50:42.151834891,Bud Richman,2023-04-07 23:57:00,Network,INC0000000115,Closed,2023-04-10 16:50:42.151834891,Luke Wilson,Email system downtime affecting entire department,Service Desk,1 - Critical
employee,Luke Wilson,2023-04-09 03:10:00.000000000,David Loo,2023-04-08 03:10:00,Inquiry / Help,INC0000000116,Closed,2023-04-09 03:10:00.000000000,Beth Anglin,Email system lagging for multiple users,Service Desk,2 - High
admin,Fred Luddy,2023-04-13 13:12:46.950265676,David Loo,2023-04-08 23:27:00,Database,INC0000000117,Closed,2023-04-13 13:12:46.950265676,Luke Wilson,Email system down for the entire department,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-04-16 19:55:48.237409022,Don Goodliffe,2023-04-09 19:15:00,Network,INC0000000118,Resolved,2023-04-16 19:55:48.237409022,Luke Wilson,Email services are not responding,Service Desk,2 - High
system,Beth Anglin,2023-04-22 13:56:21.033061391,David Loo,2023-04-11 03:14:00,Database,INC0000000119,Closed,2023-04-22 13:56:21.033061391,Fred Luddy,Email service is intermittently down,Service Desk,2 - High
system,Charlie Whitherspoon,2023-04-18 05:01:15.363117099,David Loo,2023-04-12 00:56:00,Network,INC0000000120,Closed,2023-04-18 05:01:15.363117099,Howard Johnson,Email system downtime impacting user operations,Service Desk,1 - Critical
system,Charlie Whitherspoon,2023-04-25 00:21:34.284152459,David Loo,2023-04-12 22:20:00,Network,INC0000000121,Closed,2023-04-25 00:21:34.284152459,Fred Luddy,Email server downtime impacting office communications,Network,1 - Critical
admin,Beth Anglin,2023-04-14 19:52:00.000000000,David Loo,2023-04-13 19:52:00,Network,INC0000000122,Closed,2023-04-14 19:52:00.000000000,Charlie Whitherspoon,Email system outage affecting entire floor,Service Desk,1 - Critical
