user,category,source_id,number,amount,opened_at,department,state,type,processed_date,short_description,ci
Helene Iberg,Travel,,EXP00000015,7223,2023-07-21 04:28:00,IT,Declined,,,Automatically generated expense line for creation of Travel asset,Luxury Tour Bus
Savannah Loffier,Assets,MHL-21615739,EXP00000016,6088,2024-01-21 05:50:00,Sales,Processed,,2024-01-25 15:41:06.465058139,Automatically generated computer hardware asset entry,Dell Inspiron 14
Lynda Caraway,Assets,SOY-83688130,EXP00000017,4243,2024-03-25 03:07:00,Customer Support,Submitted,,,Company asset procurement for IT department,Dell Latitude 7410
Rosalie Krigger,Assets,UDD-71589152,EXP00000018,4161,2023-12-03 21:05:00,HR,Declined,,,Asset purchase - Dell Workstation,Dell Precision 5000
Carmel Overfelt,Assets,DPW-56237317,EXP00000019,4257,2023-05-11 11:10:00,Customer Support,Processed,,2023-05-22 15:35:59.955795090,Newly added IT asset,Dell Latitude 5411
Sadie Rowlett,Travel,,EXP00000020,3078,2024-03-12 22:16:00,IT,Processed,,2024-03-18 21:58:27.221489510,Travel expenses for task allocation,Business Trip Expense
Helena Suermann,Assets,KQB-52214525,EXP00000021,8841,2023-07-07 22:07:00,Customer Support,Processed,,2023-07-19 05:06:34.678043803,Automated record for newly purchased hardware asset,Dell Optiplex 5070
Luella Pliner,Assets,YOZ-21697027,EXP00000022,8556,2024-03-15 02:19:00,Sales,Processed,,2024-03-16 02:19:00.000000000,Automated asset registration for Dell Optiplex 5090,Dell Optiplex 5090
Zackary Mockus,Travel,,EXP00000023,6793,2023-03-02 10:10:00,Customer Support,Submitted,,,Automatically generated travel asset,Travel Planner Pro
Ramon Amaral,Miscellaneous,,EXP00000024,200,2023-06-11 05:44:00,Development,Declined,,,Provision of miscellaneous hardware asset,Bose Headphones QC35
Darrel Tork,Assets,PQT-91652854,EXP00000025,2675,2024-03-20 00:36:00,Customer Support,Declined,,,Allocation of new hardware asset,Dell Optiplex 780
Marcie Shulz,Travel,,EXP00000026,640,2024-01-30 20:42:00,Customer Support,Submitted,,,Travel related hardware asset,Garmin GPS Navigator
Sue Haakinson,Travel,,EXP00000027,4640,2024-02-06 04:06:00,Customer Support,Processed,,2024-02-12 21:32:50.417703885,Travel equipment asset registration,Portable GPS Navigator
Felipe Mahone,Assets,KRL-76356343,EXP00000028,7704,2023-07-20 19:13:00,Customer Support,Processed,,2023-08-09 06:15:02.921772619,Automated hardware asset recorded,Dell Latitude 5400
Virgil Chinni,Travel,,EXP00000029,2765,2024-01-05 21:38:00,IT,Processed,,2024-01-14 09:08:17.063684875,Travel related hardware asset acquisition,TravelPro EXP6 Carry-On Luggage
Mamie Mcintee,Services,PVT-92406457,EXP00000030,1338,2023-10-13 02:34:00,Product Management,Pending,,,Purchase of cloud service subscription,AWS EC2 Instance
Marianne Earman,Travel,,EXP00000031,7450,2023-12-05 04:24:00,Customer Support,Declined,,,Travel related asset created,Business Class Flight Ticket
Essie Vaill,Assets,WRW-29134851,EXP00000032,1516,2023-12-28 17:54:00,Sales,Pending,,,Asset registration for Workstation PC,Dell Inspiron 5501
Mamie Mcintee,Travel,,EXP00000033,7994,2024-03-15 14:30:00,Product Management,Processed,,2024-03-16 14:30:00.000000000,Travel related asset creation,Travel Reservation System
Sean Bonnet,Services,QTO-91525384,EXP00000034,1705,2023-12-08 09:48:00,Customer Support,Processed,,2023-12-17 19:58:41.790660693,Configured service asset,Managed Cloud Service
Vernon Engelman,Assets,QDQ-72072113,EXP00000035,8860,2023-08-23 03:07:00,IT,Processed,,2023-09-13 20:56:03.012293408,New asset acquisition: Dell Server PowerEdge R740,Server_Dell_R740
Rosalie Krigger,Travel,,EXP00000036,2768,2023-02-25 16:42:00,HR,Declined,,,Travel equipment asset entry,Traveler's laptop
Bertie Luby,Assets,EQM-39247648,EXP00000037,8320,2023-11-23 23:41:00,Sales,Submitted,,,Procured new networking device Nikon L8941,Network SwitchCisco SX21
Georgette Bandyk,Miscellaneous,,EXP00000038,2483,2023-06-06 17:10:00,Customer Support,Processed,,2023-06-07 17:10:00.000000000,Allocated miscellaneous hardware asset,HP Spectre Touchscreen Laptop
Vernon Engelman,Assets,DAO-11757558,EXP00000039,5533,2023-08-28 02:01:00,IT,Processed,,2023-08-29 02:01:00.000000000,New asset procurement - Dell Workstation 5000,Dell Workstation 5000
Luella Pliner,Assets,ULV-49177683,EXP00000040,2276,2023-06-06 09:54:00,Sales,Declined,,,Hardware asset registered in ServiceNow,Dell Latitude 7390
Mitzi Ihenyen,Travel,,EXP00000041,1342,2023-07-09 04:17:00,Customer Support,Processed,,2023-07-24 00:34:20.802789327,Automatically generated expense for purchase of travel equipment,Samsonite Omni PC Luggage
Sal Pindell,Assets,SIA-75790745,EXP00000042,6799,2024-01-13 21:16:00,Customer Support,Submitted,,,Automatically registered asset from procurement,Dell Inspiron 15 7000
Helene Iberg,Assets,AIX-27859035,EXP00000043,7683,2024-01-01 12:03:00,IT,Declined,,,Automated asset registration for new hardware,Dell Latitude 7400
Raphael Bickel,Assets,HZZ-57429976,EXP00000044,8555,2024-01-25 00:03:00,Sales,Processed,,2024-02-05 11:06:05.780674223,Procurement of new hardware asset,Dell Latitude 7490
Owen Sparacino,Assets,VZF-85022780,EXP00000045,8622,2024-02-09 11:41:00,Customer Support,Processed,,2024-02-12 11:05:40.833933454,Asset registration for new server,Dell PowerEdge R540
Helga Windle,Travel,,EXP00000046,2436,2023-06-22 06:43:00,Customer Support,Processed,,2023-06-30 08:47:34.302558189,Travel related asset generation,Trolley Suitcase
Danny Dales,Assets,BVY-67529054,EXP00000047,4995,2024-03-01 01:19:00,Customer Support,Processed,,2024-03-02 01:19:00.000000000,Asset Management: Newly acquired Dell laptop,Dell Inspiron 5406
Virgil Chinni,Miscellaneous,,EXP00000048,4200,2023-03-14 05:11:00,IT,Processed,,2023-03-23 07:49:16.905319088,Miscellaneous equipment asset entry,Projector Model XJ
Zackary Mockus,Miscellaneous,,EXP00000049,1151,2023-09-03 07:33:00,Customer Support,Processed,,2023-09-15 14:05:41.705324758,Newly acquired miscellaneous hardware asset,Equipment Item 728
Essie Vaill,Assets,RNO-85276997,EXP00000050,1673,2024-01-07 23:37:00,Sales,Processed,,2024-01-09 11:45:17.067478633,ServiceNow asset management for Dell Latitude 7450,Dell Latitude E7450
Cristina Sharper,Travel,,EXP00000051,4785,2023-11-04 14:03:00,Sales,Processed,,2023-11-16 13:29:32.507204238,Travel category asset creation,Travel Expense - Category upgrade
Virgil Chinni,Assets,MBA-35643501,EXP00000052,7177,2023-06-28 22:03:00,IT,Processed,,2023-07-01 12:08:10.630142571,Server Asset Registration,Dell PowerEdge R740
Sadie Rowlett,Travel,,EXP00000053,1334,2023-07-30 19:37:00,IT,Processed,,2023-08-06 12:24:43.750447186,Travel related asset entry,Travel booking system
Luella Pliner,Assets,AIJ-23471304,EXP00000054,5179,2023-03-15 01:54:00,Sales,Declined,,,IT equipment - Dell Latitude Laptop,Asset-Dell-Latitude-E7450
Vernon Engelman,Miscellaneous,,EXP00000055,516,2024-03-30 10:11:00,IT,Pending,,,Purchase of Miscellaneous equipment,Dell Desktop Inspiron
Germaine Bruski,Travel,,EXP00000056,5374,2023-04-27 21:19:00,Finance,Declined,,,Travel equipment purchase for HP Pavilion Laptop,HP Pavilion 14
Rob Woodbyrne,Assets,GVC-18154708,EXP00000057,4671,2023-05-22 17:09:00,Sales,Submitted,,,Asset registration for new network switch,Cisco Catalyst 9000
Sean Bonnet,Services,MKZ-47419727,EXP00000058,1098,2023-10-11 02:39:00,Customer Support,Submitted,,,Provision of new Services asset,IT Service Management
Geri Forness,Assets,NLO-38363188,EXP00000059,7640,2023-05-08 00:35:00,Customer Support,Processed,,2023-05-11 20:03:20.940176525,Purchase of new IT hardware,Dell Latitude 5501
Lacy Hyten,Travel,,EXP00000060,3049,2023-02-28 11:11:00,Sales,Pending,,,Created asset for travel purpose,Travel Suitcase Model X
Sue Haakinson,Assets,UPF-49849211,EXP00000061,4940,2024-01-18 17:49:00,Customer Support,Processed,,2024-01-29 03:05:14.335118304,Newly added hardware asset,Dell Latitude 7410
Ofelia Sheffler,Assets,MAS-14722372,EXP00000062,6450,2023-10-27 18:30:00,Customer Support,Processed,,2023-11-07 15:10:20.650812979,Automatically generated hard disk for new asset,Dell HDD 1TB
Rosalie Krigger,Assets,YXH-10702946,EXP00000063,7935,2023-05-20 17:12:00,HR,Processed,,2023-06-03 23:07:10.524367757,Automatically generated asset for IT hardware,Dell Optiplex 9020
Owen Sparacino,Assets,WQP-72834909,EXP00000064,4099,2023-04-05 04:39:00,Customer Support,Processed,,2023-04-09 03:07:11.501876457,Software and Hardware Asset Installation,Dell Latitude 3410 Laptop
Sean Bonnet,Assets,KHO-46949099,EXP00000065,5946,2023-07-12 05:30:00,Customer Support,Submitted,,,Asset Registration of Dell Optiplex Workstation,Dell Optiplex 790
Helena Suermann,Assets,PDY-58935183,EXP00000066,1537,2023-02-21 17:10:00,Customer Support,Processed,,2023-02-22 17:10:00.000000000,Registration of new Asset,Dell Latitude 7420
Darrel Tork,Travel,,EXP00000067,4559,2023-02-19 15:07:00,Customer Support,Declined,,,Automatically generated expense line for creation of travel asset,Business Class Airline Ticket
Marianne Earman,Assets,GVM-01003149,EXP00000068,4735,2024-03-17 00:25:00,Customer Support,Declined,,,Asset registration for office equipment,Dell Optiplex 7070
Helene Iberg,Assets,TAA-35173384,EXP00000069,5144,2023-02-11 03:36:00,IT,Pending,,,Logistics awarded an Asset-tagged laptop to employee,Dell Latitude 7420
Virgil Chinni,Assets,MBH-98899675,EXP00000070,3846,2023-08-12 11:37:00,IT,Declined,,,Manually generated asset record for company IT hardware,Dell Latitude 7410 Laptop
Marcie Shulz,Travel,,EXP00000071,3217,2024-04-04 01:19:00,Customer Support,Declined,,,Business travel expense for asset,American Airlines Flight Ticket
Viola Mcsorley,Assets,YWM-35606172,EXP00000072,3127,2023-12-08 18:24:00,Customer Support,Processed,,2023-12-09 18:24:00.000000000,Automatically registered asset for Dell Workstation,Dell Precision T7600
Helena Suermann,Assets,ATM-74556760,EXP00000073,5020,2023-03-09 15:11:00,Customer Support,Submitted,,,Addition of new hardware asset,Dell Latitude E7470
Mabel Weeden,Assets,IHU-55797584,EXP00000074,6698,2023-06-07 16:09:00,Customer Support,Processed,,2023-06-28 01:10:14.005872888,Automatically generated asset line for creation of hardware,Dell Latitude 7410
Zackary Mockus,Travel,,EXP00000075,7032,2023-02-04 18:19:00,Customer Support,Processed,,2023-02-19 09:30:36.994812489,Travel expense log entry for new asset,Dell Latitude E7470
Helga Windle,Services,ZXP-03463125,EXP00000076,1423,2024-03-18 09:24:00,Customer Support,Processed,,2024-03-27 23:53:51.778735659,Automatically generated service line for creation of asset,Windows Server 2019
Geri Forness,Travel,,EXP00000077,4229,2023-02-22 08:32:00,Customer Support,Declined,,,Travel expense for procurement of hardware,Travel Laptop Dell Latitude 14
Valerie Pou,Assets,TFA-69679835,EXP00000078,5273,2023-05-14 14:22:00,Customer Support,Processed,,2023-05-20 18:54:17.776021124,Asset acquisition of new hardware laptop,HP EliteBook 850 G8
Valerie Pou,Travel,,EXP00000079,7210,2023-04-22 21:04:00,Customer Support,Submitted,,,Travel category asset allocation,Travel Expense Account 1234
Raphael Bickel,Travel,,EXP00000080,5764,2023-04-12 01:07:00,Sales,Declined,,,Travel expense for hardware purchase,Ticket - Canon DSLR Camera
Savannah Loffier,Assets,RQK-40138951,EXP00000081,5652,2023-11-19 13:54:00,Sales,Processed,,2023-12-02 14:34:58.879136720,Purchase of new IT asset,Dell Latitude 7410
Petra Mcnichol,Assets,ROP-32220411,EXP00000082,4820,2023-09-11 10:24:00,Customer Support,Processed,,2023-09-19 13:17:08.172020502,Assignment of newly acquired hardware asset,Dell Latitude 7410
Germaine Bruski,Travel,,EXP00000083,2258,2023-09-16 19:01:00,Finance,Declined,,,Travel department assigned laptop,Dell Latitude 7420
Melody Saddat,Travel,,EXP00000084,3453,2023-02-08 02:59:00,Sales,Processed,,2023-02-09 19:57:13.503659784,Travel related asset - GPS Navigator,Garmin DriveSmart 65
Helena Suermann,Assets,BCL-21660456,EXP00000085,6296,2023-11-02 00:44:00,Customer Support,Pending,,,New hardware asset addition - Dell Latitude E6430,Dell Latitude E6430
Howard Johnson,Travel,,EXP00000086,2519,2023-04-02 06:26:00,Sales,Pending,,,Travel expense asset creation,Company Provided Travel Kit
Valerie Pou,Assets,JXV-73473095,EXP00000087,2452,2024-01-16 10:26:00,Customer Support,Processed,,2024-01-17 10:26:00.000000000,Apple MacBook as business laptop for employees,Apple MacBook Pro 13
Helena Suermann,Travel,,EXP00000088,7428,2023-09-18 03:44:00,Customer Support,Declined,,,Travel related hardware asset,Travel Laptop Model X
Sal Pindell,Assets,XSH-82351135,EXP00000089,2734,2023-08-02 06:43:00,Customer Support,Processed,,2023-08-08 16:51:39.921323369,Acquisition of new asset for IT department,Dell Latitude 7490
Melody Saddat,Assets,TZC-14960056,EXP00000090,1518,2023-10-27 06:07:00,Sales,Processed,,2023-10-30 03:26:43.118223498,Automatically generated entry for new asset,HP EliteBook 840 G6
Petra Mcnichol,Travel,,EXP00000091,3001,2023-08-19 00:35:00,Customer Support,Processed,,2023-08-25 17:29:17.997595250,Travel expense generated for asset creation,Business Class Flight Ticket
Karen Zombo,Travel,,EXP00000092,4799,2023-11-09 04:08:00,Sales,Processed,,2023-11-16 03:05:10.136051688,Travel Package Asset,Travel Expense Server 8
Zackary Mockus,Travel,,EXP00000093,1702,2023-04-28 10:39:00,Customer Support,Processed,,2023-05-01 21:54:40.474648913,Automatically generated expense line for creation of travel equipment,Samsonite travel luggage
Melody Saddat,Travel,,EXP00000094,5054,2024-03-30 17:40:00,Sales,Declined,,,Automatically generated expense line for creation of travel equipment,Portable Solar Charger
Mabel Weeden,Travel,,EXP00000095,2464,2023-06-27 06:08:00,Customer Support,Processed,,2023-07-04 04:30:33.486319850,Travel expense line for asset creation,Travel Backpack
Lynda Caraway,Assets,CQG-74911530,EXP00000096,8817,2023-11-12 23:34:00,Customer Support,Declined,,,Deployed asset in main server room,Dell PowerEdge R740
Germaine Bruski,Travel,,EXP00000097,5300,2024-03-08 15:48:00,Finance,Processed,,2024-03-14 10:36:03.085716222,Automatically generated expense line for creation of travel asset,Suitcase
Georgette Bandyk,Travel,,EXP00000098,2559,2023-11-29 14:32:00,Customer Support,Declined,,,Automatically generated expense line for creation of travel-related asset,Airline Flight Ticket
Nadia Wilshire,Assets,WAG-20847974,EXP00000099,2082,2023-06-18 08:11:00,Sales,Declined,,,Dell Inspiron 15 Laptop Asset,Dell Inspiron 5481
Wilfredo Gidley,Assets,JKQ-94023899,EXP00000100,3282,2023-04-18 17:13:00,Customer Support,Declined,,,Automatically generated asset for IT inventory,Dell Latitude 5501
Raphael Bickel,Assets,GXB-92479277,EXP00000101,8526,2023-09-12 05:57:00,Sales,Processed,,2023-09-13 10:10:11.226802274,Newly purchased hardware asset,Dell Latitude 7410
Ofelia Sheffler,Travel,,EXP00000102,1759,2023-05-16 20:31:00,Customer Support,Pending,,,Expenses logged for travel related equipment,Travel Kit Deluxe
Helga Windle,Miscellaneous,,EXP00000103,1426,2023-02-10 08:56:00,Customer Support,Processed,,2023-02-11 08:56:00.000000000,Hardware asset registration for miscellaneous device,Dell OptiPlex 7070 Ultra
Mamie Mcintee,Services,PHP-83659208,EXP00000104,1040,2024-02-08 11:47:00,Product Management,Declined,,,Service related hardware asset,Virtual Private Server
Vernon Engelman,Assets,IGR-19733989,EXP00000105,3678,2024-02-01 21:36:00,IT,Declined,,,Dell Latitude 3420 Laptop allocated to department,Dell Latitude 3420
Sue Haakinson,Assets,NZV-83462544,EXP00000106,7196,2023-06-23 05:44:00,Customer Support,Processed,,2023-07-03 04:30:20.943722622,Asset registration for new hardware,Dell Latitude 7420
Essie Vaill,Assets,ABN-55317772,EXP00000107,8070,2024-01-09 02:01:00,Sales,Processed,,2024-01-10 02:01:00.000000000,Acquisition of new server hardware,Dell PowerEdge R940
Nelly Jakuboski,Travel,,EXP00000108,1137,2023-05-07 17:49:00,Customer Support,Processed,,2023-05-08 23:48:06.440251518,Travel equipment purchase,Samsonite Luggage
Lynda Caraway,Assets,PYW-62334593,EXP00000109,4456,2024-02-12 07:55:00,Customer Support,Declined,,,Procurement of asset for department,Dell Inspiron 14
Nadia Wilshire,Assets,NDD-89270493,EXP00000110,1849,2023-08-18 14:58:00,Sales,Declined,,,Asset Management - New Lenovo Thinkpad Entry,Lenovo Thinkpad T470
Petra Mcnichol,Assets,FLO-71354324,EXP00000111,1696,2023-02-13 05:06:00,Customer Support,Declined,,,Acquisition of new server hardware for data center,Dell PowerEdge R640
Carmel Overfelt,Assets,SMJ-27603663,EXP00000112,7339,2024-03-22 10:19:00,Customer Support,Declined,,,One-time purchasing cost for new asset,Dell OptiPlex 7080 Desktop
Sean Bonnet,Travel,,EXP00000113,7451,2024-03-07 07:21:00,Customer Support,Processed,,2024-03-11 23:30:24.333953566,Travel expense for acquisition of new asset,Luxury Bus Fleet 20
Owen Sparacino,Travel,,EXP00000114,5473,2023-03-19 22:19:00,Customer Support,Processed,,2023-03-20 22:19:00.000000000,Travel Category Asset - Luggage Tracking Device,TrackMate Mini Luggage GPS
Carolina Kinlaw,Assets,VID-68319129,EXP00000115,2721,2023-02-09 03:10:00,Sales,Processed,,2023-02-10 03:10:00.000000000,HP EliteBook asset registration,HP EliteBook 840 G5
Sue Haakinson,Assets,TML-64046237,EXP00000116,2028,2023-11-08 01:12:00,Customer Support,Processed,,2023-11-10 15:35:38.236248778,Acquisition of new hardware asset,Dell Latitude 7490
Virgil Chinni,Assets,YFI-33771048,EXP00000117,7252,2023-09-29 09:39:00,IT,Pending,,,Automatically inventory updated for new asset entry,Dell Laptop Inspiron 15
Valerie Pou,Assets,PJX-32390529,EXP00000118,3508,2023-03-21 15:40:00,Customer Support,Processed,,2023-03-22 15:40:00.000000000,Office desk asset registered,OfficeDesk101
Sue Haakinson,Assets,BKR-17144115,EXP00000119,3945,2023-02-02 10:27:00,Customer Support,Declined,,,Asset acquisition for data center hardware,HP ProLiant DL380 Gen10
Marianne Earman,Assets,SID-99432031,EXP00000120,8945,2023-03-21 09:33:00,Customer Support,Declined,,,Automatically generated asset record for new hardware purchased,Dell Precision 5550
Cristina Sharper,Assets,LIK-98409196,EXP00000121,6526,2023-03-27 04:55:00,Sales,Declined,,,Provisioning of Dell Optiplex 3080 Desktop,Dell Optiplex 3080
Nelly Jakuboski,Travel,,EXP00000122,7795,2024-04-14 01:57:00,Customer Support,Processed,,2024-04-15 01:57:00.000000000,Travel expense generated for asset management,Travel Equipment 001
Leif Bachta,Assets,HUP-79933497,EXP00000123,3839,2023-11-28 14:16:00,Sales,Declined,,,Dell OptiPlex 7070 Desktop added to the asset,Dell OptiPlex 7070 Desktop
Helena Suermann,Travel,,EXP00000124,7324,2024-01-13 18:53:00,Customer Support,Declined,,,Travel category asset cost,Business Travel Laptop
Luella Pliner,Services,EPR-43743881,EXP00000125,1372,2023-09-02 20:18:00,Sales,Processed,,2023-09-16 21:58:57.133684465,Automatically generated line for creation of new service,Cloud Service Provider
Howard Johnson,Assets,XGM-21054360,EXP00000126,3473,2023-02-08 05:08:00,Sales,Pending,,,Enterprise server-HW asset,IBM Power System S922
Ramon Amaral,Assets,OFD-20662102,EXP00000127,8339,2024-02-26 12:11:00,Development,Processed,,2024-03-03 10:35:34.669272256,Procurement of new hardware asset,Dell Latitude 7280
Mitzi Ihenyen,Assets,ANA-31943163,EXP00000128,6128,2023-03-02 22:13:00,Customer Support,Processed,,2023-03-12 00:18:53.983636795,Automatically purchased asset added to ServiceNow,Dell Latitude 5420
Mitzi Ihenyen,Assets,HDE-56061624,EXP00000129,1671,2024-01-13 19:32:00,Customer Support,Submitted,,,Allocation of new hardware asset,Dell Latitude 7490
Nadia Wilshire,Assets,TYP-37438072,EXP00000130,5209,2023-11-13 13:08:00,Sales,Processed,,2023-11-18 05:41:47.670516075,Automatically generated asset line for acquisition of hardware,HP ProLiant DL380 Server
Sean Bonnet,Assets,RMY-44794962,EXP00000131,7262,2023-05-08 23:32:00,Customer Support,Declined,,,Asset record for Dell Inspiron laptop,Dell Inspiron 5501
Mabel Weeden,Miscellaneous,,EXP00000132,2716,2023-06-24 20:31:00,Customer Support,Processed,,2023-07-04 13:02:08.613001415,Miscellaneous asset auto-record,Misc Asset 123
Helga Windle,Assets,HBN-75177807,EXP00000133,5753,2024-02-15 11:03:00,Customer Support,Processed,,2024-02-16 11:03:00.000000000,Newly procured asset for IT Department,Dell Latitude 7400
Germaine Bruski,Assets,SGG-93172182,EXP00000134,4144,2023-12-02 20:02:00,Finance,Declined,,,Asset tracking for network router,Cisco 2200 Router
Rosalie Krigger,Assets,WBF-53088608,EXP00000135,2295,2023-09-24 23:02:00,HR,Processed,,2023-10-05 16:10:41.453285393,Asset Registration: Dell XPS 15 Laptop,Dell_XPS_15
Virgil Chinni,Assets,CTF-09959410,EXP00000136,2425,2024-03-20 18:31:00,IT,Processed,,2024-03-21 18:31:00.000000000,Automated record for IT asset,Dell Precision 5520
Mabel Weeden,Assets,GEA-17581333,EXP00000137,6407,2023-06-26 17:13:00,Customer Support,Processed,,2023-07-02 06:36:34.488145236,Procurement process for new hardware asset,Dell Latitude 7410 Notebook
Rosalie Krigger,Assets,JBS-03263081,EXP00000138,3209,2023-11-23 15:38:00,HR,Processed,,2023-12-08 08:42:49.934370252,Automatically generated line for Asus ZenBook asset,Asus ZenBook Pro Duo 15
Luella Pliner,Assets,IBG-49692247,EXP00000139,8906,2024-01-03 17:25:00,Sales,Declined,,,Asset Acquisition: Dell Optiplex 3060,Dell Optiplex 3060
Fausto Marks,Travel,,EXP00000140,4911,2023-06-18 07:31:00,Finance,Processed,,2023-06-19 07:31:00.000000000,Hardware asset for travel category,Dell Latitude 5580
Danny Dales,Travel,,EXP00000141,2066,2023-07-08 12:57:00,Customer Support,Declined,,,Travel category - Configuration item registered,Travel-related asset
Darrel Tork,Travel,,EXP00000142,738,2023-02-13 02:03:00,Customer Support,Processed,,2023-02-19 16:46:10.881737041,Automatically generated expense line for procurement of a travel laptop,Dell Latitude Travel Laptop
Luella Pliner,Services,JMJ-05265868,EXP00000143,850,2023-08-22 04:05:00,Sales,Processed,,2023-09-03 01:04:46.212769868,Implementation of new Service Management Software,ServiceNow Instance
Rachel Larrison,Travel,,EXP00000144,5920,2024-04-20 02:51:00,Customer Support,Declined,,,Expense line generated for travel related asset,Travel Laptop Dell Latitude 7420
Carmel Overfelt,Assets,GHE-29331827,EXP00000145,5008,2023-12-16 01:50:00,Customer Support,Submitted,,,Automatically generated entry for addition of hardware asset,Dell Latitude 5410
Cyril Behen,Assets,YRX-92343118,EXP00000146,3615,2023-05-15 03:26:00,Development,Submitted,,,Asset Allocation for New Office,Dell Latitude 7400
Danny Dales,Services,KPK-66187606,EXP00000147,419,2023-03-12 04:37:00,Customer Support,Declined,,,Automated service asset registration,Cloud Service Instance
Lynda Caraway,Assets,HYI-72379022,EXP00000148,7885,2024-01-18 12:28:00,Customer Support,Declined,,,Procured new Hardware Asset,Dell Latitude 7490
Petra Mcnichol,Assets,CLM-62579756,EXP00000149,1838,2023-07-17 17:49:00,Customer Support,Declined,,,Scheduled asset registration for new machinery,Dell Precision T3500
Helga Windle,Travel,,EXP00000150,4062,2023-05-17 23:54:00,Customer Support,Processed,,2023-05-18 23:54:00.000000000,Automatically generated expense line for creation of Travel asset,Business Class Air Ticket
Owen Sparacino,Travel,,EXP00000151,6077,2024-03-04 22:47:00,Customer Support,Processed,,2024-03-09 10:03:05.957623067,Automatically generated expense line for creation of travel asset,Company-provided Suitcase
Carmel Overfelt,Assets,RQJ-27935551,EXP00000152,2067,2023-06-21 16:00:00,Customer Support,Processed,,2023-06-22 16:00:00.000000000,Automated asset entry for hardware device,Dell Latitude 7400
Luella Pliner,Travel,,EXP00000153,2619,2024-02-17 01:59:00,Sales,Submitted,,,Travel accessories provision for business trips,Toshiba Portégé X30
Sadie Rowlett,Assets,VCZ-72233400,EXP00000154,6445,2023-05-18 16:57:00,IT,Processed,,2023-05-19 16:57:00.000000000,Asset management for data center server,Dell PowerEdge R740
Rob Woodbyrne,Travel,,EXP00000155,7961,2024-04-10 00:00:00,Sales,Declined,,,Travel related hardware asset,Dell Latitude 7410 Travel Laptop
Nelly Jakuboski,Travel,,EXP00000156,7306,2024-03-24 04:03:00,Customer Support,Submitted,,,Expensed Travel Equipment,Travelmate P2 Laptop
Raphael Bickel,Assets,RQS-55208225,EXP00000157,8812,2023-08-02 12:18:00,Sales,Processed,,2023-08-03 12:18:00.000000000,Automatic entry for new hardware asset acquisition,Dell Optiplex 7060 Small Form Factor
Howard Johnson,Assets,DNK-47359415,EXP00000158,2937,2023-04-07 21:20:00,Sales,Processed,,2023-04-14 16:50:05.348268474,Newly acquired Lenovo ThinkPad workstation,Lenovo ThinkPad E15
