sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
employee,INC0000000026,Fred Luddy,Resolved,Don Goodliffe,Luke Wilson,2023-01-17 04:42:00,2023-01-21 15:46:33.671219004,2023-01-21 15:46:33.671219004,Cannot connect to VPN,Network,2 - High,Network
employee,INC0000000027,Beth Anglin,Resolved,Don Goodliffe,Luke Wilson,2023-01-18 04:33:00,2023-01-22 14:18:39.527732572,2023-01-22 14:18:39.527732572,Unable to connect to the office Wi-Fi,Network,2 - High,Network
system,INC0000000028,Howard Johnson,Resolved,Don Goodliffe,Howard Johnson,2023-01-18 04:49:00,2023-02-02 13:16:27.171169603,2023-02-02 13:16:27.171169603,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000029,Charlie Whitherspoon,Closed,Bud Richman,Fred Luddy,2023-01-18 22:48:00,2023-01-28 12:21:22.310123723,2023-01-28 12:21:22.310123723,Can't connect to Wi-Fi,Network,2 - High,Network
admin,INC0000000030,Charlie Whitherspoon,Closed,Don Goodliffe,Beth Anglin,2023-01-20 13:45:00,2023-01-21 13:45:00.000000000,2023-01-21 13:45:00.000000000,Email system outage,Network,1 - Critical,Network
admin,INC0000000031,Howard Johnson,Resolved,Bud Richman,Beth Anglin,2023-01-21 10:58:00,2023-01-22 10:58:00.000000000,2023-01-22 10:58:00.000000000,Server latency issues reported,Network,2 - High,Network
admin,INC0000000032,Beth Anglin,Resolved,David Loo,Fred Luddy,2023-01-21 20:07:00,2023-01-28 00:18:23.429309729,2023-01-28 00:18:23.429309729,Database Connection Issue,Database,2 - High,Database
employee,INC0000000033,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-01-22 21:34:00,2023-02-02 06:48:58.230334364,2023-02-02 06:48:58.230334364,Cannot connect to VPN,Network,2 - High,Network
employee,INC0000000034,Fred Luddy,Resolved,David Loo,Luke Wilson,2023-01-23 00:58:00,2023-01-27 14:24:14.884777699,2023-01-27 14:24:14.884777699,Email server not responding,Network,2 - High,Network
admin,INC0000000035,Howard Johnson,Closed,ITIL User,Howard Johnson,2023-01-23 22:25:00,2023-02-05 22:27:37.727101743,2023-02-05 22:27:37.727101743,Email server not responding,Network,2 - High,Network
employee,INC0000000036,Luke Wilson,Resolved,ITIL User,Howard Johnson,2023-01-26 06:08:00,2023-01-29 23:40:21.845651026,2023-01-29 23:40:21.845651026,Unauthorized access detected on server,Network,1 - Critical,Network
admin,INC0000000037,Howard Johnson,Resolved,David Loo,Beth Anglin,2023-01-26 20:26:00,2023-02-09 23:03:12.146527507,2023-02-09 23:03:12.146527507,Server down in local office,Network,1 - Critical,Network
employee,INC0000000038,Beth Anglin,Resolved,Don Goodliffe,Luke Wilson,2023-01-29 15:57:00,2023-02-14 05:26:30.337935626,2023-02-14 05:26:30.337935626,Email application is not loading,Software,3 - Moderate,Software
admin,INC0000000039,Howard Johnson,Resolved,Don Goodliffe,Howard Johnson,2023-01-30 22:25:00,2023-02-02 11:07:32.614229931,2023-02-02 11:07:32.614229931,Email server is not responding,Network,1 - Critical,Network
system,INC0000000040,Charlie Whitherspoon,Resolved,David Loo,Howard Johnson,2023-02-02 03:54:00,2023-02-05 09:08:26.531549201,2023-02-05 09:08:26.531549201,Cannot connect to VPN,Network,1 - Critical,Network
system,INC0000000041,Howard Johnson,Closed,David Loo,Howard Johnson,2023-02-04 12:53:00,2023-02-12 04:05:25.141394315,2023-02-12 04:05:25.141394315,Unable to connect to Wifi,Network,2 - High,Network
admin,INC0000000042,Fred Luddy,Closed,Don Goodliffe,Luke Wilson,2023-02-05 21:29:00,2023-02-17 07:55:35.954933564,2023-02-17 07:55:35.954933564,Emails not getting delivered,Network,1 - Critical,Hardware
employee,INC0000000043,Howard Johnson,Resolved,Bud Richman,Charlie Whitherspoon,2023-02-07 14:00:00,2023-02-22 11:35:17.061814364,2023-02-22 11:35:17.061814364,Unable to access the company database,Database,2 - High,Database
system,INC0000000044,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-02-10 08:43:00,2023-02-17 20:55:19.286455753,2023-02-17 20:55:19.286455753,Server outage reported,Network,1 - Critical,Network
system,INC0000000045,Fred Luddy,Closed,Bud Richman,Luke Wilson,2023-02-11 00:28:00,2023-02-13 07:42:28.435953604,2023-02-13 07:42:28.435953604,Database connection issues,Database,3 - Moderate,Database
system,INC0000000046,Luke Wilson,Resolved,Bud Richman,Howard Johnson,2023-02-11 16:37:00,2023-02-21 09:02:05.280502751,2023-02-21 09:02:05.280502751,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000047,Charlie Whitherspoon,Closed,Don Goodliffe,Luke Wilson,2023-02-13 01:09:00,2023-02-18 07:53:02.436763177,2023-02-18 07:53:02.436763177,Slow network connectivity in east wing,Network,2 - High,Network
admin,INC0000000048,Luke Wilson,Resolved,David Loo,Howard Johnson,2023-02-13 13:17:00,2023-02-14 13:17:00.000000000,2023-02-14 13:17:00.000000000,Cannot connect to the Wifi,Network,1 - Critical,Network
system,INC0000000049,Charlie Whitherspoon,Resolved,Bud Richman,Luke Wilson,2023-02-13 21:52:00,2023-02-27 17:11:56.203792695,2023-02-27 17:11:56.203792695,Printer not functioning properly,Hardware,2 - High,Hardware
employee,INC0000000050,Luke Wilson,Resolved,Bud Richman,Fred Luddy,2023-02-14 15:05:00,2023-02-24 10:09:20.076080805,2023-02-24 10:09:20.076080805,Unable to access VPN,Network,3 - Moderate,Network
system,INC0000000051,Fred Luddy,Closed,David Loo,Howard Johnson,2023-02-14 15:16:00,2023-02-27 05:30:20.372835588,2023-02-27 05:30:20.372835588,Cannot access the database,Database,2 - High,Database
employee,INC0000000052,Luke Wilson,Resolved,Bud Richman,Luke Wilson,2023-02-15 16:54:00,2023-02-20 20:57:57.083664849,2023-02-20 20:57:57.083664849,Unable to access database,Database,2 - High,Database
employee,INC0000000053,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-02-16 10:09:00,2023-02-17 10:09:00.000000000,2023-02-17 10:09:00.000000000,Connectivity issues with the office network,Network,2 - High,Network
admin,INC0000000054,Howard Johnson,Resolved,David Loo,Beth Anglin,2023-02-18 00:52:00,2023-03-03 05:33:21.747531170,2023-03-03 05:33:21.747531170,Cannot connect to the company VPN,Network,2 - High,Network
system,INC0000000055,Howard Johnson,Closed,Don Goodliffe,Beth Anglin,2023-02-19 00:46:00,2023-02-21 03:26:22.516216761,2023-02-21 03:26:22.516216761,Installation issue with new software,Software,3 - Moderate,Software
employee,INC0000000056,Fred Luddy,Resolved,Bud Richman,Howard Johnson,2023-02-19 11:12:00,2023-02-21 21:50:51.791546246,2023-02-21 21:50:51.791546246,Network access issue on the third floor,Network,2 - High,Network
admin,INC0000000057,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-02-19 18:49:00,2023-03-01 09:07:52.792644431,2023-03-01 09:07:52.792644431,Internet connection issue,Network,4 - Low,Hardware
admin,INC0000000058,Luke Wilson,Resolved,Don Goodliffe,Howard Johnson,2023-02-19 19:36:00,2023-03-06 21:43:39.210865992,2023-03-06 21:43:39.210865992,Unable to connect to office WiFi,Network,2 - High,Network
admin,INC0000000059,Charlie Whitherspoon,Resolved,David Loo,Charlie Whitherspoon,2023-02-19 20:18:00,2023-02-28 21:25:33.056167468,2023-02-28 21:25:33.056167468,Email server is not responding,Network,2 - High,Network
employee,INC0000000060,Fred Luddy,Closed,Bud Richman,Beth Anglin,2023-02-21 02:48:00,2023-02-22 02:48:00.000000000,2023-02-22 02:48:00.000000000,Email client not syncing,Service Desk,2 - High,Software
employee,INC0000000061,Charlie Whitherspoon,Resolved,Bud Richman,Beth Anglin,2023-02-21 14:47:00,2023-03-01 00:15:02.358988406,2023-03-01 00:15:02.358988406,Unable to access company database,Database,3 - Moderate,Inquiry / Help
system,INC0000000062,Luke Wilson,Resolved,Bud Richman,Charlie Whitherspoon,2023-02-22 06:06:00,2023-03-03 05:27:14.653103253,2023-03-03 05:27:14.653103253,Email server is not responding,Network,2 - High,Network
system,INC0000000063,Luke Wilson,Resolved,ITIL User,Charlie Whitherspoon,2023-02-23 21:55:00,2023-03-05 18:13:46.451901023,2023-03-05 18:13:46.451901023,Unable to connect to WiFi,Network,2 - High,Network
admin,INC0000000064,Fred Luddy,Resolved,Bud Richman,Luke Wilson,2023-02-23 22:36:00,2023-03-11 08:54:30.003745142,2023-03-11 08:54:30.003745142,Cannot access the internal portal,Service Desk,2 - High,Network
employee,INC0000000065,Fred Luddy,Resolved,Bud Richman,Fred Luddy,2023-02-24 06:43:00,2023-03-03 01:15:52.942566200,2023-03-03 01:15:52.942566200,VPN issues with the new software update,Network,2 - High,Software
system,INC0000000066,Charlie Whitherspoon,Closed,Don Goodliffe,Beth Anglin,2023-02-24 10:30:00,2023-03-05 11:22:14.307778584,2023-03-05 11:22:14.307778584,Email service not working,Service Desk,2 - High,Software
system,INC0000000067,Howard Johnson,Resolved,ITIL User,Howard Johnson,2023-02-24 19:42:00,2023-03-06 08:00:47.182354149,2023-03-06 08:00:47.182354149,Issue with the routing table,Network,2 - High,Network
system,INC0000000068,Charlie Whitherspoon,Resolved,Bud Richman,Charlie Whitherspoon,2023-02-26 11:51:00,2023-02-28 17:06:21.399790465,2023-02-28 17:06:21.399790465,Outage in server connectivity,Network,1 - Critical,Network
admin,INC0000000069,Beth Anglin,Resolved,Bud Richman,Fred Luddy,2023-02-27 12:00:00,2023-03-18 04:13:57.159899322,2023-03-18 04:13:57.159899322,Email server not responding,Network,2 - High,Network
employee,INC0000000070,Howard Johnson,Closed,Don Goodliffe,Charlie Whitherspoon,2023-02-27 22:55:00,2023-03-09 23:41:58.492257387,2023-03-09 23:41:58.492257387,Unable to access VPN,Network,2 - High,Network
system,INC0000000071,Beth Anglin,Closed,David Loo,Beth Anglin,2023-02-28 03:27:00,2023-03-05 12:45:35.267781856,2023-03-05 12:45:35.267781856,Email system is not syncing,Network,2 - High,Software
employee,INC0000000072,Beth Anglin,Resolved,ITIL User,Fred Luddy,2023-02-28 07:43:00,2023-03-03 00:19:29.684374286,2023-03-03 00:19:29.684374286,Unable to access network drive,Network,2 - High,Network
employee,INC0000000073,Howard Johnson,Resolved,David Loo,Beth Anglin,2023-02-28 11:40:00,2023-03-05 05:00:40.980101197,2023-03-05 05:00:40.980101197,Unexpected shutdowns on office PC,Hardware,2 - High,Hardware
admin,INC0000000074,Beth Anglin,Closed,David Loo,Beth Anglin,2023-02-28 21:41:00,2023-03-06 18:19:21.257380864,2023-03-06 18:19:21.257380864,Network connectivity issues in the office,Network,3 - Moderate,Network
employee,INC0000000075,Luke Wilson,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-03-01 18:59:00,2023-03-08 21:30:16.469824364,2023-03-08 21:30:16.469824364,Cannot connect to database server,Database,2 - High,Database
admin,INC0000000076,Beth Anglin,Resolved,ITIL User,Luke Wilson,2023-03-04 03:43:00,2023-03-12 09:49:43.749196134,2023-03-12 09:49:43.749196134,Email server is down,Network,1 - Critical,Network
employee,INC0000000077,Beth Anglin,Closed,Bud Richman,Fred Luddy,2023-03-04 23:47:00,2023-03-05 23:47:00.000000000,2023-03-05 23:47:00.000000000,Cannot access company's internal network,Network,1 - Critical,Network
system,INC0000000078,Howard Johnson,Closed,ITIL User,Fred Luddy,2023-03-05 05:02:00,2023-03-11 21:52:49.561411770,2023-03-11 21:52:49.561411770,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000079,Beth Anglin,Resolved,Bud Richman,Luke Wilson,2023-03-05 23:41:00,2023-03-14 00:17:40.400302579,2023-03-14 00:17:40.400302579,Cannot connect to office VPN,Network,1 - Critical,Network
employee,INC0000000080,Fred Luddy,Closed,Bud Richman,Beth Anglin,2023-03-06 02:32:00,2023-03-15 03:53:06.611675973,2023-03-15 03:53:06.611675973,Email service not functioning properly,Network,2 - High,Software
system,INC0000000081,Beth Anglin,Resolved,Don Goodliffe,Howard Johnson,2023-03-06 06:35:00,2023-03-07 06:35:00.000000000,2023-03-07 06:35:00.000000000,Internet connectivity issues,Network,3 - Moderate,Network
system,INC0000000082,Charlie Whitherspoon,Closed,Don Goodliffe,Luke Wilson,2023-03-06 13:07:00,2023-03-11 06:23:53.275716176,2023-03-11 06:23:53.275716176,Database connection issue on server,Database,2 - High,Database
employee,INC0000000083,Fred Luddy,Resolved,ITIL User,Luke Wilson,2023-03-06 13:15:00,2023-03-09 03:04:20.167096050,2023-03-09 03:04:20.167096050,Service Desk portal not responding,Software,1 - Critical,Software
system,INC0000000084,Howard Johnson,Resolved,ITIL User,Howard Johnson,2023-03-07 21:42:00,2023-03-14 00:05:55.740611009,2023-03-14 00:05:55.740611009,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000085,Charlie Whitherspoon,Resolved,David Loo,Fred Luddy,2023-03-08 00:57:00,2023-03-24 03:08:53.950510637,2023-03-24 03:08:53.950510637,Cannot connect to the office VPN,Network,2 - High,Network
admin,INC0000000086,Howard Johnson,Closed,Bud Richman,Charlie Whitherspoon,2023-03-08 08:38:00,2023-03-20 15:05:00.499669442,2023-03-20 15:05:00.499669442,Email server is down,Network,1 - Critical,Network
system,INC0000000087,Fred Luddy,Closed,Don Goodliffe,Charlie Whitherspoon,2023-03-09 00:18:00,2023-03-14 20:53:59.500648658,2023-03-14 20:53:59.500648658,Email server not responding,Network,2 - High,Network
admin,INC0000000088,Charlie Whitherspoon,Closed,David Loo,Beth Anglin,2023-03-09 08:15:00,2023-03-12 19:12:13.735607929,2023-03-12 19:12:13.735607929,Unable to access database,Database,2 - High,Database
system,INC0000000089,Beth Anglin,Closed,Don Goodliffe,Beth Anglin,2023-03-11 11:08:00,2023-03-24 07:29:43.560853027,2023-03-24 07:29:43.560853027,Cannot access network drives,Network,2 - High,Network
system,INC0000000090,Fred Luddy,Closed,Don Goodliffe,Charlie Whitherspoon,2023-03-11 23:48:00,2023-03-16 14:43:02.842090450,2023-03-16 14:43:02.842090450,Email system not working properly,Network,2 - High,Software
system,INC0000000091,Howard Johnson,Closed,Don Goodliffe,Howard Johnson,2023-03-12 15:02:00,2023-03-24 04:09:33.037160855,2023-03-24 04:09:33.037160855,Email server connectivity issue,Network,2 - High,Network
system,INC0000000092,Fred Luddy,Closed,Don Goodliffe,Luke Wilson,2023-03-12 20:57:00,2023-03-17 07:43:55.366984310,2023-03-17 07:43:55.366984310,Cannot connect to the database,Database,2 - High,Database
employee,INC0000000093,Charlie Whitherspoon,Closed,Bud Richman,Charlie Whitherspoon,2023-03-15 07:59:00,2023-03-29 20:54:17.360156662,2023-03-29 20:54:17.360156662,SQL server is not responding,Database,1 - Critical,Database
admin,INC0000000094,Fred Luddy,Resolved,Don Goodliffe,Howard Johnson,2023-03-17 00:10:00,2023-03-18 17:21:59.998873234,2023-03-18 17:21:59.998873234,Database server is not responding,Database,2 - High,Database
system,INC0000000095,Charlie Whitherspoon,Resolved,Bud Richman,Charlie Whitherspoon,2023-03-18 03:19:00,2023-04-07 23:01:44.353725144,2023-04-07 23:01:44.353725144,Unable to connect to Wi-Fi,Network,2 - High,Inquiry / Help
admin,INC0000000096,Fred Luddy,Resolved,David Loo,Fred Luddy,2023-03-18 03:27:00,2023-03-24 18:44:25.324878754,2023-03-24 18:44:25.324878754,Unable to access VPN,Network,2 - High,Network
admin,INC0000000097,Luke Wilson,Resolved,David Loo,Luke Wilson,2023-03-18 07:18:00,2023-03-28 09:03:29.394120091,2023-03-28 09:03:29.394120091,Unable to access database,Database,2 - High,Database
system,INC0000000098,Fred Luddy,Resolved,Don Goodliffe,Howard Johnson,2023-03-18 10:43:00,2023-03-23 20:47:55.961004788,2023-03-23 20:47:55.961004788,Internet connectivity issues in the marketing department,Network,2 - High,Network
admin,INC0000000099,Charlie Whitherspoon,Closed,Don Goodliffe,Luke Wilson,2023-03-18 11:23:00,2023-03-22 18:10:52.672686461,2023-03-22 18:10:52.672686461,Unable to access company database,Database,2 - High,Database
employee,INC0000000100,Howard Johnson,Closed,Don Goodliffe,Luke Wilson,2023-03-19 07:23:00,2023-03-25 23:47:54.460675539,2023-03-25 23:47:54.460675539,Cannot connect to the VPN,Network,2 - High,Network
admin,INC0000000101,Charlie Whitherspoon,Closed,David Loo,Fred Luddy,2023-03-20 04:50:00,2023-03-21 04:50:00.000000000,2023-03-21 04:50:00.000000000,Database server connectivity issue,Database,1 - Critical,Database
employee,INC0000000102,Charlie Whitherspoon,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-03-20 04:56:00,2023-03-29 18:43:38.984843077,2023-03-29 18:43:38.984843077,Unable to access database server,Database,2 - High,Database
employee,INC0000000103,Howard Johnson,Resolved,ITIL User,Beth Anglin,2023-03-20 20:02:00,2023-04-04 05:38:57.221537712,2023-04-04 05:38:57.221537712,Email server not responding,Network,2 - High,Hardware
admin,INC0000000104,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-03-21 12:26:00,2023-03-28 01:30:15.691051793,2023-03-28 01:30:15.691051793,Network outage in floor 2,Network,1 - Critical,Network
system,INC0000000105,Charlie Whitherspoon,Closed,David Loo,Luke Wilson,2023-03-23 10:36:00,2023-04-04 16:49:25.706156182,2023-04-04 16:49:25.706156182,Email server not responding,Network,2 - High,Network
employee,INC0000000106,Fred Luddy,Closed,Don Goodliffe,Fred Luddy,2023-03-24 00:24:00,2023-03-31 10:53:52.494504715,2023-03-31 10:53:52.494504715,VPN connection issue,Network,2 - High,Network
system,INC0000000107,Beth Anglin,Closed,ITIL User,Howard Johnson,2023-03-24 04:47:00,2023-03-29 19:48:28.230978978,2023-03-29 19:48:28.230978978,Unable to access company database,Database,2 - High,Database
system,INC0000000108,Beth Anglin,Closed,David Loo,Beth Anglin,2023-03-25 07:49:00,2023-04-06 02:24:07.586744679,2023-04-06 02:24:07.586744679,Cannot connect to company VPN,Network,2 - High,Network
admin,INC0000000109,Howard Johnson,Closed,Bud Richman,Luke Wilson,2023-03-26 12:06:00,2023-04-02 19:33:20.097048414,2023-04-02 19:33:20.097048414,The network server is down,Network,1 - Critical,Network
admin,INC0000000110,Fred Luddy,Resolved,David Loo,Fred Luddy,2023-03-27 19:33:00,2023-04-03 13:47:30.107736563,2023-04-03 13:47:30.107736563,Database connection issue,Database,2 - High,Database
system,INC0000000111,Beth Anglin,Resolved,Don Goodliffe,Luke Wilson,2023-03-28 04:14:00,2023-04-07 16:30:43.342041228,2023-04-07 16:30:43.342041228,Outlook keeps crashing,Software,2 - High,Software
admin,INC0000000112,Howard Johnson,Closed,Bud Richman,Beth Anglin,2023-03-28 19:15:00,2023-04-04 15:03:25.222289320,2023-04-04 15:03:25.222289320,Email service interruption,Network,1 - Critical,Software
system,INC0000000113,Beth Anglin,Resolved,David Loo,Beth Anglin,2023-03-29 04:31:00,2023-04-13 23:37:49.527828824,2023-04-13 23:37:49.527828824,Email server is down,Network,1 - Critical,Network
admin,INC0000000114,Luke Wilson,Closed,Bud Richman,Beth Anglin,2023-03-29 14:36:00,2023-04-12 17:07:16.417908751,2023-04-12 17:07:16.417908751,Database connectivity issue,Database,2 - High,Database
admin,INC0000000115,Howard Johnson,Resolved,ITIL User,Beth Anglin,2023-03-29 20:51:00,2023-04-07 20:02:55.880472266,2023-04-07 20:02:55.880472266,Email connection issues on workstation,Network,3 - Moderate,Network
admin,INC0000000116,Beth Anglin,Resolved,ITIL User,Charlie Whitherspoon,2023-03-29 21:04:00,2023-04-02 13:46:54.971020995,2023-04-02 13:46:54.971020995,Cannot connect to the company VPN,Network,2 - High,Network
admin,INC0000000117,Beth Anglin,Resolved,David Loo,Charlie Whitherspoon,2023-03-29 21:18:00,2023-04-06 17:15:31.903093109,2023-04-06 17:15:31.903093109,Unable to access company email,Network,2 - High,Network
system,INC0000000118,Luke Wilson,Resolved,David Loo,Charlie Whitherspoon,2023-03-30 05:44:00,2023-04-06 01:05:52.195142878,2023-04-06 01:05:52.195142878,Unable to access email server,Software,1 - Critical,Network
admin,INC0000000119,Beth Anglin,Closed,David Loo,Howard Johnson,2023-03-30 05:50:00,2023-04-08 09:27:40.300069836,2023-04-08 09:27:40.300069836,Unable to login to production database,Database,2 - High,Database
admin,INC0000000120,Beth Anglin,Resolved,Don Goodliffe,Luke Wilson,2023-03-31 03:04:00,2023-04-03 17:26:05.499219606,2023-04-03 17:26:05.499219606,Cannot connect to office VPN,Network,2 - High,Network
employee,INC0000000121,Luke Wilson,Resolved,Bud Richman,Luke Wilson,2023-04-02 02:09:00,2023-04-11 11:04:30.543805079,2023-04-11 11:04:30.543805079,Unable to access network drive,Network,2 - High,Network
employee,INC0000000122,Beth Anglin,Closed,ITIL User,Beth Anglin,2023-04-03 10:56:00,2023-04-13 19:02:08.758139393,2023-04-13 19:02:08.758139393,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000123,Luke Wilson,Resolved,ITIL User,Beth Anglin,2023-04-06 00:20:00,2023-04-13 20:08:15.154069018,2023-04-13 20:08:15.154069018,SQL server not responding,Database,2 - High,Database
system,INC0000000124,Fred Luddy,Closed,David Loo,Fred Luddy,2023-04-06 02:12:00,2023-04-22 22:43:25.366162053,2023-04-22 22:43:25.366162053,Outage in database connection,Database,1 - Critical,Database
system,INC0000000125,Howard Johnson,Resolved,ITIL User,Fred Luddy,2023-04-07 10:23:00,2023-04-12 19:51:17.074095217,2023-04-12 19:51:17.074095217,Email server connectivity issue,Network,1 - Critical,Network
system,INC0000000126,Fred Luddy,Closed,ITIL User,Beth Anglin,2023-04-07 21:15:00,2023-04-13 07:30:39.259759188,2023-04-13 07:30:39.259759188,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000127,Howard Johnson,Resolved,ITIL User,Beth Anglin,2023-04-08 17:21:00,2023-04-14 11:33:40.568569930,2023-04-14 11:33:40.568569930,Facing issues connecting to the server,Network,2 - High,Network
admin,INC0000000128,Beth Anglin,Resolved,David Loo,Luke Wilson,2023-04-08 17:22:00,2023-04-15 05:46:56.612096927,2023-04-15 05:46:56.612096927,Email service is not working,Service Desk,2 - High,Network
