category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,amount,processed_time,department
Services,Closed,2023-03-14 06:30:47.245274154,2023-01-18 23:27:00,Charlie Whitherspoon,INC0000000495,admin,Europe,Luke Wilson,ITIL User,2023-08-23 19:40:27.266944172,There was an issue,3 - Moderate,Hardware,47459,14,Sales
Travel,Closed,2024-01-21 13:40:00.000000000,2023-01-19 05:28:00,Charlie Whitherspoon,INC0000000167,admin,North America,Charlie Whitherspoon,Don Goodliffe,2023-10-02 20:53:30.682718416,There was an issue,3 - Moderate,Database,51311,0,IT
Travel,Closed,2023-05-05 00:21:12.204265630,2023-01-19 17:29:00,Fred Luddy,INC0000000373,system,North America,Fred Luddy,Don Goodliffe,2023-01-05 17:54:36.886511927,There was an issue,4 - Low,Inquiry / Help,50918,43,HR
Assets,Closed,2023-08-09 03:19:49.048508681,2023-01-20 05:48:00,Charlie Whitherspoon,INC0000000084,admin,Africa,Fred Luddy,Bud Richman,2023-09-18 19:43:08.637023310,There was an issue,1 - Critical,Network,10032,0,IT
Assets,Resolved,2023-01-18 08:42:15.759148193,2023-01-21 12:13:00,Beth Anglin,INC0000000341,employee,Asia,Howard Johnson,Don Goodliffe,2023-10-09 10:00:05.170032833,There was an issue,4 - Low,Database,18048,26,Finance
Services,Processed,2023-01-09 08:53:00.000000000,2023-01-22 03:34:00,Luke Wilson,INC0000000366,employee,Europe,Luke Wilson,Don Goodliffe,2023-08-09 03:19:49.048508681,There was an issue,2 - High,Network,62927,78,Customer Support
Miscellaneous,Resolved,2023-11-06 00:05:08.518186417,2023-01-23 23:18:00,Howard Johnson,INC0000000492,admin,North America,Howard Johnson,ITIL User,2023-10-24 10:20:11.744461099,There was an issue,2 - High,Database,66671,74,Sales
Travel,Processed,2023-10-30 18:57:00.000000000,2023-01-24 15:02:00,Luke Wilson,INC0000000187,admin,Africa,Luke Wilson,Don Goodliffe,2024-02-07 23:14:21.894263712,There was an issue,1 - Critical,Hardware,13771,18,Development
Services,Closed,2023-01-28 01:28:09.743197803,2023-01-25 02:38:00,Howard Johnson,INC0000000343,admin,Asia,Luke Wilson,David Loo,2023-01-08 15:20:00.000000000,There was an issue,3 - Moderate,Hardware,18702,81,HR
Miscellaneous,Resolved,2023-10-29 06:16:49.729720000,2023-01-25 20:52:00,Fred Luddy,INC0000000474,admin,South America,Charlie Whitherspoon,Bud Richman,2023-08-02 12:16:09.558065832,There was an issue,2 - High,Inquiry / Help,39071,34,HR
Services,Closed,2023-07-06 12:23:47.840976362,2023-01-27 02:22:00,Charlie Whitherspoon,INC0000000107,system,Europe,Beth Anglin,ITIL User,2023-03-18 09:32:55.751173465,There was an issue,3 - Moderate,Database,77536,66,Product Management
Travel,Resolved,2023-08-14 09:36:00.295254938,2023-01-27 03:28:00,Fred Luddy,INC0000000483,employee,Europe,Charlie Whitherspoon,ITIL User,2023-01-21 03:18:58.590910419,There was an issue,4 - Low,Database,45561,26,Development
Miscellaneous,Closed,2023-09-22 07:03:43.180128742,2023-01-27 07:48:00,Fred Luddy,INC0000000119,employee,Asia,Charlie Whitherspoon,ITIL User,2023-12-09 22:53:40.047263709,There was an issue,4 - Low,Database,20837,49,Finance
Miscellaneous,Closed,2023-11-14 14:50:37.041296707,2023-01-27 16:44:00,Luke Wilson,INC0000000325,system,Europe,Luke Wilson,ITIL User,2024-01-04 00:08:18.653166818,There was an issue,3 - Moderate,Inquiry / Help,42187,69,HR
Assets,Resolved,2023-01-18 10:47:18.859313409,2023-01-30 17:07:00,Charlie Whitherspoon,INC0000000371,employee,Africa,Howard Johnson,David Loo,2023-01-25 07:44:05.814552632,There was an issue,1 - Critical,Software,11098,96,HR
Travel,Processed,2023-08-10 06:30:11.927271898,2023-01-31 00:30:00,Luke Wilson,INC0000000033,admin,Asia,Luke Wilson,David Loo,2023-11-08 06:15:25.825398065,There was an issue,1 - Critical,Inquiry / Help,27871,54,Customer Support
Assets,Closed,2023-04-17 20:17:35.569877984,2023-02-01 19:46:00,Luke Wilson,INC0000000196,admin,Europe,Howard Johnson,Bud Richman,2023-08-07 09:44:00.000000000,There was an issue,2 - High,Software,36425,0,IT
Miscellaneous,Resolved,2023-01-25 07:44:05.814552632,2023-02-02 08:10:00,Luke Wilson,INC0000000014,admin,Europe,Luke Wilson,David Loo,2023-07-06 12:23:47.840976362,There was an issue,4 - Low,Database,33390,12,Development
Miscellaneous,Resolved,2023-11-27 12:48:59.344411018,2023-02-03 02:01:00,Charlie Whitherspoon,INC0000000066,system,Asia,Charlie Whitherspoon,Don Goodliffe,2023-04-05 05:58:43.770711476,There was an issue,1 - Critical,Hardware,19243,0,IT
Miscellaneous,Processed,2023-08-12 18:27:47.789421821,2023-02-05 10:25:00,Fred Luddy,INC0000000473,admin,Africa,Luke Wilson,Don Goodliffe,2023-10-21 17:05:49.162145411,There was an issue,3 - Moderate,Database,14013,99,HR
Miscellaneous,Processed,2024-01-25 11:01:00.578026325,2023-02-05 15:05:00,Howard Johnson,INC0000000161,admin,South America,Luke Wilson,Don Goodliffe,2023-04-19 16:48:00.000000000,There was an issue,3 - Moderate,Software,57051,37,Customer Support
Travel,Resolved,2023-12-06 06:18:20.231641812,2023-02-07 15:38:00,Fred Luddy,INC0000000086,admin,North America,Howard Johnson,David Loo,2023-03-17 12:55:54.993590364,There was an issue,4 - Low,Hardware,71000,43,Finance
Travel,Resolved,2023-11-09 09:27:41.299495824,2023-02-08 05:33:00,Howard Johnson,INC0000000299,employee,Europe,Howard Johnson,Bud Richman,2023-09-16 03:46:06.609216047,There was an issue,2 - High,Network,42587,48,Finance
Assets,Closed,2024-01-21 14:31:46.018925216,2023-02-08 14:07:00,Luke Wilson,INC0000000212,admin,Europe,Fred Luddy,ITIL User,2023-02-25 14:32:02.076278529,There was an issue,3 - Moderate,Database,32373,41,HR
Services,Resolved,2023-03-26 23:30:22.193990107,2023-02-11 04:10:00,Luke Wilson,INC0000000003,system,Europe,Howard Johnson,David Loo,2023-01-30 01:44:17.443653956,There was an issue,2 - High,Software,41914,59,Finance
Services,Closed,2023-09-26 20:40:00.000000000,2023-02-12 00:56:00,Luke Wilson,INC0000000195,employee,North America,Charlie Whitherspoon,David Loo,2024-02-03 17:41:53.299049427,There was an issue,4 - Low,Software,78239,24,Sales
Travel,Resolved,2023-10-05 14:59:20.783399866,2023-02-12 09:00:00,Luke Wilson,INC0000000069,employee,South America,Charlie Whitherspoon,Bud Richman,2023-05-10 22:35:58.881919516,There was an issue,3 - Moderate,Software,21819,0,IT
Services,Closed,2023-09-16 03:46:06.609216047,2023-02-12 10:41:00,Charlie Whitherspoon,INC0000000400,admin,South America,Luke Wilson,David Loo,2024-01-22 06:01:00.000000000,There was an issue,3 - Moderate,Hardware,32041,70,Finance
Travel,Resolved,2023-07-22 05:03:13.822074451,2023-02-14 16:34:00,Luke Wilson,INC0000000001,admin,Asia,Beth Anglin,ITIL User,2023-06-07 15:04:30.359478777,There was an issue,2 - High,Hardware,15912,44,Sales
Services,Closed,2024-01-24 20:11:01.690566157,2023-02-15 01:47:00,Charlie Whitherspoon,INC0000000035,employee,Asia,Luke Wilson,David Loo,2023-12-07 16:11:16.045197690,There was an issue,2 - High,Network,11720,39,Sales
Travel,Processed,2023-03-22 15:24:16.646216503,2023-02-16 10:34:00,Howard Johnson,INC0000000217,system,Africa,Beth Anglin,Don Goodliffe,2023-07-27 12:30:15.368139102,There was an issue,4 - Low,Hardware,38743,94,Customer Support
Assets,Closed,2023-11-29 21:52:24.416389196,2023-02-16 17:07:00,Fred Luddy,INC0000000242,system,North America,Howard Johnson,David Loo,2023-10-11 12:19:52.993926660,There was an issue,4 - Low,Software,43927,0,IT
Travel,Resolved,2023-06-03 13:13:53.896117331,2023-02-16 18:29:00,Beth Anglin,INC0000000381,admin,South America,Charlie Whitherspoon,Bud Richman,2023-08-17 17:26:24.730681330,There was an issue,1 - Critical,Software,39627,94,Development
Assets,Resolved,2024-01-23 07:05:32.181816124,2023-02-16 19:04:00,Beth Anglin,INC0000000192,admin,Africa,Charlie Whitherspoon,Bud Richman,2023-08-08 02:22:19.738512734,There was an issue,1 - Critical,Hardware,23893,80,Sales
Travel,Processed,2023-04-16 00:36:30.146701781,2023-02-18 01:46:00,Charlie Whitherspoon,INC0000000063,admin,North America,Fred Luddy,Bud Richman,2023-07-11 23:34:29.390060680,There was an issue,3 - Moderate,Inquiry / Help,67557,91,Finance
Assets,Resolved,2023-09-13 00:09:56.020598186,2023-02-18 16:04:00,Howard Johnson,INC0000000311,employee,South America,Luke Wilson,David Loo,2023-11-07 04:08:46.640926620,There was an issue,4 - Low,Database,49289,17,Product Management
Miscellaneous,Processed,2023-01-08 15:20:00.000000000,2023-02-22 12:21:00,Howard Johnson,INC0000000129,admin,North America,Charlie Whitherspoon,ITIL User,2023-04-13 12:13:00.000000000,There was an issue,4 - Low,Database,98263,15,Customer Support
Services,Closed,2024-02-12 22:31:48.126196708,2023-02-22 13:49:00,Charlie Whitherspoon,INC0000000039,system,Europe,Howard Johnson,Don Goodliffe,2023-11-20 14:15:29.239228781,There was an issue,1 - Critical,Software,43209,98,Sales
Services,Processed,2023-11-04 10:27:01.152081419,2023-02-22 19:23:00,Beth Anglin,INC0000000470,system,South America,Luke Wilson,Bud Richman,2023-10-25 19:50:20.337280678,There was an issue,4 - Low,Software,50030,86,Customer Support
Travel,Processed,2023-02-18 11:04:04.387140839,2023-02-23 02:37:00,Beth Anglin,INC0000000377,system,Europe,Beth Anglin,David Loo,2023-12-19 02:53:45.256687900,There was an issue,1 - Critical,Hardware,47938,52,Sales
Travel,Closed,2024-01-14 19:07:03.245823840,2023-02-23 05:40:00,Luke Wilson,INC0000000041,system,Europe,Luke Wilson,Don Goodliffe,2023-06-06 08:20:00.000000000,There was an issue,4 - Low,Software,48990,5,HR
Services,Resolved,2023-11-19 13:31:44.558204717,2023-02-25 17:52:00,Fred Luddy,INC0000000022,admin,Africa,Luke Wilson,Don Goodliffe,2023-01-26 02:18:22.920898595,There was an issue,1 - Critical,Database,26471,43,Product Management
Services,Resolved,2023-02-18 18:49:23.647006730,2023-02-25 19:47:00,Fred Luddy,INC0000000162,system,Africa,Beth Anglin,Bud Richman,2023-10-12 20:28:38.706928972,There was an issue,4 - Low,Software,13283,84,HR
Services,Closed,2023-10-03 08:14:22.675801438,2023-02-25 21:22:00,Beth Anglin,INC0000000423,system,North America,Howard Johnson,Bud Richman,2023-07-06 13:13:24.843387226,There was an issue,3 - Moderate,Database,88661,74,Product Management
Assets,Processed,2023-03-02 18:17:24.556975522,2023-02-27 16:37:00,Charlie Whitherspoon,INC0000000043,system,Africa,Howard Johnson,David Loo,2023-02-13 09:00:00.000000000,There was an issue,2 - High,Network,15349,0,IT
Travel,Resolved,2023-11-06 18:24:09.637921817,2023-02-27 21:40:00,Beth Anglin,INC0000000048,system,South America,Beth Anglin,ITIL User,2023-09-26 20:40:00.000000000,There was an issue,1 - Critical,Network,43626,80,Finance
Services,Processed,2023-05-24 17:45:04.375124775,2023-02-28 17:42:00,Fred Luddy,INC0000000194,system,Africa,Beth Anglin,David Loo,2023-03-31 22:32:42.024027147,There was an issue,4 - Low,Software,34930,92,Customer Support
Services,Resolved,2023-02-19 11:12:41.587556967,2023-03-02 01:29:00,Beth Anglin,INC0000000323,admin,South America,Charlie Whitherspoon,ITIL User,2024-02-07 21:56:58.515415708,There was an issue,2 - High,Database,31272,67,Sales
Travel,Processed,2023-06-25 09:59:55.161658018,2023-03-02 10:56:00,Charlie Whitherspoon,INC0000000433,system,Africa,Charlie Whitherspoon,ITIL User,2023-08-25 09:49:36.214757254,There was an issue,4 - Low,Network,28267,35,Customer Support
Services,Resolved,2023-11-25 13:45:38.979607981,2023-03-04 03:00:00,Fred Luddy,INC0000000427,system,South America,Howard Johnson,ITIL User,2023-05-10 03:20:31.007719853,There was an issue,2 - High,Inquiry / Help,32688,3,Finance
Assets,Resolved,2023-11-01 13:29:20.811811166,2023-03-07 06:18:00,Luke Wilson,INC0000000482,admin,Asia,Charlie Whitherspoon,David Loo,2023-06-09 23:10:07.618999909,There was an issue,4 - Low,Network,31746,17,Product Management
Assets,Processed,2023-07-06 13:08:33.074641515,2023-03-08 16:23:00,Luke Wilson,INC0000000476,system,Africa,Howard Johnson,Don Goodliffe,2023-02-03 08:09:45.834493992,There was an issue,3 - Moderate,Inquiry / Help,39237,26,Customer Support
Services,Closed,2023-02-04 02:43:53.446979933,2023-03-09 02:01:00,Howard Johnson,INC0000000240,employee,Europe,Beth Anglin,Don Goodliffe,2023-02-13 00:56:00.000000000,There was an issue,4 - Low,Software,76734,74,Product Management
Assets,Resolved,2024-01-31 02:23:56.445975993,2023-03-09 09:09:00,Howard Johnson,INC0000000449,system,Africa,Luke Wilson,Don Goodliffe,2023-04-13 09:52:00.000000000,There was an issue,3 - Moderate,Database,27554,90,Finance
Assets,Closed,2023-09-21 01:28:06.686513687,2023-03-10 09:09:00,Luke Wilson,INC0000000029,employee,Africa,Beth Anglin,David Loo,2023-05-06 00:19:06.845921162,There was an issue,1 - Critical,Database,18042,43,Sales
Miscellaneous,Resolved,2024-01-13 07:11:07.585466982,2023-03-10 14:49:00,Beth Anglin,INC0000000327,system,Europe,Charlie Whitherspoon,Don Goodliffe,2023-04-17 11:40:20.915287122,There was an issue,2 - High,Database,48336,83,HR
Assets,Closed,2023-01-14 09:42:31.239968317,2023-03-11 06:39:00,Howard Johnson,INC0000000464,system,Asia,Fred Luddy,David Loo,2023-10-18 00:52:00.000000000,There was an issue,1 - Critical,Network,21046,42,Product Management
Assets,Closed,2023-05-05 19:25:33.306689559,2023-03-13 02:53:00,Charlie Whitherspoon,INC0000000231,system,Asia,Beth Anglin,ITIL User,2023-12-22 14:45:04.366600219,There was an issue,2 - High,Inquiry / Help,11380,7,HR
Services,Resolved,2023-12-26 08:26:25.509637696,2023-03-13 07:44:00,Fred Luddy,INC0000000050,system,South America,Fred Luddy,Don Goodliffe,2023-03-11 09:09:00.000000000,There was an issue,3 - Moderate,Software,34313,0,IT
Services,Closed,2023-01-23 16:07:55.271807823,2023-03-13 10:05:00,Beth Anglin,INC0000000414,system,Asia,Beth Anglin,ITIL User,2023-07-25 03:53:49.978687958,There was an issue,2 - High,Database,22161,84,Finance
Travel,Closed,2024-01-10 15:38:48.582320090,2023-03-13 11:36:00,Luke Wilson,INC0000000339,system,Europe,Beth Anglin,David Loo,2023-10-05 14:06:46.265722782,There was an issue,4 - Low,Database,45935,71,Development
Miscellaneous,Resolved,2023-05-29 13:25:00.000000000,2023-03-14 00:04:00,Fred Luddy,INC0000000367,employee,Asia,Luke Wilson,Don Goodliffe,2023-11-02 19:10:09.135343415,There was an issue,4 - Low,Database,21322,95,Sales
Services,Processed,2023-07-15 22:29:05.785588895,2023-03-17 00:19:00,Beth Anglin,INC0000000497,system,North America,Howard Johnson,Bud Richman,2023-07-26 01:50:52.068385147,There was an issue,3 - Moderate,Database,84042,67,Product Management
Services,Closed,2023-04-08 23:37:33.628402771,2023-03-17 07:40:00,Beth Anglin,INC0000000417,admin,South America,Fred Luddy,Bud Richman,2023-02-09 20:37:54.209291607,There was an issue,4 - Low,Inquiry / Help,35863,0,IT
Services,Closed,2023-10-08 21:29:55.684306333,2023-03-18 01:04:00,Luke Wilson,INC0000000307,admin,Asia,Beth Anglin,Don Goodliffe,2023-02-04 20:06:34.055632819,There was an issue,1 - Critical,Software,17511,98,HR
Travel,Closed,2023-01-18 12:15:00.000000000,2023-03-19 09:40:00,Charlie Whitherspoon,INC0000000318,admin,North America,Luke Wilson,Bud Richman,2023-06-05 23:47:52.328722644,There was an issue,2 - High,Network,75658,96,Sales
Assets,Resolved,2023-01-23 02:21:48.999352525,2023-03-19 12:57:00,Charlie Whitherspoon,INC0000000202,employee,South America,Fred Luddy,Bud Richman,2023-09-22 15:44:42.056556368,There was an issue,2 - High,Network,50358,29,Product Management
Miscellaneous,Closed,2023-09-14 16:03:56.241021820,2023-03-19 14:53:00,Beth Anglin,INC0000000303,admin,South America,Fred Luddy,Bud Richman,2023-06-13 20:13:50.263024628,There was an issue,4 - Low,Network,48504,33,Product Management
Assets,Closed,2023-09-03 18:58:33.803118210,2023-03-22 13:51:00,Fred Luddy,INC0000000399,admin,Africa,Howard Johnson,Bud Richman,2023-02-24 12:26:03.066179768,There was an issue,4 - Low,Database,22928,97,Sales
Services,Closed,2023-10-16 08:15:55.096916626,2023-03-22 14:07:00,Beth Anglin,INC0000000273,admin,Africa,Beth Anglin,Bud Richman,2023-11-25 18:11:25.410173561,There was an issue,2 - High,Hardware,29371,98,Finance
Travel,Resolved,2023-02-19 06:21:12.452625610,2023-03-22 20:33:00,Charlie Whitherspoon,INC0000000391,employee,Europe,Charlie Whitherspoon,David Loo,2023-09-13 05:14:51.293532720,There was an issue,3 - Moderate,Software,32581,0,IT
Miscellaneous,Closed,2023-07-30 12:07:08.997531852,2023-03-23 07:51:00,Beth Anglin,INC0000000278,system,North America,Fred Luddy,ITIL User,2023-08-11 14:17:08.329647264,There was an issue,2 - High,Software,59576,64,Development
Assets,Closed,2023-06-30 13:34:11.629362629,2023-03-23 16:57:00,Fred Luddy,INC0000000395,system,North America,Howard Johnson,Bud Richman,2024-01-08 09:17:43.178873486,There was an issue,4 - Low,Hardware,43892,0,IT
Services,Resolved,2023-04-22 08:16:59.883429480,2023-03-23 22:07:00,Howard Johnson,INC0000000331,system,South America,Charlie Whitherspoon,ITIL User,2023-10-10 20:23:44.798714886,There was an issue,2 - High,Network,34668,27,Development
Travel,Processed,2023-07-28 21:34:00.908307924,2023-03-26 03:15:00,Luke Wilson,INC0000000405,admin,Europe,Howard Johnson,Don Goodliffe,2023-05-04 21:57:00.000000000,There was an issue,4 - Low,Database,61498,3,Customer Support
Travel,Closed,2023-12-10 05:44:39.457781801,2023-03-26 20:37:00,Luke Wilson,INC0000000203,system,North America,Luke Wilson,Don Goodliffe,2023-08-07 18:21:44.544015394,There was an issue,1 - Critical,Inquiry / Help,69224,52,Finance
Miscellaneous,Resolved,2023-07-06 00:00:59.012006127,2023-03-27 23:22:00,Charlie Whitherspoon,INC0000000026,system,Africa,Beth Anglin,Bud Richman,2023-06-07 06:19:03.182476115,There was an issue,2 - High,Inquiry / Help,17023,0,IT
Travel,Closed,2023-05-19 07:25:36.115649042,2023-03-29 01:49:00,Howard Johnson,INC0000000146,employee,North America,Beth Anglin,Don Goodliffe,2023-11-28 08:39:37.872085078,There was an issue,3 - Moderate,Network,91087,21,Product Management
Services,Closed,2023-08-26 16:09:36.942939516,2023-03-29 05:22:00,Charlie Whitherspoon,INC0000000089,employee,Africa,Luke Wilson,Don Goodliffe,2023-01-28 04:52:51.519667192,There was an issue,4 - Low,Hardware,17450,9,Sales
Miscellaneous,Resolved,2023-11-09 01:36:23.094504250,2023-03-30 00:58:00,Beth Anglin,INC0000000291,admin,Africa,Charlie Whitherspoon,Bud Richman,2023-03-23 14:56:55.026865443,There was an issue,1 - Critical,Network,27107,39,Product Management
Services,Closed,2023-08-04 08:39:00.000000000,2023-04-01 09:01:00,Howard Johnson,INC0000000342,system,South America,Fred Luddy,Bud Richman,2023-08-10 22:01:38.300764703,There was an issue,3 - Moderate,Hardware,22321,55,Development
Miscellaneous,Closed,2023-11-28 08:39:37.872085078,2023-04-02 15:37:00,Fred Luddy,INC0000000037,employee,Asia,Howard Johnson,ITIL User,2023-12-12 19:10:00.000000000,There was an issue,1 - Critical,Software,15760,2,Development
Assets,Closed,2023-01-06 16:52:00.000000000,2023-04-03 23:10:00,Beth Anglin,INC0000000351,system,Africa,Howard Johnson,ITIL User,2023-02-23 22:00:23.401697490,There was an issue,3 - Moderate,Network,20430,68,Product Management
Services,Resolved,2023-08-08 02:22:19.738512734,2023-04-04 04:43:00,Charlie Whitherspoon,INC0000000357,employee,Asia,Luke Wilson,Don Goodliffe,2023-10-18 13:41:25.546404143,There was an issue,3 - Moderate,Inquiry / Help,14118,26,Finance
Assets,Closed,2023-10-25 19:50:20.337280678,2023-04-05 00:45:00,Beth Anglin,INC0000000218,employee,Asia,Charlie Whitherspoon,Don Goodliffe,2023-10-27 12:35:42.247430186,There was an issue,3 - Moderate,Inquiry / Help,26119,45,Finance
Assets,Closed,2023-01-26 02:18:22.920898595,2023-04-08 12:59:00,Beth Anglin,INC0000000465,admin,Africa,Beth Anglin,Don Goodliffe,2023-01-29 22:45:30.072558587,There was an issue,2 - High,Database,13812,68,Development
Travel,Resolved,2023-11-24 19:39:37.248766516,2023-04-08 22:13:00,Beth Anglin,INC0000000485,employee,Europe,Fred Luddy,Don Goodliffe,2023-08-01 00:45:22.754376187,There was an issue,2 - High,Software,45167,3,Sales
Services,Resolved,2023-09-07 09:17:08.466232846,2023-04-09 10:28:00,Howard Johnson,INC0000000293,employee,North America,Howard Johnson,Don Goodliffe,2023-02-13 00:16:27.398179564,There was an issue,4 - Low,Inquiry / Help,57424,59,Development
Miscellaneous,Closed,2023-10-02 20:53:30.682718416,2023-04-09 15:33:00,Howard Johnson,INC0000000445,system,North America,Beth Anglin,Don Goodliffe,2023-09-07 09:17:08.466232846,There was an issue,1 - Critical,Database,83610,95,Product Management
Services,Resolved,2023-06-04 09:17:41.184530679,2023-04-10 12:12:00,Luke Wilson,INC0000000282,employee,Africa,Howard Johnson,ITIL User,2023-08-31 15:44:00.000000000,There was an issue,2 - High,Software,17622,87,Sales
Services,Closed,2023-08-15 21:18:27.557222760,2023-04-11 08:43:00,Charlie Whitherspoon,INC0000000287,system,Europe,Beth Anglin,David Loo,2024-01-19 04:34:40.251168087,There was an issue,2 - High,Inquiry / Help,35234,19,HR
