sys_updated_by,number,closed_by,state,caller_id,category,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority
system,INC0000000023,Charlie Whitherspoon,Closed,David Loo,Hardware,Fred Luddy,2023-01-17 20:36:00,2023-01-29 12:35:10.935754868,2023-01-29 12:35:10.935754868,Printer not working properly,Hardware,2 - High
system,INC0000000024,Howard Johnson,Closed,David Loo,Hardware,Fred Luddy,2023-01-18 14:02:00,2023-02-04 05:09:53.446724468,2023-02-04 05:09:53.446724468,The company printer is malfunctioning,Hardware,2 - High
employee,INC0000000025,Luke Wilson,Closed,David Loo,Hardware,Charlie Whitherspoon,2023-01-19 00:38:00,2023-01-21 13:55:56.270304622,2023-01-21 13:55:56.270304622,The server's power supply is malfunctioning,Hardware,2 - High
system,INC0000000026,Beth Anglin,Resolved,ITIL User,Software,Howard Johnson,2023-01-19 03:37:00,2023-01-28 23:28:32.096935530,2023-01-28 23:28:32.096935530,Unable to install latest software update,Software,2 - High
employee,INC0000000027,Howard Johnson,Resolved,David Loo,Hardware,Howard Johnson,2023-01-21 04:03:00,2023-01-22 04:03:00.000000000,2023-01-22 04:03:00.000000000,Printer not functioning properly,Hardware,2 - High
system,INC0000000028,Beth Anglin,Closed,ITIL User,Hardware,Luke Wilson,2023-01-22 14:25:00,2023-01-31 04:59:40.521490851,2023-01-31 04:59:40.521490851,Defective keyboard on office computer,Hardware,2 - High
system,INC0000000029,Howard Johnson,Closed,Bud Richman,Hardware,Fred Luddy,2023-01-23 03:17:00,2023-01-29 20:40:06.582160407,2023-01-29 20:40:06.582160407,Monitor not responding to inputs,Hardware,2 - High
system,INC0000000030,Beth Anglin,Resolved,Bud Richman,Hardware,Fred Luddy,2023-01-24 23:55:00,2023-02-02 15:22:33.086434934,2023-02-02 15:22:33.086434934,Printer not working properly,Hardware,2 - High
admin,INC0000000031,Luke Wilson,Closed,Bud Richman,Hardware,Howard Johnson,2023-01-27 18:59:00,2023-02-02 09:37:50.559471888,2023-02-02 09:37:50.559471888,Failed hard drive in office desktop,Hardware,2 - High
employee,INC0000000032,Charlie Whitherspoon,Resolved,Bud Richman,Hardware,Luke Wilson,2023-01-28 07:32:00,2023-02-09 11:15:27.082308059,2023-02-09 11:15:27.082308059,Keyboard malfunction detected,Hardware,3 - Moderate
employee,INC0000000033,Fred Luddy,Closed,ITIL User,Hardware,Beth Anglin,2023-01-28 16:53:00,2023-02-10 14:00:38.131133000,2023-02-10 14:00:38.131133000,Printer is not working properly,Hardware,2 - High
system,INC0000000034,Howard Johnson,Closed,David Loo,Hardware,Fred Luddy,2023-01-28 22:07:00,2023-02-06 14:09:59.115003087,2023-02-06 14:09:59.115003087,Issue with desktop monitor display,Hardware,2 - High
system,INC0000000035,Fred Luddy,Closed,ITIL User,Hardware,Luke Wilson,2023-01-30 05:13:00,2023-01-31 05:13:00.000000000,2023-01-31 05:13:00.000000000,Monitor not turning on,Hardware,2 - High
admin,INC0000000036,Beth Anglin,Closed,ITIL User,Hardware,Luke Wilson,2023-01-30 17:32:00,2023-01-31 17:32:00.000000000,2023-01-31 17:32:00.000000000,Keyboard keys not functioning properly,Hardware,2 - High
admin,INC0000000037,Beth Anglin,Closed,Don Goodliffe,Hardware,Fred Luddy,2023-01-31 05:16:00,2023-02-07 04:17:37.534924742,2023-02-07 04:17:37.534924742,Printer is not responding,Hardware,2 - High
system,INC0000000038,Luke Wilson,Resolved,Don Goodliffe,Hardware,Fred Luddy,2023-01-31 16:18:00,2023-02-08 19:52:09.422464737,2023-02-08 19:52:09.422464737,Issue related to motherboard failure,Hardware,2 - High
system,INC0000000039,Luke Wilson,Closed,ITIL User,Hardware,Beth Anglin,2023-02-01 03:08:00,2023-02-06 13:23:35.825143224,2023-02-06 13:23:35.825143224,Printer malfunctioning in room 204,Hardware,2 - High
admin,INC0000000040,Beth Anglin,Resolved,David Loo,Hardware,Charlie Whitherspoon,2023-02-01 22:49:00,2023-02-06 09:58:04.017454835,2023-02-06 09:58:04.017454835,Printer in the sales department isn't working,Hardware,2 - High
employee,INC0000000041,Howard Johnson,Resolved,David Loo,Hardware,Beth Anglin,2023-02-03 07:56:00,2023-02-07 22:17:42.313455440,2023-02-07 22:17:42.313455440,Printer not functioning properly,Hardware,3 - Moderate
employee,INC0000000042,Howard Johnson,Closed,David Loo,Hardware,Fred Luddy,2023-02-03 14:34:00,2023-02-18 09:09:41.427952234,2023-02-18 09:09:41.427952234,Keyboard not responding in laptop,Hardware,2 - High
employee,INC0000000043,Beth Anglin,Closed,Don Goodliffe,Hardware,Howard Johnson,2023-02-04 15:43:00,2023-02-20 01:27:33.469285656,2023-02-20 01:27:33.469285656,PC Monitor not turning on,Hardware,2 - High
admin,INC0000000044,Fred Luddy,Closed,ITIL User,Hardware,Fred Luddy,2023-02-05 22:41:00,2023-02-12 03:15:03.747913287,2023-02-12 03:15:03.747913287,Need replacement for faulty mouse,Hardware,2 - High
system,INC0000000045,Charlie Whitherspoon,Closed,ITIL User,Hardware,Luke Wilson,2023-02-06 01:01:00,2023-02-12 16:20:46.572131619,2023-02-12 16:20:46.572131619,Keyboard not responding,Hardware,2 - High
employee,INC0000000046,Luke Wilson,Closed,David Loo,Software,Beth Anglin,2023-02-06 04:22:00,2023-02-13 09:12:42.658941039,2023-02-13 09:12:42.658941039,Can't install new software update,Software,3 - Moderate
admin,INC0000000047,Beth Anglin,Resolved,Bud Richman,Hardware,Charlie Whitherspoon,2023-02-07 06:44:00,2023-02-19 11:11:33.574867877,2023-02-19 11:11:33.574867877,Hard drive failure in main workstation,Hardware,2 - High
employee,INC0000000048,Charlie Whitherspoon,Resolved,David Loo,Hardware,Howard Johnson,2023-02-07 23:38:00,2023-02-24 01:12:15.553778048,2023-02-24 01:12:15.553778048,Monitors not working properly,Hardware,2 - High
employee,INC0000000049,Beth Anglin,Closed,Bud Richman,Hardware,Howard Johnson,2023-02-09 02:11:00,2023-02-24 17:24:35.936112827,2023-02-24 17:24:35.936112827,Keyboard not responding,Hardware,2 - High
admin,INC0000000050,Fred Luddy,Closed,Bud Richman,Hardware,Charlie Whitherspoon,2023-02-10 13:44:00,2023-02-11 13:44:00.000000000,2023-02-11 13:44:00.000000000,Printer not functioning properly,Hardware,2 - High
employee,INC0000000051,Fred Luddy,Closed,Bud Richman,Inquiry / Help,Howard Johnson,2023-02-12 17:16:00,2023-02-20 11:06:37.757266413,2023-02-20 11:06:37.757266413,Inquiry about configuring email client,Service Desk,3 - Moderate
employee,INC0000000052,Howard Johnson,Resolved,Don Goodliffe,Hardware,Beth Anglin,2023-02-14 01:50:00,2023-02-21 20:07:10.266594529,2023-02-21 20:07:10.266594529,Mouse not responding to clicks,Hardware,3 - Moderate
admin,INC0000000053,Luke Wilson,Resolved,ITIL User,Software,Charlie Whitherspoon,2023-02-14 04:46:00,2023-02-21 20:00:53.438178492,2023-02-21 20:00:53.438178492,New update causing software incompatibility issues,Software,2 - High
employee,INC0000000054,Howard Johnson,Resolved,Bud Richman,Software,Charlie Whitherspoon,2023-02-14 20:43:00,2023-02-27 01:31:25.935093318,2023-02-27 01:31:25.935093318,Application crash during startup,Software,2 - High
admin,INC0000000055,Luke Wilson,Resolved,Bud Richman,Hardware,Luke Wilson,2023-02-14 23:18:00,2023-02-26 05:34:00.697852784,2023-02-26 05:34:00.697852784,Monitor display issue,Hardware,3 - Moderate
admin,INC0000000056,Luke Wilson,Closed,ITIL User,Hardware,Charlie Whitherspoon,2023-02-15 17:05:00,2023-03-08 07:25:43.134255157,2023-03-08 07:25:43.134255157,Printer not functioning properly,Hardware,2 - High
system,INC0000000057,Luke Wilson,Closed,Bud Richman,Hardware,Howard Johnson,2023-02-15 22:16:00,2023-02-17 15:33:33.155713742,2023-02-17 15:33:33.155713742,Keyboard replacement required for employee workstation,Hardware,4 - Low
employee,INC0000000058,Charlie Whitherspoon,Resolved,Don Goodliffe,Database,Beth Anglin,2023-02-17 05:03:00,2023-02-22 21:34:54.035460891,2023-02-22 21:34:54.035460891,Trouble connecting to the MYSQL database,Database,2 - High
employee,INC0000000059,Luke Wilson,Resolved,Don Goodliffe,Network,Howard Johnson,2023-02-17 06:15:00,2023-02-26 15:51:53.480510813,2023-02-26 15:51:53.480510813,Unable to establish remote VPN connection,Network,2 - High
employee,INC0000000060,Beth Anglin,Resolved,Bud Richman,Hardware,Luke Wilson,2023-02-17 07:19:00,2023-02-18 07:19:00.000000000,2023-02-18 07:19:00.000000000,The office printer is malfunctioning,Hardware,2 - High
system,INC0000000061,Beth Anglin,Resolved,Don Goodliffe,Software,Howard Johnson,2023-02-18 02:15:00,2023-02-28 12:42:15.863238338,2023-02-28 12:42:15.863238338,Software update failed on office machine,Software,2 - High
employee,INC0000000062,Charlie Whitherspoon,Resolved,Bud Richman,Hardware,Fred Luddy,2023-02-18 10:00:00,2023-03-01 14:34:30.089782197,2023-03-01 14:34:30.089782197,Issue with server hardware,Hardware,2 - High
admin,INC0000000063,Beth Anglin,Resolved,Bud Richman,Hardware,Beth Anglin,2023-02-19 05:12:00,2023-02-21 20:49:51.304536198,2023-02-21 20:49:51.304536198,Hardware failure - desktop computer needs repair,Hardware,2 - High
system,INC0000000064,Beth Anglin,Closed,Don Goodliffe,Software,Luke Wilson,2023-02-19 11:21:00,2023-03-02 05:11:09.261838352,2023-03-02 05:11:09.261838352,Software update failed,Software,2 - High
admin,INC0000000065,Fred Luddy,Resolved,ITIL User,Hardware,Charlie Whitherspoon,2023-02-20 04:45:00,2023-02-25 01:29:39.582425968,2023-02-25 01:29:39.582425968,Monitor screen is flickering,Hardware,2 - High
system,INC0000000066,Beth Anglin,Resolved,Don Goodliffe,Hardware,Luke Wilson,2023-02-21 01:58:00,2023-03-05 21:12:13.251545529,2023-03-05 21:12:13.251545529,Printer is not working properly,Hardware,2 - High
system,INC0000000067,Luke Wilson,Closed,Bud Richman,Hardware,Howard Johnson,2023-02-22 04:36:00,2023-02-26 08:28:30.954041959,2023-02-26 08:28:30.954041959,Printer not working properly,Hardware,3 - Moderate
system,INC0000000068,Howard Johnson,Closed,David Loo,Hardware,Luke Wilson,2023-02-23 03:18:00,2023-02-26 12:45:50.600403587,2023-02-26 12:45:50.600403587,Printer not working,Hardware,2 - High
admin,INC0000000069,Charlie Whitherspoon,Closed,David Loo,Hardware,Howard Johnson,2023-02-23 13:46:00,2023-03-04 22:27:26.080573053,2023-03-04 22:27:26.080573053,Printer not working properly,Hardware,3 - Moderate
system,INC0000000070,Fred Luddy,Resolved,Bud Richman,Database,Luke Wilson,2023-02-23 17:29:00,2023-03-10 16:02:24.711926278,2023-03-10 16:02:24.711926278,Database connection error in production environment,Database,1 - Critical
admin,INC0000000071,Charlie Whitherspoon,Closed,Bud Richman,Hardware,Howard Johnson,2023-02-23 22:53:00,2023-03-02 13:07:22.374993231,2023-03-02 13:07:22.374993231,Keyboard not working properly,Hardware,3 - Moderate
admin,INC0000000072,Luke Wilson,Resolved,Bud Richman,Hardware,Luke Wilson,2023-02-24 18:10:00,2023-03-03 22:12:24.867330629,2023-03-03 22:12:24.867330629,Printer not functioning correctly,Hardware,2 - High
system,INC0000000073,Howard Johnson,Resolved,David Loo,Network,Luke Wilson,2023-02-24 19:11:00,2023-03-05 14:49:40.107907462,2023-03-05 14:49:40.107907462,Firewall not working correctly,Network,2 - High
employee,INC0000000074,Howard Johnson,Resolved,Don Goodliffe,Hardware,Beth Anglin,2023-02-24 19:48:00,2023-03-15 06:52:54.632775111,2023-03-15 06:52:54.632775111,Printer not functioning properly,Hardware,2 - High
system,INC0000000075,Fred Luddy,Closed,Bud Richman,Software,Charlie Whitherspoon,2023-02-25 04:38:00,2023-03-01 18:42:25.921240588,2023-03-01 18:42:25.921240588,Cannot install new software update,Software,2 - High
employee,INC0000000076,Howard Johnson,Resolved,ITIL User,Network,Beth Anglin,2023-02-25 18:05:00,2023-02-26 18:05:00.000000000,2023-02-26 18:05:00.000000000,Router malfunction in building A,Network,1 - Critical
employee,INC0000000077,Howard Johnson,Resolved,David Loo,Hardware,Charlie Whitherspoon,2023-02-26 03:16:00,2023-03-08 17:50:46.293110305,2023-03-08 17:50:46.293110305,Laptop's display is not working properly,Hardware,2 - High
employee,INC0000000078,Howard Johnson,Resolved,Bud Richman,Database,Howard Johnson,2023-02-26 08:34:00,2023-03-05 20:43:11.762474101,2023-03-05 20:43:11.762474101,Unable to access database due to login error,Database,2 - High
employee,INC0000000079,Charlie Whitherspoon,Closed,Bud Richman,Hardware,Howard Johnson,2023-02-27 07:13:00,2023-03-04 07:14:26.272409374,2023-03-04 07:14:26.272409374,Monitor screen is flickering,Hardware,2 - High
system,INC0000000080,Beth Anglin,Resolved,David Loo,Hardware,Luke Wilson,2023-02-28 05:58:00,2023-03-06 19:40:55.290653329,2023-03-06 19:40:55.290653329,Printer is not working correctly,Hardware,2 - High
employee,INC0000000081,Howard Johnson,Resolved,David Loo,Hardware,Howard Johnson,2023-03-01 00:53:00,2023-03-12 19:35:13.934025138,2023-03-12 19:35:13.934025138,Printer not functioning properly,Hardware,2 - High
system,INC0000000082,Luke Wilson,Closed,ITIL User,Hardware,Luke Wilson,2023-03-01 21:05:00,2023-03-16 06:01:35.114958773,2023-03-16 06:01:35.114958773,Monitor not displaying output,Hardware,2 - High
employee,INC0000000083,Howard Johnson,Closed,ITIL User,Hardware,Fred Luddy,2023-03-01 23:07:00,2023-03-04 18:17:22.765258490,2023-03-04 18:17:22.765258490,The printer is not working properly,Hardware,2 - High
employee,INC0000000084,Charlie Whitherspoon,Closed,Bud Richman,Hardware,Charlie Whitherspoon,2023-03-02 00:14:00,2023-03-04 08:08:54.842004005,2023-03-04 08:08:54.842004005,Printer not working properly,Hardware,3 - Moderate
admin,INC0000000085,Beth Anglin,Resolved,ITIL User,Hardware,Howard Johnson,2023-03-02 08:58:00,2023-03-07 21:44:07.565006780,2023-03-07 21:44:07.565006780,Monitor screen flashing intermittently,Hardware,2 - High
employee,INC0000000086,Beth Anglin,Resolved,David Loo,Hardware,Fred Luddy,2023-03-02 10:24:00,2023-03-16 11:16:36.520898997,2023-03-16 11:16:36.520898997,Monitor screen is flickering,Hardware,2 - High
system,INC0000000087,Howard Johnson,Resolved,David Loo,Hardware,Luke Wilson,2023-03-03 04:25:00,2023-03-20 03:13:35.923402675,2023-03-20 03:13:35.923402675,Printer malfunctioning in department B,Hardware,2 - High
admin,INC0000000088,Charlie Whitherspoon,Closed,David Loo,Hardware,Charlie Whitherspoon,2023-03-04 11:55:00,2023-03-16 13:06:26.063915081,2023-03-16 13:06:26.063915081,Printer not functioning properly,Hardware,2 - High
employee,INC0000000089,Charlie Whitherspoon,Closed,Bud Richman,Hardware,Luke Wilson,2023-03-05 01:51:00,2023-03-12 15:18:35.805745323,2023-03-12 15:18:35.805745323,Monitor display malfunctioning,Hardware,2 - High
admin,INC0000000090,Beth Anglin,Closed,David Loo,Hardware,Luke Wilson,2023-03-08 06:54:00,2023-03-19 17:17:17.475545751,2023-03-19 17:17:17.475545751,Monitor screen blinking randomly,Hardware,2 - High
employee,INC0000000091,Fred Luddy,Closed,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-03-08 13:46:00,2023-03-15 10:23:52.994446106,2023-03-15 10:23:52.994446106,Printer not functioning properly,Hardware,2 - High
system,INC0000000092,Fred Luddy,Closed,Bud Richman,Hardware,Luke Wilson,2023-03-09 08:47:00,2023-03-21 00:02:40.468423259,2023-03-21 00:02:40.468423259,Printer not turning on,Hardware,2 - High
system,INC0000000093,Luke Wilson,Resolved,David Loo,Hardware,Beth Anglin,2023-03-09 14:22:00,2023-03-10 14:22:00.000000000,2023-03-10 14:22:00.000000000,Screen flickering issue with office computer,Hardware,2 - High
employee,INC0000000094,Howard Johnson,Resolved,ITIL User,Software,Luke Wilson,2023-03-09 16:27:00,2023-03-11 21:52:07.798436233,2023-03-11 21:52:07.798436233,Software update required for Adobe applications,Software,3 - Moderate
system,INC0000000095,Beth Anglin,Closed,Bud Richman,Hardware,Beth Anglin,2023-03-12 22:36:00,2023-03-15 01:28:32.904932536,2023-03-15 01:28:32.904932536,Printer not functioning properly,Hardware,2 - High
system,INC0000000096,Howard Johnson,Resolved,Don Goodliffe,Software,Luke Wilson,2023-03-13 22:55:00,2023-03-20 02:57:13.597366015,2023-03-20 02:57:13.597366015,Unexpected error while updating the application,Software,2 - High
employee,INC0000000097,Charlie Whitherspoon,Resolved,Bud Richman,Hardware,Howard Johnson,2023-03-14 21:28:00,2023-03-22 01:40:55.334660959,2023-03-22 01:40:55.334660959,Facing issue with company provided printer.,Hardware,2 - High
system,INC0000000098,Luke Wilson,Closed,David Loo,Hardware,Beth Anglin,2023-03-14 23:10:00,2023-03-25 14:47:59.096177648,2023-03-25 14:47:59.096177648,Monitor not working properly,Hardware,2 - High
employee,INC0000000099,Fred Luddy,Resolved,Don Goodliffe,Hardware,Fred Luddy,2023-03-16 04:38:00,2023-03-23 06:54:05.925706454,2023-03-23 06:54:05.925706454,Keyboard malfunction on employee workstation,Hardware,2 - High
system,INC0000000100,Luke Wilson,Resolved,David Loo,Hardware,Luke Wilson,2023-03-16 09:47:00,2023-03-24 19:01:27.715694828,2023-03-24 19:01:27.715694828,Keyboard malfunction on desktop,Hardware,2 - High
admin,INC0000000101,Howard Johnson,Closed,David Loo,Hardware,Beth Anglin,2023-03-19 18:44:00,2023-03-26 11:31:27.739623907,2023-03-26 11:31:27.739623907,Router failure in branch office,Network,1 - Critical
admin,INC0000000102,Beth Anglin,Resolved,David Loo,Hardware,Charlie Whitherspoon,2023-03-20 09:05:00,2023-03-25 07:58:48.028017846,2023-03-25 07:58:48.028017846,Printer not working properly,Hardware,2 - High
admin,INC0000000103,Beth Anglin,Closed,Don Goodliffe,Hardware,Howard Johnson,2023-03-21 04:12:00,2023-03-28 09:41:53.120833995,2023-03-28 09:41:53.120833995,Server hardware malfunction,Hardware,1 - Critical
system,INC0000000104,Howard Johnson,Resolved,ITIL User,Hardware,Howard Johnson,2023-03-21 06:15:00,2023-04-09 08:25:24.540952001,2023-04-09 08:25:24.540952001,Printer not working properly,Hardware,3 - Moderate
admin,INC0000000105,Fred Luddy,Resolved,David Loo,Network,Luke Wilson,2023-03-21 23:40:00,2023-03-24 03:01:57.488633180,2023-03-24 03:01:57.488633180,Experiencing network outage in the New York office,Network,1 - Critical
employee,INC0000000106,Beth Anglin,Closed,ITIL User,Hardware,Fred Luddy,2023-03-22 14:08:00,2023-03-23 14:08:00.000000000,2023-03-23 14:08:00.000000000,Printer is not working properly,Hardware,2 - High
admin,INC0000000107,Charlie Whitherspoon,Resolved,Don Goodliffe,Database,Beth Anglin,2023-03-22 17:22:00,2023-04-01 17:03:44.915332398,2023-04-01 17:03:44.915332398,SQL database error on server 12,Database,2 - High
system,INC0000000108,Fred Luddy,Closed,ITIL User,Software,Luke Wilson,2023-03-23 19:49:00,2023-04-01 05:15:54.588427865,2023-04-01 05:15:54.588427865,Software update failure on my workstation,Software,2 - High
system,INC0000000109,Howard Johnson,Resolved,Bud Richman,Network,Beth Anglin,2023-03-24 23:37:00,2023-03-28 14:10:03.975447840,2023-03-28 14:10:03.975447840,Unable to connect to corporate VPN,Network,2 - High
system,INC0000000110,Howard Johnson,Resolved,David Loo,Network,Luke Wilson,2023-03-25 02:37:00,2023-04-03 05:40:58.006249751,2023-04-03 05:40:58.006249751,Slow network speed causing work disruptions,Network,2 - High
admin,INC0000000111,Charlie Whitherspoon,Resolved,Bud Richman,Hardware,Howard Johnson,2023-03-25 21:12:00,2023-04-03 12:53:38.935720577,2023-04-03 12:53:38.935720577,Printer not operating properly,Hardware,2 - High
admin,INC0000000112,Fred Luddy,Resolved,ITIL User,Hardware,Beth Anglin,2023-03-27 09:46:00,2023-04-10 23:45:37.760726088,2023-04-10 23:45:37.760726088,Issue with printer not responding,Hardware,2 - High
admin,INC0000000113,Beth Anglin,Closed,ITIL User,Hardware,Fred Luddy,2023-03-27 19:07:00,2023-04-07 04:43:27.288782748,2023-04-07 04:43:27.288782748,Printers are not functioning properly,Hardware,2 - High
admin,INC0000000114,Charlie Whitherspoon,Resolved,Don Goodliffe,Hardware,Luke Wilson,2023-03-28 06:04:00,2023-03-29 06:04:00.000000000,2023-03-29 06:04:00.000000000,Need help! Monitor display issue,Hardware,2 - High
employee,INC0000000115,Howard Johnson,Closed,David Loo,Inquiry / Help,Luke Wilson,2023-03-28 06:07:00,2023-04-07 21:39:28.925543645,2023-04-07 21:39:28.925543645,Need assistance with software installation,Service Desk,3 - Moderate
system,INC0000000116,Charlie Whitherspoon,Closed,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-03-28 14:54:00,2023-03-31 15:47:06.849487353,2023-03-31 15:47:06.849487353,Printer not working properly,Hardware,2 - High
employee,INC0000000117,Fred Luddy,Closed,Bud Richman,Hardware,Beth Anglin,2023-03-29 03:52:00,2023-04-03 11:50:41.042924649,2023-04-03 11:50:41.042924649,Monitor screen flickering issue,Hardware,2 - High
employee,INC0000000118,Luke Wilson,Resolved,ITIL User,Hardware,Howard Johnson,2023-03-31 12:42:00,2023-04-12 16:45:45.971656789,2023-04-12 16:45:45.971656789,Company printer not operating correctly,Hardware,2 - High
admin,INC0000000119,Howard Johnson,Closed,David Loo,Hardware,Luke Wilson,2023-03-31 12:46:00,2023-04-03 15:37:09.554977976,2023-04-03 15:37:09.554977976,Mouse not working properly,Hardware,3 - Moderate
system,INC0000000120,Howard Johnson,Resolved,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-03-31 16:33:00,2023-04-07 03:11:53.524479706,2023-04-07 03:11:53.524479706,Keyboard malfunctioning and needs replacement,Hardware,3 - Moderate
employee,INC0000000121,Charlie Whitherspoon,Closed,ITIL User,Hardware,Fred Luddy,2023-03-31 18:20:00,2023-04-07 13:14:06.593170579,2023-04-07 13:14:06.593170579,Need replacement for damaged mouse,Hardware,2 - High
admin,INC0000000122,Fred Luddy,Closed,Bud Richman,Hardware,Luke Wilson,2023-03-31 23:14:00,2023-04-12 21:22:17.090383095,2023-04-12 21:22:17.090383095,Printer malfunctioning in Office 404,Hardware,2 - High
admin,INC0000000123,Howard Johnson,Closed,ITIL User,Hardware,Fred Luddy,2023-04-01 16:00:00,2023-04-10 17:54:34.725349421,2023-04-10 17:54:34.725349421,Monitor screen flickering and unresponsive,Hardware,2 - High
admin,INC0000000124,Howard Johnson,Closed,David Loo,Software,Howard Johnson,2023-04-02 03:47:00,2023-04-13 00:19:12.647779697,2023-04-13 00:19:12.647779697,Unable to install new software update,Software,2 - High
