cost,warranty_expiration,model_category,serial_number,sys_updated_on,department,asset_tag,purchased_on,assigned_to,display_name,ci
4360,2023-10-24 19:55:00,Computer,EFX-81268278,2023-06-23 19:55:00,Product Management,P1000035,2023-05-19 19:55:00,Nickolas Khosravi,Dell Latitude E7450 Laptop Computer,Latitude E7450
1833,2025-05-13 19:50:00,Computer,UFY-52145986,2023-08-05 19:50:00,Customer Support,P1000036,2023-07-20 19:50:00,Nathanial Phoenix,Lenovo ThinkPad T480s,ThinkPad T480s
2881,2024-10-06 07:22:00,Computer,RUV-29378080,2023-07-27 07:22:00,Customer Support,P1000037,2023-07-11 07:22:00,Lona Scronce,Dell Inspiron 5481,Inspiron 5481
2716,2025-01-08 03:12:00,Computer,ZXD-16503171,2023-10-23 03:12:00,Sales,P1000038,2023-09-10 03:12:00,Alene Rabeck,Dell Inspiron 5000 Series Notebook,Inspiron 5000
2115,2025-05-12 15:47:00,Computer,LYP-15982519,2023-10-10 15:47:00,Customer Support,P1000039,2023-09-13 15:47:00,Jimmie Barninger,Dell Inspiron 7400 Computer,Inspiron 7400
1578,2025-11-18 07:17:00,Computer,HFI-69973011,2024-01-29 07:17:00,Customer Support,P1000040,2023-12-05 07:17:00,Jeanie Dalen,Dell Inspiron 15 Computer,Inspiron 15
4898,2024-04-14 14:41:00,Computer,UGD-55326019,2024-02-10 14:41:00,Customer Support,P1000041,2024-01-15 14:41:00,Teodoro Gaboury,Dell Inspiron 15 Computer,Inspiron 15
4681,2023-10-12 14:41:00,Computer,DZA-68214293,2023-08-09 14:41:00,Sales,P1000042,2023-07-11 14:41:00,Carolina Kinlaw,Dell Inspiron Desktop Computer,Inspiron Desktop
1850,2025-07-06 02:34:00,Computer,FCM-09382268,2023-10-23 02:34:00,IT,P1000043,2023-09-15 02:34:00,Jonathon Waldall,Dell Inspiron 15 3000 Series Laptop,Inspiron 15 3000 Series
2536,2025-01-11 21:56:00,Computer,YIM-00194604,2023-09-19 21:56:00,Customer Support,P1000044,2023-08-08 21:56:00,Emilia Oxley,Dell Inspiron 7506 2n1 Computer,Inspiron 7506 2n1
2793,2025-03-10 23:58:00,Computer,DBW-83836619,2023-12-06 23:58:00,Customer Support,P1000045,2023-11-25 23:58:00,Nanette Turansky,Dell Inspiron 15 Computer,Inspiron 15
3996,2024-03-24 02:52:00,Computer,VWR-57796559,2023-08-31 02:52:00,IT,P1000046,2023-08-07 02:52:00,Karyn Jinks,Dell Inspiron Desktop Computer,Inspiron Desktop
4062,2024-04-26 04:49:00,Computer,ZTV-98320326,2023-11-12 04:49:00,Finance,P1000047,2023-09-22 04:49:00,Brendan Qin,Dell Inspiron 15 Computer,Inspiron 15
4313,2024-02-03 06:22:00,Computer,WNO-02336893,2023-09-18 06:22:00,Sales,P1000048,2023-08-20 06:22:00,Patty Bernasconi,Dell Inspiron 15 3000 Computer,Inspiron 15 3000
2113,2025-02-22 14:49:00,Computer,NQH-41458088,2023-07-10 14:49:00,Customer Support,P1000049,2023-06-26 14:49:00,Fannie Steese,Dell Inspiron 15 3000,Inspiron 15 3000
3970,2024-07-14 06:36:00,Computer,HMP-06430526,2023-11-28 06:36:00,Sales,P1000050,2023-11-21 06:36:00,Haley Rocheford,Dell Inspiron 15 Computer,Inspiron 15
3317,2024-11-15 13:59:00,Computer,WIV-09434233,2024-01-05 13:59:00,Customer Support,P1000051,2023-11-15 13:59:00,Isaac Davensizer,Dell Inspiron 15 3000,Inspiron 15 3000
3391,2024-08-28 16:48:00,Computer,NLQ-25815408,2023-10-25 16:48:00,Finance,P1000052,2023-09-12 16:48:00,Titus Rodreguez,Dell Optiplex 990 Desktop Computer,Optiplex 990
4674,2023-08-10 13:34:00,Computer,ZRJ-90023788,2023-06-18 13:34:00,HR,P1000053,2023-05-07 13:34:00,Warren Speach,Dell OptiPlex 3050 All-in-One Computer,OptiPlex 3050
3271,2025-04-03 16:30:00,Computer,STG-19296144,2024-03-31 16:30:00,Development,P1000054,2024-03-24 16:30:00,Lucien Iurato,Dell Inspiron 3558-Laptop,Inspiron 3558
1798,2025-10-30 18:45:00,Computer,BGZ-10351949,2024-02-28 18:45:00,Product Management,P1000055,2023-12-30 18:45:00,Allie Pumphrey,Dell Inspiron 5000 - Computer,Inspiron 5000
4654,2024-02-10 08:22:00,Computer,EWW-07607749,2023-12-15 08:22:00,Sales,P1000056,2023-11-03 08:22:00,Tia Lino,Dell Inspiron 3471 Computer,Inspiron 3471
3322,2024-07-04 22:50:00,Computer,FQH-25616188,2023-07-10 22:50:00,IT,P1000057,2023-07-05 22:50:00,Miranda Hammitt,Dell OptiPlex 3080,OptiPlex 3080
4808,2023-09-07 06:36:00,Computer,KIB-04912322,2023-07-07 06:36:00,Customer Support,P1000058,2023-06-09 06:36:00,Ross Spurger,Dell Inspiron Desktop Computer,Inspiron Desktop
1729,2025-06-04 12:14:00,Computer,EVM-54451527,2023-08-04 12:14:00,Customer Support,P1000059,2023-07-21 12:14:00,Naomi Mcraven,Dell Inspiron 15 3593 Computer,Inspiron 15 3593
4486,2024-07-07 22:42:00,Computer,WLQ-48347225,2024-03-17 22:42:00,HR,P1000060,2024-02-26 22:42:00,Reginald Lunan,Dell Inspiron Desktop Computer,Inspiron Desktop
4864,2023-10-03 08:37:00,Computer,QFZ-92484721,2023-08-18 08:37:00,Customer Support,P1000061,2023-07-05 08:37:00,Donald Sherretts,Dell Inspiron 15 Gaming,Inspiron 15 Gaming
4182,2024-02-02 03:14:00,Computer,ABR-52381892,2023-09-01 03:14:00,Customer Support,P1000062,2023-07-24 03:14:00,Kira Papen,Dell Inspiron Computer 5502,Inspiron 5502
2967,2024-12-14 02:21:00,Computer,LGZ-36102201,2023-11-14 02:21:00,Product Management,P1000063,2023-10-05 02:21:00,Alejandro Mascall,Dell OptiPlex Desktop Computer,OptiPlex Desktop
3854,2024-05-30 19:52:00,Computer,CYS-68821064,2023-10-04 19:52:00,Development,P1000064,2023-09-14 19:52:00,Kerry Evertt,Dell Inspiron 15 7000 Series,Inspiron 15 7000
4225,2024-03-24 23:59:00,Computer,BMV-09425488,2023-09-22 23:59:00,IT,P1000065,2023-09-21 23:59:00,Darrel Ruffins,Dell Inspiron 15R,Inspiron 15R
4890,2023-10-10 07:06:00,Computer,AKM-69735875,2023-07-19 07:06:00,IT,P1000066,2023-07-12 07:06:00,Cruz Roudabush,Dell Inspiron Desktop Computer,Inspiron Desktop
1952,2026-01-15 00:49:00,Computer,NJU-63556883,2024-04-26 00:49:00,Sales,P1000067,2024-04-16 00:49:00,Florine Willardson,Dell Inspiron Desktop Computer,Inspiron Desktop
2230,2025-08-05 18:58:00,Computer,HHV-07731485,2024-01-05 18:58:00,Sales,P1000068,2023-12-30 18:58:00,Lee Javens,Dell Inspiron 15 3000 Series Laptop,Inspiron 15 3000 Series Laptop
4859,2024-03-03 19:28:00,Computer,XEA-02794307,2024-01-29 19:28:00,Customer Support,P1000069,2023-12-04 19:28:00,Kathie Argenti,Dell Inspiron 3500 Desktop Computer,Inspiron 3500
2873,2024-10-09 04:58:00,Computer,UQM-22791740,2023-09-09 04:58:00,Customer Support,P1000070,2023-07-12 04:58:00,Mabel Weeden,Dell Precision 5520,Precision 5520
3716,2024-11-09 11:07:00,Computer,GAF-36954848,2024-03-21 11:07:00,Customer Support,P1000071,2024-01-28 11:07:00,Jarvis Galas,Dell Inspiron 15 Computer,Inspiron 15
2835,2025-02-03 07:34:00,Computer,TYN-49831479,2023-12-25 07:34:00,Customer Support,P1000072,2023-10-29 07:34:00,Dollie Daquino,Dell Optiplex 9020 Desktop Computer,Optiplex 9020
1880,2025-10-16 11:19:00,Computer,XCE-25074033,2024-03-01 11:19:00,Sales,P1000073,2024-01-01 11:19:00,Rebekah Padley,Dell Inspiron 15 Desktop Computer,Inspiron 15
4188,2023-12-10 12:29:00,Computer,XTK-12198972,2023-07-21 12:29:00,Customer Support,P1000074,2023-06-01 12:29:00,Lacy Belmont,Dell OptiPlex 3070,OptiPlex 3070
3697,2024-12-15 09:11:00,Computer,OZT-14600067,2024-04-23 09:11:00,Development,P1000075,2024-02-29 09:11:00,Dorthy Alexy,Dell Inspiron i5 Desktop Computer,Inspiron i5
2196,2025-06-08 05:14:00,Computer,HLJ-65899145,2023-11-27 05:14:00,Customer Support,P1000076,2023-10-27 05:14:00,Darrel Tork,Dell Inspiron 3580 - Computer,Inspiron 3580
4118,2024-03-22 21:11:00,Computer,YRA-73271085,2023-10-24 21:11:00,IT,P1000077,2023-08-29 21:11:00,Maryann Garnette,Dell Inspiron 15,Inspiron 15
4492,2024-07-12 15:29:00,Computer,OSV-52302660,2024-04-01 15:29:00,IT,P1000078,2024-03-03 15:29:00,Eduardo Bellendir,Dell Inspiron 15 Computer,Inspiron 15
4388,2024-03-16 15:54:00,Computer,MHA-78211197,2023-11-04 15:54:00,IT,P1000079,2023-10-16 15:54:00,Ted Keppel,Dell Inspiron 15 Computer,Inspiron 15
3296,2024-07-23 17:10:00,Computer,LUW-90420534,2023-09-03 17:10:00,Sales,P1000080,2023-07-19 17:10:00,Petra Clemmens,Dell Inspiron 3580 Computer,Inspiron 3580
4773,2024-05-08 11:54:00,Computer,CVK-92052544,2024-03-03 11:54:00,Sales,P1000081,2024-02-08 11:54:00,Pilar Suddeth,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
3718,2024-11-06 10:46:00,Computer,KEK-71701100,2024-02-08 10:46:00,Customer Support,P1000082,2024-01-25 10:46:00,George Tukis,Dell Inspiron 15 5000 Computer,Inspiron 15 5000
4844,2024-04-24 07:04:00,Computer,GOM-15881856,2024-03-01 07:04:00,Product Management,P1000083,2024-01-25 07:04:00,Bart Hachey,Dell Inspiron Computer,Inspiron
1794,2025-05-23 03:04:00,Computer,HZD-81865616,2023-09-04 03:04:00,Customer Support,P1000084,2023-07-22 03:04:00,Mara Rineheart,Dell Inspiron 7500 Series Desktop Computer,Inspiron 7500 Series
3444,2025-02-05 21:47:00,Computer,EZY-40889877,2024-03-29 21:47:00,IT,P1000085,2024-03-01 21:47:00,Kyle Lindauer,Dell Latitude 7490 Laptop,Latitude 7490
3791,2024-07-23 21:03:00,Computer,CCF-73406619,2023-11-19 21:03:00,Sales,P1000086,2023-10-26 21:03:00,John Retak,Dell Latitude Laptop,Latitude Laptop
2526,2025-07-04 16:08:00,Computer,MEK-13069670,2024-02-12 16:08:00,Customer Support,P1000087,2024-01-27 16:08:00,Shelley Groden,Dell Latitude E5470 Computer,Latitude E5470
3221,2025-01-17 00:00:00,Computer,QRJ-98719377,2024-01-12 00:00:00,Customer Support,P1000088,2023-12-29 00:00:00,Latisha Bahls,Dell Inspiron 14 Computer,Inspiron 14
2039,2025-02-19 02:05:00,Computer,OLZ-38542604,2023-07-06 02:05:00,Sales,P1000089,2023-06-08 02:05:00,Howard Johnson,Dell Inspiron Desktop Computer,Inspiron Desktop
2068,2025-11-13 14:20:00,Computer,VBW-42322840,2024-03-16 14:20:00,IT,P1000090,2024-03-07 14:20:00,Mayme Staub,Dell Inspiron 7000 Laptop,Inspiron 7000
4733,2023-08-30 00:55:00,Computer,NAU-70320691,2023-06-02 00:55:00,Customer Support,P1000091,2023-06-01 00:55:00,Rena Griffeth,Dell Latitude 3400 Computer,Latitude 3400
3825,2024-08-16 22:16:00,Computer,OQK-18513902,2023-11-26 22:16:00,Customer Support,P1000092,2023-11-25 22:16:00,Vince Ettel,Dell Inspiron 3501 Computer,Inspiron 3501
2000,2025-09-11 05:20:00,Computer,GHZ-80282186,2023-12-27 05:20:00,IT,P1000093,2023-12-21 05:20:00,Wayne Webb,Dell XPS 8900 Desktop Computer,XPS 8900
3747,2024-05-01 04:56:00,Computer,JGF-86693996,2023-08-31 04:56:00,IT,P1000094,2023-07-26 04:56:00,Eli Bettner,HP EliteDesk 800 G5 Mini,EliteDesk 800 G5 Mini
1582,2025-11-05 21:42:00,Computer,YZY-70480505,2024-01-02 21:42:00,Sales,P1000095,2023-11-23 21:42:00,Luella Pliner,Dell Inspiron 5000 Computer,Inspiron 5000
3951,2024-06-14 23:45:00,Computer,SBY-65523257,2023-10-23 23:45:00,Sales,P1000096,2023-10-19 23:45:00,Nadia Wilshire,Dell Inspiron 7501 Laptop,Inspiron 7501
1622,2025-10-24 21:39:00,Computer,YOC-41639680,2023-12-17 21:39:00,Customer Support,P1000097,2023-11-19 21:39:00,Zackary Mockus,Dell Inspiron 15 (Computer),Inspiron 15
2402,2025-07-08 05:06:00,Computer,KMQ-24491089,2024-01-27 05:06:00,Sales,P1000098,2024-01-06 05:06:00,Joe Employee,Dell Inspiron 15-3567,Inspiron 15-3567
4043,2024-03-26 00:02:00,Computer,FTI-14126268,2023-10-10 00:02:00,Customer Support,P1000099,2023-08-18 00:02:00,Guillermo Tsang,Dell Inspiron 15 - Computer,Inspiron 15
3025,2024-06-20 04:40:00,Computer,LRM-54126857,2023-06-06 04:40:00,IT,P1000100,2023-04-22 04:40:00,Alyssa Biasotti,Dell Optiplex 780 Desktop Computer,Optiplex 780
3825,2024-11-13 03:14:00,Computer,TGR-18448864,2024-04-14 03:14:00,Development,P1000101,2024-02-22 03:14:00,Fred Luddy,Dell Inspiron 5505 - Desktop Computer,Inspiron 5505
3469,2024-12-06 15:54:00,Computer,VHR-16177464,2024-01-19 15:54:00,Customer Support,P1000102,2024-01-05 15:54:00,Felipe Mahone,Dell Optiplex 780 Computer,Optiplex 780
3953,2024-08-22 20:03:00,Computer,LHY-23410049,2024-01-02 20:03:00,Product Management,P1000103,2023-12-27 20:03:00,Mamie Mcintee,Dell Inspiron Laptop 3567,Inspiron Laptop 3567
3502,2024-12-26 20:25:00,Computer,FCG-68786294,2024-02-07 20:25:00,Customer Support,P1000104,2024-02-01 20:25:00,Claudio Loose,Dell Inspiron Computer,Inspiron Computer
3658,2024-05-12 21:25:00,Computer,BDD-86758619,2023-08-24 21:25:00,Finance,P1000105,2023-07-19 21:25:00,Bridgett Retort,Dell Latitude 5410 Computer,Latitude 5410
2256,2025-07-04 04:53:00,Computer,AKN-99449163,2024-01-19 04:53:00,IT,P1000106,2023-12-04 04:53:00,Devon Samrah,Dell Inspiron Desktop Computer,Inspiron Desktop
3645,2024-03-15 14:46:00,Computer,TBV-78573996,2023-07-09 14:46:00,Customer Support,P1000107,2023-05-19 14:46:00,Genevieve Kekiwi,Dell Inspiron 14,Dell Inspiron
2752,2025-06-09 19:37:00,Computer,PXR-27967230,2024-04-02 19:37:00,Customer Support,P1000108,2024-02-16 19:37:00,Marquita Bousman,Dell Inspiron 3000 Desktop Computer,Inspiron 3000
4878,2024-05-21 08:36:00,Computer,BIB-31104148,2024-03-04 08:36:00,Sales,P1000109,2024-02-21 08:36:00,Davin Czukowski,Dell Inspiron 15 Gaming 7559 Laptop,Inspiron 15 7559
4716,2024-02-09 19:13:00,Computer,GMV-53376418,2023-12-15 19:13:00,IT,P1000110,2023-11-11 19:13:00,Wes Fontanella,HP EliteBook 840 G5 Notebook,EliteBook 840 G5
2158,2025-04-08 11:31:00,Computer,KHV-70208030,2023-09-15 11:31:00,Customer Support,P1000111,2023-08-19 11:31:00,Jacinto Gawron,Dell OptiPlex 3060,OptiPlex 3060
3945,2024-10-12 11:28:00,Computer,XEP-02186809,2024-03-14 11:28:00,Customer Support,P1000112,2024-02-14 11:28:00,Valerie Pou,Dell Inspiron 13 7000,Inspiron 13 7000
2782,2024-09-08 06:54:00,Computer,KXD-84276917,2023-07-08 06:54:00,Sales,P1000113,2023-05-24 06:54:00,Edgardo Prudente,Dell Optiplex 3070 Desktop Computer,Optiplex 3070
3095,2024-12-16 23:52:00,Computer,AOG-41974048,2023-11-21 23:52:00,IT,P1000114,2023-11-01 23:52:00,Ron Kettering,Dell Inspiron 5400 Computer,Inspiron 5400
2892,2025-05-26 21:07:00,Computer,FGD-96749520,2024-03-07 21:07:00,Sales,P1000115,2024-03-01 21:07:00,Reginald Humes,Dell Inspiron 5000 Computer,Inspiron 5000
2986,2024-07-25 09:47:00,Computer,ABM-76343796,2023-07-15 09:47:00,Finance,P1000116,2023-05-20 09:47:00,Robin Schartz,Dell Inspiron Desktop Computer,Inspiron Desktop
1703,2025-10-13 00:49:00,Computer,HNP-22718556,2024-01-04 00:49:00,Sales,P1000117,2023-11-24 00:49:00,Bud Richman,Dell Inspiron Desktop Computer,Inspiron Desktop
3689,2024-04-28 05:35:00,Computer,RLR-82291111,2023-07-31 05:35:00,Customer Support,P1000118,2023-07-11 05:35:00,Sean Bonnet,Dell Inspiron 3847,Inspiron 3847
4705,2024-04-26 05:41:00,Computer,LKW-31759849,2024-03-12 05:41:00,Customer Support,P1000119,2024-01-27 05:41:00,Sue Haakinson,Dell Inspiron 15 3000 Series,Inspiron 15 3000
4510,2023-12-28 19:04:00,Computer,JBG-90083259,2023-09-07 19:04:00,IT,P1000120,2023-08-22 19:04:00,Pamala Brodtmann,Dell Latitude 7490 Computer,Latitude 7490
4484,2024-04-20 08:46:00,Computer,ZUT-29376458,2024-01-20 08:46:00,Sales,P1000121,2023-12-09 08:46:00,Rolando Baumann,Dell Inspiron 14 Computer,Inspiron 14
3886,2024-05-25 17:26:00,Computer,NVY-18211965,2023-10-27 17:26:00,Customer Support,P1000122,2023-09-16 17:26:00,Tiffany Knust,Dell Inspiron 15 Computer,Inspiron 15
3270,2025-01-06 05:52:00,Computer,ALD-30502209,2024-01-21 05:52:00,Customer Support,P1000123,2023-12-27 05:52:00,Nelly Jakuboski,Dell Optiplex 7080,Optiplex 7080
4865,2024-05-09 10:41:00,Computer,LDN-38505291,2024-04-06 10:41:00,IT,P1000124,2024-02-09 10:41:00,Mellissa Sule,Dell Inspiron Desktop Computer,Inspiron Desktop
1638,2026-01-29 18:04:00,Computer,KRC-77887359,2024-04-21 18:04:00,Sales,P1000125,2024-02-27 18:04:00,Berta Karczewski,Dell Latitude 5510,Latitude 5510
2421,2025-03-04 05:10:00,Computer,UCE-74571562,2023-09-27 05:10:00,Finance,P1000126,2023-09-06 05:10:00,Delphine Helmich,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
2860,2025-02-14 04:42:00,Computer,KVN-70612878,2024-01-08 04:42:00,Customer Support,P1000127,2023-11-14 04:42:00,Lynda Caraway,Dell Inspiron 15 Computer,Inspiron 15
4679,2024-02-10 10:44:00,Computer,CNK-93626040,2024-01-03 10:44:00,Sales,P1000128,2023-11-08 10:44:00,Renae Eldrige,Dell Inspiron 5570 Laptop,Inspiron 5570
4695,2024-02-20 05:24:00,Computer,ICJ-61451764,2023-11-30 05:24:00,Sales,P1000129,2023-11-21 05:24:00,Kurtis Asberry,Dell XPS 15 Gaming Computer,Dell XPS 15
3740,2024-04-01 03:35:00,Computer,AMJ-22570639,2023-08-03 03:35:00,IT,P1000130,2023-06-24 03:35:00,Lora Lendor,Dell OptiPlex 7060,OptiPlex 7060
4195,2024-08-24 03:16:00,Computer,NED-55803051,2024-03-23 03:16:00,Sales,P1000131,2024-02-15 03:16:00,Sheila Holloran,Dell Inspiron 3583 Computer,Inspiron 3583
4760,2023-10-27 23:14:00,Computer,IYA-62790531,2023-09-02 23:14:00,Customer Support,P1000132,2023-07-29 23:14:00,Jacklyn Emayo,Dell Inspiron Computer 1080,Inspiron 1080
2995,2024-10-19 21:41:00,Computer,WOM-37704453,2023-08-27 21:41:00,HR,P1000133,2023-08-15 21:41:00,Stephen Seiters,Dell OptiPlex 7080 Computer,OptiPlex 7080
4971,2024-01-26 20:15:00,Computer,MUQ-28955651,2023-11-19 20:15:00,Customer Support,P1000134,2023-10-28 20:15:00,Marta Horner,Dell Latitude 3400 Computer,Latitude 3400
3121,2024-06-13 11:51:00,Computer,AYL-15149109,2023-06-09 11:51:00,Customer Support,P1000135,2023-05-05 11:51:00,Cherie Fuhri,Dell XPS 13 Computer,XPS 13
4447,2023-12-17 20:12:00,Computer,LVX-77175005,2023-09-16 20:12:00,Sales,P1000136,2023-07-30 20:12:00,Margaret Grey,Dell Latitude 3500 Computer,Latitude 3500
4109,2024-07-13 10:12:00,Computer,NIV-76561147,2024-01-16 10:12:00,Customer Support,P1000137,2023-12-18 10:12:00,Jewel Agresta,Dell Inspiron 15 3000 Computer,Inspiron 15 3000
2509,2025-03-26 03:03:00,Computer,LEJ-75595343,2023-11-15 03:03:00,Customer Support,P1000138,2023-10-15 03:03:00,Jess Assad,Dell Inspiron Desktop,Inspiron Desktop
4379,2024-03-23 17:45:00,Computer,HOG-53597388,2023-12-08 17:45:00,Sales,P1000139,2023-10-21 17:45:00,Efren Baucher,Dell Inspiron i7,Inspiron i7
3031,2024-12-30 19:54:00,Computer,CUF-11102852,2023-12-13 19:54:00,Customer Support,P1000140,2023-11-03 19:54:00,Cristopher Wiget,Dell Inspiron 7391 Laptop,Inspiron 7391
