sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
employee,INC0000000029,Howard Johnson,Resolved,ITIL User,Howard Johnson,2023-01-27 17:37:00,2023-02-08 18:00:51.625667820,2023-02-08 18:00:51.625667820,Server downtime issue,Database,1 - Critical,Database
employee,INC0000000030,Fred Luddy,Closed,Bud Richman,Howard Johnson,2023-01-28 09:17:00,2023-02-11 15:28:51.903156382,2023-02-11 15:28:51.903156382,Unable to access email account,Service Desk,2 - High,Inquiry / Help
employee,INC0000000031,Beth Anglin,Closed,David Loo,Beth Anglin,2023-01-28 13:09:00,2023-02-05 00:25:06.915648022,2023-02-05 00:25:06.915648022,Can't connect to office VPN,Network,2 - High,Inquiry / Help
system,INC0000000032,Beth Anglin,Resolved,Bud Richman,Luke Wilson,2023-01-29 00:52:00,2023-02-06 00:17:15.489880415,2023-02-06 00:17:15.489880415,Email system malfunctioning,Network,2 - High,Software
admin,INC0000000033,Charlie Whitherspoon,Closed,ITIL User,Fred Luddy,2023-01-29 13:20:00,2023-02-05 03:44:00.000000000,2023-02-05 03:44:00.000000000,Issues with the company's database connectivity,Database,2 - High,Database
admin,INC0000000034,Luke Wilson,Resolved,ITIL User,Fred Luddy,2023-01-29 15:12:00,2023-02-05 05:36:00.000000000,2023-02-05 05:36:00.000000000,Unable to connect to VPN,Network,2 - High,Network
system,INC0000000035,Fred Luddy,Closed,Don Goodliffe,Fred Luddy,2023-01-30 20:31:00,2023-02-06 15:43:00.000000000,2023-02-06 15:43:00.000000000,Cannot connect to office VPN,Network,2 - High,Network
system,INC0000000036,Charlie Whitherspoon,Closed,Bud Richman,Luke Wilson,2023-01-31 03:22:00,2023-02-03 09:38:10.926213904,2023-02-03 09:38:10.926213904,Printing issue on second floor,Hardware,3 - Moderate,Hardware
employee,INC0000000037,Howard Johnson,Closed,Bud Richman,Beth Anglin,2023-01-31 06:58:00,2023-02-04 13:15:55.734327701,2023-02-04 13:15:55.734327701,Email server not responding,Network,1 - Critical,Hardware
admin,INC0000000038,Charlie Whitherspoon,Closed,David Loo,Charlie Whitherspoon,2023-02-04 22:15:00,2023-01-30 17:12:29.086638231,2023-01-30 17:12:29.086638231,Cannot connect to email server,Network,2 - High,Network
employee,INC0000000039,Howard Johnson,Closed,David Loo,Luke Wilson,2023-02-04 22:33:00,2023-02-15 10:32:01.128495808,2023-02-15 10:32:01.128495808,Can't establish VPN connection,Network,2 - High,Network
admin,INC0000000040,Fred Luddy,Closed,Don Goodliffe,Fred Luddy,2023-02-05 03:35:00,2023-02-13 03:35:00.000000000,2023-02-13 03:35:00.000000000,Internet connection issue in fourth floor,Network,2 - High,Network
system,INC0000000041,Luke Wilson,Resolved,Don Goodliffe,Fred Luddy,2023-02-05 06:18:00,2023-02-13 06:18:00.000000000,2023-02-13 06:18:00.000000000,Email client not syncing properly,Service Desk,2 - High,Software
system,INC0000000042,Fred Luddy,Resolved,Bud Richman,Fred Luddy,2023-02-05 18:31:00,2023-02-13 18:31:00.000000000,2023-02-13 18:31:00.000000000,Database server connectivity issue,Database,2 - High,Database
employee,INC0000000043,Howard Johnson,Resolved,Don Goodliffe,Fred Luddy,2023-02-06 14:09:00,2023-02-14 18:56:59.999999999,2023-02-14 18:56:59.999999999,Internet connectivity lost in office,Network,1 - Critical,Network
system,INC0000000044,Howard Johnson,Closed,ITIL User,Luke Wilson,2023-02-07 02:49:00,2023-02-11 21:03:46.483281880,2023-02-11 21:03:46.483281880,Need assistance with database access,Database,3 - Moderate,Database
system,INC0000000045,Luke Wilson,Resolved,Don Goodliffe,Howard Johnson,2023-02-09 02:06:00,2023-02-19 21:57:46.036740603,2023-02-19 21:57:46.036740603,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000046,Luke Wilson,Resolved,Don Goodliffe,Howard Johnson,2023-02-09 06:22:00,2023-02-18 01:24:55.118392332,2023-02-18 01:24:55.118392332,Cannot connect to server,Network,1 - Critical,Network
admin,INC0000000047,Beth Anglin,Closed,Bud Richman,Luke Wilson,2023-02-10 13:02:00,2023-02-10 10:07:48.529872331,2023-02-10 10:07:48.529872331,Cannot connect to the office Wi-Fi,Network,2 - High,Network
system,INC0000000048,Charlie Whitherspoon,Closed,Bud Richman,Howard Johnson,2023-02-10 18:44:00,2023-02-10 23:07:54.153865766,2023-02-10 23:07:54.153865766,Unable to access database,Database,2 - High,Database
system,INC0000000049,Beth Anglin,Resolved,Don Goodliffe,Beth Anglin,2023-02-13 19:33:00,2023-02-25 18:04:15.731929499,2023-02-25 18:04:15.731929499,Unable to connect to the VPN,Network,2 - High,Software
admin,INC0000000050,Howard Johnson,Resolved,ITIL User,Fred Luddy,2023-02-14 22:49:00,2023-02-24 18:01:00.000000000,2023-02-24 18:01:00.000000000,Email system outage,Network,1 - Critical,Network
admin,INC0000000051,Charlie Whitherspoon,Resolved,David Loo,Howard Johnson,2023-02-15 09:01:00,2023-02-11 10:59:59.855043339,2023-02-11 10:59:59.855043339,Cannot connect to VPN,Network,2 - High,Network
system,INC0000000052,Fred Luddy,Resolved,David Loo,Beth Anglin,2023-02-16 08:38:00,2023-02-12 08:18:02.557527073,2023-02-12 08:18:02.557527073,Email Server Connection Issue,Network,2 - High,Network
system,INC0000000053,Fred Luddy,Resolved,Don Goodliffe,Fred Luddy,2023-02-16 22:35:00,2023-02-27 03:23:00.000000000,2023-02-27 03:23:00.000000000,SQL server not responding,Database,2 - High,Database
system,INC0000000054,Beth Anglin,Closed,ITIL User,Charlie Whitherspoon,2023-02-17 21:02:00,2023-02-27 07:34:33.577965648,2023-02-27 07:34:33.577965648,Unable to connect to the database,Database,2 - High,Database
system,INC0000000055,Beth Anglin,Closed,Bud Richman,Fred Luddy,2023-02-19 03:14:00,2023-03-01 22:26:00.000000000,2023-03-01 22:26:00.000000000,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000056,Luke Wilson,Resolved,Bud Richman,Howard Johnson,2023-02-19 10:09:00,2023-02-28 02:23:00.036445478,2023-02-28 02:23:00.036445478,Email server downtime,Network,2 - High,Hardware
admin,INC0000000057,Charlie Whitherspoon,Resolved,ITIL User,Beth Anglin,2023-02-20 05:22:00,2023-02-25 08:54:42.721808128,2023-02-25 08:54:42.721808128,Database server is down,Database,1 - Critical,Database
system,INC0000000058,Fred Luddy,Closed,Don Goodliffe,Howard Johnson,2023-02-20 09:27:00,2023-02-27 04:53:31.168111709,2023-02-27 04:53:31.168111709,Unable to connect to VPN,Network,2 - High,Network
system,INC0000000059,Charlie Whitherspoon,Closed,ITIL User,Charlie Whitherspoon,2023-02-21 00:50:00,2023-03-03 15:08:32.989621697,2023-03-03 15:08:32.989621697,Cannot Connect to the VPN,Network,2 - High,Network
admin,INC0000000060,Charlie Whitherspoon,Resolved,Don Goodliffe,Luke Wilson,2023-02-21 03:43:00,2023-02-26 06:58:41.403381520,2023-02-26 06:58:41.403381520,Email system malfunctioning,Service Desk,2 - High,Software
admin,INC0000000061,Beth Anglin,Closed,ITIL User,Charlie Whitherspoon,2023-02-22 07:51:00,2023-03-02 03:42:52.314902578,2023-03-02 03:42:52.314902578,Software installation request,Software,3 - Moderate,Software
employee,INC0000000062,Fred Luddy,Closed,David Loo,Fred Luddy,2023-02-23 04:07:00,2023-03-06 18:31:00.000000000,2023-03-06 18:31:00.000000000,Software update failure on workstation,Software,2 - High,Software
employee,INC0000000063,Howard Johnson,Closed,Bud Richman,Charlie Whitherspoon,2023-02-23 05:12:00,2023-03-05 06:49:06.804328788,2023-03-05 06:49:06.804328788,Server outage in Building A,Network,1 - Critical,Network
system,INC0000000064,Beth Anglin,Closed,ITIL User,Howard Johnson,2023-02-25 10:55:00,2023-03-01 11:57:04.272400516,2023-03-01 11:57:04.272400516,Database server outage,Database,1 - Critical,Database
employee,INC0000000065,Beth Anglin,Closed,ITIL User,Luke Wilson,2023-02-26 03:56:00,2023-03-08 03:50:19.555232489,2023-03-08 03:50:19.555232489,Email server not responding,Network,1 - Critical,Network
employee,INC0000000066,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-02-26 21:45:00,2023-03-11 02:33:00.000000000,2023-03-11 02:33:00.000000000,Email system outage,Network,1 - Critical,Network
employee,INC0000000067,Beth Anglin,Resolved,ITIL User,Charlie Whitherspoon,2023-02-27 08:45:00,2023-03-06 21:45:07.914516786,2023-03-06 21:45:07.914516786,Database access issues,Database,2 - High,Database
system,INC0000000068,Beth Anglin,Resolved,Bud Richman,Fred Luddy,2023-02-28 06:59:00,2023-03-12 21:23:00.000000000,2023-03-12 21:23:00.000000000,System network is down,Network,1 - Critical,Network
employee,INC0000000069,Howard Johnson,Resolved,David Loo,Luke Wilson,2023-02-28 17:10:00,2023-02-24 06:27:01.039243239,2023-02-24 06:27:01.039243239,Unable to connect to VPN,Network,2 - High,Network
employee,INC0000000070,Howard Johnson,Closed,Bud Richman,Fred Luddy,2023-02-28 20:18:00,2023-03-13 10:42:00.000000000,2023-03-13 10:42:00.000000000,Internet connection not stable,Network,2 - High,Network
admin,INC0000000071,Luke Wilson,Closed,Bud Richman,Charlie Whitherspoon,2023-03-01 22:15:00,2023-03-03 05:02:11.157688236,2023-03-03 05:02:11.157688236,Email system not working,Network,2 - High,Software
admin,INC0000000072,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-03-02 18:22:00,2023-03-15 18:22:00.000000000,2023-03-15 18:22:00.000000000,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000073,Beth Anglin,Resolved,Bud Richman,Charlie Whitherspoon,2023-03-03 00:50:00,2023-02-21 16:27:22.433660653,2023-02-21 16:27:22.433660653,Internet connectivity issues in the sales department,Network,1 - Critical,Network
system,INC0000000074,Charlie Whitherspoon,Resolved,Don Goodliffe,Luke Wilson,2023-03-05 15:55:00,2023-03-13 19:31:19.335094032,2023-03-13 19:31:19.335094032,Unable to connect to server,Network,3 - Moderate,Network
employee,INC0000000075,Luke Wilson,Closed,David Loo,Howard Johnson,2023-03-05 21:55:00,2023-03-14 22:03:56.958113152,2023-03-14 22:03:56.958113152,Unable to connect to company VPN,Network,2 - High,Network
admin,INC0000000076,Beth Anglin,Resolved,ITIL User,Charlie Whitherspoon,2023-03-06 16:49:00,2023-03-09 12:47:52.888350424,2023-03-09 12:47:52.888350424,Unable to access the database server,Database,2 - High,Database
admin,INC0000000077,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-03-06 19:16:00,2023-03-20 14:28:00.000000000,2023-03-20 14:28:00.000000000,Email system not syncing properly,Network,2 - High,Software
admin,INC0000000078,Luke Wilson,Closed,Don Goodliffe,Fred Luddy,2023-03-06 20:32:00,2023-03-20 15:44:00.000000000,2023-03-20 15:44:00.000000000,Unable to access company's database,Database,2 - High,Database
system,INC0000000079,Charlie Whitherspoon,Closed,David Loo,Charlie Whitherspoon,2023-03-07 20:05:00,2023-03-16 01:00:41.354031778,2023-03-16 01:00:41.354031778,Can't connect to VPN,Network,2 - High,Network
employee,INC0000000080,Beth Anglin,Closed,David Loo,Charlie Whitherspoon,2023-03-08 10:42:00,2023-03-19 22:58:16.929287376,2023-03-19 22:58:16.929287376,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000081,Howard Johnson,Closed,Bud Richman,Fred Luddy,2023-03-08 19:46:00,2023-03-23 00:34:00.000000000,2023-03-23 00:34:00.000000000,Unable to connect to the VPN,Network,2 - High,Network
system,INC0000000082,Beth Anglin,Resolved,David Loo,Charlie Whitherspoon,2023-03-11 06:09:00,2023-03-27 18:33:31.449227354,2023-03-27 18:33:31.449227354,Operating system not booting,Hardware,2 - High,Hardware
system,INC0000000083,Charlie Whitherspoon,Closed,Bud Richman,Howard Johnson,2023-03-12 23:51:00,2023-03-28 00:49:39.944618234,2023-03-28 00:49:39.944618234,Cannot connect to VPN,Network,2 - High,Network
system,INC0000000084,Charlie Whitherspoon,Resolved,David Loo,Luke Wilson,2023-03-13 05:19:00,2023-03-16 01:07:56.172357778,2023-03-16 01:07:56.172357778,Database server connection issue,Database,2 - High,Database
system,INC0000000085,Luke Wilson,Closed,ITIL User,Beth Anglin,2023-03-13 18:10:00,2023-03-16 08:24:44.583956627,2023-03-16 08:24:44.583956627,Unable to login to my account,Service Desk,2 - High,Software
employee,INC0000000086,Howard Johnson,Resolved,Bud Richman,Luke Wilson,2023-03-13 23:47:00,2023-03-21 06:13:06.438297194,2023-03-21 06:13:06.438297194,Email server outage,Network,1 - Critical,Network
employee,INC0000000087,Beth Anglin,Resolved,Don Goodliffe,Beth Anglin,2023-03-14 09:38:00,2023-03-20 06:03:42.358956307,2023-03-20 06:03:42.358956307,Restoration needed for crashed Database,Database,1 - Critical,Database
admin,INC0000000088,Howard Johnson,Resolved,ITIL User,Howard Johnson,2023-03-15 09:01:00,2023-03-16 13:01:38.176915489,2023-03-16 13:01:38.176915489,Cannot connect to local server,Network,2 - High,Network
system,INC0000000089,Howard Johnson,Resolved,ITIL User,Beth Anglin,2023-03-16 03:38:00,2023-03-15 18:25:54.825387320,2023-03-15 18:25:54.825387320,Unable to access the database,Database,2 - High,Database
admin,INC0000000090,Luke Wilson,Resolved,Don Goodliffe,Beth Anglin,2023-03-16 12:40:00,2023-03-23 21:02:14.876895797,2023-03-23 21:02:14.876895797,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000091,Beth Anglin,Resolved,Bud Richman,Beth Anglin,2023-03-18 07:55:00,2023-03-19 15:12:23.578029909,2023-03-19 15:12:23.578029909,Unstable network connection in the sales department,Network,2 - High,Network
employee,INC0000000092,Charlie Whitherspoon,Resolved,ITIL User,Charlie Whitherspoon,2023-03-19 12:42:00,2023-03-27 07:55:13.698627308,2023-03-27 07:55:13.698627308,Cannot connect to database,Database,2 - High,Database
admin,INC0000000093,Charlie Whitherspoon,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-03-23 08:23:00,2023-03-25 02:18:20.627579546,2023-03-25 02:18:20.627579546,Email server down,Network,1 - Critical,Hardware
employee,INC0000000094,Howard Johnson,Closed,Don Goodliffe,Charlie Whitherspoon,2023-03-24 07:57:00,2023-03-27 13:35:02.231295955,2023-03-27 13:35:02.231295955,Email client sync issue,Service Desk,2 - High,Software
admin,INC0000000095,Beth Anglin,Resolved,Bud Richman,Howard Johnson,2023-03-26 07:00:00,2023-04-08 06:02:14.611290666,2023-04-08 06:02:14.611290666,Failed to connect to the VPN network,Network,2 - High,Network
system,INC0000000096,Luke Wilson,Closed,ITIL User,Howard Johnson,2023-03-26 23:37:00,2023-03-31 06:08:52.382666474,2023-03-31 06:08:52.382666474,Printer not working properly,Hardware,2 - High,Hardware
admin,INC0000000097,Beth Anglin,Closed,David Loo,Howard Johnson,2023-03-27 02:02:00,2023-03-30 13:23:09.261357168,2023-03-30 13:23:09.261357168,VPN access not working,Network,2 - High,Network
system,INC0000000098,Howard Johnson,Closed,Bud Richman,Charlie Whitherspoon,2023-03-27 05:46:00,2023-04-03 23:53:03.505751724,2023-04-03 23:53:03.505751724,Unable to access VPN,Network,2 - High,Network
employee,INC0000000099,Fred Luddy,Resolved,ITIL User,Howard Johnson,2023-03-28 08:20:00,2023-04-04 02:17:38.472623341,2023-04-04 02:17:38.472623341,Email server not responding,Network,2 - High,Network
employee,INC0000000100,Beth Anglin,Closed,David Loo,Fred Luddy,2023-03-29 16:01:00,2023-04-17 01:37:00.000000000,2023-04-17 01:37:00.000000000,Cannot Connect to Database Server ,Database,2 - High,Database
system,INC0000000101,Luke Wilson,Resolved,ITIL User,Fred Luddy,2023-03-31 06:51:00,2023-04-19 02:03:00.000000000,2023-04-19 02:03:00.000000000,Cannot connect to the corporate VPN,Network,2 - High,Network
admin,INC0000000102,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-03-31 15:56:00,2023-04-19 11:08:00.000000000,2023-04-19 11:08:00.000000000,Unable to connect to office network,Network,2 - High,Network
system,INC0000000103,Fred Luddy,Closed,David Loo,Luke Wilson,2023-04-01 02:42:00,2023-04-10 16:08:33.472165061,2023-04-10 16:08:33.472165061,Database server stopped working,Database,2 - High,Database
employee,INC0000000104,Howard Johnson,Closed,ITIL User,Howard Johnson,2023-04-01 05:41:00,2023-04-05 23:37:37.678257594,2023-04-05 23:37:37.678257594,Unable to access company database,Database,2 - High,Database
admin,INC0000000105,Luke Wilson,Resolved,ITIL User,Luke Wilson,2023-04-01 09:16:00,2023-04-07 10:47:32.462353711,2023-04-07 10:47:32.462353711,Email server outage,Network,1 - Critical,Network
system,INC0000000106,Howard Johnson,Resolved,Bud Richman,Fred Luddy,2023-04-02 21:47:00,2023-04-22 02:34:59.999999999,2023-04-22 02:34:59.999999999,Unable to connect to WiFi,Network,2 - High,Network
system,INC0000000107,Luke Wilson,Resolved,David Loo,Luke Wilson,2023-04-03 06:27:00,2023-04-12 17:44:17.182050284,2023-04-12 17:44:17.182050284,Email server not responding,Network,2 - High,Network
admin,INC0000000108,Howard Johnson,Closed,David Loo,Fred Luddy,2023-04-04 00:36:00,2023-04-23 15:00:00.000000000,2023-04-23 15:00:00.000000000,Email server connectivity issue,Network,2 - High,Network
admin,INC0000000109,Beth Anglin,Closed,Bud Richman,Charlie Whitherspoon,2023-04-05 14:12:00,2023-04-16 19:08:49.013349886,2023-04-16 19:08:49.013349886,Cannot connect to office VPN,Network,2 - High,Network
employee,INC0000000110,Charlie Whitherspoon,Closed,ITIL User,Beth Anglin,2023-04-06 18:33:00,2023-04-10 19:32:33.802737725,2023-04-10 19:32:33.802737725,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000111,Fred Luddy,Closed,ITIL User,Howard Johnson,2023-04-06 23:05:00,2023-04-10 21:47:45.313933851,2023-04-10 21:47:45.313933851,Unable to access company database,Database,2 - High,Database
admin,INC0000000112,Luke Wilson,Closed,Don Goodliffe,Fred Luddy,2023-04-07 06:10:00,2023-04-27 10:58:00.000000000,2023-04-27 10:58:00.000000000,Unable to access the company network,Network,2 - High,Network
system,INC0000000113,Howard Johnson,Resolved,ITIL User,Beth Anglin,2023-04-07 09:07:00,2023-04-17 09:31:20.295096620,2023-04-17 09:31:20.295096620,Printing error on main server,Hardware,2 - High,Hardware
admin,INC0000000114,Charlie Whitherspoon,Resolved,David Loo,Charlie Whitherspoon,2023-04-08 07:42:00,2023-04-08 11:43:08.995232511,2023-04-08 11:43:08.995232511,Email client returning error,Service Desk,2 - High,Software
admin,INC0000000115,Luke Wilson,Closed,David Loo,Luke Wilson,2023-04-09 02:02:00,2023-04-19 20:04:34.540538544,2023-04-19 20:04:34.540538544,Internet connection issue,Network,2 - High,Network
employee,INC0000000116,Luke Wilson,Resolved,Don Goodliffe,Luke Wilson,2023-04-09 13:43:00,2023-04-12 07:28:11.714759554,2023-04-12 07:28:11.714759554,Database Connection Issue,Database,2 - High,Network
admin,INC0000000117,Luke Wilson,Resolved,ITIL User,Charlie Whitherspoon,2023-04-11 05:18:00,2023-05-02 22:27:03.312647764,2023-05-02 22:27:03.312647764,Email server not responding,Network,2 - High,Hardware
admin,INC0000000118,Beth Anglin,Resolved,David Loo,Luke Wilson,2023-04-11 13:49:00,2023-04-15 15:50:03.256720821,2023-04-15 15:50:03.256720821,Client unable to access database server,Database,2 - High,Database
admin,INC0000000119,Beth Anglin,Closed,Don Goodliffe,Luke Wilson,2023-04-12 13:14:00,2023-04-18 22:21:56.918213572,2023-04-18 22:21:56.918213572,Unable to access Internet from desktop,Network,2 - High,Network
employee,INC0000000120,Fred Luddy,Closed,ITIL User,Howard Johnson,2023-04-14 04:01:00,2023-04-18 07:13:07.844270457,2023-04-18 07:13:07.844270457,Cannot access database,Database,2 - High,Database
employee,INC0000000121,Fred Luddy,Resolved,Bud Richman,Charlie Whitherspoon,2023-04-15 04:18:00,2023-04-16 14:42:41.457382965,2023-04-16 14:42:41.457382965,Database server connectivity issue,Database,1 - Critical,Database
admin,INC0000000122,Charlie Whitherspoon,Closed,David Loo,Luke Wilson,2023-04-15 12:58:00,2023-04-10 22:19:30.786945701,2023-04-10 22:19:30.786945701,Email server is not responding,Network,1 - Critical,Hardware
employee,INC0000000123,Charlie Whitherspoon,Resolved,Bud Richman,Beth Anglin,2023-04-15 20:35:00,2023-04-25 00:07:39.743524999,2023-04-25 00:07:39.743524999,Login Issue in CRM Software,Software,2 - High,Software
system,INC0000000124,Luke Wilson,Closed,Don Goodliffe,Charlie Whitherspoon,2023-04-17 21:37:00,2023-04-19 06:02:38.308149460,2023-04-19 06:02:38.308149460,Server outage in Building B,Network,2 - High,Network
employee,INC0000000125,Luke Wilson,Resolved,David Loo,Howard Johnson,2023-04-19 19:01:00,2023-04-24 16:11:04.820390968,2023-04-24 16:11:04.820390968,Email server down,Network,1 - Critical,Network
system,INC0000000126,Fred Luddy,Resolved,ITIL User,Charlie Whitherspoon,2023-04-20 01:03:00,2023-04-28 16:03:27.200058912,2023-04-28 16:03:27.200058912,Email system not working,Network,2 - High,Software
system,INC0000000127,Charlie Whitherspoon,Closed,Bud Richman,Howard Johnson,2023-04-20 06:58:00,2023-05-07 21:02:56.423292709,2023-05-07 21:02:56.423292709,Internet connectivity issue in department,Network,2 - High,Network
admin,INC0000000128,Fred Luddy,Closed,Bud Richman,Howard Johnson,2023-04-20 19:48:00,2023-04-21 00:42:33.606787143,2023-04-21 00:42:33.606787143,Unable to access Database,Database,2 - High,Database
