assigned_to,purchased_on,cost,serial_number,sys_updated_on,warranty_expiration,model_category,department,asset_tag,display_name,ci
Donald Sherretts,2023-08-01 00:43:00,2305,CCU-27588209,2023-09-28 00:43:00,2025-08-26 00:43:00,Computer,Customer Support,P1000023,Dell Optiplex 780 Desktop Computer,Optiplex 780
Reva Lecates,2023-04-20 20:28:00,2085,RHT-06368189,2023-06-05 20:28:00,2025-01-28 20:28:00,Computer,Finance,P1000024,Dell Inspiron 15R SE-7520 Laptop,Inspiron 15R SE-7520
Rebekah Padley,2023-09-18 09:23:00,3712,NKK-91645019,2023-10-17 09:23:00,2027-08-29 09:23:00,Computer,Sales,P1000025,Dell Optiplex 9020,Optiplex 9020
Berta Karczewski,2023-12-17 14:15:00,4171,TSN-27831863,2024-01-09 14:15:00,2028-07-07 14:15:00,Computer,Sales,P1000026,Dell OptiPlex 3050 Computer,OptiPlex 3050
Sheila Holloran,2023-12-19 15:44:00,4294,CQX-01116403,2024-01-09 15:44:00,2028-09-07 15:44:00,Computer,Sales,P1000027,HP EliteBook 840,EliteBook 840
Denver Topete,2024-03-19 15:58:00,4923,XYJ-37110957,2024-04-03 15:58:00,2029-10-09 15:58:00,Computer,Customer Support,P1000028,Dell Latitude 7490 Laptop,Latitude 7490
Jasmin Gum,2023-11-12 17:01:00,1658,HDC-23862488,2023-11-13 17:01:00,2025-01-26 17:01:00,Computer,Sales,P1000029,Dell Inspiron Desktop Computer,Inspiron Desktop
Carolina Kinlaw,2023-07-22 18:15:00,4548,NOH-42942680,2023-09-08 18:15:00,2028-08-12 18:15:00,Computer,Sales,P1000030,Dell Latitude 5580 Computer,Latitude 5580
Nathanial Phoenix,2023-06-26 21:36:00,2448,QCV-06654623,2023-08-20 21:36:00,2025-09-29 21:36:00,Computer,Customer Support,P1000031,Dell Inspiron 15 Computer,Inspiron 15
Olga Yarovenko,2023-07-31 00:39:00,2278,WLL-74073414,2023-08-10 00:39:00,2025-08-12 00:39:00,Computer,Sales,P1000032,Dell Inspiron 15 Computer,Inspiron 15
Danny Dales,2023-08-16 09:34:00,3926,IWI-07387752,2023-10-01 09:34:00,2027-11-08 09:34:00,Computer,Customer Support,P1000033,Dell Inspiron 15-3593 Laptop,Inspiron 15-3593
George Tukis,2023-10-06 04:55:00,4558,SRC-57523509,2023-10-07 04:55:00,2028-11-01 04:55:00,Computer,Customer Support,P1000034,Dell Inspiron 15,Inspiron 15
Allie Pumphrey,2024-02-11 00:36:00,2005,XGN-81517387,2024-03-04 00:36:00,2025-10-13 00:36:00,Computer,Product Management,P1000035,Dell Inspiron 15 Computer,Inspiron 15
Logan Muhl,2023-11-21 11:51:00,1885,EIO-77313175,2024-01-14 11:51:00,2025-05-26 11:51:00,Computer,Customer Support,P1000036,Dell Inspiron 14 7000,Inspiron 14 7000
Tia Lino,2024-03-04 05:53:00,1734,VWW-68406256,2024-04-24 05:53:00,2025-06-25 05:53:00,Computer,Sales,P1000037,Dell Inspiron 15 3000 Computer,Inspiron 15 3000
Allyson Gillispie,2023-11-16 10:45:00,2425,YHM-30962328,2023-12-01 10:45:00,2026-02-08 10:45:00,Computer,Development,P1000038,Dell OptiPlex 7040 Desktop Computer,OptiPlex 7040
Marta Horner,2024-04-03 02:33:00,1635,LVG-21580428,2024-04-08 02:33:00,2025-06-07 02:33:00,Computer,Customer Support,P1000039,Dell Inspiron 15,Inspiron 15
Kira Papen,2023-05-05 12:09:00,2725,NIY-09394326,2023-06-18 12:09:00,2025-12-21 12:09:00,Computer,Customer Support,P1000040,Dell Inspiron Desktop Computer,Inspiron Desktop
Kira Staffon,2024-02-15 22:28:00,4740,EBM-87779657,2024-02-20 22:28:00,2029-06-09 22:28:00,Computer,Finance,P1000041,Dell Inspiron 15 Computer,Dell Inspiron 15
Cherie Fuhri,2024-02-01 15:52:00,2150,RFG-28788259,2024-02-29 15:52:00,2025-12-13 15:52:00,Computer,Customer Support,P1000042,Dell Inspiron 7405-Computer,Inspiron 7405
Corinne Cowan,2023-07-30 19:18:00,1884,RXK-26078065,2023-08-11 19:18:00,2025-01-31 19:18:00,Computer,Finance,P1000043,Dell Latitude E5470 Computer,Latitude E5470
Eli Bettner,2023-10-05 05:42:00,3350,AFU-83744470,2023-11-11 05:42:00,2027-03-23 05:42:00,Computer,IT,P1000044,Dell Inspiron 15 3000 Computer,Inspiron 15 3000
Darrel Ruffins,2024-01-31 07:56:00,3478,BIJ-71799167,2024-02-11 07:56:00,2027-09-19 07:56:00,Computer,IT,P1000045,Dell Inspiron Gaming Desktop,Inspiron Gaming Desktop
Kerry Evertt,2023-10-02 09:59:00,3659,YLG-33053890,2023-10-23 09:59:00,2027-08-17 09:59:00,Computer,Development,P1000046,Dell Inspiron 5501 Laptop Computer,Inspiron 5501 Laptop
Mitch Schattner,2023-12-13 18:09:00,3935,QIQ-79463431,2024-01-25 18:09:00,2028-03-11 18:09:00,Computer,Customer Support,P1000047,Dell Inspiron Series Computer,Inspiron Series
Isaac Davensizer,2023-09-03 14:21:00,2232,HFX-22669908,2023-09-14 14:21:00,2025-08-24 14:21:00,Computer,Customer Support,P1000048,Dell Inspiron 3583,Inspiron 3583
Kasey Nguyen,2023-06-27 13:09:00,2024,MHV-64762617,2023-08-19 13:09:00,2025-03-08 13:09:00,Computer,Customer Support,P1000049,Dell Inspiron 5570 Laptop,Inspiron 5570
Roseann Jerko,2023-05-28 21:11:00,2512,EXY-50284416,2023-06-05 21:11:00,2025-10-01 21:11:00,Computer,Sales,P1000050,Dell Inspiron Desktop Computer,Inspiron Desktop
Emery Reek,2023-12-23 15:50:00,4011,HLC-14950437,2024-01-27 15:50:00,2028-04-27 15:50:00,Computer,Customer Support,P1000051,Dell Inspiron 1525 Laptop,Inspiron 1525
Lona Scronce,2023-11-28 23:49:00,4423,YNC-51707922,2024-01-07 23:49:00,2028-10-19 23:49:00,Computer,Customer Support,P1000052,Dell Latitude 5590 Computer,Latitude 5590
Claudio Loose,2023-07-25 15:01:00,4541,RWX-55329069,2023-07-29 15:01:00,2028-08-11 15:01:00,Computer,Customer Support,P1000053,Dell Inspiron Desktop Computer,Inspiron Desktop
Karyn Jinks,2023-08-07 08:28:00,2295,ZMO-43363012,2023-09-13 08:28:00,2025-08-27 08:28:00,Computer,IT,P1000054,Dell Inspiron Desktop Computer,Inspiron Desktop
Wes Fontanella,2023-10-04 01:26:00,1713,DYZ-33249246,2023-11-03 01:26:00,2025-01-14 01:26:00,Computer,IT,P1000055,Dell Inspiron 15 7000 Gaming,Inspiron 15 7000 Gaming
Florine Willardson,2024-02-03 22:20:00,4784,XHH-21781726,2024-02-09 22:20:00,2029-06-19 22:20:00,Computer,Sales,P1000056,Dell Inspiron Desktop Computer,Inspiron Desktop
Warren Speach,2024-01-19 20:26:00,3988,AJG-57480224,2024-02-19 20:26:00,2028-05-12 20:26:00,Computer,HR,P1000057,Dell Latitude 14 Computer,Latitude 14
Margaret Grey,2024-01-07 06:17:00,3637,NMS-58315319,2024-01-08 06:17:00,2027-11-12 06:17:00,Computer,Sales,P1000058,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
Jimmie Barninger,2024-01-05 07:27:00,1846,XVW-13504889,2024-02-24 07:27:00,2025-06-21 07:27:00,Computer,Customer Support,P1000059,Dell Inspiron 7391 - Computer,Inspiron 7391
Lucien Iurato,2023-08-01 06:32:00,4981,OXY-86921979,2023-09-07 06:32:00,2029-03-21 06:32:00,Computer,Development,P1000060,Dell Latitude 7400 Computer,Latitude 7400
Mary Cruse,2023-11-12 09:45:00,3983,PAI-47837952,2023-12-03 09:45:00,2028-03-03 09:45:00,Computer,Sales,P1000061,Dell Inspiron 15 Computer,Inspiron 15
Jeanie Dalen,2023-12-24 14:43:00,1679,EXL-04205103,2024-01-08 14:43:00,2025-03-20 14:43:00,Computer,Customer Support,P1000062,Dell Inspiron 15 Computer,Inspiron 15
Howard Johnson,2023-06-05 03:06:00,2495,DMN-65760942,2023-06-24 03:06:00,2025-10-01 03:06:00,Computer,Sales,P1000063,Dell Optiplex 7050 Desktop,Optiplex 7050
Bridgett Retort,2023-07-13 03:51:00,1726,RRN-88902828,2023-08-28 03:51:00,2024-10-29 03:51:00,Computer,Finance,P1000064,Dell Optiplex 7060,Optiplex 7060
Mandy Mcdonnell,2023-06-25 10:34:00,4574,KTT-24363335,2023-08-24 10:34:00,2028-07-29 10:34:00,Computer,Development,P1000065,Dell OptiPlex 3070 Micro Desktop Computer,OptiPlex 3070 Micro
Stacey Blow,2024-04-19 10:03:00,3382,YWU-70855485,2024-04-25 10:03:00,2027-10-21 10:03:00,Computer,IT,P1000066,Dell Optiplex 7050 Desktop Computer,Optiplex 7050
Ted Keppel,2023-08-25 19:34:00,3264,LJF-22429348,2023-09-08 19:34:00,2026-12-30 19:34:00,Computer,IT,P1000067,Dell Optiplex 3060 Desktop Computer,Optiplex 3060
Teodoro Gaboury,2023-10-25 00:28:00,3675,UEI-53458316,2023-11-21 00:28:00,2027-09-17 00:28:00,Computer,Customer Support,P1000068,Dell OptiPlex 7460 All-In-One,OptiPlex 7460 AIO
Mabel Weeden,2023-12-18 07:26:00,1710,NNL-38266112,2023-12-28 07:26:00,2025-03-29 07:26:00,Computer,Customer Support,P1000069,Dell Inspiron 3580 Laptop Computer,Inspiron 3580
Jimmy Hrobsky,2024-03-10 05:20:00,2423,XTY-33371981,2024-03-21 05:20:00,2026-06-02 05:20:00,Computer,Finance,P1000070,Dell Inspiron 5000 Laptop Computer,Inspiron 5000 Laptop
Ron Kettering,2023-11-13 16:36:00,3559,LDH-09483379,2023-12-23 16:36:00,2027-08-11 16:36:00,Computer,IT,P1000071,Dell OptiPlex 3070 Micro,OptiPlex 3070 Micro
Lynda Caraway,2023-08-18 05:16:00,3284,UDM-85294626,2023-09-03 05:16:00,2027-01-02 05:16:00,Computer,Customer Support,P1000072,Dell Inspiron 15 Computer,Inspiron 15
Tiffany Knust,2024-04-05 19:11:00,2868,CIY-98438574,2024-04-08 19:11:00,2027-01-30 19:11:00,Computer,Customer Support,P1000073,Dell Inspiron 15 Computer,Inspiron 15
Petra Clemmens,2024-02-06 11:37:00,4238,IVE-03183819,2024-02-22 11:37:00,2028-09-29 11:37:00,Computer,Sales,P1000074,Dell Inspiron 3593 Laptop Computer,Inspiron 3593
Pilar Suddeth,2023-07-17 03:09:00,4500,TDT-11947828,2023-09-06 03:09:00,2028-07-15 03:09:00,Computer,Sales,P1000075,Dell Inspiron 15,Inspiron 15
Byron Fortuna,2023-11-20 09:05:00,3599,MXT-51287313,2023-12-07 09:05:00,2027-09-06 09:05:00,Computer,IT,P1000076,Dell Inspiron 15 3000 Series,Inspiron 15 3000
Fannie Steese,2023-12-15 19:37:00,2130,LTJ-73240586,2023-12-28 19:37:00,2025-10-16 19:37:00,Computer,Customer Support,P1000077,Dell Inspiron 15 7559 Laptop Computer,Inspiron 15 7559 Laptop
Maryann Garnette,2024-01-08 23:53:00,3277,GLX-89039882,2024-02-29 23:53:00,2027-05-21 23:53:00,Computer,IT,P1000078,Dell Inspiron 7000 Computer,Inspiron 7000
Shelley Groden,2023-05-01 18:41:00,2506,XWJ-81085405,2023-06-16 18:41:00,2025-09-01 18:41:00,Computer,Customer Support,P1000079,Dell Inspiron 5000 Series Computer,Inspiron 5000 Series
Rena Griffeth,2023-06-23 17:15:00,3295,LBM-98015093,2023-07-16 17:15:00,2026-11-12 17:15:00,Computer,Customer Support,P1000080,Dell Latitude 7490 Computer,Latitude 7490
Joe Employee,2023-07-11 14:45:00,4072,FHA-87469730,2023-07-28 14:45:00,2027-12-13 14:45:00,Computer,Sales,P1000081,Dell Inspiron Desktop Computer,Inspiron Desktop
Valentine Granberry,2024-03-19 07:20:00,4596,HPR-68864625,2024-04-14 07:20:00,2029-05-03 07:20:00,Computer,Customer Support,P1000082,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
Mayme Staub,2023-11-20 05:52:00,3456,DLU-33372958,2024-01-17 05:52:00,2027-06-28 05:52:00,Computer,IT,P1000083,Dell OptiPlex 7080 Desktop Computer,OptiPlex 7080
Bart Hachey,2023-08-25 00:41:00,1632,HLG-77241394,2023-09-07 00:41:00,2024-10-27 00:41:00,Computer,Product Management,P1000084,Dell Inspiron 7000,Inspiron 7000
Mitchel Harnar,2023-12-31 11:34:00,2248,JGW-03936955,2024-02-24 11:34:00,2025-12-29 11:34:00,Computer,Sales,P1000085,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
Devon Samrah,2024-01-08 09:01:00,2615,QQO-45550218,2024-02-15 09:01:00,2026-07-03 09:01:00,Computer,IT,P1000086,Dell OptiPlex 7090,OptiPlex 7090
Kyle Lindauer,2024-01-12 08:00:00,4140,UFM-03758046,2024-02-17 08:00:00,2028-07-18 08:00:00,Computer,IT,P1000087,Dell Inspiron 15 Laptop,Inspiron 15
Phil Hendrie,2024-02-23 20:26:00,3632,NNZ-38938540,2024-03-24 20:26:00,2027-12-26 20:26:00,Computer,Sales,P1000088,Dell Inspiron 14,Inspiron 14
Dennis Millar,2024-03-21 16:24:00,2117,SZE-21682624,2024-03-30 16:24:00,2026-01-15 16:24:00,Computer,Sales,P1000089,Dell Inspiron 7000,Inspiron 7000
Deshawn Inafuku,2023-09-21 23:26:00,2880,AQI-01528735,2023-11-02 23:26:00,2026-07-23 23:26:00,Computer,IT,P1000090,Dell Inspiron 3593 Laptop,Insprion 3593
Mara Rineheart,2023-07-09 13:36:00,3684,DYO-19475579,2023-08-09 13:36:00,2027-06-05 13:36:00,Computer,Customer Support,P1000091,Dell Inspiron 15 Computer,Inspiron 15
Lora Lendor,2023-07-13 22:11:00,4601,YJO-76154470,2023-08-18 22:11:00,2028-08-29 22:11:00,Computer,IT,P1000092,Dell Inspiron 14,Inspiron 14
Luella Pliner,2023-09-24 11:03:00,1812,URO-81511026,2023-11-11 11:03:00,2025-02-21 11:03:00,Computer,Sales,P1000093,Dell Inspiron 7501 Laptop,Inspiron 7501
Fred Luddy,2023-06-03 06:29:00,2408,UHO-11693986,2023-07-09 06:29:00,2025-08-17 06:29:00,Computer,Development,P1000094,Dell Inspiron 7501 Laptop,Inspiron 7501
Pierre Salera,2023-11-05 17:52:00,4091,GAN-67076488,2023-11-29 17:52:00,2028-04-17 17:52:00,Computer,IT,P1000095,Dell Inspiron Desktop Computer,Inspiron Desktop
Titus Rodreguez,2024-01-17 04:19:00,3392,LUW-80067448,2024-03-04 04:19:00,2027-07-25 04:19:00,Computer,Finance,P1000096,Dell Inspiron 5400 Computer,Inspiron 5400
Bradly Hasselvander,2024-01-27 05:01:00,3564,RFW-05914986,2024-03-08 05:01:00,2027-10-27 05:01:00,Computer,Sales,P1000097,Dell Optiplex 7080 Desktop Computer,Optiplex 7080
Bud Richman,2024-01-20 14:43:00,1635,JGT-89740184,2024-03-20 14:43:00,2025-03-25 14:43:00,Computer,Sales,P1000098,Dell Inspiron 3576 Computer,Inspiron 3576
Darrell Amrich,2023-12-08 19:03:00,3065,IDP-17170621,2024-01-28 19:03:00,2027-01-07 19:03:00,Computer,Customer Support,P1000099,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
Wayne Webb,2024-02-26 13:59:00,1811,BXF-81678142,2024-03-16 13:59:00,2025-07-26 13:59:00,Computer,IT,P1000100,Dell OptiPlex 7080,OptiPlex 7080
Lynette Setlock,2024-02-09 21:33:00,3073,GRC-23027503,2024-02-15 21:33:00,2027-03-15 21:33:00,Computer,Customer Support,P1000101,Dell Inspiron 3501,Inspiron 3501
Patty Bernasconi,2023-06-15 00:35:00,3526,ZIP-02778201,2023-06-26 00:35:00,2027-02-24 00:35:00,Computer,Sales,P1000102,Dell Inspiron 15 Computer,Inspiron 15
Jarvis Galas,2023-10-23 14:46:00,3944,EIE-56070647,2023-11-13 14:46:00,2028-01-24 14:46:00,Computer,Customer Support,P1000103,Dell OptiPlex 7020 Desktop Computer,OptiPlex 7020
Van Leanen,2023-10-30 21:50:00,3610,NXA-37449554,2023-11-25 21:50:00,2027-08-21 21:50:00,Computer,IT,P1000104,Dell Inspiron 15 Computer,Inspiron 15
Doreen Sakurai,2023-09-09 15:48:00,4109,STA-75840407,2023-10-01 15:48:00,2028-02-29 15:48:00,Computer,Sales,P1000105,Dell Inspiron 7577,Inspiron 7577
Cruz Roudabush,2023-10-29 18:34:00,3676,HXI-78287900,2023-12-25 18:34:00,2027-09-21 18:34:00,Computer,IT,P1000106,Dell Inspiron 5593 Computer,Inspiron 5593
Guillermo Tsang,2024-01-01 23:26:00,3997,EQO-82129041,2024-02-01 23:26:00,2028-04-29 23:26:00,Computer,Customer Support,P1000107,Dell Inspiron 14,Inspiron 14
John Retak,2023-08-08 23:48:00,3594,YUW-77327818,2023-08-09 23:48:00,2027-05-23 23:48:00,Computer,Sales,P1000108,Dell Latitude E7470 Laptop,Latitude E7470
Maurine Monroy,2023-08-09 01:32:00,1530,VLE-62725092,2023-10-05 01:32:00,2024-08-22 01:32:00,Computer,IT,P1000109,Dell Inspiron 5000 Computer,Inspiron 5000
Brendan Qin,2023-09-03 10:35:00,4007,LXS-14010069,2023-10-08 10:35:00,2028-01-05 10:35:00,Computer,Finance,P1000110,Dell Inspiron 5481,Inspiron 5481
Jonathon Waldall,2023-05-04 21:03:00,4832,UCT-31507247,2023-06-27 21:03:00,2028-10-10 21:03:00,Computer,IT,P1000111,Dell Inspiron 7000 Series Computer,Inspiron 7000
David Dan,2023-08-31 09:20:00,4732,RAG-87809839,2023-09-20 09:20:00,2028-12-19 09:20:00,Computer,Sales,P1000112,HP  pavilion 360 Computer,pavilion 360
Barton Friesner,2024-02-02 00:42:00,4601,FKW-65976155,2024-03-15 00:42:00,2029-03-21 00:42:00,Computer,IT,P1000113,Dell Inspiron 15 3000,Inspiron 15 3000
Alyssa Biasotti,2023-07-05 02:04:00,1560,CRQ-39071546,2023-07-30 02:04:00,2024-08-02 02:04:00,Computer,IT,P1000114,Dell Inspiron 5480 Computer,Inspiron 5480
Latisha Bahls,2023-11-28 14:05:00,3873,DJC-13779482,2024-01-16 14:05:00,2028-01-25 14:05:00,Computer,Customer Support,P1000115,Dell Inspiron 15 Computer,Inspiron 15
Emilia Oxley,2023-12-22 16:53:00,2641,WXW-82094937,2024-02-17 16:53:00,2026-06-29 16:53:00,Computer,Customer Support,P1000116,Dell Inspiron 15 Computer,Inspiron 15
Lacy Belmont,2023-07-18 18:50:00,3794,NQG-49484420,2023-08-20 18:50:00,2027-08-07 18:50:00,Computer,Customer Support,P1000117,Dell Inspiron 15 Computer,Inspiron 15
Jacklyn Emayo,2024-01-23 13:40:00,3072,YOD-19683365,2024-02-04 13:40:00,2027-02-26 13:40:00,Computer,Customer Support,P1000118,HP Compaq Elite 8300 Computer,Compaq Elite 8300
Genevieve Kekiwi,2023-11-09 04:55:00,4783,PHB-92748100,2023-12-08 04:55:00,2029-03-24 04:55:00,Computer,Customer Support,P1000119,Dell Optiplex 3060 Desktop Computer,Optiplex 3060
Elmo Dagenais,2023-12-27 20:03:00,4420,WJW-69433021,2024-02-02 20:03:00,2028-11-16 20:03:00,Computer,Sales,P1000120,Dell Precision T7600 Computer,Precision T7600
Alejandro Mascall,2024-04-09 22:22:00,3106,QMW-43273047,2024-04-12 22:22:00,2027-05-30 22:22:00,Computer,Product Management,P1000121,Dell Inspiron 3583 Laptop Computer,Inspiron 3583
Viola Mcsorley,2024-01-08 07:35:00,4572,GSR-66617060,2024-02-05 07:35:00,2029-02-10 07:35:00,Computer,Customer Support,P1000122,Dell Inspiron 15 Computer,Inspiron 15
Cherie Schronce,2023-07-23 00:03:00,3980,NUK-06335803,2023-09-12 00:03:00,2027-11-10 00:03:00,Computer,IT,P1000123,Dell Latitude E7450 Laptop,Latitude E7450
Robin Schartz,2023-08-16 00:56:00,3119,EYZ-80481531,2023-09-04 00:56:00,2026-10-11 00:56:00,Computer,Finance,P1000124,Dell XPS 13 Computer,XPS 13
Diana Temple,2023-06-24 07:51:00,4808,EUS-45946332,2023-08-04 07:51:00,2028-11-18 07:51:00,Computer,Sales,P1000125,Dell Precision T7600 Desktop Computer,Precision T7600
Stephen Seiters,2023-09-06 04:58:00,1871,LDW-85347256,2023-10-23 04:58:00,2025-03-04 04:58:00,Computer,HR,P1000126,Dell OptiPlex 7080,OptiPlex 7080
Sal Pindell,2023-08-23 09:19:00,2232,NLP-21272864,2023-09-20 09:19:00,2025-08-13 09:19:00,Computer,Customer Support,P1000127,Dell Inspiron 14,Inspiron 14
Nickolas Khosravi,2023-06-08 06:02:00,3025,IWU-15963111,2023-07-02 06:02:00,2026-06-19 06:02:00,Computer,Product Management,P1000128,Dell Inspiron 15 3000 Series Laptop,Inspiron 15 3000 Series
Deandre Resendiz,2023-06-11 20:46:00,3097,CJY-23211303,2023-08-06 20:46:00,2026-07-27 20:46:00,Computer,Customer Support,P1000129,Dell Inspiron i5 Desktop,Inspiron i5
Nadia Wilshire,2023-10-30 12:29:00,2917,LXY-68319342,2023-12-15 12:29:00,2026-09-18 12:29:00,Computer,Sales,P1000130,Dell Inspiron Desktop,Inspiron Desktop
Efren Baucher,2023-12-17 23:42:00,3344,SGI-84395007,2024-01-18 23:42:00,2027-06-01 23:42:00,Computer,Sales,P1000131,Dell Inspiron 15 3000 Series,Inspiron 15 3000
Melinda Carleton,2024-03-10 14:34:00,4000,ABY-84604040,2024-03-26 14:34:00,2028-07-08 14:34:00,Computer,Customer Support,P1000132,Dell Inspiron 5593,Inspiron 5593
Ross Spurger,2024-02-14 06:05:00,2206,TPX-29550672,2024-03-02 06:05:00,2026-01-22 06:05:00,Computer,Customer Support,P1000133,Dell Latitude 5400 Computer,Latitude 5400
Lane Brantz,2023-04-09 00:42:00,2249,UES-29256083,2023-06-02 00:42:00,2025-04-07 00:42:00,Computer,Sales,P1000134,Dell OptiPlex 3070 Micro,OptiPlex 3070
Heath Vanalphen,2023-08-31 00:37:00,2497,JDD-61287756,2023-09-25 00:37:00,2025-12-28 00:37:00,Computer,Sales,P1000135,Dell OptiPlex 7090,OptiPlex 7090
Terrance Nimmer,2023-06-17 17:08:00,4276,GCP-29256865,2023-06-25 17:08:00,2028-02-26 17:08:00,Computer,HR,P1000136,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
Jewel Agresta,2023-06-21 03:37:00,2119,YDA-11720263,2023-07-08 03:37:00,2025-04-17 03:37:00,Computer,Customer Support,P1000137,Dell Inspiron 15,Inspiron 15
Haley Rocheford,2023-08-18 03:24:00,1938,FYP-97286720,2023-10-01 03:24:00,2025-03-18 03:24:00,Computer,Sales,P1000138,Dell Inspiron 7560 Computer,Inspiron 7560
Prince Kauk,2023-06-02 13:28:00,4994,ARG-70179586,2023-07-04 13:28:00,2029-01-26 13:28:00,Computer,Customer Support,P1000139,Dell XPS 13 Laptop,XPS 13
Sean Bonnet,2023-05-17 06:55:00,2531,SBS-14905533,2023-06-02 06:55:00,2025-09-29 06:55:00,Computer,Customer Support,P1000140,Dell Inspiron 5570 Laptop Computer,Inspiron 5570
Nanette Turansky,2023-09-13 23:47:00,3841,XLE-41893039,2023-11-02 23:47:00,2027-10-26 23:47:00,Computer,Customer Support,P1000141,Dell Inspiron 3780 Computer,Inspiron 3780
