sys_updated_on,assigned_to,caller_id,number,state,closed_by,opened_at,closed_at,sys_updated_by,short_description,assignment_group,priority,category
2023-04-30 10:01:13.421572966,Howard Johnson,ITIL User,INC0000000038,Closed,Howard Johnson,2023-04-26 16:43:00,2023-04-30 10:01:13.421572966,admin,Unable to connect to the database,Database,2 - High,Database
2023-05-12 07:25:32.516571862,Luke Wilson,ITIL User,INC0000000039,Closed,Fred Luddy,2023-04-28 05:49:00,2023-05-12 07:25:32.516571862,admin,Database connection issues persist,Database,2 - High,Database
2023-05-06 19:14:16.893769142,Charlie Whitherspoon,ITIL User,INC0000000040,Closed,Fred Luddy,2023-04-28 13:14:00,2023-05-06 19:14:16.893769142,system,Email server down,Network,1 - Critical,Network
2023-04-30 22:32:00.000000000,Beth Anglin,Don Goodliffe,INC0000000041,Closed,Charlie Whitherspoon,2023-04-29 22:32:00,2023-04-30 22:32:00.000000000,system,Email system not working,Network,1 - Critical,Hardware
2023-05-02 14:52:00.000000000,Fred Luddy,ITIL User,INC0000000042,Closed,Fred Luddy,2023-05-01 14:52:00,2023-05-02 14:52:00.000000000,employee,Database connection issue,Database,2 - High,Database
2023-05-10 22:45:44.569903261,Fred Luddy,Don Goodliffe,INC0000000043,Closed,Fred Luddy,2023-05-02 05:20:00,2023-05-10 22:45:44.569903261,admin,Unable to access the internal database,Database,2 - High,Database
2023-05-03 22:15:00.000000000,Beth Anglin,Don Goodliffe,INC0000000044,Resolved,Fred Luddy,2023-05-02 22:15:00,2023-05-03 22:15:00.000000000,system,Unable to access the database,Database,1 - Critical,Database
2023-05-19 12:56:17.795133088,Fred Luddy,David Loo,INC0000000045,Closed,Howard Johnson,2023-05-08 19:34:00,2023-05-19 12:56:17.795133088,system,Unable to access company database,Database,2 - High,Database
2023-05-24 20:34:54.678399989,Fred Luddy,Don Goodliffe,INC0000000046,Closed,Charlie Whitherspoon,2023-05-09 04:08:00,2023-05-24 20:34:54.678399989,employee,Cannot connect to the company VPN,Network,2 - High,Network
2023-05-15 19:59:57.162093134,Fred Luddy,Bud Richman,INC0000000047,Closed,Fred Luddy,2023-05-10 02:46:00,2023-05-15 19:59:57.162093134,employee,Unable to access the database server,Database,2 - High,Database
2023-05-22 15:09:41.709860202,Luke Wilson,Don Goodliffe,INC0000000048,Closed,Beth Anglin,2023-05-10 07:36:00,2023-05-22 15:09:41.709860202,admin,Email client not working properly,Software,3 - Moderate,Software
2023-05-20 08:51:19.813293872,Charlie Whitherspoon,Don Goodliffe,INC0000000049,Resolved,Howard Johnson,2023-05-12 01:56:00,2023-05-20 08:51:19.813293872,admin,Cannot log onto network,Network,2 - High,Network
2023-05-15 23:49:58.794925262,Luke Wilson,Don Goodliffe,INC0000000050,Resolved,Howard Johnson,2023-05-12 09:14:00,2023-05-15 23:49:58.794925262,system,Issues with connectivity in the office,Network,2 - High,Network
2023-05-25 07:22:13.121585858,Fred Luddy,Don Goodliffe,INC0000000051,Resolved,Charlie Whitherspoon,2023-05-12 12:31:00,2023-05-25 07:22:13.121585858,admin,Email server down,Network,1 - Critical,Network
2023-05-16 11:44:46.334760064,Charlie Whitherspoon,Don Goodliffe,INC0000000052,Resolved,Fred Luddy,2023-05-12 14:27:00,2023-05-16 11:44:46.334760064,system,Network connection issue in the second floor,Network,3 - Moderate,Network
2023-05-28 14:09:26.079504357,Fred Luddy,Don Goodliffe,INC0000000053,Closed,Howard Johnson,2023-05-13 23:20:00,2023-05-28 14:09:26.079504357,system,Unable to access the database,Database,2 - High,Database
2023-05-27 21:12:37.664282591,Fred Luddy,Don Goodliffe,INC0000000054,Closed,Charlie Whitherspoon,2023-05-18 04:14:00,2023-05-27 21:12:37.664282591,employee,Email server not responding,Network,2 - High,Hardware
2023-06-07 03:20:59.016363729,Howard Johnson,Bud Richman,INC0000000055,Resolved,Fred Luddy,2023-05-18 09:26:00,2023-06-07 03:20:59.016363729,admin,Cannot connect to the company VPN,Network,2 - High,Network
2023-05-25 18:51:40.883546924,Fred Luddy,ITIL User,INC0000000056,Resolved,Beth Anglin,2023-05-18 11:52:00,2023-05-25 18:51:40.883546924,employee,Email client not functioning properly,Service Desk,2 - High,Software
2023-05-26 17:28:20.201918955,Luke Wilson,ITIL User,INC0000000057,Closed,Charlie Whitherspoon,2023-05-20 20:19:00,2023-05-26 17:28:20.201918955,system,Cannot access the database,Database,2 - High,Database
2023-06-05 14:53:59.677461638,Howard Johnson,Bud Richman,INC0000000058,Closed,Fred Luddy,2023-05-23 05:00:00,2023-06-05 14:53:59.677461638,admin,Cannot connect to database,Database,2 - High,Database
2023-05-26 16:22:24.707178829,Beth Anglin,Don Goodliffe,INC0000000059,Closed,Charlie Whitherspoon,2023-05-24 07:16:00,2023-05-26 16:22:24.707178829,system,Email server connectivity issue,Network,2 - High,Network
2023-06-01 01:46:01.258618210,Fred Luddy,David Loo,INC0000000060,Resolved,Fred Luddy,2023-05-27 10:45:00,2023-06-01 01:46:01.258618210,system,Internet connection issue in building 2,Network,2 - High,Network
2023-06-05 14:22:44.850067246,Beth Anglin,Don Goodliffe,INC0000000061,Resolved,Luke Wilson,2023-05-28 00:45:00,2023-06-05 14:22:44.850067246,employee,Email client not syncing,Service Desk,2 - High,Software
2023-05-31 14:01:00.372214501,Beth Anglin,David Loo,INC0000000062,Resolved,Beth Anglin,2023-05-29 04:59:00,2023-05-31 14:01:00.372214501,admin,Cannot log into the database,Database,2 - High,Database
2023-06-09 11:22:07.855606252,Charlie Whitherspoon,ITIL User,INC0000000063,Closed,Charlie Whitherspoon,2023-05-30 19:52:00,2023-06-09 11:22:07.855606252,admin,Unable to establish database connection,Database,2 - High,Database
2023-06-01 19:48:38.337480943,Beth Anglin,Bud Richman,INC0000000064,Resolved,Howard Johnson,2023-05-31 01:26:00,2023-06-01 19:48:38.337480943,system,Software upgrade required on workstation,Software,2 - High,Software
2023-06-01 02:50:00.000000000,Fred Luddy,David Loo,INC0000000065,Resolved,Luke Wilson,2023-05-31 02:50:00,2023-06-01 02:50:00.000000000,employee,Unable to access internal database,Database,2 - High,Database
2023-06-03 17:44:00.000000000,Fred Luddy,ITIL User,INC0000000066,Resolved,Luke Wilson,2023-06-02 17:44:00,2023-06-03 17:44:00.000000000,admin,Database connectivity issue on server,Database,2 - High,Database
2023-06-12 00:35:30.124215574,Charlie Whitherspoon,Don Goodliffe,INC0000000067,Closed,Howard Johnson,2023-06-03 17:42:00,2023-06-12 00:35:30.124215574,system,Unable to connect to database,Database,2 - High,Database
2023-06-10 22:07:55.141197366,Beth Anglin,Don Goodliffe,INC0000000068,Resolved,Howard Johnson,2023-06-05 21:06:00,2023-06-10 22:07:55.141197366,admin,Email server not responding,Network,1 - Critical,Network
2023-06-13 18:29:15.961654547,Luke Wilson,Bud Richman,INC0000000069,Closed,Beth Anglin,2023-06-06 10:48:00,2023-06-13 18:29:15.961654547,admin,Cannot access network drives,Network,2 - High,Network
2023-06-15 09:08:43.250343238,Fred Luddy,ITIL User,INC0000000070,Closed,Fred Luddy,2023-06-07 08:27:00,2023-06-15 09:08:43.250343238,employee,Unexpected shutdown during software upgrade,Software,2 - High,Software
2023-06-11 05:33:49.248328765,Fred Luddy,David Loo,INC0000000071,Closed,Luke Wilson,2023-06-08 15:26:00,2023-06-11 05:33:49.248328765,admin,Unable to connect to WiFi,Network,2 - High,Network
2023-06-21 02:50:57.520970113,Charlie Whitherspoon,Don Goodliffe,INC0000000072,Closed,Beth Anglin,2023-06-08 20:32:00,2023-06-21 02:50:57.520970113,employee,Database connection issue,Database,1 - Critical,Database
2023-06-09 20:53:00.000000000,Luke Wilson,Don Goodliffe,INC0000000073,Closed,Beth Anglin,2023-06-08 20:53:00,2023-06-09 20:53:00.000000000,admin,Issue with network connectivity,Network,2 - High,Network
2023-06-12 05:37:00.000000000,Howard Johnson,David Loo,INC0000000074,Closed,Charlie Whitherspoon,2023-06-11 05:37:00,2023-06-12 05:37:00.000000000,employee,SQL Server connection issue,Database,2 - High,Database
2023-06-13 20:33:28.862440689,Luke Wilson,ITIL User,INC0000000075,Closed,Howard Johnson,2023-06-12 11:23:00,2023-06-13 20:33:28.862440689,system,Unable to access company VPN,Network,2 - High,Network
2023-06-18 23:07:07.794128200,Beth Anglin,ITIL User,INC0000000076,Resolved,Charlie Whitherspoon,2023-06-12 18:24:00,2023-06-18 23:07:07.794128200,system,Server network issue detected,Network,2 - High,Network
2023-06-23 13:08:45.819852641,Howard Johnson,Don Goodliffe,INC0000000077,Resolved,Luke Wilson,2023-06-13 11:11:00,2023-06-23 13:08:45.819852641,employee,Unable to connect to VPN,Network,2 - High,Network
2023-07-07 01:26:49.394261053,Howard Johnson,ITIL User,INC0000000078,Closed,Fred Luddy,2023-06-14 01:23:00,2023-07-07 01:26:49.394261053,system,Cannot connect to the database,Database,2 - High,Database
2023-06-23 02:08:51.661011963,Beth Anglin,David Loo,INC0000000079,Closed,Charlie Whitherspoon,2023-06-15 03:06:00,2023-06-23 02:08:51.661011963,system,Email service disruption,Network,1 - Critical,Network
2023-07-05 19:14:41.394016279,Howard Johnson,ITIL User,INC0000000080,Closed,Charlie Whitherspoon,2023-06-16 10:30:00,2023-07-05 19:14:41.394016279,system,Cannot connect to database server,Database,1 - Critical,Database
2023-06-27 05:24:28.012855396,Luke Wilson,ITIL User,INC0000000081,Closed,Luke Wilson,2023-06-16 15:54:00,2023-06-27 05:24:28.012855396,admin,Unable to connect to VPN,Network,1 - Critical,Network
2023-07-04 02:03:35.029962526,Charlie Whitherspoon,ITIL User,INC0000000082,Resolved,Charlie Whitherspoon,2023-06-16 22:29:00,2023-07-04 02:03:35.029962526,system,Issue with network connectivity,Network,2 - High,Network
2023-06-20 06:37:54.334445405,Beth Anglin,David Loo,INC0000000083,Closed,Fred Luddy,2023-06-18 10:33:00,2023-06-20 06:37:54.334445405,employee,Unable to access company VPN,Network,2 - High,Network
2023-06-23 02:12:03.025477040,Howard Johnson,David Loo,INC0000000084,Closed,Beth Anglin,2023-06-19 10:08:00,2023-06-23 02:12:03.025477040,employee,Unable to access database,Database,2 - High,Database
2023-06-25 06:02:00.000000000,Luke Wilson,Don Goodliffe,INC0000000085,Closed,Fred Luddy,2023-06-24 06:02:00,2023-06-25 06:02:00.000000000,system,Unable to connect to VPN,Network,2 - High,Network
2023-06-27 06:14:54.456308902,Fred Luddy,Don Goodliffe,INC0000000086,Closed,Howard Johnson,2023-06-25 23:43:00,2023-06-27 06:14:54.456308902,admin,Unable to send emails from Outlook,Service Desk,2 - High,Software
2023-06-27 13:18:51.320961982,Fred Luddy,Bud Richman,INC0000000087,Resolved,Charlie Whitherspoon,2023-06-26 02:20:00,2023-06-27 13:18:51.320961982,admin,Email server outage,Network,1 - Critical,Network
2023-06-30 17:42:19.296382291,Luke Wilson,David Loo,INC0000000088,Resolved,Beth Anglin,2023-06-26 04:21:00,2023-06-30 17:42:19.296382291,system,Issue with email server connection,Network,2 - High,Network
2023-06-28 09:37:00.000000000,Howard Johnson,ITIL User,INC0000000089,Resolved,Charlie Whitherspoon,2023-06-27 09:37:00,2023-06-28 09:37:00.000000000,employee,Cannot connect to VPN,Network,2 - High,Network
2023-07-01 17:02:22.838985981,Beth Anglin,David Loo,INC0000000090,Resolved,Howard Johnson,2023-06-29 00:26:00,2023-07-01 17:02:22.838985981,admin,Can't connect to VPN,Network,2 - High,Network
2023-07-07 09:49:44.153770713,Howard Johnson,Don Goodliffe,INC0000000091,Closed,Luke Wilson,2023-07-01 04:38:00,2023-07-07 09:49:44.153770713,employee,Issue with the SQL database connectivity,Database,2 - High,Database
2023-07-11 15:57:38.015522941,Howard Johnson,ITIL User,INC0000000092,Resolved,Luke Wilson,2023-07-01 16:16:00,2023-07-11 15:57:38.015522941,employee,Email server connection issue,Network,2 - High,Network
2023-07-18 10:13:59.464740290,Howard Johnson,Bud Richman,INC0000000093,Closed,Charlie Whitherspoon,2023-07-04 00:46:00,2023-07-18 10:13:59.464740290,employee,VPN connection issue,Network,2 - High,Network
2023-07-08 15:00:55.719879901,Charlie Whitherspoon,ITIL User,INC0000000094,Closed,Fred Luddy,2023-07-05 14:10:00,2023-07-08 15:00:55.719879901,employee,Internet connection is unstable,Network,2 - High,Network
2023-07-16 11:47:25.630264303,Beth Anglin,David Loo,INC0000000095,Resolved,Fred Luddy,2023-07-05 15:19:00,2023-07-16 11:47:25.630264303,employee,Cannot connect to database,Database,2 - High,Database
2023-07-22 11:40:40.789598322,Charlie Whitherspoon,Don Goodliffe,INC0000000096,Closed,Beth Anglin,2023-07-06 02:45:00,2023-07-22 11:40:40.789598322,admin,Server performance issue,Database,2 - High,Hardware
2023-07-07 15:30:33.034845234,Howard Johnson,Don Goodliffe,INC0000000097,Closed,Fred Luddy,2023-07-06 06:02:00,2023-07-07 15:30:33.034845234,system,Issue with SQL Database,Database,2 - High,Database
2023-07-15 06:14:06.337226099,Charlie Whitherspoon,Bud Richman,INC0000000098,Resolved,Luke Wilson,2023-07-06 14:16:00,2023-07-15 06:14:06.337226099,employee,Unable to access login page,Service Desk,2 - High,Network
2023-07-11 23:50:44.354655017,Charlie Whitherspoon,ITIL User,INC0000000099,Closed,Luke Wilson,2023-07-07 08:22:00,2023-07-11 23:50:44.354655017,employee,Unable to connect to VPN,Network,2 - High,Network
2023-07-27 14:55:54.681335964,Fred Luddy,ITIL User,INC0000000100,Closed,Luke Wilson,2023-07-08 02:21:00,2023-07-27 14:55:54.681335964,employee,Database connection error on server,Database,2 - High,Database
2023-07-21 06:41:16.484198516,Charlie Whitherspoon,David Loo,INC0000000101,Resolved,Fred Luddy,2023-07-08 15:00:00,2023-07-21 06:41:16.484198516,employee,Email system is not updating,Software,2 - High,Software
2023-08-02 15:15:27.732559332,Fred Luddy,David Loo,INC0000000102,Resolved,Charlie Whitherspoon,2023-07-09 01:13:00,2023-08-02 15:15:27.732559332,employee,Cannot connect to VPN,Network,2 - High,Network
2023-07-21 18:40:58.086970518,Fred Luddy,David Loo,INC0000000103,Closed,Beth Anglin,2023-07-12 06:44:00,2023-07-21 18:40:58.086970518,employee,Printer not working properly,Hardware,2 - High,Hardware
2023-07-13 21:06:00.000000000,Fred Luddy,David Loo,INC0000000104,Resolved,Howard Johnson,2023-07-12 21:06:00,2023-07-13 21:06:00.000000000,admin,Cannot connect to VPN,Network,2 - High,Network
2023-07-24 00:46:04.355521943,Charlie Whitherspoon,David Loo,INC0000000105,Closed,Fred Luddy,2023-07-14 21:21:00,2023-07-24 00:46:04.355521943,employee,Cannot connect to office WiFi,Network,2 - High,Network
2023-07-22 14:49:41.328572226,Howard Johnson,David Loo,INC0000000106,Closed,Fred Luddy,2023-07-14 22:52:00,2023-07-22 14:49:41.328572226,system,Can't connect to company VPN,Network,2 - High,Network
2023-07-22 21:10:25.094750944,Howard Johnson,Bud Richman,INC0000000107,Closed,Howard Johnson,2023-07-17 11:43:00,2023-07-22 21:10:25.094750944,admin,Mail server response issue,Network,2 - High,Network
2023-07-31 19:47:51.659471126,Beth Anglin,Bud Richman,INC0000000108,Closed,Beth Anglin,2023-07-18 02:10:00,2023-07-31 19:47:51.659471126,system,MySQL database connection issue,Database,2 - High,Database
2023-07-25 03:16:37.186286688,Fred Luddy,ITIL User,INC0000000109,Closed,Luke Wilson,2023-07-18 06:37:00,2023-07-25 03:16:37.186286688,admin,Printer not printing in black and white,Hardware,3 - Moderate,Hardware
2023-08-03 15:16:52.933655648,Charlie Whitherspoon,Bud Richman,INC0000000110,Resolved,Howard Johnson,2023-07-20 12:56:00,2023-08-03 15:16:52.933655648,system,Unable to connect to the database,Database,1 - Critical,Database
2023-07-26 21:03:15.720236527,Luke Wilson,Don Goodliffe,INC0000000111,Resolved,Beth Anglin,2023-07-21 06:41:00,2023-07-26 21:03:15.720236527,employee,Unable to access database,Database,2 - High,Database
2023-07-25 02:21:18.966229289,Charlie Whitherspoon,Bud Richman,INC0000000112,Resolved,Luke Wilson,2023-07-21 08:27:00,2023-07-25 02:21:18.966229289,admin,Email client not functioning properly,Service Desk,2 - High,Software
2023-08-06 18:04:56.767470569,Fred Luddy,David Loo,INC0000000113,Closed,Howard Johnson,2023-07-22 10:36:00,2023-08-06 18:04:56.767470569,admin,Internet connection issue,Network,2 - High,Network
2023-08-06 14:36:02.200119887,Luke Wilson,David Loo,INC0000000114,Closed,Fred Luddy,2023-07-23 03:05:00,2023-08-06 14:36:02.200119887,system,Unable to connect to VPN,Network,2 - High,Network
2023-07-24 18:45:00.000000000,Charlie Whitherspoon,Don Goodliffe,INC0000000115,Resolved,Howard Johnson,2023-07-23 18:45:00,2023-07-24 18:45:00.000000000,system,Cannot connect to the internet,Network,1 - Critical,Network
2023-07-29 13:58:48.695572751,Beth Anglin,Bud Richman,INC0000000116,Closed,Luke Wilson,2023-07-24 15:24:00,2023-07-29 13:58:48.695572751,admin,Database access issue,Database,2 - High,Database
2023-07-28 06:16:09.658581966,Howard Johnson,Bud Richman,INC0000000117,Resolved,Howard Johnson,2023-07-25 05:16:00,2023-07-28 06:16:09.658581966,admin,Application is not responding,Software,2 - High,Software
2023-08-08 12:19:24.095756613,Luke Wilson,David Loo,INC0000000118,Resolved,Howard Johnson,2023-07-26 21:25:00,2023-08-08 12:19:24.095756613,admin,Database server is down,Database,1 - Critical,Database
2023-08-10 17:39:31.996227244,Fred Luddy,Don Goodliffe,INC0000000119,Closed,Fred Luddy,2023-07-27 07:40:00,2023-08-10 17:39:31.996227244,admin,Email server not responding,Network,1 - Critical,Hardware
2023-08-04 18:22:50.523603322,Howard Johnson,ITIL User,INC0000000120,Resolved,Charlie Whitherspoon,2023-07-27 13:50:00,2023-08-04 18:22:50.523603322,employee,SQL Server connectivity issues,Database,2 - High,Database
2023-08-13 07:18:52.431968476,Charlie Whitherspoon,Bud Richman,INC0000000121,Resolved,Luke Wilson,2023-07-28 07:33:00,2023-08-13 07:18:52.431968476,employee,Printer malfunctioning in office 207,Hardware,2 - High,Hardware
2023-08-11 00:20:39.371527734,Beth Anglin,Don Goodliffe,INC0000000122,Resolved,Luke Wilson,2023-07-28 21:57:00,2023-08-11 00:20:39.371527734,admin,Unable to access database,Database,2 - High,Database
2023-07-30 02:45:00.000000000,Charlie Whitherspoon,ITIL User,INC0000000123,Resolved,Luke Wilson,2023-07-29 02:45:00,2023-07-30 02:45:00.000000000,employee,Unable to access email,Service Desk,3 - Moderate,Software
2023-08-11 23:30:57.445246710,Luke Wilson,ITIL User,INC0000000124,Closed,Beth Anglin,2023-08-01 09:47:00,2023-08-11 23:30:57.445246710,admin,Unable to access the database,Database,2 - High,Database
2023-08-17 10:56:22.936592340,Beth Anglin,Bud Richman,INC0000000125,Resolved,Beth Anglin,2023-08-02 14:57:00,2023-08-17 10:56:22.936592340,admin,Cannot connect to office VPN,Network,1 - Critical,Network
2023-08-24 05:24:48.738026032,Beth Anglin,Don Goodliffe,INC0000000126,Resolved,Luke Wilson,2023-08-03 10:10:00,2023-08-24 05:24:48.738026032,employee,Printer not connecting to network,Hardware,3 - Moderate,Hardware
2023-08-18 11:02:18.096353724,Beth Anglin,ITIL User,INC0000000127,Closed,Howard Johnson,2023-08-04 14:56:00,2023-08-18 11:02:18.096353724,admin,Email client has stopped working,Software,2 - High,Software
2023-08-14 08:19:58.382078093,Howard Johnson,Don Goodliffe,INC0000000128,Closed,Luke Wilson,2023-08-04 15:29:00,2023-08-14 08:19:58.382078093,system,Cannot connect to company VPN,Network,2 - High,Network
