number,opened_at,state,amount,short_description,department,location,processing_time,processed_date,user
0392d834-6bdb-4212-bf30-60bf7523aaca,2024-07-29 06:06:25,Processed,2995.2620312668896,Agreement summer hold space especially. Automated,Finance,Europe,10.0,2024-08-08 06:06:25,Lisa Harris
fc98926f-bd17-49eb-8d11-c8b5293bac9a,2024-09-05 18:51:35,Submitted,8878.024582673126,Group already again maybe read represent security. Server,HR,Africa,0.0,,Patricia Thompson
28c94b1b-a75c-41c6-8480-c5b149e44e40,2024-02-26 03:13:11,Pending,2334.324312669178,Kind employee watch reveal skin describe. Oracle,Product Management,Europe,0.0,,Linda Miller
d9fee7d4-fe0a-4330-a972-c742694605cb,2024-02-22 15:21:52,Pending,6982.574964271815,Drive describe fact book position. Travel,Sales,South America,0.0,,William Brown
2f37e42c-30cd-41d1-9efd-f4ca370eb135,2024-10-19 00:41:10,Submitted,5364.063740741621,Capital new prepare own identify page state effort. Cloud,Development,North America,0.0,,William Brown
37b36079-1ec5-4aee-a0a9-69e5d5735e3d,2024-03-03 13:34:09,Submitted,1461.8183568187073,Hospital along goal however travel what learn. Cloud,IT,North America,0.0,,Christopher Garcia
ee4caa7b-2599-4751-9333-9c0d931e9d41,2024-06-19 23:26:04,Declined,9368.94000615455,Method level provide knowledge west.,Customer Support,North America,0.0,,Patricia Thompson
edc10d1f-9e29-4b5b-ac43-d978f7b82724,2024-03-27 03:26:10,Processed,5562.68633169898,Agency wear morning treatment plan attention during. Automated,Finance,Asia,5.0,2024-04-01 03:26:10,Patricia Thompson
85ca714f-289f-48c6-9e72-fbca2578788d,2024-01-04 01:12:27,Submitted,492.3563401446927,Easy where total left.,Customer Support,Europe,0.0,,Jessica Anderson
2d7ab5ab-bad9-4f1a-9519-f0ecd6c62421,2024-07-17 17:14:41,Processed,3679.4173909667998,News trial music. Server,Product Management,North America,9.0,2024-07-26 17:14:41,William Brown
9b8c057f-4d63-4034-b84f-ef3bf0ff517f,2024-07-09 00:56:31,Submitted,2351.3862537249815,Traditional since establish build gun provide yet. Automated,HR,South America,0.0,,David Wilson
18c43cf6-f39b-42fd-bd70-9cc220fbf7d9,2024-10-27 11:47:51,Submitted,4728.584380320336,Fine floor provide against. Automated,Sales,Europe,0.0,,Charles Martin
3e36bd7e-8c98-44ad-a95e-e158ae98d8d6,2024-04-24 11:36:59,Pending,11901.27038989269,War forward without nature see decade. Oracle,HR,North America,0.0,,Sarah Moore
f6326559-9e02-467a-9acb-2ebd13e515a8,2024-01-23 20:29:07,Pending,6516.94283425482,Firm painting focus study. Travel,HR,Europe,0.0,,Christopher Garcia
8f2cfacc-06d8-419e-bab6-b9d5485e8f3f,2024-08-02 20:38:10,Submitted,2179.8196941748015,Analysis general month against arrive civil along kind. Travel,IT,Asia,0.0,,Charles Martin
d28e3b70-98f9-4426-af44-c8e877edae59,2024-08-17 09:09:48,Processed,5451.833630965057,Wait huge spend what white.,Development,Asia,3.0,2024-08-20 09:09:48,Angela Rodriguez
2363dca6-ae74-4b6c-8a5a-72b14ada0569,2024-06-24 14:56:53,Processed,6050.606120458129,Total health power.,Development,Europe,5.0,2024-06-29 14:56:53,Patricia Thompson
1d861b8c-0d8b-4496-b0d7-86f970fa2a1a,2024-02-26 18:42:22,Processed,4623.4546244770745,Run doctor support just rate. Server,HR,Africa,4.0,2024-03-01 18:42:22,Richard Thomas
59a2eeed-0d7a-4778-94cd-fbe38a755f7f,2024-10-20 08:12:34,Submitted,9588.89675191731,Author decade question there. Travel,Finance,North America,0.0,,Emily Davis
e1429e89-3c1d-4353-a532-7c18e5c0e5e3,2024-07-01 04:03:32,Processed,9907.665797633952,Item develop inside person.,Finance,Africa,2.0,2024-07-03 04:03:32,Thomas White
ff8bda64-1cc4-40fc-80ed-175f456c6e76,2024-06-02 07:46:38,Submitted,5003.625302825634,Those if customer myself add.,Sales,Europe,0.0,,Jessica Anderson
359e24c6-1b48-449a-a7bf-1ef1163015dc,2024-04-25 12:31:05,Processed,2828.9060022759604,Street reality music among shake us hear.,Sales,South America,11.0,2024-05-06 12:31:05,Sarah Moore
970d2822-f8ee-4452-a01a-354f9724f1d7,2024-01-23 11:16:30,Pending,7390.463603895592,May child sport sport. Oracle,Finance,Asia,0.0,,Michael Johnson
8ab114e6-14bc-4272-9d96-d1677a697885,2024-02-18 18:42:31,Pending,5927.788499829664,Her subject woman together car store rise. Oracle,Customer Support,Europe,0.0,,Michael Johnson
b43a38d3-31fd-43c1-b5df-72b33eb8f9f4,2024-01-29 22:21:51,Pending,11438.99050232105,Trial east difference sit force. Travel,HR,Europe,0.0,,Thomas White
b4f0ec89-e6e0-4ba3-b663-6e2842134cd1,2024-06-21 00:58:05,Pending,14091.085817555311,Week form particularly school him Mr either much. Travel,IT,Africa,0.0,,Steven Clark
8dc6da9d-9b29-4c9d-a5ed-581817335765,2024-04-18 10:46:54,Processed,14400.643449284542,Plan card tonight official through public speech. Travel,HR,Europe,1.0,2024-04-19 10:46:54,John Smith
c4835be0-ad46-4e4d-a259-81f73b80d039,2024-01-10 21:20:52,Declined,1821.5338796772985,Call enough table else.,IT,Europe,0.0,,Barbara Martinez
8847c2d3-9ec9-4358-8b99-813118243f80,2024-05-15 13:32:41,Pending,3050.326224842237,Few whom wish fight themselves fight.,Development,Africa,0.0,,Steven Clark
331b594f-09d8-4076-8611-bc43fd7e44c7,2024-04-03 03:07:23,Pending,3467.6773121301717,Determine still until nor ever. Oracle,Product Management,South America,0.0,,Linda Miller
f829966d-45a6-45f2-8a56-0e0da787f314,2024-06-01 04:09:11,Declined,818.3530418563547,Tell body picture minute develop me product. Oracle,IT,South America,0.0,,Karen Jackson
c7069d0b-9c15-4461-92a1-e1bde4c3aa12,2024-01-30 12:42:41,Declined,675.0881261768187,Really send her write personal. Automated,Development,Asia,0.0,,David Wilson
cc360a4a-6b67-4a1a-96c3-3ea8dfaec9e5,2024-05-16 04:33:37,Declined,6548.870036648148,Do traditional decade realize fire.,IT,Asia,0.0,,Angela Rodriguez
06440b55-6b6f-44a3-9f9c-7a78a2b2efc3,2024-07-26 14:30:23,Submitted,4918.543734413545,Adult true respond different rather.,Sales,South America,0.0,,William Brown
d685e589-df10-48f5-af68-e3e5e18d8ce0,2024-04-06 04:57:45,Submitted,2676.1435616878257,Step government policy beyond Mrs beat worker.,IT,North America,0.0,,Barbara Martinez
2d93fe0c-af7f-47a5-a6d9-24f47b6ff701,2024-07-17 06:40:50,Processed,7599.519011940855,Fight fire staff likely item tell would. Automated,Customer Support,South America,3.0,2024-07-20 06:40:50,David Wilson
7ea15b61-cc44-4d9f-90c8-50130df3e758,2024-03-19 21:11:26,Pending,7366.567500863616,Step network mind focus hear relate.,Customer Support,North America,0.0,,Christopher Garcia
f39c884f-fdfb-484d-8349-f890529d1b31,2024-10-21 02:15:51,Pending,4434.802594459344,Cell debate Democrat let cultural go.,Finance,North America,0.0,,Sarah Moore
7fe7bffc-252a-4c9c-bed4-e8282c5a89ea,2024-10-08 01:00:39,Declined,7044.158772281984,West serious true message away culture. Cloud,Finance,South America,0.0,,Linda Miller
3f315ecb-e68e-40eb-878b-b1864267e926,2024-04-02 20:07:34,Submitted,2734.467957241916,Kitchen thousand every support hit.,Development,Africa,0.0,,David Wilson
46b8b329-e9e9-4492-8cce-15ba8ac8bc69,2024-05-05 23:40:39,Pending,11988.13928119215,Without position production growth our back item hundred. Server,Development,North America,0.0,,Thomas White
9f6b514d-fa49-40cd-b08b-d60fdad06fc9,2024-08-13 06:48:37,Pending,4393.12693740936,However clear parent born ball. Server,Finance,Africa,0.0,,Charles Martin
e0768837-6047-4816-ab67-99c489ffd25e,2024-10-04 03:23:59,Processed,2961.305390950192,Pretty political case really. Oracle,Sales,Europe,5.0,2024-10-09 03:23:59,Steven Clark
b231da34-ef63-4c17-8bea-b71bad84e957,2024-05-19 22:54:00,Pending,9349.492463188335,American help truth happen same dream suddenly.,Finance,Africa,0.0,,Robert Taylor
3ad318f7-e2bf-4e42-a623-653caf42b06d,2024-02-27 06:45:53,Processed,7524.402635432942,Sea protect piece man. Automated,Sales,Asia,1.0,2024-02-28 06:45:53,Thomas White
fd170da5-7981-4819-8439-262f054a1df0,2024-07-25 18:36:40,Processed,6528.191689182697,Than continue mission agent stock.,Finance,South America,2.0,2024-07-27 18:36:40,Emily Davis
e90d1fe3-8a21-444f-be4c-d11b127f850f,2024-05-28 15:41:19,Declined,8162.801193998121,Fast particular already direction no kind TV age.,Development,Africa,0.0,,Angela Rodriguez
23b6928f-d50f-4f26-9595-969d84bf8c3b,2024-03-26 21:01:22,Pending,4196.547501491853,Must source several fight record nice suddenly even.,HR,Asia,0.0,,Jane Doe
11b2d0b0-8585-4a3a-983d-ff2f07478bdb,2024-02-03 22:57:00,Declined,4836.4197350799805,Institution own law drug bill.,Product Management,Africa,0.0,,John Smith
1b0aa723-3475-4b13-b48f-8a1df72ba515,2024-10-19 22:20:11,Pending,10197.942446133657,Still professor small so daughter near simply. Cloud,Sales,North America,0.0,,Thomas White
127f7dae-035b-4aa1-8d1d-4c509afc5498,2024-05-25 04:01:01,Pending,2905.7905700487495,Not road loss design onto program organization. Cloud,Customer Support,North America,0.0,,Emily Davis
65c7c74c-e78f-4789-a827-760cf96bdcdf,2024-09-05 11:37:15,Processed,4319.17192745076,Past company question force role subject. Automated,Customer Support,Europe,7.0,2024-09-12 11:37:15,Barbara Martinez
10933506-5c01-45b4-93a7-a3adce0b018e,2024-10-23 18:00:32,Processed,8002.939854180174,Model assume not woman realize stock east.,IT,Asia,5.0,2024-10-28 18:00:32,William Brown
c5577f58-cb45-432e-9a17-a99ad65a5ee1,2024-01-01 04:54:23,Pending,6150.952257399947,Any current out hand admit. Travel,Sales,Europe,0.0,,Emily Davis
ebb3628d-8e9e-44d6-993d-c8691ec9a4e2,2024-08-14 04:17:31,Pending,1645.8179728747168,Against never every idea top other.,Customer Support,North America,0.0,,Jessica Anderson
bc605763-da66-4d82-aa28-ba579ab8ff74,2024-05-06 14:44:09,Processed,8931.511316522541,Every approach yet music. Oracle,Product Management,Africa,4.0,2024-05-10 14:44:09,Thomas White
a9ce7908-6ef0-4a1a-9328-7bedf37f1906,2024-05-15 18:18:24,Pending,7782.201494283939,Describe level party relationship street bank society moment. Server,Product Management,Africa,0.0,,Charles Martin
f81d0bba-3e5d-436d-b11f-3728da42dda6,2024-02-16 07:28:01,Processed,5781.297692332898,Billion stay type our war newspaper claim.,Development,South America,10.0,2024-02-26 07:28:01,Barbara Martinez
c7764d4a-ed03-4fee-9f3b-7bfee5e887e8,2024-08-03 13:40:03,Submitted,8351.334703611488,Major far Mr local walk performance inside. Cloud,Product Management,South America,0.0,,Patricia Thompson
6cf736a6-4f42-4317-aa6f-554f5231c155,2024-07-17 10:32:52,Pending,14785.85742242408,Food affect positive lead physical statement. Travel,Sales,Europe,0.0,,Robert Taylor
7c103cf6-0c69-4242-9092-b67c97fe0444,2024-03-14 12:13:49,Processed,2730.879707882043,Answer its night property.,IT,Asia,7.0,2024-03-21 12:13:49,Patricia Thompson
030d7abc-28f9-4499-9540-3950d4ff93f1,2024-06-18 23:39:03,Declined,3702.6519111544026,Growth factor consumer issue. Automated,Sales,South America,0.0,,Jane Doe
4d8aa24d-bae9-4a5a-be11-df3c8549b957,2024-07-26 09:31:50,Processed,3544.4353541601977,Town soldier discover position example focus society.,HR,Africa,6.0,2024-08-01 09:31:50,Angela Rodriguez
3c747ac5-8e0b-4974-81a7-fd146b538897,2024-04-12 01:04:48,Processed,4480.861178059883,Would ever able remain. Automated,IT,North America,7.0,2024-04-19 01:04:48,Thomas White
db694fee-c55e-4201-9379-9d056bb622e0,2024-04-18 05:53:44,Declined,5364.06574407022,Anyone out early write safe. Travel,Customer Support,South America,0.0,,Robert Taylor
c3f378a8-31aa-49f4-afd6-79b205bee523,2024-09-05 10:09:09,Declined,9966.292867795388,Call city early require center clearly. Server,Product Management,North America,0.0,,Richard Thomas
e3ecc460-8ce1-4b3b-a41d-51a0dfc6c687,2024-01-31 11:45:10,Pending,1407.0968172258476,Available difficult level claim heart view agreement.,Sales,North America,0.0,,Angela Rodriguez
62f59ab8-17c3-4e7c-b4b0-e8d64d63d8b6,2024-03-29 00:46:56,Submitted,3849.873951103914,Go network him imagine born. Automated,Sales,North America,0.0,,Patricia Thompson
db011cd7-67ab-42e7-86c3-45cd3855803e,2024-04-03 00:39:26,Declined,14512.402830789371,Remain treat need realize practice. Travel,HR,North America,0.0,,Angela Rodriguez
3bcc5215-41ef-459f-99b7-daff73df18c9,2024-09-15 10:00:09,Submitted,9556.867774929236,However less under space.,IT,Africa,0.0,,Patricia Thompson
4ea58ed4-86e0-40ae-b4ba-2eab53ec9cc4,2024-10-12 20:39:16,Processed,6948.885980472051,Bed pressure attorney minute too north. Server,IT,Europe,3.0,2024-10-15 20:39:16,Lisa Harris
1432beed-9a25-45ac-8432-ceeec8e3f5ea,2024-07-13 15:04:44,Declined,6814.132110594561,Station career employee team too.,Customer Support,North America,0.0,,Jane Doe
32510b69-bf77-4634-ac71-6e54c5b1831b,2024-01-21 12:10:55,Submitted,10288.237180091572,Article house over social. Travel,Customer Support,North America,0.0,,Christopher Garcia
131e46bc-b19a-47ab-bfe5-23d608779c43,2024-07-09 04:00:40,Processed,1151.554852547027,Ok drive here. Server,HR,Africa,8.0,2024-07-17 04:00:40,Jessica Anderson
b86211db-6b46-41fe-9866-fc053297c23f,2024-10-01 10:47:13,Processed,4829.095073960872,Same beautiful data loss pay student. Travel,Finance,North America,4.0,2024-10-05 10:47:13,Linda Miller
37392e28-0d8f-4997-881a-ed0076c8f7bc,2024-08-25 07:24:06,Pending,6402.027524999829,Most lay decision sister present actually matter.,IT,South America,0.0,,Linda Miller
6f5f8ab6-6066-44c2-83c0-25a7be03091a,2024-08-23 04:29:22,Declined,4311.963728842783,Approach state share. Automated,IT,North America,0.0,,William Brown
d36faa00-b327-46a5-a16b-b9e9dc5aa7e9,2024-07-23 11:53:36,Declined,7391.706533366265,Read even anyone whom two enter sea.,Sales,Asia,0.0,,Christopher Garcia
b439e714-4f29-4764-866d-5cbd212d94c3,2024-02-09 06:13:55,Pending,2601.081862022436,Word believe with offer reach.,Sales,Europe,0.0,,Patricia Thompson
4772b624-6b1f-4114-a100-5532e1b56723,2024-07-24 02:25:47,Pending,3508.94491717652,Ever window ever.,Product Management,Asia,0.0,,Charles Martin
21c7f53d-ab85-4cae-802c-1a509dc8871c,2024-01-23 01:40:45,Submitted,1894.4380706077784,Establish short week of computer.,Sales,Europe,0.0,,Steven Clark
4f2e618c-affc-4b57-967f-f1d1f4333d92,2024-09-11 12:40:38,Processed,7039.461398967805,Key off keep buy.,Product Management,Europe,5.0,2024-09-16 12:40:38,Linda Miller
2354e9e5-82bd-43dd-b788-5516a242c906,2024-06-22 01:10:19,Submitted,7995.0606175264775,Executive floor enter control central option. Server,Sales,Africa,0.0,,Michael Johnson
1f109404-8df3-4754-9f1e-ad62e573476c,2024-10-05 11:18:14,Declined,6650.24489147623,Fact draw speech threat wide physical management last.,HR,Africa,0.0,,Linda Miller
827a039a-7cf5-4692-ab85-d16ec8aafc9a,2024-02-26 22:10:01,Submitted,3636.1419834281496,Station to receive walk now. Server,HR,Asia,0.0,,Lisa Harris
328fbd12-e73d-4ce9-b62b-75d3edaae8cc,2024-07-06 01:20:31,Pending,13784.869808806683,Before again sit middle live ten leg. Travel,Customer Support,South America,0.0,,Patricia Thompson
c15a1891-ea8e-46b1-9a66-a4813b67a717,2024-08-29 18:17:07,Processed,7414.484415468157,General class southern goal. Cloud,Customer Support,South America,3.0,2024-09-01 18:17:07,Jane Doe
0914c7ab-70b1-49d9-bb68-7e069003d0ed,2024-06-10 07:08:30,Processed,7297.491386999958,Decade middle trade student vote. Travel,Product Management,Europe,4.0,2024-06-14 07:08:30,Emily Davis
acef1de0-46e0-4b5d-90b2-90307b4b2018,2024-06-14 20:02:55,Declined,192.2659962516552,Already not none on similar measure similar or.,Finance,Africa,0.0,,Thomas White
c3588562-3791-4ace-ad72-a8c4ea0515e6,2024-02-11 17:36:59,Submitted,862.5576417663265,Spend professional raise sea agent.,Development,South America,0.0,,Richard Thomas
242178ff-2660-4273-9fc3-9b1e4cd87285,2024-05-05 01:26:17,Processed,9392.679509864336,College meeting read three expect require teacher. Cloud,Product Management,South America,3.0,2024-05-08 01:26:17,Christopher Garcia
116275fc-26a5-4ff1-828a-c96f5189eda3,2024-07-07 18:19:09,Submitted,2035.112583494168,Fast course responsibility education point cold daughter. Automated,Development,Europe,0.0,,Patricia Thompson
67c51dbd-1316-4541-8eed-75ed8ca0cb2a,2024-10-20 12:32:52,Processed,8055.401938553034,Level decision media rest know.,Finance,North America,1.0,2024-10-21 12:32:52,Angela Rodriguez
7d093548-adfe-4d47-937b-59bf9dc4dd8c,2024-05-11 03:47:46,Processed,1754.5321315899953,Inside gun child focus. Oracle,IT,North America,5.0,2024-05-16 03:47:46,Michael Johnson
7dda7e0c-f1bd-4dbb-aa37-70f1e844106c,2024-10-12 21:31:56,Declined,4089.3442057737957,Suddenly the young force.,HR,Europe,0.0,,Charles Martin
c053e65e-aa9f-4635-8875-6875476e40c3,2024-08-31 08:48:18,Declined,9167.360178486791,Within crime reveal about it action reach or.,HR,Asia,0.0,,Thomas White
a61da607-0152-4203-8ae2-2d6cd2ec6688,2024-09-20 23:43:04,Pending,4419.92195486003,Offer appear staff expert peace to above. Server,Finance,North America,0.0,,Thomas White
8646ec47-4cfc-475e-a85d-fe201dcad7bd,2024-07-06 15:43:43,Processed,4651.102917808933,Answer attack letter draw worker.,Development,Africa,4.0,2024-07-10 15:43:43,Linda Miller
60b568c5-3df1-4ea9-b4ba-b33428a6a8ef,2024-10-24 20:11:40,Processed,739.9370786814084,Social keep citizen. Travel,HR,North America,17.0,2024-11-10 20:11:40,David Wilson
1dece221-48e6-41ad-9dd7-38353a2bd6a5,2024-05-16 15:47:34,Submitted,4097.508907253401,Address figure stop eye bad mean.,Sales,Asia,0.0,,Barbara Martinez
ac27ce12-801e-45c1-b6e4-0c1de1e0f3d3,2024-08-06 13:38:38,Declined,2695.2618353345347,Public heavy why time everybody throughout worker. Oracle,IT,Africa,0.0,,Patricia Thompson
3f303a42-8afe-4549-b30d-1f401c9c4586,2024-10-12 04:59:47,Pending,10063.130778643032,Which the forward rate order opportunity. Oracle,Sales,South America,0.0,,Charles Martin
e7b7d446-32db-462e-ad3a-2cb91ea8904a,2024-06-05 23:46:26,Submitted,6496.695472811411,Foot street example current finish billion rich.,IT,South America,0.0,,Emily Davis
3c80fb67-c120-4605-8e27-0dd323150e97,2024-01-20 09:45:32,Submitted,7698.6562619139,Watch himself though. Travel,Development,Europe,0.0,,Jane Doe
72ab6520-014a-40aa-9493-78af92fc504a,2024-02-06 02:06:04,Declined,8031.121883409668,Own great table particular president.,Product Management,North America,0.0,,Jane Doe
af4a4fdf-31f7-4b8e-9124-88edb5c6122f,2024-02-12 16:21:00,Submitted,2837.8954202825184,Cell by responsibility various fact leg natural. Travel,Product Management,Asia,0.0,,Jane Doe
9a0d38b9-04da-49e0-bc34-2574f69ae1e4,2024-05-24 19:01:20,Processed,4339.546554293006,Better pull morning especially. Automated,IT,Asia,5.0,2024-05-29 19:01:20,Barbara Martinez
fe379fe9-1b64-4eb8-a74e-7e3c2bfa4e2e,2024-05-26 16:11:05,Pending,9127.583687606404,Consider environment onto present price different. Oracle,Sales,South America,0.0,,Barbara Martinez
4ada0ef5-a396-4301-aadf-e9a51380453b,2024-01-08 00:35:57,Processed,3762.751459045717,Thought inside risk for recent become rate.,HR,Europe,4.0,2024-01-12 00:35:57,Lisa Harris
4bf17449-4753-4461-ba6e-7a47644b931b,2024-08-27 06:06:06,Pending,8152.026514498443,Drop see power same I.,Development,Africa,0.0,,Emily Davis
3802baa7-1786-4e72-8ec9-06fed85b510e,2024-04-22 01:06:46,Processed,3911.5041286374585,Her front agreement before.,Finance,Europe,6.0,2024-04-28 01:06:46,Barbara Martinez
bad2385b-01f6-4d78-ba92-bf391d17518c,2024-05-20 05:53:03,Submitted,11116.719867409316,Responsibility PM maintain until part blood citizen house. Server,Finance,Europe,0.0,,Jane Doe
9d3acd5a-20ae-49be-bd18-00d5633ad3dd,2024-06-18 00:52:08,Pending,6890.369480796215,Participant center low take must issue.,HR,Africa,0.0,,Angela Rodriguez
52c1817c-f756-49ba-a942-7e44add0c229,2024-09-07 16:29:38,Submitted,3392.09454599074,Year edge teach serve enjoy scene senior. Server,Product Management,North America,0.0,,Richard Thomas
5b1941d3-4d78-48c5-becf-b22b047a0961,2024-09-09 22:38:50,Pending,4870.25926123896,Near hospital account week possible agree girl. Automated,Finance,North America,0.0,,David Wilson
dd995b21-fa60-441f-8f42-958493c00884,2024-05-08 16:52:05,Pending,12493.048475104339,Each wide impact senior let majority. Server,Sales,Europe,0.0,,Charles Martin
62386afd-b921-4990-b930-adf5081da22a,2024-09-12 04:46:45,Submitted,6963.736035510223,Must wait support choose white. Server,Customer Support,Asia,0.0,,Karen Jackson
c814d345-9c99-485d-bce8-78300f792312,2024-04-08 10:50:13,Declined,3572.9108416800414,Bring focus almost degree author.,IT,Africa,0.0,,Patricia Thompson
09678e76-a6aa-4ceb-9e6f-b94071815a44,2024-07-23 11:44:37,Processed,1775.7378265146572,Church enter support star partner power. Travel,Sales,Asia,12.0,2024-08-04 11:44:37,Barbara Martinez
e84336b5-4509-46cb-875b-bb6708aeda43,2024-09-01 13:32:29,Processed,3416.5119078742564,Great four grow yard.,Customer Support,Africa,4.0,2024-09-05 13:32:29,Karen Jackson
01eb6b9b-e7d8-4d4e-887e-cce95a0cad24,2024-06-28 15:36:19,Declined,5531.482442132885,Real party theory energy adult wonder do plan.,Development,South America,0.0,,William Brown
954f1e7f-0e04-4746-b135-30b29ae29884,2024-03-01 15:36:19,Submitted,2857.6646413323897,Property page care center effect.,Finance,South America,0.0,,Robert Taylor
24a79eeb-2b21-4604-a190-ec38f939cd1e,2024-08-20 22:31:48,Declined,6313.020916208959,Never seek involve despite without less imagine.,Customer Support,Africa,0.0,,Angela Rodriguez
71e23456-b8e5-4b71-9aae-a89deb420ec1,2024-06-11 07:02:45,Declined,8470.645118886314,Eye employee community wind what close window. Oracle,Finance,Europe,0.0,,Angela Rodriguez
291220d1-f3ad-4ec2-914e-927b8730d58e,2024-03-30 18:59:18,Processed,4229.563162464971,Others left usually floor author so born dinner.,Customer Support,North America,10.0,2024-04-09 18:59:18,Christopher Garcia
3db7f955-819f-414d-9242-89ea6adaf3db,2024-08-31 09:58:20,Submitted,6547.258387248336,Executive place throw risk event agree.,Customer Support,Africa,0.0,,Angela Rodriguez
12e04835-8574-4f97-aa98-e1bf321bcbbe,2024-04-03 18:06:15,Declined,8010.557137399251,Light remember television remain low a.,IT,South America,0.0,,William Brown
aa71cfbf-a367-4e69-988c-3dd10e6cdce9,2024-02-18 06:03:16,Pending,1351.3608721166515,Well man clearly set brother system around.,Sales,North America,0.0,,David Wilson
dc1f37a8-0ffb-40e4-9986-aff8a082ef41,2024-06-27 09:49:37,Pending,5391.247014184432,Alone behind outside fund hear reduce blood. Automated,Sales,Asia,0.0,,David Wilson
74009d97-8d61-41d8-a7a3-c306f3e99470,2024-08-26 12:57:52,Pending,1941.888142940142,Knowledge community at night price least.,Customer Support,Europe,0.0,,Angela Rodriguez
89c12a27-6494-4fb8-85bf-2d1a6f2d4da8,2024-01-22 06:28:45,Declined,9526.694523711643,Board science important outside modern notice call.,IT,North America,0.0,,Linda Miller
