target_percentage,sys_updated_by,priority,metric,percent_complete,sys_id,state,start_date,end_date,department,category,owner,description
91,admin,Medium,Sales Increase,16,G000033,In Progress,2022-10-19,2022-09-18,HR,Customer Satisfaction,Rob Phillips,Improve the response time of our customer service team. Aim to ensure less than 1% complaints are escalated and overall customer satisfaction increases by 20% compared to the previous quarter.
68,admin,High,Sales Increase,86,G000034,Completed,2022-12-06,2022-06-08,IT,Employee Satisfaction,Certification User,"Develop and implement a comprehensive employee satisfaction survey to identify key areas for improvement, with the aim of increasing overall employee satisfaction ratings by 20% in the next fiscal year."
61,admin,Medium,Sales Increase,26,G000035,In Progress,2022-04-10,2023-05-16,Finance,Employee Satisfaction,Lora Lendor,Introduce regular feedback and recognition programs to increase overall employee satisfaction by 20% compared to the previous fiscal year as measured by quarterly internal surveys.
60,admin,Medium,Expense Ratio,80,G000036,Completed,2022-11-25,2023-01-15,HR,Customer Satisfaction,Problem Administrator,"Increase Customer Satisfaction rates by implementing regular feedback surveys, improving service response time, and enhancing the product's user interface. The goal is to improve the current 70% satisfaction rate to 85% within the next quarter."
95,admin,Low,Survey Score,31,G000037,Planned,2022-12-17,2023-01-07,HR,Cost Reduction,Cary Mccamey,"Focus on improving cost efficiency by executing an audit on all ongoing contracts to identify any unnecessary expenditures, striving to reduce operating costs by at least 20% from the previous fiscal year."
96,admin,Low,Expense Ratio,53,G000038,Completed,2022-04-08,2022-10-08,Marketing,Cost Reduction,Elaine Renzi,"Reduce IT operational costs by 20% over the next fiscal year by investing in automation and eliminating redundancy in processes, ultimately saving an estimated $250K."
71,admin,High,Sales Increase,52,G000039,Completed,2022-08-08,2023-03-21,HR,Employee Satisfaction,SOAP Guest,Increase the availability and accessibility of professional training and development programs to achieve an overall average employee satisfaction rate of 90% by end of Q4.
100,admin,Low,Sales Increase,63,G000040,In Progress,2022-09-07,2023-05-02,IT,Cost Reduction,Peggy Hohlstein,Proceed with the digitalization of company procedures to cut down on paper usage and administrative costs by 25% by the end of this fiscal year.
63,admin,High,Survey Score,80,G000041,Completed,2022-06-26,2023-02-26,IT,Revenue Growth,Corinne Cowan,Increase the number of premium subscriptions by 20% in the next quarter by introducing new features and improving customer service. This should boost our revenue by at least 30% compared to the same period last year.
69,admin,Low,Sales Increase,2,G000042,Completed,2022-09-23,2023-03-23,HR,Cost Reduction,Timothy Janski,"Reduce expenditures for office supplies by negotiating better deals with vendors aiming for 20% savings compared with previous year's costings i.e., from $50K to $40K."
51,admin,Medium,Survey Score,35,G000043,Completed,2022-03-09,2023-04-20,Marketing,Customer Satisfaction,Jewel Agresta,Enhance our customer support system by reducing ticket resolution time by 20% to improve overall customer satisfaction.
100,admin,Low,Employee Turnover Rate,14,G000044,In Progress,2022-10-26,2023-02-08,HR,Employee Satisfaction,Cherie Fuhri,"Increase the company's Employee Satisfaction Score (ESS) by 20% through initiatives such as flexible work hours, employee wellness programs, and leadership training by the end of the fiscal year."
95,admin,Low,Expense Ratio,40,G000045,In Progress,2022-01-31,2022-12-24,Finance,Efficiency,Mamie Mcintee,Improve software automation process to increase overall company efficiency by 20% compared to the previous quarter
77,admin,Low,Survey Score,28,G000046,Completed,2022-08-07,2022-11-24,HR,Employee Satisfaction,Certification User,"Launch and maintain a quarterly in-house employee satisfaction survey targeting a 20% improvement in overall scores, ensuring a high level of employee satisfaction and engagement in the company."
60,admin,Medium,Expense Ratio,56,G000047,Completed,2022-05-16,2022-12-16,HR,Cost Reduction,SOAP Guest,Introduce energy conservation measures in facilities to cut down electricity costs by 20% from last fiscal year's expenditure.
79,admin,Medium,Survey Score,31,G000048,Completed,2022-10-12,2023-03-22,Marketing,Efficiency,Rich Gleave,"Enhance automated workflows to cut manual task time by 20%, thereby improving operational efficiency and resource allocation."
66,admin,Low,Sales Increase,5,G000049,In Progress,2022-05-20,2023-04-15,IT,Revenue Growth,Elaine Renzi,"Expand marketing and sales efforts to improve product visibility, aiming to increase overall revenue by 20% compared to last fiscal year."
80,admin,Medium,Sales Increase,49,G000050,Completed,2022-10-20,2022-08-21,Marketing,Employee Satisfaction,Pierre Salera,"Initiate a comprehensive employee engagement program to enhance job satisfaction by 20% compared to previous year, as measured by the annual staff survey."
82,admin,Medium,Survey Score,66,G000051,In Progress,2022-06-10,2022-11-22,Finance,Employee Satisfaction,Bryant Bouliouris,Increase remote working flexibility and introduce periodic employee engagement activities to boost overall Employee Satisfaction score from 70% to 85% within the next fiscal year.
100,admin,Critical,Sales Increase,94,G000052,In Progress,2022-08-09,2022-09-22,Finance,Efficiency,Kyle Lindauer,Improve internal processes and workflow for a 20% increase in efficiency and productivity in the next financial year as compared to previous years.
88,admin,Medium,Expense Ratio,74,G000053,In Progress,2022-03-15,2023-03-03,Marketing,Customer Satisfaction,Savannah Kesich,Improve the response time of customer service from 24 hours to 12 hours to increase overall customer satisfaction by 20%.
93,admin,Medium,Survey Score,75,G000054,Completed,2022-04-29,2022-09-04,Finance,Revenue Growth,Problem Administrator,"Expand sales operations in untapped international markets, aiming to increase quarterly revenue growth by 20% i.e. from $1M to $1.2M in the next fiscal year."
80,admin,Medium,Sales Increase,17,G000055,Planned,2022-06-13,2023-06-03,Marketing,Revenue Growth,Christa Bodenschatz,"Increase the sales of our key product line by 20% compared to last fiscal year by entering new markets and segmentations, in order to achieve an additional annual revenue of $500K."
73,admin,Low,Employee Turnover Rate,11,G000056,Completed,2022-05-13,2022-05-03,HR,Revenue Growth,Timothy Janski,Increase product sales by enhancing marketing strategies to facilitate 20% growth in revenue compared to the previous quarter i.e. from $400K to $480K.
53,admin,Medium,Survey Score,17,G000057,Completed,2022-02-18,2022-10-14,Finance,Customer Satisfaction,Henrietta Cintora,Improve customer care service by providing a 24/7 online support to increase customer satisfaction rate by 25% compared to last 6 months feedback survey.
96,admin,Critical,Employee Turnover Rate,83,G000058,Completed,2022-01-26,2022-11-09,IT,Employee Satisfaction,Ramon Amaral,"Increase telecommuting opportunities and work-life balance initiatives to boost employee satisfaction by 20% in the upcoming fiscal year, as measured by the annual employee engagement survey."
98,admin,Medium,Survey Score,3,G000059,In Progress,2022-10-02,2023-06-04,HR,Employee Satisfaction,Certification User,Conduct an quarterly employee engagement survey and achieve a score of 80% up from current 65% to improve overall employee satisfaction within the organization.
69,admin,High,Expense Ratio,75,G000060,Completed,2022-07-25,2023-06-02,Finance,Revenue Growth,Logan Muhl,Increase cross-selling techniques amongst sales teams to boost quarterly product revenue up by 25% compared to last fiscal year.
56,admin,Medium,Sales Increase,28,G000061,Cancelled,2022-01-08,2023-07-15,HR,Employee Satisfaction,Alfonso Griglen,Improve the work environment and launch an employee development program to increase the overall employee satisfaction score by 20% within the next fiscal year.
63,admin,Medium,Expense Ratio,21,G000062,Completed,2022-11-01,2022-12-29,HR,Revenue Growth,Terrell Rodda,Increase sales of our flagship product by 20% in Q4 to boost overall company revenue compared to the previous fiscal year.
68,admin,Low,Expense Ratio,58,G000063,In Progress,2022-10-07,2022-11-04,Marketing,Revenue Growth,Billie Cowley,Expand global market presence by launching our new product line in three untapped international markets to increase overall company revenue by 10% compared to the previous fiscal year.
86,admin,High,Sales Increase,81,G000064,Completed,2022-10-05,2022-05-14,Finance,Revenue Growth,Elmo Gabouer,Introduce new market strategies to increase overall company revenue by 25% in the next fiscal year compared to previous year's performance.
58,admin,Medium,Employee Turnover Rate,12,G000065,Completed,2022-07-30,2022-11-07,Marketing,Employee Satisfaction,Frankie Morein,Develop and execute satisfaction survey across all departments to maintain an average employee satisfaction score of 85% or above throughout the year.
50,admin,Medium,Sales Increase,36,G000066,Planned,2022-01-26,2022-07-13,HR,Cost Reduction,Renae Eldrige,Transition to using energy efficient equipment across all branches to achieve a 20% reduction in annual utility costs compared to preceding fiscal year.
89,admin,Medium,Sales Increase,73,G000067,Planned,2022-05-17,2022-12-16,Finance,Cost Reduction,Adela Cervantsz,"Optimize vendor contracts to reduce annual expenditure by 20% which equates to a saving of around $300K, in line with our overall cost reduction strategy."
72,admin,Low,Sales Increase,54,G000068,In Progress,2022-07-16,2023-06-24,Finance,Customer Satisfaction,Mabel Weeden,Launch a new customer feedback survey and implement an initiative for service improvements based on the received feedback aiming to increase customer satisfaction rate by 20% over the next year.
77,admin,Low,Expense Ratio,64,G000069,In Progress,2022-03-02,2023-03-13,HR,Revenue Growth,Hilario Cassa,"Expand sales in the Asia Pacific region by 10% over the next year to bolster overall company revenue, we aim for a growth from $1M to $1.1M."
70,admin,Medium,Expense Ratio,80,G000070,Completed,2022-03-29,2023-05-20,Finance,Customer Satisfaction,Cristopher Wiget,"Increase the rating of our products and services by 20% through quality improvements and exceptional customer service, boosting overall customer satisfaction from 65% to 85%."
77,admin,Medium,Sales Increase,9,G000071,In Progress,2022-01-29,2023-02-02,HR,Employee Satisfaction,Cyril Behen,Improve office amenities and conduct regular employee feedback surveys to raise overall employee satisfaction by 20% compared to last year's annual survey results.
76,admin,Medium,Sales Increase,38,G000072,In Progress,2022-04-25,2022-12-28,Marketing,Employee Satisfaction,Krystle Stika,"Increase employee satisfaction by 20% over the next year through enhanced remote work policies, improved communication, and an expanded benefits package."
90,admin,Low,Employee Turnover Rate,62,G000073,In Progress,2022-02-09,2023-03-29,HR,Cost Reduction,Darren Merlin,"Optimize the use of IT resources by synchronizing operations and eliminating redundant processes leading to an overall cost reduction of 20%, equating to savings of $50,000."
74,admin,Low,Sales Increase,46,G000074,Completed,2022-07-01,2023-02-04,IT,Customer Satisfaction,Maurine Monroy,Implement effective customer feedback systems and enhance support services to improve our customer satisfaction score by 20% from the previous year.
63,admin,Medium,Employee Turnover Rate,3,G000075,Planned,2022-09-26,2022-05-14,Marketing,Cost Reduction,Cary Mccamey,"Develop automation scripts for IT tasks to reduce labor costs by approximately 20%, lowering the annual expenditure from $75K to $60K under the Cost Reduction strategy."
79,admin,Low,Employee Turnover Rate,36,G000076,In Progress,2022-01-31,2022-08-07,Finance,Cost Reduction,Karen Flierl,Boost effectiveness of operational efficiencies to cut down expenses by 20% from previous year's metrics i.e. from $300K to $240K.
81,admin,Medium,Employee Turnover Rate,29,G000077,Planned,2022-03-03,2023-04-15,HR,Customer Satisfaction,Elisa Gracely,Enhance product quality and streamline customer support to increase overall customer satisfaction by 20% as evidenced by customer feedback and ratings.
53,admin,Medium,Survey Score,77,G000078,Completed,2022-10-11,2023-03-15,Finance,Efficiency,Derek Kreutzbender,Optimize the current workflow in the production line to improve efficiency by 20% over the next quarter thereby reducing time consumption and enhancing productivity.
82,admin,Low,Expense Ratio,37,G000079,In Progress,2022-08-28,2023-06-10,Marketing,Employee Satisfaction,Sophie Langner,Launch a quarterly employee feedback program and implement suggestions to improve overall employee satisfaction by 20% as per the annual survey.
84,admin,Low,Expense Ratio,27,G000080,Planned,2022-06-01,2023-04-30,Finance,Revenue Growth,Alfonso Griglen,"Expand product range and improve online marketing strategies to increase annual revenue by 20%, from $1M to $1.2M."
83,admin,Medium,Survey Score,16,G000081,In Progress,2022-01-11,2022-09-27,Finance,Efficiency,Rosalia Kennemur,Enhance operational efficiency by automating manual workflows using Artificial Intelligence. Aiming to achieve a 20% reduction in process time and increase productivity among team members.
70,admin,Medium,Employee Turnover Rate,13,G000082,In Progress,2022-09-12,2023-01-23,Marketing,Employee Satisfaction,Savannah Kesich,Increase job training opportunities and develop an effective feedback mechanism to enhance employee satisfaction by 20% as measured in the annual satisfaction survey compared to last year.
80,admin,High,Expense Ratio,93,G000083,Completed,2022-01-13,2023-04-16,IT,Employee Satisfaction,Lucius Bagnoli,Implement a robust feedback and reward system to enhance employee satisfaction and reduce turnover rate by 25% compared to the previous fiscal year.
53,admin,Medium,Survey Score,75,G000084,Completed,2022-08-30,2022-12-03,HR,Customer Satisfaction,Rosalia Kennemur,Improve post-service follow-ups to increase customer satisfaction ratings by 20% compared to last quarter i.e. from 80% to 100% satisfaction.
66,admin,Low,Employee Turnover Rate,42,G000085,Completed,2022-02-15,2023-06-06,Finance,Cost Reduction,Rich Gleave,Develop and implement a cost-effective software solution to reduce IT department expenses by 25% over the next fiscal year compared to the previous one.
55,admin,High,Sales Increase,80,G000086,Completed,2022-01-25,2023-03-18,Marketing,Efficiency,Hilario Cassa,"Optimize operations by implementing new productivity technologies. This should increase team efficiency by 25% compared to last quarter, reducing time spent on administrative tasks."
50,admin,Medium,Survey Score,75,G000087,Completed,2022-05-17,2022-08-10,HR,Employee Satisfaction,Karen Flierl,Improve company culture and working environment to increase overall employee satisfaction rate by 25% measured through quarterly surveys and feedback sessions.
100,admin,Low,Employee Turnover Rate,59,G000088,Planned,2022-12-23,2023-01-03,Finance,Revenue Growth,Cyril Behen,Expand product line and increase market penetration to boost the quarterly revenue by 20% compared to the same quarter of the previous year.
53,admin,Low,Employee Turnover Rate,26,G000089,In Progress,2022-08-07,2023-06-24,HR,Revenue Growth,Karyn Jinks,Develop and implement a new marketing strategy to increase product penetration in untapped markets with a focus on achieving a revenue growth of 20% by Q4.
79,admin,Medium,Sales Increase,24,G000090,Completed,2022-12-12,2023-04-28,Finance,Employee Satisfaction,Valerie Pou,"Implement quarterly employee satisfaction surveys and initiate team-building activities, in order to bring an overall satisfaction score of 85% in the forthcoming employee feedback."
96,admin,Medium,Survey Score,34,G000091,Planned,2022-05-27,2023-07-24,HR,Efficiency,Savannah Kesich,Improve processing time by introducing automation in selected daily routine processes to improve overall efficiency by 20%.
88,admin,High,Survey Score,95,G000092,Completed,2022-09-15,2023-02-20,IT,Employee Satisfaction,Billie Cowley,Introduce regular engagement activities and provide trainings to improve Employee Satisfaction Index (ESI) from 70% to 85% in the next fiscal year.
54,admin,High,Sales Increase,96,G000093,Completed,2022-11-12,2022-06-14,IT,Revenue Growth,Sean Bonnet,Develop new marketing strategies to increase product visibility and revenue growth by 20% compared to the previous fiscal year i.e. from $500K to $600K.
63,admin,High,Employee Turnover Rate,74,G000094,Completed,2022-07-28,2022-12-21,IT,Efficiency,Frankie Morein,"Improve employee training programs to increase productivity by 20% over the next quarter, reducing unnecessary time wastage and increasing overall efficiency."
72,admin,Low,Expense Ratio,63,G000095,Completed,2022-05-27,2023-03-28,HR,Revenue Growth,Mamie Mcintee,"Drive growth strategy by targeting a 20% increase in annual revenue generation. This includes expanding new customer base, improving upselling, and reducing churn rate."
87,admin,Medium,Employee Turnover Rate,53,G000096,Completed,2022-03-07,2022-08-07,Marketing,Revenue Growth,Lora Lendor,Increase sales of our flagship product by 20% over the next quarter through upscaling advertising and improving customer outreach.
50,admin,Medium,Expense Ratio,49,G000097,Planned,2022-07-30,2023-10-27,HR,Employee Satisfaction,Concetta Sarchett,"Improve employee satisfaction by conducting monthly surveys, implementing a new rewards and recognition program and organizing team building activities, aiming for a 25% increase in overall satisfaction scores by the end of the fiscal year."
65,admin,Medium,Expense Ratio,72,G000098,Completed,2022-08-29,2023-03-17,Finance,Customer Satisfaction,Nirali Patel,Improve the quality of our customer service response times by 20% to increase customer satisfaction rates compared to the previous year.
94,admin,High,Sales Increase,80,G000099,Planned,2022-03-01,2022-12-11,HR,Cost Reduction,Terrell Rodda,Implement automated invoice processing system to reduce operational costs by 25% over the next quarter compared to the same period last year.
99,admin,Low,Sales Increase,18,G000100,In Progress,2022-06-10,2023-01-21,Marketing,Cost Reduction,Certification User,"Optimize work force efficiency to reduce labor cost by 20% in the next quarter compared to the previous year, thus dropping the expenditure from $500K to $400K."
74,admin,Critical,Expense Ratio,84,G000101,Completed,2022-05-16,2023-04-27,Marketing,Revenue Growth,Cary Mccamey,Focus on upselling and cross-selling strategies in order to increase annual revenue by 10% i.e. from $500K to $550K.
60,admin,High,Expense Ratio,78,G000102,Completed,2022-03-12,2023-06-18,Marketing,Revenue Growth,Bryant Bouliouris,Increase sales in the online platform by 20% over the next quarter by improving our digital marketing strategies and customer engagement.
95,admin,Medium,Sales Increase,1,G000103,Planned,2022-03-02,2022-11-24,Marketing,Revenue Growth,Lucius Bagnoli,"Develop and execute a business strategy which increases recurring sales by 20%, resulting in an estimated annual revenue growth of $500,000 compared to previous fiscal."
65,admin,Low,Survey Score,17,G000104,Completed,2022-11-24,2023-03-12,Marketing,Cost Reduction,Mildred Gallegas,"Aim to optimize the utilization of resources in order to decrease expenditure by 15% in the following quarter compared to the same period last year, specifically bringing the figure down from $250,000 to $212,500."
86,admin,Low,Sales Increase,6,G000105,In Progress,2022-03-28,2022-06-24,HR,Customer Satisfaction,Veronica Radman,Improve customer service response time by 20% over the next quarter to increase overall customer satisfaction ratings from 3.5 to 4.0 on a scale of 5.
78,admin,Low,Employee Turnover Rate,58,G000106,In Progress,2022-04-19,2023-04-03,Finance,Employee Satisfaction,Denice Nordlinger,Design and implement bi-weekly team feedback and recognition programs to improve employee satisfaction by increasing the satisfaction score from 3.5 to 4.5 on the company survey.
88,admin,High,Survey Score,92,G000107,Completed,2022-05-31,2022-12-12,HR,Efficiency,Travis Brockert,Improve internal workflows and eliminate redundant tasks in order to increase efficiency by 20% over the next quarter.
79,admin,Medium,Survey Score,44,G000108,In Progress,2022-01-24,2023-07-12,IT,Cost Reduction,Misty Ericksen,"Optimize energy consumption to decrease the company's utility bills by 10% compared to the previous fiscal year i.e. from $50,000 to $45,000."
61,admin,Low,Sales Increase,78,G000109,Completed,2022-10-01,2022-07-20,HR,Revenue Growth,Geri Forness,"Develop and implement new marketing strategies aimed at growing our client base by 20%, ultimately leading to a 10% increase in total revenue compared to the previous fiscal year."
78,admin,Medium,Survey Score,0,G000110,Completed,2022-03-03,2022-04-15,HR,Employee Satisfaction,survey user,Improve work-life balance initiatives and flexible working schedules to increase overall employee satisfaction index by 20% as measured by annual employee survey.
55,admin,Critical,Employee Turnover Rate,85,G000111,Completed,2022-05-07,2022-07-31,IT,Customer Satisfaction,Thomas Jefferson,Improve post-purchase customer support by reducing response time by 20% and achieving a customer satisfaction rating of 90% in the next quarter.
57,admin,Critical,Expense Ratio,90,G000112,Completed,2022-08-23,2023-01-10,IT,Cost Reduction,Certification User,Adopt cost-effective technologies and reduce operational costs by 20% over the next financial year.
51,admin,Medium,Expense Ratio,23,G000113,Cancelled,2022-05-08,2022-08-09,Marketing,Efficiency,Veronica Radman,"Improve workflow automation to increase department efficiency by 25% over the next quarter, leading to significant time and resource savings."
91,admin,Medium,Employee Turnover Rate,7,G000114,Completed,2022-07-27,2022-08-13,Finance,Employee Satisfaction,Beverley Bunche,Develop and implement a comprehensive employee recognition program aimed at boosting morale and workplace satisfaction levels by 20% in the next financial year.
64,admin,Medium,Sales Increase,56,G000115,Planned,2022-12-26,2023-02-12,Marketing,Customer Satisfaction,Ross Spurger,Improve the customer service response rate by 25% in this business quarter to increase overall customer satisfaction and build a trustworthy brand image.
71,admin,Critical,Survey Score,89,G000116,Completed,2022-12-05,2022-10-27,Marketing,Cost Reduction,Henrietta Cintora,Optimize the usage of cloud infrastructure reducing over-allocation of resources by 20% to decrease the IT expenses and enhance cost management.
90,admin,Medium,Expense Ratio,64,G000117,In Progress,2022-06-25,2023-02-05,Finance,Revenue Growth,Gisela Kosicki,"Increase annual software sales revenue by 20% via upselling and customer retention strategies, effectively taking yearly income from $1M to $1.2M."
91,admin,Low,Expense Ratio,9,G000118,Cancelled,2022-02-18,2023-04-02,HR,Employee Satisfaction,Janet Schaffter,"Develop and initiate a comprehensive employee satisfaction program involving quarterly team building activities, morale boosting workshops and employee recognition schemes, aiming to increase overall employee satisfaction ratings by 20% in the upcoming fiscal year."
60,admin,Medium,Expense Ratio,0,G000119,In Progress,2022-09-07,2022-12-22,HR,Customer Satisfaction,Sandra Graen,"Improve customer support response time by 25% to enhance customer satisfaction, ultimately aiming to boost positive customer reviews by 20% in the next quarter."
64,admin,Low,Expense Ratio,18,G000120,In Progress,2022-02-01,2022-09-17,Finance,Employee Satisfaction,Billie Cowley,"Develop and implement a quarterly feedback system to improve communication and employee morale, aiming to achieve a 20% increase in overall employee satisfaction scores compared to last year."
81,admin,High,Employee Turnover Rate,77,G000121,Completed,2022-07-18,2023-07-02,Finance,Cost Reduction,Manifah Masood,Adopt energy-efficient appliances in all company offices to cut down on utility expenses by 20% in the next fiscal year.
80,admin,Low,Expense Ratio,7,G000122,Completed,2022-02-19,2023-05-14,Marketing,Revenue Growth,Ross Spurger,"Develop strategies to increase product sales through online channels by 20% over next quarter, which is expected to increase revenue from $1M to $1.2M."
