caller_id,sys_updated_by,state,closed_at,closed_by,assigned_to,opened_at,number,sys_updated_on,short_description,assignment_group,priority,category
Don Goodliffe,system,Closed,2023-01-23 17:54:59.999999999,Charlie Whitherspoon,Fred Luddy,2023-01-17 22:43:00,INC0000000023,2023-01-23 17:54:59.999999999,Database connection error in application xyz,Database,2 - High,Database
David Loo,employee,Resolved,2023-01-24 08:35:59.999999999,Charlie Whitherspoon,Luke Wilson,2023-01-18 06:12:00,INC0000000024,2023-01-24 08:35:59.999999999,Internet connection is unstable,Network,2 - High,Network
Bud Richman,employee,Resolved,2023-01-24 23:44:59.999999999,Howard Johnson,Luke Wilson,2023-01-18 21:21:00,INC0000000025,2023-01-24 23:44:59.999999999,Unable to connect to company VPN,Network,2 - High,Network
David Loo,employee,Resolved,2023-01-25 11:30:00.000000000,Fred Luddy,Luke Wilson,2023-01-19 01:54:00,INC0000000026,2023-01-25 11:30:00.000000000,Unable to connect to office VPN,Network,2 - High,Network
Don Goodliffe,system,Closed,2023-01-29 18:44:00.000000000,Luke Wilson,Beth Anglin,2023-01-22 11:32:00,INC0000000027,2023-01-29 18:44:00.000000000,Database connection issue,Database,2 - High,Database
ITIL User,admin,Closed,2023-01-29 20:30:00.000000000,Fred Luddy,Howard Johnson,2023-01-22 13:18:00,INC0000000028,2023-01-29 20:30:00.000000000,Trouble connecting to VPN,Network,2 - High,Network
ITIL User,employee,Resolved,2023-01-30 06:04:00.000000000,Luke Wilson,Howard Johnson,2023-01-22 22:52:00,INC0000000029,2023-01-30 06:04:00.000000000,Cannot connect to the internet,Network,2 - High,Network
Bud Richman,employee,Resolved,2023-01-31 10:58:59.999999999,Beth Anglin,Luke Wilson,2023-01-23 20:35:00,INC0000000030,2023-01-31 10:58:59.999999999,Unable to log in to the email server,Network,2 - High,Network
ITIL User,admin,Resolved,2023-02-01 06:35:00.000000000,Fred Luddy,Beth Anglin,2023-01-24 08:59:00,INC0000000031,2023-02-01 06:35:00.000000000,Email client not working properly,Software,2 - High,Software
Bud Richman,system,Resolved,2023-02-01 09:21:00.000000000,Beth Anglin,Fred Luddy,2023-01-24 11:45:00,INC0000000032,2023-02-01 09:21:00.000000000,Software update issues on workstation,Software,2 - High,Software
Don Goodliffe,system,Closed,2023-02-02 20:51:59.999999999,Howard Johnson,Luke Wilson,2023-01-25 16:04:00,INC0000000033,2023-02-02 20:51:59.999999999,Cannot connect to internet,Network,2 - High,Network
David Loo,admin,Closed,2023-02-04 01:21:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-01-26 13:21:00,INC0000000034,2023-02-04 01:21:00.000000000,Email System Not Working Properly,Network,2 - High,Software
ITIL User,admin,Closed,2023-02-05 04:31:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-01-27 09:19:00,INC0000000035,2023-02-05 04:31:00.000000000,Unable to connect to office VPN,Network,2 - High,Network
Don Goodliffe,system,Closed,2023-02-05 17:50:00.000000000,Beth Anglin,Fred Luddy,2023-01-27 22:38:00,INC0000000036,2023-02-05 17:50:00.000000000,Database Server Experiencing High Latency,Database,2 - High,Database
Don Goodliffe,system,Closed,2023-02-06 15:19:59.999999999,Charlie Whitherspoon,Beth Anglin,2023-01-28 12:56:00,INC0000000037,2023-02-06 15:19:59.999999999,Unable to connect to office Wi-Fi,Network,2 - High,Network
Bud Richman,admin,Resolved,2023-02-06 23:33:59.999999999,Beth Anglin,Beth Anglin,2023-01-28 21:10:00,INC0000000038,2023-02-06 23:33:59.999999999,Email server is down,Network,1 - Critical,Network
Don Goodliffe,system,Closed,2023-02-08 01:30:00.000000000,Charlie Whitherspoon,Fred Luddy,2023-01-29 15:54:00,INC0000000039,2023-02-08 01:30:00.000000000,Can't connect to the database,Database,2 - High,Network
David Loo,admin,Resolved,2023-02-08 02:16:00.000000000,Charlie Whitherspoon,Howard Johnson,2023-01-29 16:40:00,INC0000000040,2023-02-08 02:16:00.000000000,Unable to access database,Database,2 - High,Database
David Loo,admin,Closed,2023-02-08 08:43:00.000000000,Beth Anglin,Luke Wilson,2023-01-29 23:07:00,INC0000000041,2023-02-08 08:43:00.000000000,Unable to access email account,Service Desk,2 - High,Software
Bud Richman,employee,Resolved,2023-02-09 16:38:59.999999999,Charlie Whitherspoon,Howard Johnson,2023-01-30 23:51:00,INC0000000042,2023-02-09 16:38:59.999999999,Email server not responding,Network,2 - High,Network
Bud Richman,employee,Closed,2023-02-10 20:45:00.000000000,Charlie Whitherspoon,Howard Johnson,2023-01-31 20:45:00,INC0000000043,2023-02-10 20:45:00.000000000,Cannot access network drives,Network,2 - High,Network
Don Goodliffe,system,Resolved,2023-02-11 09:17:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-02-01 02:05:00,INC0000000044,2023-02-11 09:17:00.000000000,Unable to connect to office wifi,Network,2 - High,Network
David Loo,admin,Closed,2023-02-11 17:31:00.000000000,Charlie Whitherspoon,Fred Luddy,2023-02-01 10:19:00,INC0000000045,2023-02-11 17:31:00.000000000,Issue with database connection,Database,2 - High,Database
ITIL User,admin,Resolved,2023-02-12 06:07:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-02-01 22:55:00,INC0000000046,2023-02-12 06:07:00.000000000,Unable to connect to the VPN,Network,2 - High,Network
ITIL User,employee,Resolved,2023-02-14 20:06:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-02-03 22:30:00,INC0000000047,2023-02-14 20:06:00.000000000,Unable to connect to VPN,Network,2 - High,Network
Don Goodliffe,admin,Resolved,2023-02-15 20:09:59.999999999,Fred Luddy,Beth Anglin,2023-02-04 15:22:00,INC0000000048,2023-02-15 20:09:59.999999999,Cannot connect to office Wi-Fi,Network,1 - Critical,Network
Don Goodliffe,employee,Closed,2023-02-16 04:00:59.999999999,Howard Johnson,Beth Anglin,2023-02-04 23:13:00,INC0000000049,2023-02-16 04:00:59.999999999,Unable to access the internet,Network,3 - Moderate,Network
David Loo,employee,Closed,2023-02-16 20:00:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-02-05 08:00:00,INC0000000050,2023-02-16 20:00:00.000000000,Can't connect to the office wifi,Network,1 - Critical,Network
ITIL User,system,Closed,2023-02-17 03:42:00.000000000,Howard Johnson,Howard Johnson,2023-02-05 15:42:00,INC0000000051,2023-02-17 03:42:00.000000000,Email server not responding,Network,1 - Critical,Network
David Loo,admin,Resolved,2023-02-19 17:24:59.999999999,Fred Luddy,Charlie Whitherspoon,2023-02-07 15:01:00,INC0000000052,2023-02-19 17:24:59.999999999,Unable to connect to the VPN,Network,2 - High,Network
ITIL User,employee,Resolved,2023-02-20 17:27:00.000000000,Howard Johnson,Howard Johnson,2023-02-08 07:51:00,INC0000000053,2023-02-20 17:27:00.000000000,Email server not responding,Network,2 - High,Network
David Loo,admin,Resolved,2023-02-25 05:14:00.000000000,Charlie Whitherspoon,Beth Anglin,2023-02-11 22:02:00,INC0000000054,2023-02-25 05:14:00.000000000,Database server is not responding,Database,2 - High,Database
Bud Richman,system,Closed,2023-02-28 11:54:59.999999999,Beth Anglin,Howard Johnson,2023-02-14 07:07:00,INC0000000055,2023-02-28 11:54:59.999999999,SQL Server connection issue,Database,3 - Moderate,Database
Bud Richman,admin,Closed,2023-03-02 00:32:00.000000000,Charlie Whitherspoon,Howard Johnson,2023-02-15 12:32:00,INC0000000056,2023-03-02 00:32:00.000000000,Unable to connect to VPN,Network,2 - High,Network
David Loo,admin,Resolved,2023-03-02 01:04:00.000000000,Beth Anglin,Howard Johnson,2023-02-15 13:04:00,INC0000000057,2023-03-02 01:04:00.000000000,VPN connection issue,Network,2 - High,Network
Bud Richman,system,Resolved,2023-03-02 19:28:00.000000000,Fred Luddy,Luke Wilson,2023-02-16 00:16:00,INC0000000058,2023-03-02 19:28:00.000000000,Database connectivity issue,Database,2 - High,Database
Bud Richman,employee,Closed,2023-03-03 08:18:00.000000000,Fred Luddy,Luke Wilson,2023-02-16 13:06:00,INC0000000059,2023-03-03 08:18:00.000000000,Unable to connect to the VPN,Network,2 - High,Network
Don Goodliffe,employee,Closed,2023-03-04 02:37:00.000000000,Fred Luddy,Luke Wilson,2023-02-17 00:13:00,INC0000000060,2023-03-04 02:37:00.000000000,Cannot connect to WiFi,Network,2 - High,Network
David Loo,system,Resolved,2023-03-04 21:32:00.000000000,Charlie Whitherspoon,Beth Anglin,2023-02-17 19:08:00,INC0000000061,2023-03-04 21:32:00.000000000,Unable to connect to VPN,Network,2 - High,Network
Don Goodliffe,employee,Resolved,2023-03-06 19:28:59.999999999,Howard Johnson,Charlie Whitherspoon,2023-02-19 02:41:00,INC0000000062,2023-03-06 19:28:59.999999999,Unable to login to the CRM software,Software,2 - High,Software
ITIL User,system,Closed,2023-03-07 16:29:59.999999999,Luke Wilson,Luke Wilson,2023-02-19 23:42:00,INC0000000063,2023-03-07 16:29:59.999999999,Internet connectivity issue,Network,2 - High,Network
Don Goodliffe,admin,Closed,2023-03-08 00:47:00.000000000,Fred Luddy,Howard Johnson,2023-02-20 00:47:00,INC0000000064,2023-03-08 00:47:00.000000000,Unable to access intranet resources,Network,3 - Moderate,Network
Bud Richman,employee,Closed,2023-03-09 11:36:59.999999999,Fred Luddy,Charlie Whitherspoon,2023-02-21 04:25:00,INC0000000065,2023-03-09 11:36:59.999999999,Unable to connect to office VPN,Network,2 - High,Network
ITIL User,admin,Resolved,2023-03-11 09:47:00.000000000,Howard Johnson,Luke Wilson,2023-02-22 19:23:00,INC0000000066,2023-03-11 09:47:00.000000000,Cannot connect to office network,Network,1 - Critical,Network
Bud Richman,employee,Closed,2023-03-11 22:56:59.999999999,Luke Wilson,Howard Johnson,2023-02-23 01:21:00,INC0000000067,2023-03-11 22:56:59.999999999,Server overload issue,Network,2 - High,Hardware
Don Goodliffe,employee,Resolved,2023-03-12 00:00:59.999999999,Charlie Whitherspoon,Luke Wilson,2023-02-23 02:25:00,INC0000000068,2023-03-12 00:00:59.999999999,Cannot connect to VPN,Network,2 - High,Network
Don Goodliffe,admin,Resolved,2023-03-13 15:38:59.999999999,Beth Anglin,Luke Wilson,2023-02-24 10:51:00,INC0000000069,2023-03-13 15:38:59.999999999,Unable to connect to VPN,Network,2 - High,Network
ITIL User,admin,Closed,2023-03-13 22:04:59.999999999,Howard Johnson,Luke Wilson,2023-02-24 17:17:00,INC0000000070,2023-03-13 22:04:59.999999999,Cannot connect to VPN,Network,2 - High,Network
Don Goodliffe,employee,Closed,2023-03-15 10:15:00.000000000,Howard Johnson,Luke Wilson,2023-02-25 22:15:00,INC0000000071,2023-03-15 10:15:00.000000000,Email server connectivity issue,Network,1 - Critical,Network
Bud Richman,employee,Closed,2023-03-15 23:07:00.000000000,Howard Johnson,Beth Anglin,2023-02-26 03:55:00,INC0000000072,2023-03-15 23:07:00.000000000,Database connectivity issue,Database,2 - High,Database
Don Goodliffe,employee,Closed,2023-03-17 20:16:00.000000000,Charlie Whitherspoon,Beth Anglin,2023-02-27 17:52:00,INC0000000073,2023-03-17 20:16:00.000000000,Unable to connect to the database,Database,2 - High,Database
ITIL User,admin,Closed,2023-03-17 21:22:00.000000000,Fred Luddy,Charlie Whitherspoon,2023-02-27 18:58:00,INC0000000074,2023-03-17 21:22:00.000000000,Email system isn't responding,Network,2 - High,Software
David Loo,system,Resolved,2023-03-18 01:39:00.000000000,Fred Luddy,Fred Luddy,2023-02-27 23:15:00,INC0000000075,2023-03-18 01:39:00.000000000,Unable to access email account,Service Desk,2 - High,Software
Don Goodliffe,employee,Closed,2023-03-19 08:30:59.999999999,Beth Anglin,Charlie Whitherspoon,2023-02-28 22:55:00,INC0000000076,2023-03-19 08:30:59.999999999,Email client not syncing properly,Service Desk,3 - Moderate,Software
David Loo,system,Resolved,2023-03-21 11:14:00.000000000,Howard Johnson,Luke Wilson,2023-03-02 11:14:00,INC0000000077,2023-03-21 11:14:00.000000000,Issue with database connection,Database,3 - Moderate,Database
Bud Richman,employee,Closed,2023-03-21 12:36:00.000000000,Luke Wilson,Luke Wilson,2023-03-02 12:36:00,INC0000000078,2023-03-21 12:36:00.000000000,Unable to connect to VPN,Network,2 - High,Network
Bud Richman,employee,Resolved,2023-03-22 21:26:00.000000000,Fred Luddy,Charlie Whitherspoon,2023-03-03 14:14:00,INC0000000079,2023-03-22 21:26:00.000000000,Email server is not responding,Network,1 - Critical,Network
David Loo,system,Closed,2023-03-22 21:27:00.000000000,Fred Luddy,Beth Anglin,2023-03-03 14:15:00,INC0000000080,2023-03-22 21:27:00.000000000,Wi-Fi connectivity issue in room 103,Network,2 - High,Network
Bud Richman,system,Closed,2023-03-23 01:04:00.000000000,Howard Johnson,Howard Johnson,2023-03-03 17:52:00,INC0000000081,2023-03-23 01:04:00.000000000,Unable to access the database,Database,2 - High,Database
ITIL User,system,Resolved,2023-03-23 02:11:00.000000000,Beth Anglin,Luke Wilson,2023-03-03 18:59:00,INC0000000082,2023-03-23 02:11:00.000000000,Email service is unresponsive,Network,2 - High,Inquiry / Help
David Loo,employee,Resolved,2023-03-23 16:24:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-03-04 02:00:00,INC0000000083,2023-03-23 16:24:00.000000000,Cannot access company database,Database,2 - High,Database
David Loo,admin,Resolved,2023-03-24 07:55:00.000000000,Fred Luddy,Howard Johnson,2023-03-04 17:31:00,INC0000000084,2023-03-24 07:55:00.000000000,Cannot access email from Desktop App,Service Desk,2 - High,Software
David Loo,admin,Resolved,2023-03-25 18:24:59.999999999,Fred Luddy,Fred Luddy,2023-03-05 20:49:00,INC0000000085,2023-03-25 18:24:59.999999999,Email server is not responding,Network,1 - Critical,Network
Don Goodliffe,system,Resolved,2023-03-26 05:01:59.999999999,Luke Wilson,Beth Anglin,2023-03-06 00:14:00,INC0000000086,2023-03-26 05:01:59.999999999,Unable to connect to VPN,Network,2 - High,Network
Don Goodliffe,admin,Closed,2023-03-26 13:58:59.999999999,Charlie Whitherspoon,Howard Johnson,2023-03-06 09:11:00,INC0000000087,2023-03-26 13:58:59.999999999,Unable to access network drive,Network,2 - High,Network
ITIL User,system,Resolved,2023-03-26 22:01:59.999999999,Charlie Whitherspoon,Charlie Whitherspoon,2023-03-06 17:14:00,INC0000000088,2023-03-26 22:01:59.999999999,Cannot connect to office Wi-Fi,Network,2 - High,Network
Don Goodliffe,admin,Resolved,2023-03-27 21:39:00.000000000,Luke Wilson,Beth Anglin,2023-03-07 09:39:00,INC0000000089,2023-03-27 21:39:00.000000000,Email server is down,Network,1 - Critical,Network
Don Goodliffe,admin,Resolved,2023-03-29 02:40:00.000000000,Howard Johnson,Luke Wilson,2023-03-08 07:28:00,INC0000000090,2023-03-29 02:40:00.000000000,Unable to access database server,Database,2 - High,Database
Bud Richman,system,Resolved,2023-03-29 06:57:00.000000000,Fred Luddy,Howard Johnson,2023-03-08 11:45:00,INC0000000091,2023-03-29 06:57:00.000000000,System outage on production server,Network,1 - Critical,Network
Don Goodliffe,employee,Resolved,2023-03-29 17:35:00.000000000,Beth Anglin,Charlie Whitherspoon,2023-03-08 22:23:00,INC0000000092,2023-03-29 17:35:00.000000000,Unable to connect to the internet,Network,1 - Critical,Network
Don Goodliffe,employee,Closed,2023-03-30 13:12:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-03-09 10:48:00,INC0000000093,2023-03-30 13:12:00.000000000,Email server not responding,Network,2 - High,Hardware
Don Goodliffe,admin,Closed,2023-03-30 13:34:00.000000000,Luke Wilson,Fred Luddy,2023-03-09 11:10:00,INC0000000094,2023-03-30 13:34:00.000000000,Cannot connect to the office VPN,Network,2 - High,Network
Bud Richman,system,Resolved,2023-03-30 22:25:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-03-09 20:01:00,INC0000000095,2023-03-30 22:25:00.000000000,Email system is constantly crashing,Network,2 - High,Software
ITIL User,employee,Resolved,2023-03-30 22:39:00.000000000,Luke Wilson,Beth Anglin,2023-03-09 20:15:00,INC0000000096,2023-03-30 22:39:00.000000000,Email server is down,Network,1 - Critical,Network
David Loo,employee,Resolved,2023-04-01 02:24:59.999999999,Beth Anglin,Fred Luddy,2023-03-10 16:49:00,INC0000000097,2023-04-01 02:24:59.999999999,Database server connection issue,Database,2 - High,Database
Don Goodliffe,admin,Closed,2023-04-01 08:00:59.999999999,Howard Johnson,Fred Luddy,2023-03-10 22:25:00,INC0000000098,2023-04-01 08:00:59.999999999,Email server not responding,Network,2 - High,Network
Bud Richman,system,Resolved,2023-04-02 11:39:59.999999999,Fred Luddy,Fred Luddy,2023-03-11 18:52:00,INC0000000099,2023-04-02 11:39:59.999999999,Slow database response time,Database,2 - High,Database
Don Goodliffe,employee,Closed,2023-04-03 06:48:00.000000000,Howard Johnson,Luke Wilson,2023-03-12 06:48:00,INC0000000100,2023-04-03 06:48:00.000000000,Cannot connect to local server,Network,2 - High,Network
Bud Richman,admin,Closed,2023-04-03 17:08:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-03-12 17:08:00,INC0000000101,2023-04-03 17:08:00.000000000,Email system not working properly,Service Desk,2 - High,Software
David Loo,admin,Closed,2023-04-04 21:34:00.000000000,Luke Wilson,Luke Wilson,2023-03-13 14:22:00,INC0000000102,2023-04-04 21:34:00.000000000,Unable to access email client,Service Desk,2 - High,Software
David Loo,employee,Resolved,2023-04-05 04:45:00.000000000,Beth Anglin,Howard Johnson,2023-03-13 21:33:00,INC0000000103,2023-04-05 04:45:00.000000000,Email client not working properly,Software,2 - High,Software
Don Goodliffe,system,Resolved,2023-04-07 11:16:59.999999999,Beth Anglin,Beth Anglin,2023-03-15 13:41:00,INC0000000104,2023-04-07 11:16:59.999999999,Unable to access database server,Database,2 - High,Database
ITIL User,admin,Resolved,2023-04-08 17:46:59.999999999,Howard Johnson,Luke Wilson,2023-03-16 12:59:00,INC0000000105,2023-04-08 17:46:59.999999999,Software update failure,Software,2 - High,Software
David Loo,admin,Resolved,2023-04-11 17:19:00.000000000,Charlie Whitherspoon,Luke Wilson,2023-03-18 22:07:00,INC0000000106,2023-04-11 17:19:00.000000000,Email server is down,Network,1 - Critical,Network
Bud Richman,employee,Closed,2023-04-12 11:19:00.000000000,Beth Anglin,Fred Luddy,2023-03-19 08:55:00,INC0000000107,2023-04-12 11:19:00.000000000,Unable to connect to the database,Database,2 - High,Database
ITIL User,system,Closed,2023-04-15 06:21:00.000000000,Beth Anglin,Beth Anglin,2023-03-21 13:33:00,INC0000000108,2023-04-15 06:21:00.000000000,Database connection error on server,Database,2 - High,Database
Bud Richman,employee,Closed,2023-04-15 06:33:00.000000000,Fred Luddy,Howard Johnson,2023-03-21 13:45:00,INC0000000109,2023-04-15 06:33:00.000000000,Cannot connect to VPN,Network,3 - Moderate,Inquiry / Help
Bud Richman,admin,Resolved,2023-04-15 14:53:00.000000000,Howard Johnson,Howard Johnson,2023-03-21 22:05:00,INC0000000110,2023-04-15 14:53:00.000000000,Can't connect to server,Network,2 - High,Network
Don Goodliffe,employee,Closed,2023-04-16 18:16:00.000000000,Howard Johnson,Luke Wilson,2023-03-22 18:16:00,INC0000000111,2023-04-16 18:16:00.000000000,SQL server connectivity issue,Database,2 - High,Database
Don Goodliffe,system,Resolved,2023-04-18 17:25:00.000000000,Beth Anglin,Luke Wilson,2023-03-24 03:01:00,INC0000000112,2023-04-18 17:25:00.000000000,Server connectivity issue in Network,Network,2 - High,Network
Don Goodliffe,employee,Closed,2023-04-18 22:10:00.000000000,Charlie Whitherspoon,Howard Johnson,2023-03-24 07:46:00,INC0000000113,2023-04-18 22:10:00.000000000,Unable to access the server,Network,2 - High,Hardware
David Loo,system,Resolved,2023-04-20 16:05:59.999999999,Howard Johnson,Howard Johnson,2023-03-25 18:30:00,INC0000000114,2023-04-20 16:05:59.999999999,Email server downtime issue,Network,2 - High,Network
Don Goodliffe,system,Resolved,2023-04-20 18:01:59.999999999,Fred Luddy,Charlie Whitherspoon,2023-03-25 20:26:00,INC0000000115,2023-04-20 18:01:59.999999999,Software update issue,Software,2 - High,Software
Bud Richman,admin,Resolved,2023-04-21 06:23:00.000000000,Howard Johnson,Luke Wilson,2023-03-26 01:35:00,INC0000000116,2023-04-21 06:23:00.000000000,Email client not syncing properly,Service Desk,2 - High,Software
Don Goodliffe,system,Resolved,2023-04-21 23:00:00.000000000,Beth Anglin,Charlie Whitherspoon,2023-03-26 18:12:00,INC0000000117,2023-04-21 23:00:00.000000000,SQL Server connectivity issue,Database,1 - Critical,Database
Bud Richman,system,Resolved,2023-04-25 16:38:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-03-29 14:14:00,INC0000000118,2023-04-25 16:38:00.000000000,Unable to login to email,Service Desk,2 - High,Software
David Loo,admin,Resolved,2023-04-25 22:04:00.000000000,Beth Anglin,Luke Wilson,2023-03-29 19:40:00,INC0000000119,2023-04-25 22:04:00.000000000,Unable to connect to the server,Network,2 - High,Network
Don Goodliffe,employee,Closed,2023-04-26 22:55:59.999999999,Beth Anglin,Howard Johnson,2023-03-30 13:20:00,INC0000000120,2023-04-26 22:55:59.999999999,Software update issue,Software,2 - High,Software
Bud Richman,system,Closed,2023-04-29 00:54:00.000000000,Charlie Whitherspoon,Charlie Whitherspoon,2023-04-01 00:54:00,INC0000000121,2023-04-29 00:54:00.000000000,Unable to access database,Database,2 - High,Database
David Loo,admin,Closed,2023-04-29 08:25:00.000000000,Charlie Whitherspoon,Luke Wilson,2023-04-01 08:25:00,INC0000000122,2023-04-29 08:25:00.000000000,Unable to connect to the VPN,Network,2 - High,Network
Don Goodliffe,admin,Resolved,2023-04-29 14:50:00.000000000,Beth Anglin,Beth Anglin,2023-04-01 14:50:00,INC0000000123,2023-04-29 14:50:00.000000000,Email server is not responding,Network,1 - Critical,Network
ITIL User,system,Closed,2023-04-29 18:57:00.000000000,Luke Wilson,Luke Wilson,2023-04-01 18:57:00,INC0000000124,2023-04-29 18:57:00.000000000,Error accessing shared database,Database,2 - High,Database
David Loo,system,Resolved,2023-05-01 14:35:00.000000000,Charlie Whitherspoon,Luke Wilson,2023-04-03 00:11:00,INC0000000125,2023-05-01 14:35:00.000000000,Cannot connect to the WiFi network,Network,2 - High,Network
Bud Richman,system,Resolved,2023-05-01 23:19:00.000000000,Charlie Whitherspoon,Charlie Whitherspoon,2023-04-03 08:55:00,INC0000000126,2023-05-01 23:19:00.000000000,Email service interruptions,Network,2 - High,Inquiry / Help
Bud Richman,system,Closed,2023-05-02 04:48:00.000000000,Fred Luddy,Howard Johnson,2023-04-03 14:24:00,INC0000000127,2023-05-02 04:48:00.000000000,Database server crash,Database,1 - Critical,Database
